title,text
New Displays of Scarecrows This Month,New scarecrow displays.  Be sure to look for the Grim Reaper of lost trademarks!  Make a reservation as attendance is limited.  Suggest early morning timing.
Amazing experience,Absolutely breathtaking experience. The employees were great and the scene was amazing. Enjoyed our time
Never disappoints ,"We returned after a long absence due to the virus. It was so great to be back. To cut down on  crowds, you now have time sensitive tickets (don’t be late, you’ll lose your spot). Gardens were so vibrant and alive. Rich color. Signs everywhere say masks required (but this is not enforced). Kids loved The Alice in Wonderland topiaries, especially Cheshire Cat and Chess Board. Large unmasked crowd in Children’s Garden. There is only one way in & one way out, they could limit the number of people in this section. Can’t wait for the Scarecrow Parade in October!"
Pretty but lacks customer service. ,Gardens are beautiful. The biggest issue we had was the lack of customer service. We bought tickets in advance for a time a slot (Due to Covid). We arrived about 15 min early and were told we had to wait while others bought tickets at the gate and were immediately given access. We passed the by the restaurant inside the gardens. My kids and I saw other kids and families eating ice cream at the restaurant. We went in and were immediately asked our intentions. We told the host that we wanted to get some drinks and allow the kids to get ice cream and were told to go to the snack bar because they would not let us in. This was not due to a lack of a reservation or space it was because we didn’t say we were eating dinner. This was obviously very disappointing to both my kids as we just walked by several families at the out door seating enjoying drinks and ice cream only. If they are going to require a min purchase then that needs to be notated at the door. We still would have spent money and tipped well.
A Botanical Garden MUST SEE!,"Even for two 30 year old women, we had a blast! This was the highlight for my friends birthday weekend, while we enjoyed the Alice displays we also appreciated EVERY other exhibit. Some notable highlights were the edible garden, the orchid greenhouse, the japanese garden &  the cascades garden! We enjoyed strolling the gardens, grabbing an adult beverage and enjoying the beautiful views!"
Incredible plants and landscaping,"The Atlanta Botanical Garden is a gem hidden in the middle of a big city. It is just north of downtown and has parking available. As of September 2020, they have metered entry every 15 minutes so you have to get tickets - easily done online. Members only on Mondays, so don't count on Monday. Currently there is an Alice in Wonderland theme with some of the more incredible massive illustrations from the story sculptured in plants - wow! The conservatory and orchid building was the highlight of the visit for us, but it didn't open until noon, so plan accordingly. Horticultural connoisseurs can easily spend 3 hours seeing the rest of the garden, so going first thing in the morning is fine."
Beautiful Holiday Lights But Very Crowded,"Every year for several years now the Garden has been doing Holiday Lights in the Garden.  They have been adding displays and making it more elaborate every year.  And each year, more and more people come to see it.  This year (2019) you needed to buy tickets for a specific day and time; as far as I am aware, all of the days sold out.  Tickets are not cheap either.  It has become THE thing to do on Christmas Day, although the traffic jams around Piedmont Park stretch across the entire Season!Many of the lights displays are now choreographed to music, quite a bit of it classical, some of it soundtracks to major motion pictures.  If you don't get tickets before they sell out, you can walk through Piedmont Park and see quite a lot of the light displays and clearly hear the music.  And you will see the endless sea of cars going into the garden while you are enjoying many of the displays!"
Wonderful Experience,It was a beautiful place to visit with family. My favorite thing is Alice in wonderland. I love edible garden as welll.
Nice place for the whole family ,Get your tickets online before hand. Trying to find tickets once you're in the park is a bad idea. They sellout very fast. You can purchase the one of Membership deals which isn't bad. We spend $105 for two adults and you get to visit as many times as you can during year from the date of purchase. There's a lot of exhibits. Don't expect the same ones as they switch them up. Really nice for the family. Military discount. Mask are required.
Great escape outdoors ,So the gardens are amazing.  They have a ton of floral and fauna to view. The trails are paved and a stroller easily can access everything.  They have a Alice in Wonderland design currently that is amazing. It’s hot for a mid day stroll but in the morning or evening I would highly recommend.
Very disappointed ,We planned our trip early to beat the heat of the day. We arrived at 9AM.  Cruised through everything.  Beautiful and happy til we got to the Conservatory. I was looking most forward to seeing the Orchids. It did not open til Noon.  Why!!!???  When gardens open everything should be opened!! No one in my party was willing to hang out 2 more hours to get into the building that should have opened at 9 AM. We were very disappointed.
