title,text
"architecture is beautiful , but too crowded to experience the heritage",It was way too crowded to experience the heritage. this could have been manged properly by the  management. 
Time well spent,It's a perfect place to watch folk dance in Udaipur. It's located near lake pichola and easily accessible while walking. It has limited seating capacity so I would suggest you to stand early in line to grab a ticket so you can seat in front row to get a perfect view of dance.  It was a great show indeed…
Folk dance,Very entertaining and colourful dance show. Book your tickets 1 day prior. You can book online also.
Could not watch anything,"Could not park car in these congested narrow  by lanes , went round about for quite some time but everything went in vain. It seems that to encourage half day and full day tours, visit by private cars is discouraged. "
Traditional Folk dance,We went to see the folk dance here after hearing about it from several people. It is good value for money and you get to see some interesting styles of rajasthani dance. There are two people that provide the narrative in hindi and english. We bought our tickets after queuing for 30mins but you can book online for quicker entry. We had a good evening overall! …
Top priority in Udaipur tour,One huye show leaves you with good lifetime memories of Rajasthani folk dance. Culture. Puppet show is a treat to watch.. Full paisa vasool show. 
Interesting history,"Nice museum showing some of the rooms in which the royalty used to live. It is great to see how the Mewars passed their time, the decoration of the house, the display of their items...  Also it was fun to try one of the turbans as they use in Rajasthan 👳"
Must Visit,"Would recommend people to  1. Book show ticket online in order to avoid big queue. 2. 2 minutes walking from Jagdish temple 3. Reach show half an hr early to get comfortable seating 4. If you want to take pictures of the show, they take 150 rs  seperately."
Over hyped show,Approach is bad through a waterlogged entrance... have to wait in a long winding queue for the tickets a very slow and painful process and again in a long queue to enter the show because there are no ticket numbers . Finally is the whole effort worth it ...a big no ... total…
Cultural Show,"This museum is must visit place is udaipur. Also there is a cultural show in evening which starts at 7 . The tickets are available from 6p.m or you can buy online. The show consists of cultural dance and shows the tradition of Rajasthan. It shows ghoomar , Dance with pots on…"
Dharohar dance ,"Bagore ki haveli is famous for it's Dharohar dance performance by folk artists. The act is of complete 1 hour starting at sharp 7pm everyday. The act comprises of puppet acts, various dance forms of Rajasthan & great folk music. This haveli is next to Gangaur ghat near Jagdish…"
Glimpse of Rangeela Rajasthan through cultural show,"We went there to watch the show (dance and acts). The ticket costed Inrs 90 (for locals) and 150 (for foreigners); the show was 45 mins long. It comprised rajasthani folk dances, acts and songs reflecting local culture and traditions. The combination of colourful costumes, Folk…"
There are better places to visit,"This would have been a beautiful home but like so many, it has been let go. Now it is being refurbished but in my opinion they would do better to turn it into a beautiful boutique hotel."
Dharohar folk dance ,"Went to see the dance show here, and it was amazing, really great value for money. The dancing was great, the stories behind each were explained (in English and Hindi) and even included some puppets. We bought our tickets online, and good job we did as when we arrived at 18:15…"
Evening cultural dance and puppet show,"Don't miss the excellent traditional cultural dance show and puppet show in evening, 7 to 8pm.   Tickets start selling at 6.15pm.  It's very popular so you would need to queue up early and get seated. Well worth the wait."
Must see the folk dance show,"We saw the show on 11th Feb. Different regional dances of Rajasthan - Jori to Ghoomor,  Also there was outstanding Puppet shows. Folk drama. Everything was done so professionally that we felt that it is done in its authentic form.  We enjoyed every moment of the 1 hour show. We…"
The dance show was fantastic!,"Didn't get back to tour the museum itself.  But we were able to see the wonderful dance show on a Saturday night!  Tried to buy tickets early in the day, but box office didn't open until something like 6:15 before the 7:00 pm show!  We didn't expect the huge crush that there…"
Go for traditional show,"Visit during evening time to watch the cultural show, it is really good and worth visiting. Make sure you go on time since there are limited tickets available. Also there is an option to book the tickets online."
Restored Haveli,"After the City Palace, the Bagore Ki Haveli may seem like an anticlimax, but we must remember that while the former was the abode of kings, the latter was home to the prime minister. The haveli has been painstakingly restored. In fact, there's a room which shows the condition…"
Beautiful Haweli,Its similar to a museum which displays the culture of the rulers especially the mewar kingdom that time
Really promoting our heritage ,Udaipur beautiful  place in Rajasthan which is famous for mahal and jheel. Thos place is also known as jheelon la sheher. I went to BAGORE KI.HAWELI  to enjoy shoe but this place was really dirty  full of muddy water.Show was good but arrangements were not good for audiences. 
Nothing great,Some of the performances are good but the rest are okay. You need to book the ticket on advance else it gets too crowded at the counter n you may not get tickets. But its not worth the hype
Ok,It was ok. Show starts at 7pm and it was an hour show with different folk dances from different parts of the rajasthan.
Do not miss the culture show,"We were very keen to catch the cultural show here and queued up very well in advance to score the tickets. People start flicking around an hour before the show and you should also try to get here soon as the tickets and the seating are available on first come, first serve basis.…"
Ok,We have been here at 6.45 pm as they show @7.00 pm but today they have 1 more show @8.00 pm. So it is advisable to buy tickets little early. Nearby gangaur that is must spending place in evening.
The Cultural Program is a Must See,We had gone to see the cultural program at 6.30 pm since it is rated very high and it definitely did not disappoint. But we missed seeing the Haveli as such since the visiting hours for the Haveli closes at 5.30 pm. So if you want to see both then you must go before 5.30 pm.  
Nice,"We visited Agra,Jaipur,Udaipur,Delhi  with my family (wife and 2 kids) in Christmas 2019 holidays and so visited this attraction during our stay in Udaipur.  We did not visit the museum but went for musical night folk dance show in evening and it was very nice experience."
Excellent,Worth a visit. Across Rajasthan one of the best places to.visit. You should ensure that you reach by 6pm for tickets.
Bagore ki Haveli,Would rate this as the best thing in Udaipur and its best to book tickets online through the their website only. There are multiple sites who show up rates incl to n fro which is not needed. The cultural show is fabulous.
Nice rajastani musuem,"This haveli is on the bank of gangaur ghat and is at a walkable distance from Jagdish mandir.We need pay entry fee of 55rs to watch this musuem.This musuem had nice separate puppet musuem where we can see lot of puppets for sale.There are some olden days items,models and hand…"
Nice evening show with traditional dances,"We attended the dance show in the haveli  courtyard on New Year’s Eve and the place was full.  The dancers were very good, costumes are very good to take photos and the brief puppets show was fun. At the end they sell the puppets, if you like them. Definitely recommended "
Good dancing,Excellent dance show and a museum which is good value for money. Line up early to get the tickets otherwise you may have to go to the 2nd showing. Line up early to enter for best seats.
Must see the folk dance in the evening,This is a old haveli where kids adopted into the royal family were imparted training. It runs a very good folk dance programme in the evening. You will have to reach well before the show time to get your ticket.
Evening Cultural Show well worth it,We went in the evening to the Cultural Show and thoroughly enjoyed it. Our guide got us in there early and got us really good seats. It gets packed so best to arrive in good time. The show was really colourful and entertaining and the lady that danced with lots of pots on her…
Lovely experience of dharovar folk dance show,Must watch this show to experience folk dances of Rajasthan. Enriching experience. An hour show cost only 90 rupees.
Book early. Skip the queue,"The is must to-do thing when you visit Udaipur. Since I was there for 4 days, I stood in line on one day and bought the tickets for the next day lease knowing that the tickets are available online. Had I known this, I would have booked it online and skipped the long queue that…"
Nice,Achcha very nice Museum in Rajasthan you can find out the history of Rajasthan must visit this museum
