title,text
Imambara,"Imambara is a very beautiful page in the history of Lucknow, in which artists have presented their artistry in a very beautiful way."
स्वच्छ भारत अभियान,Wonderful view Amazing amazing example of architecture bhul bhulaiya is really fabulous you can enjoy the sunset over there on the rooftop. Garden is also beautifulBut only thing you need to keep that in mind you will be allowed only to go up without shoes or slippersAttaching my some of Fabulous click
Impressive architecture,"The Bara Imambara is an impressive building.  Even more so as it was built to create work for about 20,000 people during the great famine in the late 1700's'.  An imambara is a tomb for a Muslim holy man.  Although we did not see visitors being given scarves or similar clothes you should dress appropriately for this religious site. Inside the entrance gate is a large formal garden leading to the main building.  The gardens are attractive and well maintained.  The architecture of the main building is beautiful.  There are three storeys that house many grand rooms but we did not go inside..There is a step well that we did not go to as we had previously visited Abhaneri (the home of one of the steepest step wells in India).  To the right of the main building is the Asifi Masjid where only Muslims are allowed.Our visit was part of a city highlights tour with our guide.  It is a fascinating building and well worth taking the time to visit."
"MY VISIT TO BADA IMAMBARA (ASAFI IMAMBARA), LUCKNOW","Lucknow was ruled by AwadhNawabs for nearly sixteen decades. Here we still find the glorious tradition and heritage of Nawabs in the form of great mansions, palaces, mosques and gardens. BadaImambara is the star attraction and most popular historic monument in Lucknow. Every day nearly three thousand people visit this beautiful mansion with spacious courtyards, carvings and massive arches. The word Imambara means the residence of Imam or a Muslim priest who leads prayers in a mosque. So it is a prayer hall where religious congregations are held through the month of Muharram and on other important occasions by Shia Muslims. In cities like Cairo, Aleppo and Baghdad this type of prayer hall is seen as an annexe to the main Mosque.  In 1722 the Mughal emperor Muhummad Shah made Mohd. Amin Masawi or Sadat Ali Khan I as Governor of Awadh. Sadat was the grandson of a rich trader from Khorasan in Iran who migrated to India. Thus the rule of AwadhNawabs (a native Governor appointed by Mughal emperors) began. In 1775 the fourth NawabAsaf-ud-Daula ascended the throne. He shifted the capital from Faizabad to Lucknow. During his rule there was a severe famine almost for one decade. To provide employment to starving people Asaf-ud-Daula undertook the construction of this Imambara which was started in 1784 and completed in 1798. Nearly twenty thousand people were employed to complete this huge mansion. The Nawab spent nearly one crore rupees for this construction. Every year he spent four to five lakhs to beautify and maintain this building. He selected an architect from Delhi, Kifayitullah, who used his talent and skills to construct this building in ornamental Mughal style. The western entrance called “Roomi Gate or Turkish Gate” is the west-facing 59 feet high entrance gate with three arches done with lavish decorations.  The  arches have the royal insignia of dual fish carved on them. It was built in ancient Awadhi style and resembles the gateway at Istanbule, Turkey, once the capital of the Roman Byzantine Empire. The word “Roomi” is the changed version of the word “Rome”. On the top of the three-storied Darwaja, a small octagonal place called “Chattri or Umbrella” is seen looking over both sides of the gate. A staircase leads up to it. This place was used for vigilance or for ligting up the gate. Four minarets are seen at four corners.  The 67-foot tall Husainabad clock tower adjacent to Roomi gate was constructed by Nawab Nasir-ud-Din Haider in 1881 to mark the arrival of Sir George Couper, the first Lieutenant Governor of the United Provinces of Awadh. The eastern entrance gate was destroyed by the British in 1858 when this building was converted to a military fort.The roof of Imambara was made from rice husk and the roof has been put together with interlocking bricks without any beam or girder. No wood or metal has been used in this building. This is a unique building with arched entrances without having any pillars for support. Unlike the Mughals who used red stone, the Nawabs of Lucknow used limestone which is delicate and can be carved with designs of creepers, various flowers and intricate designs. This building has three halls—China hall with decorative domes, Persian hall with the graves of Nawab’s family and Tazias (replicas of the tombs) of Imam Hussain and Hasan who sacrificed their lives at Karbala in 680 A.D. and the Kharbooza Hall the domed ceiling of which is shaped like a watermelon.  The Persian Hall is the most spacious hall measuring 170x55x15 feet without any supporting columns. In the center of large vaulted Persian hall the graves of Asf-Ud-Daula, his wife and the architect, Khifayoitullah are seen. Just above the central hall one can see eight chambers with different heights permitting the space above to be re-constructed as a labyrinth or maze (called BhulBhulaiya) with interconnected one thousand passage ways through 489 identical doorways. This maze supports the weight of the building. Our guide told us that the royal ladies used to come through secret underground passage to attend the prayers conducted in the central hall. People say that there are many secret passages leading to Gomti River and even up to Agra and Allahabad. It would be better to enter the maze with the help of a guide as there is a risk of losing one’s way in the labyrinth with so many passages and doors.  On the left side of this building there is a step well of Pre-Nawabi Era with five stories called ‘ShahiBaoli” built in Indo-Islamic style. It is a water reservoir used for supplying water to people. This reservoir is connected to Gomti River. Only the topmost two stories of the step well are seen and the three stories are under water. On the right side of the building there is Asifi Masjid where only Muslims are permitted. This monument is open from 6.00 a.m. to 5.00 p.m. One should go in decent dress to visit this sacred religious place. The entry fee is rs.50/- per person and Rs.500/- for NRIs. It would be better to take the help of a guide. We bought a ticket from U.P. Tourism office at 400/- per person. They will provide the vehicle along with the guide. We need not pay the entrance and parking fee. Of course only historic monuments are included in the schedule and not temples or parks. This monument is really a worth seeing construction with many unique features and is a typical specimen of the Indo-Mughal architecture."
It's okay - didn't think it was amazing.,This is obviously a very important piece of Lucknow history but as a tourist it wasn't amazing to go around.  I must add that we had a tour guide for the first part which I believe everyone probably gets - he was amazing and by far the best part of the experience.
Amusing visit,"I went to Imambara with my family. It was truly amazing to explore it. The guide we hired explained us stories and beliefs behind the architecture and artefacts present in the Imambara. It had a hallway where one can hear whisperings so loud and clear regardless of the long distance present in between the source of sound and the listener. The labyrinth present was cool to explore and without a guide one can surely get lost. It also had a stepping well and one can see the person's reflection in the well, who is standing outside of the gate from inside. Overall its a nice place to explore on a fine day. Also the monument is aesthetically pleasing as the architecture is remarkable."
Excellent place to visit and get a glimpse of the past glory of India in full splendor,Enjoyed every moment of our stay. Will need at least 6 days stay at Lucknow if you have to do justice to your trip to Lucknow.
Wonderful history,The architecture is stunning and the preservation of this site has been very good.  You can opt for a guide but I didn't need one. Reading the history of why this was built was very interesting - you need to go there to find out!
A good historical bulding,"This place is a good attraction in Lucknow.Entry fee is 50 rs.It's premises is vast and many other buildings are inside it.Beware of guides they can cheat you.They forced to hire them with min. 125 rs.With it's entry ticket, you can see Chhota Imambara also for free."
gud place,wonderful city great people by the language and neuter special about food that awadhi food is awesome i really enjoyed and like it very much.....
