title,text
Nice Visit and views.,30-40 minute by driving from town.Very nice views of the whole mountain range.Small park otherwise nothing exceptional.But worth it if you are there.
Batasia Loop,It is maintained very nicely. Cleanliness 100 percent. View of mountains is also nice if the sky is clear. Toy train ride should be more frequent. You get the feeling of British period when you come here....I loved sitting for a while in the bench at the station shade.It is one of the famous Tourist attractions and 5 kms from Darjeeling and is below Ghoom. Here the DHR chugs along the entire garden. The garden and surroundings are very well maintained. There are large telescopes installed which could be hired at a cost. You can actually view the city from the top. There is no better place to get a 360 degree view of Darjeeling's landscape including the hill town and the snow covered peaks of the Eastern Himalayas with the majestic Kanchenjunga on one side.An ideal place for clicking photographs in different local traditional attires. The entrance ticket is 20/- per head. A visit is a must while you are in the beautiful hills of Darjeeling.
 the gradient of the slope,Batasia Loop was commissioned in 1919 because it was an engineering requirement for the toy train to be able to handle a steep gradient. Just after Ghoom (which is the highest railway station) there is a sharp fall as the toy train moves towards Darjeeling. There was no way the toy train could negotiate such a drastic fall of about 140ft unless there was a way to somehow reduce the gradient of the slope.
Interesting ,It is maintained very nicely. Cleanliness 100 percent. View of mountains is also nice if the sky is clear. Toy train ride should be more frequent. You get the feeling of British period when you come here....I loved sitting for a while in the bench at the station shade.
Stunning little garden with a view,"We went to the Batasia loop in the joy ride toy train. The train stops here for 10 minutes for us to enjoy the beautiful view from this little garden and appreciate the awesome train route loop. Loved the place, so clean"
View point ,Very foggy day so didn't see much . Will be beautiful when all the seedlings are  flowering . Relaxing area. Historic interest
Decent Attraction,War memorial and Garden surrounded by the heritage rail track. One of the local site attraction in Darjeeling.
War Memorial - Visit a Must,Batasia Loop is a memorial to the Gorkha soldiers of the Indian Army. Batasia means airy space.  It is one of the famous Tourist attractions and 5 kms from Darjeeling and is below Ghoom. Here the DHR chugs along the entire garden. The garden and surroundings are very well maintained. There are large telescopes installed which could be hired at a cost. You can actually view the city from the top. There is no better place to get a 360 degree view of Darjeeling's landscape including the hill town and the snow covered peaks of the Eastern Himalayas with the majestic Kanchenjunga on one side.An ideal place for clicking photographs in different local traditional attires. The entrance ticket is 20/- per head. A visit is a must while you are in the beautiful hills of Darjeeling.
Batasia Loop garden with beautiful view,EnglishBatasia Loop is a beautiful garden located in Darjeeling.  We saw doing the ride on the Joy ride toy train. The Joy ride toy train stops here for 10 minutes.  One part from the garden is fantastic panoramic and the other part of the garden you can see the city.  Here it is written in large letters I love Darjeeling.There are stairs to sit and there is also binoculars to see the city.One can sit even half an hour here to see beautiful views.Don't forget to take pictures here.  An extraordinary experience.Italiano Batasia Loop è un bello giardino si trova in Darjeeling. Abbiamo visto faccendo il giro sul trenino di gioia  ( Joy ride toy train ) . Il trenino di gioia ( Joy ride toy train ) si ferma qui per 10 minuti . Una parte dal giardino è panoramica fantastica e altra parte del giardino si vede  la città.  Qui si trova scritto in grande Io amo Darjeeling. Ci sono i banchi per sedere e c'è anche i binocolo per vedere la città. Uno puo sedere anche mezz'ora qui per vedere belle panorame.Non dimenticare di fare foto qui.  Un esperienza straordinaria.
Morning visit ,"I walked to the Batavia loop from Darjeeling mainly to see the Gurkhas Memorial. It was a pleasant walk with great views. The Memorial was good and 2 trains arrived whilst I was there, there market stalls and the opportunity to dress in traditional dress."
beautiful backdrop,"really nice setting and manicured gardens, it also has the I love Darjeeling sign and the commemoration for the fallen. Really nice to see the train whistle past in loops with the backdrop of Kanchenjunga."
Great view,"Great view of Kangchenjunga, beautiful spot, must visit as part of darjeeling tour. It's part of heritage railway."
War Memorial,Originally built to commemorate the brave Indian national army soldiers. The place is also gives majestic view of Mt. Kanchenjunga. The iconic Darjeeling Himalayan Railways(Joy Ride) passes through Batasia Loop.
A memorable experience of steam engine times,"The short ride between Darjeeling and Ghum on one of the small steam-locomotive drawn trains is a great, nostalgic experience of the days of travel by steam engines."
Lovely experience,Well maintained and nice place to see marvel of railways plus memorial. Overall nice experience to visit.
Mostly for the view,"They make a big deal about that stop on the touristy points, it's fun to see the little train looping once, and the merchants around, but mostly a nice view of the mountains..."
Good memorial,The toy train takes you around this memorial. This is a good spot for taking pics as it has nice forest cover in the background and beautiful flowers inside the park. You can find some maggi and momos stall around the place.
