title,text
sdasd,this is one of the st ecaisajdd ghrrghar hwghasdnsa ds  rghrvhargrna ffegfhjf fegruweyrgahfa  gruerjafjaf
Great view,Beautiful river left me mesmerized and I was left spellbound by the beautiful forests at places on the bank of river.
Soothing river,I felt like in heaven when I saw the sight of the Beas River. It captivated me at first sight. I and my friends loved the sound of the waterfall and the river. Seeing the river made me calm and serene.
Just keep flowing,"All throughout Manali right from Start to end you will find Beas river flowing along. Water gushing through rocks and greenery is a scene to behold. During rainy season, the water level is quite high which might be dangerous to stroll around the river. Other times, the river can be visited at various designated places throughout its course for a peaceful sit out and some awesome photography shots. Many river sports are also organised at several places. Enjoy."
Feel the life of River Beas by rafting .. forgetting ours !!!,"It was a sight to behold. .the River Beas . .may be somewhat quieter during summer when we visited .. but still watching the flow during travel via Mandi, Kullu towards Manali. We  experienced the beauty and the thrill of travelling through River Beas itself .. during Rafting in the river..An experience of feeling the life of the river.. forgetting ours .....  that is River Beas"
Tripping,Amazing place.The riversides are mostly followed by roads.So we can experience the beauty of the structure of the river very well.The water is so cold.we can do rafting in some areas
Awesome river,Water was low in Feb sowe could literally walk thru some part but water was chilling cold. But was a awesome site to watch and take priceless pic to be remembered for life time.
Streaming River,We have visited Manali on October2019 with my family and we interface this river around all the place of Manali.This river started journey from Beas Kund at Rohotang Pass.The river water color we haave seen all time green and the water also very pure.
local sight seeing in Manali,"In the heart of Manali, this river flows through the city. The water is very clean. You can opt the river rafting here."
In vadioo se takra chuke hum..did n.a. lagaya humne kisise. Fell in love with mountains  river Baes,The river flows along your path for the best road trip of your life!! Immerse in the beauty of the nature here amidst the mountains. Enjoy the cute village scenes along the way.
Beas river,"Nice river, very very cold water, one can do river crossing activity and river rafting, rafting is closed for winters"
less polluted,Its among the least polluted rivers in the country.Its pure and famous for river water rafting.Watch this from a distance
Rafting fun,"You can stop here on way to Manali. Place is called Babeli and many rafting services are there. Though it is a short distance of rafting only, it is fun because there is good flow in the river. Only warning is that water is ice cold and you should carry extra clothes for changing as you will mostly get fully wet."
River,"This river is originating from Rohtang pass. In this river you can do rafting, zip lining, river crossing activities at different locations."
Beas river view is very scenic and accompanies you as you travel towards Manali from Delhi.,We took this opportunity to undertake White Water Rafting experience covering 14 Km journey at Kulu. Very Thrilling experience. One must have this thrilling adventurous experience
very beautiful and sarene.,it was an amazing view of the river. We did rafting. it was a great experience.  The rafting provided an exciting experience. The guide was not very helpful but overall it was a pleasant view.
Sweet Water River,"If you enjoy taking a stroll, You will certainly get to experience the gigantic river Ravi. I stayed in a hotel near Aloe Bank, Manali. So we eventually had to cross the bridge over Ravi to come to the Mall Road (from where all the services were available for sightseeing). Do take a chance to dip your feet in the river. But, be careful, not to slip with the gushing flow of water!Happy Trip!"
Trek to Beas kund,Beautiful landscape and a fun trek. Lots of greenery after the monsoon. Night sky was beautiful and we could see the Milky Way.
Crystal clear blue water ,Beas river is the lifeline of Kullu and Kangra Valleys . It originates near Beas kund in manali and is a very beautiful river with beautiful hamlets situated on either side of the valley
Beas a Companion,"Really Beas is a great companion when you travel in Himachal Pradesh. We enjoyed different moods of beas river during our stay at kullu. Calm to Blustering, flowing plainly to fiercely, different moods accoprding to changing climate in the hills. We enjoyed river rafting too."
River,Beas river covers whole manali.Flow of water is very fast.River rafting facility available in some arrears.
Nice to see this river ,It is very nice river originat from rohatang pass and we not seen but many people will told that dolphin are come in this river . Next time we want to see this .
Different in Winter,"As we travelled Manali in the Winter, the Beas River was almost frozen in the upper part. However, on the downstream, still, some people tried to do river rafting. I do not know how they did rafting in this cold temperature. However, the river in the cold is different scenery."
Clear water,Tourists are destroying the local eco system. Don't go deep inside as it can be dangerous. Water is always cold.
Serene,"A river with a lot of force. Pristine, serene and just out of the world. Dipping feet in water can be quite relaxing. Though the water is very cold."
Good,"The flow is very fast.Can be seen from number of points in Kullu and Manali.Rafting is available from certain points, you may see booking canopy on every single KM in Kullu and Manali."
kullu-River rafting fun,"if you have not done river rafting before you need to try here, you will defiantly enjoy it, but need to do warning from service provider,for us (4 peoples ) it cost 3000 rs for 20 minutes.which is very expensive, after this your rafting guide also ask for 1000 rs for video recording and photos of your river rafting."
"white water river rafting, Kullu","We done white water river rafting in Beas, Kullu. it cost 600 rs for 30 minutes. Only thing is you have to sit in boat tight, no need to paddle. we went six people. it was great experience."
river crossing,we had base river crossing activate enjoyed a lot near manali market but there should be more staff to it because there is no safety sign boards by govt.
Amazing river beds,Tourists going to Manali should definitely go to beas riverbeds from any of the neighboring villages. There are some beautiful trails leading to beas river beds. Walks on these trails is highly recommended.
a feast to eyes,it just goes everywhere u go after mandi...an absolute treat to eyes.. the water is sea greenish.. and looks amazing
Beautiful View,"Excellent view of Beas river, which catches eyes of every passerby. One can stop on the way to click some memorable pics."
River Rafting Must,"Do  book for river rafting. cost less than 500 rs for 30 minutes. Only thing is you have to sit in boat tight, no need to paddle."
amazing experience,"went rafting in the ice cold waters of the beas, truly a fantastic experience, a must try for anyone in india."
Great river via Kullu n Manali ,Good for rafting n water sports. Water is very much pure n drinkable. You can enjoy cold water with big stones ( no danger)
Cold water and fresh Breeze,"Feet dipped in ice cold Beas river water, nothing more than a magical touch to the whole body. No Spa can beat that. High current in the river and the noise is like a music to the ears. River crossing near Vashisht is such an enjoyment in itself. River side cafes in Old Manali are awesome to enjoy the beauty of the nature."
CHILLED,"The river has such a roar when you are near it that you can hardly hear amongst your self, water is crystal clear and cold as it can be , one cannot keep their hands or feet for more that few seconds. you can have a book time if alone , fishing , picnic when in group. but traveller keep the place clear , don't litter such a beautiful surrounding."
a nice place,The place is nice and has a nice view .The place is nature filled and good to visit the place on the tour.
Heavenly,"Meandering through breath-taking mountain-sides, the Beas river flows along the road-side. Singing a delightful melody of it's own, it gushes down lush green slopes. Many adventure companies provide rafting and paragliding experiences, but make sure that they are licensed and take all the safety measures before venturing for any of these adventures. The riverbank can be a heavenly spot where you can enjoy some moments of serenity."
Lovely,"I didn’t really stop at this river for rAfting,but the views I had enroute Manali were breathtaking! Loved the view of the river and the gushing sound and the cool breeze!"
Amazing experience of rafting in ice chilled Beas,Dont miss the rafting experience in Beas. Many counters providing rafting experience all along the river bank
River side,"Nice whether, very clean and can stay near by in camp, activity can do in kullu like rafting and enjoy the atmosphere and surroundings."
Beautiful and Lifeline River for Manali,Beas River starts from Beas Nala near Rohtang Pass and you can see this river all along in Manali. If you want to enjoy some good views of Beas River then you should go to Nehru Kund and there is one old Iron Rope Bridge and from there you can see beautiful view of Beas River. Also you can visit shore of beas river as well from there.
Nature's beauty getting fast destroyed,"Along the entire way, earth movers are spoiling the natural formation.There is a lot of visible plastic, clothes and human waste in the river at many places. Very very beautiful at most of the places, the authorities should have many visible reminder not to destroy this natural beauty."
Nature at its best,"How can review a river? The river is older than us and sustains us. Clear water, flowing fast and makes us feel so small compared to it. I didn't go near it as rivers can be deceptive and dangerous. However, I was humbled by it...."
Awesome....!,"One of the best place to travel and enjoy the nature and best way to relax, rejuvenate and enjoy the view of nature....!#mother nature"
Tranquil water...,She is the center of attraction of Manali and she flows all through Manali. One can enjoys its tranquil water and majestic view.
Nature calling,"Through out the terrains of Manali ,on the way to Kullu you can see the beautiful Beas river accompanying you. The beautiful river gives out a message that no matter how difficult the path is ,keep moving ahead.The beautiful mountain and various beautiful location along side of the river like Vaishno Mata Mandir and Nature park in Kullu gives you a lifetime moment to cherish.Do visit this area with your loved one or family ,friends and take rest in the lap of natures best gift.This place is very beautiful ."
Clean and serene River,"This River stars somewhere near Rohtang Pass and Solang Valley near Manali. When we visited in April 2019, the Ice had started to melt and there was average water to this river. It further goes and meets river Parvati at Bunther. This river accompanies you at road side till around Mandi or little bit beyond"
Amazing ,"Its rhythmic voice n flow of water... Its called  ""vipasha"" too... We did River rafting in this.. Itsso cold...but also safe by feeling... Great attraction and affection of kullu"
