title,text
Visit during rainy season only,This place is situated on the way to Lion point. To enjoy the beauty of this place you must visit only during rainy season. Bhusi dam overflows during rains and forms sort of water fall. You need to park your vehicle on roadside and walk through narrow lane of road side dhabas and small souvenirs shop through uneven stones. Be careful while walking . 10-15 walk through water and mud will take you to Bhusi dam. Sit for some time with your feet dipped in water and enjoy. you may like to carry extra clothes in case you get wet. Avoid visit to this place other then rainy season else you will not be able to appreciate  this place. It is l;located just on the road. During heavy rains water overflows and people from all nearby places visit this place making it huge crowd.
Bhushi Lonavala dam,Bhushi dam is located in Lonavala. To reach bhushi dam you can easily get taxis or autorickshaw from Lonavala station. Best time to go to bhushi dam is monsoon season.
Bhusi Dam,The best time to visit in Monsoon season you will love the rains.When we visited the dam was not full of water otherwise very pleasant. you can spend 1-2 hours
Must visit beauty in Monsoons,"The Bhushi Dam, way towards it was not less than a trek – full of water logging, mud and uneven stones. But then, after such trek what comes before eyes is so worth it, defines it’s beauty in its own way. Bhushi Dam overflows in the monsoon season and it forms a waterfall, in which crowd of people enjoy themselves. The view was awesome, water was crystal clear and it looked like an open water park for tourists. This beauty was not even in my any of the thoughts but with the view, it completely intoxicated me with cheerfulness and joy. Your mind rejuvenates and it’s hard to believe that a place so close to nature exists so near to Mumbai."
Not the right time to visit in Jan,It’s closed. There is water in the lake but cannot go in.. its dirty.. Avoid and probably come in rainy season.
Dam without water,The time of our visit was during warm weather. The background view of the mountains could be seen in layers. The sight was very beautiful!
Should be visited in Rainy season,"Visit is useful if visited in Rainy season, parking charges are too high Rs. 100 for four wheelers. This place is over hyped"
Just a dam,I can imagine this would be quite a site in monsoon season with flowing water racing down the rock face (brings a crowd) but in dry season it was nothing special.
overcrowded,"overcrowded place .. most crowd in rainy season , you cant enjoy with your family as there are so many drunken groups of ppl aslo hectic traffic on saturday sundays"
It was nys experience ,Good place to visit ...........it's best picnic spot or we can say this place must visited by couple s.....tnku
Monsoon Paradise In Lonavala. Most Crowed Puller Spot Of Lonavala.,"I had visited this in 2002 in Monsoon season during a peak time. Tooooo crowded.Now I visited on 9th Nov 2019. Negligible crowd. You can see from the photos attached. Same photo if seen in monsoon will make one feel OMG. It is a very average place but it is a paradise for monsoon season lovers especially families with little kids.Those who love to get wet in rain, under water fall, as well as overflowing water from dam, this is the place that provides it all. That's why during monsoon this is the place in Lonavala that attracts enormous crowd. This spot is open through out the day time with free entry. Paid parking is available. Cars are also parked on the sides of the road. We parked on one side of road. Road is narrow.This place is most famous in Lonavala & located at 6 km from Kumar Resort junction in Lonavala on old Pune Mumbai road. It is on the road to Tiger Point another famous & crowd puller spot of Lonavala.Restaurants & food snacks center are available in plenty. Change rooms are there free as well as paid.This place only to be visited during monsoon season with towels & extra clothing."
"Small, congested place.  Dirty. Please don't go there",It's a small. Congested place.  Dirty.  Don't go. Parking is costly.  Food and water costly. No local transportation available.
Outing,Wonderful place where you can enjoy the water flow through the steps and enjoy a corn and deep fried food....
Over Rated,"Bhushi Dam is worth going only if it is raining heavily, else there is nothing much to do,it is on the way to Tiger point"
Nice place to hangout with friends,"From Mumbai, the place is almost an hour drive away.. the view of the journey was so beautiful that we knew we were heading towards a nice place. Bhushi dam is near to lonavala which is one of the famous tourist spots of Mumbai"
August Visit,"Bhushi Dam is Busy, I have been to Bhushi Dam on 17th August this year with my friends and their family, we hired a Tempo Traveller from Pune. The parking cost of Tempo Traveller near Bhushi Dam is Rs. 500, It is the expensive dude.The Bhushi dam was filled with people, there is no place to set foot, it was so crowdy that day. It was Saturday so I thought its crowdy.The water was full, so we guys enjoyed a lot, we had clicked too many pics, which are awesome. Love to be there again"
Only visit in rainy season,Worth going only in rainy season. Be careful with the water flow. Many places to eat around and park vehicle. Can visit during rainy season.
Nice,It's good place to visit in rainy season. There is not proper way for climbing till the destination. View from the apex can't be expressed in words. The passionate nature lover will like this place for sure!
A must visit place in Lonavla,"Had been to this masonry dam in Lonavla a long back ago. This dam is located on the Indrayani river.This dam is a popular tourist attraction. It attracts a lot of tourists during the monsoon season. This dam has some shops and eateries on it's sides. There are stone steps were tourists can sit and enjoy the water flow. Had enjoyed the cool water flow falling on my back as a child. This dam is an ideal place for families, couples as well as friends. It is a must visit and should not be missed while in Lonavla."
Don’t miss Bhushi Dam if you are in Lonavala,Relaxing and refreshing water flow which will make your day . You can spend quality time and will have some memorable moments
One of the major attractions of Lonavala,People usually come here to take shower. You will find many restaurants over there and almost all of them provide changing rooms(Charges extra approx. INR 20) where you can keep your belongings.
Worth Visiting ,Bhushi Dam is worth visiting simply because of the natural surroundings. Any tourist in Lonavala should consider visiting same.
More fuss nothing much,This place is hugely overrated. Always crowded in monsoon season. Surrounding is nit clean and it will be difficult to get vehicles parking. Have limited parking place and road side parking cause always a huge jams. When the dam overflows it will be a huge crowd gathers there so it will be total mash and surrounded with many make shifts stalls and hawkersWe even didn’t get down from car and moved ahead to some less crowded place towards lions point
Worth a visit.,"We enjoyed it. You will have to pass through knee deep water to reach there. There you can view dam , and sit on steps where water flows gently. Get ready to drench in water , and so  dress appropriately. Better to wear slippers and have umbrella in rainy season. Corn/Hot Vadapanv were delicious. Area is bit slippery. Overall, worth a visit."
A Natural water park,The dam water flowing down in steps giving it a Natural Water park look. Since it is free there are numerous people. The way towards the dam is through 2 or 3 muddy puddles.
