title,text
Well worth a visit,We had never visited Blackpool Zoo previously and despite having a teenager in our party we set off to see what the zoo could provide. Car parking was plemtiful and a three pound daily charge was not expensive. Zoo was prepared for the current COVID world in which we live. Hand sanitisers and markings to allow for a safe day. Unfortunately some other visitors don't appear to undrstand social distancing but you can't blame the zoo for that. Get a grip folks. First animal viewed was the elephants which set the tone for the day. Cafe was well laid out for a quick drink and bite and not expensive. All in all we had a very enjoyable day and will return when back in the area. Recommended to anyone.
Wonderful visit,"Seeing all the animals and participating with people ,lovely to see them all happy and well cared for"
Great day out for young and old alike!,"Loved the one way system marked out. Plenty of hand sanitizing stations too. Food and drink available without too much queuing. Plenty of seating too. Friendly, helpful staff, ensuring rules followed. Car parking easy and roomy. Can pay for parking when purchasing ticket but then you have to walk back to car. Just a tip, it's not a trek though. Would have liked some virtual/pre recorded information to listen to about the animals but there was lots of information to read, so not a real issue. At the Elephant House, one of the attendants took time to answer my questions and she was very knowledgeable too. We were concessionary couple and had just as much fun there all day as the children. Would definitely recommend!! Priced right too, we thought."
Lovely Big Zoo,"We visited on Monday as a family of 3. We were surprised to find we had to pay for the Zoo car park on arrival. It's worth noting the car park does not accept card payment or any type of online/app payment - just coins! This was round £3.00.The Zoo was nicely laid out and all the animals were well looked after and had lovely big habitats. We were really impressed with the Covid safety measures put in place. There was hand sanitiser everywhere, reminders of where to stand and the restaurant exceeded our expectations on the measures they had in place. In the restaurant we both had burger, chips and a coke - our toddler shared what we had. We paid around £12.00, which we thought was good. It took us around 5 hours to walk round the Zoo with a toddler so it's a good day out."
Blackpool zoo,"Me and my partner visited here while on holiday to blackpool. It was quite hard to see the big cats. The elephants were great to see. You have to pay for car parking even if you are a paying guest, there is no card option so make sure you take £3. Took us about 3 hours to walk around."
Nice zoo,We went on Sunday 27th September at around 12pm.  Our visit lasted around 3 hours.  The zoo was busy with a lot of young children running around and screaming.   I wish parents could use some control over them. Some were even howling at the wolves which was winding them up and making them obviously distressed so they started fighting each other.  There was no staff member in sight to ask the children’s parents to keep them quiet.   The animals In general were in decent sized enclosures but I do remain torn between knowing they are safe from predators and poachers but not having their natural life in the wild.   We ticked off most of the animals on the map supplied. Just never found the penguins!  It was a lovely sunny day so pleasant way to pass an afternoon.
Disappointed but fun nonetheless ,Told that due to ‘health and safety’ my almost 4 y/o couldn’t use his small scooter!!Notices and staff at venue as well as online informed us that closure was at 17:45 however we were asked to go to the exit at 16:30!!That being said the animals were great and service centre staff polite and we had a great time overall. Missed some of the animals due to closing early
Zootastic,Even though the weather was dreadful my visit certainly wasn’t- I spent a good hour and half walking round - all the animals were so well cared for - friendly helpful staff.  A really good place to visit even with the current restrictions.
excellent,"brilliant fun day out, kids really enjoyed seeing all the different animals, easy to find and parking wasn't that dear"
Excellent precautions taken.,Outstanding.  Zoo has done a brilliant job in making us safe. Well.laid out one way system.  Signs everywhere.  Lots of opportunities to clean and sanitize hands. Kids had a great day despite the monsoon weather.
Birthday ,The elephant and dinosaur experience was amazing. The quality of the food and the cleanliness of the restaurant was excellent. The staff have put a lot hard work in to make things safe.
Amazing day out!,"Visited here with my boyfriend and 10 year old son and we were very impressed and it was way better than we expected.The Covid safety practices were very well planned out with one way systems, hand sanitiser stations everywhere and you had to wear masks in the indoor areas.The enclosures are the biggest ones I have experienced for most of the animals and it is clear that the Animals are looked after to a high standard, this shows in how the animals behave in particular the otters and sea lions.There is also plenty of picnic areas and play areas for the kids.We will defiantly be back.Anna, Phil and Joseph."
"Good Zoo, Too much queuing","Visited here on a Friday afternoon. We went expecting there to be queues however it was quite a bit worse than we thought. Distancing seemed a little excessive and we waited for 15 minute stints all over the park. One being just to see the tiger asleep. Once you had queued and entered the houses you then felt pressure from behind to get in, have your look and then leave... Just not the same experience at all. Consistency wasn't quite there either with some enclosures not advertising distancing and queues at all.. whereas some were really strict. This is all when picnic areas were jam packed and children's play areas in full flow..Despite all of this it is still a very nice zoo with a good selection of animals! Recommended for all the family.. Just be prepared to wait!"
Brill,"Absolutely loved it, had great time, was nice weather and kids loved it very much. Staff was great as well"
Lovely amosphere ,Very impressed very well social distanced people with disabilities can get into the zoo Cheaper with support worker or carer with a cea card booking I would recommend and very good parking and very nice social distance in the cafe and the staff are very friendly and helpful would recommend to anyone who wants to visit in Blackpool and a great day out
Good zoo,"A great day with the family. Right from the start you could see it was busy but everyone was socially distancing and I felt safe. Loads of animals to see but I’m not sure why they need the dinosaur section. We had purchased meals vouchers online and the queue for the restaurant was busy, we had been told to use only one restaurant but a member of staff then informed us we could use any one."
Brilliant Zoo,"Came here for the first time with my boyfriend yesterday and we had a great day! There's so much to see, and the animals are well looked after and happy! The car park could accept cards just to make life a bit easier, but no complaints other than that. Majority of people had face masks on in indoor areas, and people were distancing themselves. Toilets were clean. The cafe wasn't overly expensive, £12 for 2 hotdogs, lots of chips and a drink is around what we expected to pay."
Great place,Went there the other day and it was lovely staff great and no problem with social distancing a realy good time for the kids as thay allso had there own section would totally recommend it.
Family day out with a toddler and 6 year old,"Had a really good day out. Felt safe with all the covid restrictions put in place. Masks had to be worn when seeing indoor enclosures, one way systems in some places. Restrictions on numbers to see some of the animals and some areas closed off. All staff were friendly. We all had lots of fun seeing the animal. Peacocks and geese are free to roam about the zoo. Beware of seasgulls trying to steal your food if sitting outdoors."
Good visit would recommend,"First visit to this Zoo and we enjoyed it. It’s a lot smaller than chester zoo, but there was plenty to see. I Mirror what others have said about the long lines for food, but it’s got to be expected with what’s happening now. Most people were wearing their masks and adhering to the distancing. Overall it was a good day out and I would recommend it."
great experience,Had a fab time overall.  Quite a large zoo - was quite surprised - and tired!  There's some great platforms to see the elephants and giraffes higher up.  You can take a map on entry - which is really helpful.One thing to note people weren't really social distancing and it was hit/miss when people wore their masks.  People didn't observe the 2m rule or small groups.  I didn't attempt to buy food as I'd assumed they wouldn't be open or there would be distancing issues / big queues.One big negative to note is the overflow car park is out of date - the machine only accepts coins and doesn't give change and also doesn't mention you can buy a parking ticket inside - this as a minimum should be noted on the machines - even though one of them wasn't working!
Day out with family . We loved looking at all the animals . We were there for a weekend break .,There were 6 of us . 4 adults and 2 children.  The track and trace system was really good and hand sanitizers everywhere . Plus everyone wore facd masks . Which made us feel safe .
Hungry for more?,"Came to the zoo this time with an open mind with all the new rules and regulations due to covid... In whole, they are trying with the indoor mask policy, limiting numbers in certain places, such as the giraffe viewing area and the gorilla/orangutan house... But I feel they need someone to enforce the 1 way system in wallaby walk, or close it off altogether like they have with the lemurs, as there were lots of people ignoring this when we were thereFood wise, it was a hot day when we went, and it's pretty stupid that every food outlets on site is CLOSED, except for the main cafe... We queued up for 35 minutes to order 2 pie & chips (originally going to grab a quick sandwich, but not worth £3.85 for a cheese sandwich)... Told it'd be 5 minutes and it'd be brought over to us... 15 minutes later, it finally turned up.Obviously the zoo's main attractions are the animals, and they all looked well cared for, elephants were happy playing with their toys, and we got to the wolves just in time for feedingOverall, the zoo is doing well, I just hope next time we go, they decide to get their act together with the food outlets"
Was ok but busy,"Was very cramped, no1 adhering to 2m distancing rule, the pigs looked like they were ready to drop dead, the food in the cafe was ok, blackpool quality standard food if you know what i mean. Overall id say avoid and go the park and feed the ducks and save your money. Or if everton are on, watch them."
Superb zoo! Great day out,"We had a wondeful time at the zoo with our family,so many wonderful animals to see and a joy to see that they look very happy and well looked after.The elephants looked absolutely majestic as did all the other stunning animals.Great little dinosaur area my child loved to .Best zoo I've been to without a doubt. TIP= bring in your own juice and sweets (sandwiches) save a lot of money"
Sunday jaunt,I have visited years ago and loved it so still scored 4. Although I expected queues with  covid measures even trying to get an ice cream was painfully slow not enough staff on duty and would have known numbers arriving as had to book in advance.
Zoo visit,Loved seeing all the animals obviously no feeding times because of the circumstances but enjoyable non the less. Staff were friendly and helpful
Great place to visit ,Great place to visit in this very strange times. Great social distancing in place.  Lots to see and  do. Well worth a visit.
A cool day out.,"I attended Blackpool Zoo with my friend and don't regret it at all. There's a great array of animals to see, which include, among my favourites, Howler Monkeys, Wolves, Giraffes, Monk Seals and many more but, strangely, my favourite part was the Jurassic Trail, a fascinating walk amongst fibreglass model and animatronic dinosaurs. A great day out for friends and families."
First time at Blackpoo Zoo,"Was our first time at Blackpool Zoo.  Was very plesently surprised at the variety there.  Well spaced out and lots of information displayed on the particular animal.  Only critism is the lack of talks and displays.  It's well beyond lockdown now and if people can be in the stands overlooking the pool then you can restart talks, feeding times, displays etc....  Definitely recommend and will return again rather than going to Chester Zoo."
Great zoo,"Brilliant medium sized zoo. Massive range of animals from elephants, Lions and giraffes to meerkats and anteaters. All seemed to have plenty of space and were looked after.Covid restrictions were in place with some of the indoor/play areas closed but still plenty to see. We stayed 3.5 hours but with kids and everything open you could easily spend 5-6 hours. Plenty of benches and tables for picnics.Bit disappointed to be charged £3 to park when we had spent around £40 for our tickets, but this is Blackpool where they like to screw as much money out of you as possible."
Fab day at Blackpool zoo,A wonderful day out in pleasant surroundings.  The animals seem happy and well housed and cared for. The staff were all helpful and friendly and we felt safe.  Social distancing is adhered to with a one way system round the park.
A bit sad,"Definition of a zoo. Paid £20 each when half of it was shut and there were no shows due to covid. No proper monitoring of masks indoors. Animals all look pretty sad and cramped. Queues everywhere to everything. A lot of places do set times you can arrive from, this was a free for all and heaving with people and seagulls hovering around your lunch. OK but probs won’t go back."
Great Day Out!,"Visited the Zoo as a birthday treat. We have been before but came especially to see the Red Panda. The day we had in the zoo was great. The staff have tried their best with the COVID-19 procedures. Unfortunately sometimes the guests forgot and got a bit close so we moved on. Loved seeing the Red Panda and saw the Elephants for the first time also. Sorry no pic of the Red Panda, they are on the camera 😊"
A great family day out,"There aren't many places which can keep my 15 year old son and 6 year old daughter entertained at the same time but Blackpool Zoo fits the bill. It's a perfect way to fill a day. It isn't so huge that you feel you've missed half of it, but it's big enough that it feels like a good day out. There is a good range of animals to see from the big cats to the funny penguins, funny monkeys and even an owl to spot. The dinoasur trail is good fun too.The children's play area is great for when little ones need a break from just looking at things. It did get very busy though. There were a few more queues with the current Covid situation. Don't leave it until you are really hungry to get a snack or meal as it takes a while to wait at the cafe.We were blessed with good weather and enjoyed our day very much."
Fab zoo!,"This is the second time I’ve visited this zoo, me and my partner loved it!I was very happy this year as I got to see the wolves as they didn’t make an appearance last time I visited and they are my fave animals.Weather was nice so that was a nice addition to the day, the elephants still fascinate me.We will probably be back again someday"
Great zoo ,Great day out.  Enjoyed the animals.   Too many people hanging around the cafe area.    Dinosaur area is great fun.
Best day out!,We've never been to blackpool zoo but we will definatley be returning! The whole set up was fantastic especially under the current circumstances. The zoo itself is fab and you get to see all the animals up close which is great! Theee is a dinosaur safari near the elephants which is really good and very life like! The onsite park is great for little ones. It wasnt overly busy when we went but we felt very safe and there were staff all over to clean things when needed. Will definatley be recomending and visiting again very soon!
great day out,"had a really good day here apart from the rain. Only complaint was food arrangements, despite a sign saying you could get food by the childrens farm it was closed. I qued for ages in the main cafe which was annoying as I was behind loads of people who were waiting for hot food and all I had was 2 pkts of sandwhiches. Eventually I managed to speak to a man who was clearing the tables and he was very helpfull he took me out of the line and took me to the ice cream counter and opened up a till and served me there, why cant the sandwhices be located there> Thank you to that man he was fab"
Lovely Zoo,The animals looked well cared for and the zoo itself was very clean and tidy. Plenty of hand sanitiser available and operates a very efficient social distancing system
Good day out,"Booked in advance. All parts of zoo seemed to be open. Well worth a day out. Followed all covid protocols, staff friendly, sanatiser stations at all attractions. Some queuing required but not unacceptable"
Overpriced and rude.,"Overpriced with no deductions considering most places restricted or even closed. One staff member wrestled something out of my sisters hand and verbally abused her, all in all a very average day out."
Great day,"Excellent place and well run by all the staff, the weather was amazing which made it even better., nice open spaces and good facilities, we took sandwiches but ended up sharing with the birds !!really enjoyable day with the grandkids"
Excellent day out,"We had a wonderful day, COVID precautions are in place they did not affect our visit and made us feel safer. Animals all seemed happy, loved the elephant and giraffe enclosures. See you again soon."
amazing,"what can i say this zoo we had a great time but you need a whole day for this to look at every animal its absolutely  amazing better than your west midlands safari park ,Dudley zoo and even Chester zoo this is one place i can  definitely recommend with out a doubt the animals are amazing they are very well looked after nice and clean and plenty of room for them. we were even there in feeding times the staff were very helpful with questions we had about the animals, Accessibility round the zoo is also very good.we had a meal which was part of the ticket well worth the money we only paid about £2.93  as it was 50% off  eat out to help out food nice staff Friendly  all provisions was in place for Covid 19 and social distancing, will go back again to Blackpool even if it is just to visit the zoo thank you for an amazing day out this is one memory we wont forget."
great zoo,"went here with the family for the first time, and i was surprised at how good it was, nice size zoo, food was ok. lots of monkeys which was great"
Enjoyable day out,"clean safe environment. Brilliant day the zoo is very good was nice to visit and would recommend.  social distancing was about 80% but never caused a problem and majority of people were wearing masks indoors, outside was your own personal choice.  The staff were great and were constantly checking how many people were inside and if there were too many would ask you to wait.  The zoo was a great day out.  Can't comment on the food places as we didn't use them, they did look busy though not sure on waiting times. All in all a good day out and very enjoyable."
Christmas 2019,"We visited Blackpool zoo to basically see Santa! It was raining which made it all the more fun we travelled from Hull across to Blackpool for the day! The zoo was empty just how we like it probably because it was December and raining, no problems at all apart from seeing Santa himself, It wasn’t the best and we couldn’t all fit in the little shack he was sat in, the reindeer’s wasn’t there, maybe they flew back to the North Pole but we couldn’t see them! It could of been so much better my 6 year old son came out saying that’s not the real Santa! The zoo though was amazing we love Blackpool zoo and visit regularly!"
Love this zoo,"Lovely little zoo, been 3 times now. Great place, friendly staff and reasonable price food in cafe.Lovely day out."
