title,text
BLUE IS GREAT PLACE,Went there with friends and it was awesome the water is so cold and nice. i had alot of fun and i would really go there again for sure.
Nico ,My boyfriend and I went to the blue hole and the water was so blue and beautiful. Our tour guide was Nico. He was really cool and made us feel safe. We got a lot of nice pictures and videos of us jumping in each lagoon as well. The waterfall was a little scary at first but definitely a dope experience. Thank god we know how to swim haha
So much fun!,"Visited sept 2020, only maybe 6 other people here during our visit. Such a beautiful place and so much more to it than the main first pool you arrive to! A guide takes you up through all the other pools/waterfalls and there are loads of jumps to do, big and small! I managed to jump off a jump higher than I expected to, had an amazing fun time! The guide was great, helped us take loads of photos with our go pro. Probably my favourite excursion we did in jamaica! Highly recommend!"
Must Do,Awesome place to visit. lots of locals cool inexpensive thing to do. can be a little physical. Kids loved it.
Awesome Water Attraction,Awesome Experience. Glad I got to experience it after the government lifted the Covid ban. Water is truly blue. Cool and fresh. Would recommend this awesome water attraction!
So fun,"So much fun, water was beautiful and warm. Water shoes a must. Swing from ropes, or jump off the tall falls. If you’re brave enough"
Girls Trip,"Everything was pretty dead after covid so not alot of excursions where up and running from the hotel. We got lucky and met Mr. Devroy, he is a licensed independent driver w.a clean car and excellent knowledge of the area, he seriously made this trip amazing. He knew all the hot spots and drove us anywhere we wanted to go. With very competitive rates I will never do hotel shuttle tour again, having your own driver gives you freedom to come and go at whatever time you wish. Contact Mr. Devroy aka Mr. Seemore Payless when in Jamaica 876-432-1785 tell him San Diego sent you :)!!!!"
Blue Hole is a Must See,The Blue Hole experience is a must for anyone who travels to Ocho Rios. Our guide was excellent and very accommodating for those of us in the group who are not swimmers. So beautiful!
Beware at the Blue Hole,Unfortunately the grounds haven’t been maintained. You will find trash every where you look. Safety isn’t a priority. The guide grabbed my 8 year old and walked him up a waterfall. It was like the wild Wild West!
Beautiful,The water was so beautiful. The hike was very fun. The tour guides were awesome. We enjoyed the waterfalls.
Magical!,"This place is truly indescribable. It’s what I imagine heaven to look like! We went early in the morning so pretty much had the place to ourselves for at least an hour. Our guides were amazing encouraged us to take advantage of all we came to Jamaica to do. They were extremely helpful and kind. Be prepared for some serious swimming if you plan to jump off the rocks. Water shoes are a must, as well as maybe some bug spray because I got bit up pretty bad. The hike was also very serene as we reached a beautiful waterfall with natural clay inside. My experience was life changing!"
Visit them!! U won't be disappointed!!,I'm a water lover and this was by far one of my best experiences ever! It is now one of my favourite river/water fall. Our tour guide Mickey was very professional and ensured we got the full experience. It is also very affordable for locals! Dunns River has nothing on Blue Hole trust me! This needs to be the most highlighted spot in St. Ann!
