title,text
Nice but over priced ,I like the view for sure but it’s very expensive specially for people who live in Turkey tkt per person 105 TL and it was half way only as the rest closed due to COVID-19 I have no clue why
Bursa Teleferik,"It is absolutely worth going up the mountain.The ride is rather long and providing a great view around. The middle station was not operating when we have been there and also the upper gondola was not working, we were informed about it. The price seemed for me also rather high so make sure to get a good information about the prices in advance and don't hesitate to discuss if necessary.Up there you can go for good walks and also Picknick or BBQ. There are many places you can rest at or go to restaurants with fair prices and you can grill there as well."
Bursa tour,"Take a tour to bursa . Don't Missout on the the cable car ride up the mountain. And then again there's another ride to the very top( or by a snowmobile). During winter the view from the top is very breathtaking . U'll find a lot of travel agencies that offer a full day journey with interesting activities on the way (Riding a quad bike ,  visiting the turkish delight factory , jam factory , the 600+ year old tree and more )."
In Bursa - Just do it !,This is Mount Uludag. The way up there is from Tefferruc using a Teleferik. They have family sized Cable cars which can take you to the peak which stands at about 2000 metres high. Sometimes there is snow up there while is nice and sunny in the city below. Its a nice cool place for the summer.
You have to visit when you visit bursa ,"In the center of bursa telefrik station You have to visit when you visit bursa Need more development in uludag mountainRestaurants , cafes , entertainment places  Improve the road"
Let it snow,Bursa is a interesting place to go out and have fun.cable cars are great way to experience the view from top and take nice pix.we were so glad to see snow and take amazing photos while snowing.it was unforgettable visit to bursa.we sincerely thank our friends Ergan and Ayhan for taking us out.
Very long journey,Leaflet says that the ride is 22 minutes but it was more. You have first station (you just pass through it) and then Sarıalan station which you should get off and you can see the surroundings (1635m). After you have Kurbaga Kaya (1810.) Where you can reach the hotels and also take a minibus or taxi to go to your hotel or go to the chair lift stations to go to the higher skiing locations.
Amazing view,We really enjoyed the view in cable car during ride to Uludag. We feel save and not worry during the trip.
Must visit and try the skiing ,Have been there to top mounting with teleferik in Sat. Arrival was at 9 so there were no ques. However in the evening around 5 pm the que was very very. Big and had to que twice for both teleferik stoppers. Avoid weekend or if no options than plan to leave as early S possible.
Awesome experience,"Amazing views, super high telefrik. On a sunny day the snow is just beautiful. Highly recommended but not for those who fear heights"
Excellent experience ,"Absolutely stunning views, definitely would recommend to visit if you are in Bursa. I went on Sunday so the place was absolutely packed so i purchased fast track which was 350 TL . I went on my own but I think this can be split by up to 6 or 8 people. This gives you an opportunity to avoid all queues. I would definitely visit again and stay for a night to enjoy all winter sports. The trip is around 20 mins to the first mountain and then another 5-7 mins to the top. Kids will definitely enjoy it. Plenty of cafes and food shops there."
Amazing view,View is amazing. The ride is smooth.  Gives you a very good perspective of the city and mountains. Prices are different for tourists and Turkish citizen.
Long ride,"The cable car is quite long, with 1400m elevation change. Went only to the second station (from three available) as the last one is for skiing and I was not equipped for that. The ride was very stable, and the view is great, although anti-haze technology could be added to the window so we can see clearly from the cubicle."
A wonderful day in the snow,We spent a fulfilled snow day at Uludag. The cable car was efficient and well maintained. There is a change station half way. You can purchase any warm attire if needed. There are a few eating places at the top.  The kids skied.
Great fun & also to start exploring the historical legacy of Turk culture,Bursa overall is a great place to explore more cultural side of Turkey. Quite traditional and you'll see most local people around. Besides Teleferik there are plenty of places to visit.
