title,text
Great and informative,Well worth the admission price . Great displays with information in abundance. Fish all looked healthy and happy ( even the snakes did ) Very impressed with walk through tunnel under the Barrier Reef tank and the informative session I heard about sharks
Wonderful! Loved it!,"We bought a package of entry to the Aquarium and lunch. While the Aquarium was very good, lunch blew us away. We love the lower and up levels. You could see all the animals are very well cared for. Their tanks and enclosures were exceptionally clean. The staff were fabulous. Now for lunch. My husband had crocodile springrolls and I had Chilli Calamari both were served with chips and salad and delicious, included in the package was a drink and we had a glass of wine each. Great day out."
Just awesome,"We have been to many aquariums in the world and this one was truly excellent. With lots and lots of informative displays of all the water ecosystems of the region, we easily spent 2 hours here. We particularly enjoyed the freshwater tanks and displays and learnt a lot about the importance of these systems to the rainforest. The coral sea displays were fabulous and the massive tank with all the reef fish was mesmerising. We enjoyed ‘meeting’ Kanye West the psycho clown trigger and the unicorn fish with the bent point!"
Cairns Aquarium Day,"lovely day out with the family,  would highly recommend this attraction- plenty of space to move and enough to room to see all attractions"
Nice but costly,Nice place to visit but a little expensive for family’s. Have been to a few aquariums with kids and it is good but can be hard at the moment with the covid situation as there is no social distancing and you feel rushed. With the current COVID situation I believe they try their best to instruct everyone about social distancing but this is it. Other than a couple of announcements on the speakers it’s not really controlled.
Definitively worth a visit!,A very well cared-for aquarium with excellent displays. Put it on your list of things to do in Cairns.
Check prices before entering,"Nice to look at but definitely not worth the money you get a better experience at other places in Queensland with sea creatures at half price, cost $44.00 EA for an hour at most to get around."
Blown away with how fantastic this place is!,"I cannot stress enough how absolutely brilliant the Aquarium is in every way. Not only do they have a wide variety of aquatic wildlife and education programs open to the public, but the sheer amount of tours this place offers. I’ve been through the aquarium many times and always fell in love with the dedication Andrew, Daniel and the team have to creating a truly magical place, helping the environment and bringing people together in the best way. Today I went diving with the sharks and the beautiful honeycomb stingrays! It was a dream to be laying next to a real shark just centimeters away and watching the huge stingrays glide above us. Thank you to my incredible dive instructor Sean for guiding me! Highly recommend!"
Great place on a cold windy day,Great place.  Lots of great stuff to see.  We were there on a day when the weather was bad.  We needed a place to hide from the wind and side ways rain! It was fun and interesting and a great way to spend a day when it was blowing in excess of 30 knots outside.  Worth the trip.
Long wait,Arrived at open time at 10am and waited 45 min in the heat with 2 young kids to get in. Perhaps open earlier especially in school holidays...? Staff member couldn't tell us how long the wait would roughly be in the queue
Spectacular.A Must to do.,"Wow!This is absolutely the very best for all ages to go to.You will be totally mesmerized by what you see as you walk around.There is a lot to learn at all of the displays.The size & colours are fantastic.Make sure you allow a good couple of hours at least or more to do it.Amazing ""Coral"" varieties,species of;"" Fish,Sharks,Eels,Starfish, Seahorses,Snakes,Pythons,small Crocodiles,Venemous creatures,a touch pool & much more.Take the time to come here as it's brilliant.The prices are good also."
Must-see Cairns attraction,"Had a great morning exploring the Cairns Aquarium, headlined by getting to watch three divers feed the sharks and rays in the large aquarium tank. It’s not the biggest aquariums but one of the best for the range of exhibits and fish life. It was very clean, modern and well kept. We went on a busy morning, with lots of families and a school group, but it never felt too hectic. Would recommend to families and those interested in the underwater world. The photo is just the top of the aquarium’s 10m deep tank!"
Quite good,Have seen many aquariums in Australia. This was an interesting visit although Ihave probably seen better!  Nevertheless a pleasant outing but the blue light is very annoying as far as photos are concerned!!!
Good to view many types of fish,"Good views of many types of fish and interesting educational talks. Make sure you go to the talks as they help with knowledge. Lots of other creatures such as turtles, frogs, and snakes also to look at. Good family day out."
Queue issues ,Aquarium opened at 10 People were queued out around the corner with a 30-45 minute wait 1-It rained - no cover especially for those with small children2- Still using paper based covid collection which further slowed queue3- those with prepaid tickets should have been able to go through and use a scan covid app4- minimal staff serving
Perfect morning out,"Not overly large, but not tiny either. So easy to do this aquarium in a morning. Staff are friendly and helpful, and their shows are informative and interactive."
Awesome,"What a well laid out and expansive aquarium. The reptiles and other creatures are so well looked after and thrive in that environment, Photography turned out just beautiful. Take your time and wonder through."
