title,text
Great Day A Lot To See,We enjoyed our morning here. If you're into gardens you will enjoy it. We couldn't find the Saltwater Lake but the rest was very good.
Beautiful,"We spent over 2 hours waking the sounds and still didn't see it all (after the school holidays,  so very peaceful,  and very few people). The Watkins Munro Martin Conservatory was a great highlight.  Photos taken on Samson mobile (I'm no photographer)."
Stunning,My partner is a horticulturist and he was like a kid in a candy store as there are so many tropical plants that we simply can’t grow at home. A stunningly beautiful gardens!
Great little playground and walking trails.,"Lots of shady spots to sit. Kids enjoyed the playground- dinosaurs to dig for, water play, climbing cranes and slippery dips ( can get a bit hot in the sun)"
Disappointing,"Unfortunately didn't get to see all of the gardens as the staff told us to leave as we had our dog with us. Travelers with dogs might be best to avoid Cairns as it is not very dog friendly. Dogs are also not allowed on the Esplanade, near the lagoon or any part of the CBD of Cairns. We are grey nomads living permanently on the road so leaving our dog at home is not an option. Also most of the swimming spots and waterfalls are in national parks so obviously can't go there with your dog."
Highly Recommend,"This is a “must visit” place in Cairns. The gardens are well kept and have a huge variety of beautiful, interesting and extraordinary plants. Give yourself a couple of hours at least. There is a cafe for a bite to eat."
Great place for a walk,"Great place to take a walk and see the various types of vegetation.  Trees, flowers, vines, birds, and fish.  Shady boardwalks.  Hot sunny ponds.  Places to sit and catch your breath.  A good place to walk off the stiff legs from a long flight!"
Green Visual Paradise.,"We visited twice and still didn't touch the sides of these BeautifulBotanical Gardens, there is so much to see and do, and the cafe is a welcome break before you indulge into the greenery again, the multitude of different species is astounding, The best idea is to bring a Picnic lunch to enjoy on the many seats and Lawns in this park.Congratulations  for a wonderful job to  All the Staff of the gardens that make this possible they do such a Demanding Passionate  job  of making us extremely happy after you visit this place of Beauty."
Well worth a visit,"The grounds are absolutely beautiful and really well maintained, the huge variety of plants with their names at the base makes it a great place to visit. There were a few butterflies around which made it even more interesting. It's great to see seats around the grounds so people can sit if need to or sit and reflect. Definitely would visit here again."
Wonderful heritage gardens,"Absolutely loved these gardens, we were staying close by in Edge Hill and could easily walk there so we went every afternoon and did different areas. Loved all of it, but if you only go there once then do the rainforest boardwalk, you feel like you are far away from any city..."
Beautiful,Beautiful and well maintained. Great walking tracks and very accessible for all fitness types and abilities
So beautiful,"Very beautiful, love the centre area with the wide variety of plants and butterflies, just jaw dropping really!"
A must to do,"Amazing, Wonderful place. Only saw a small part on our tour, wished we had more days in Cairns to go back and spend a full day there.Beautiful plants and flowers."
Peaceful oasis in the city,"The Botanic Gardens has a variety of walks including rainforest boardwalk, lakes, ponds and creeks to wander around. Beautifully maintained with wonderful plants and wildlife. Great play areas for the kids and barbecue areas for families."
Situated in two different streets!,"Lovely peaceful walk within these grounds. Seating in shade can be found, and there is a Cafe within. An elevated walkway allows one to comfortably enjoy the tropical rainforest."
Beautiful walks,So many varieties of tropical plants. A joy to walk the trails. Accessible by bus from downtown. There is a cafe on site for coffee or light meals.
Absolutely stunning,"This has to go on your list of to do's in Cairns if you love gardens! The plants, landscaping and paths are a real delight, and cooling to walk through in the heat of the day. There are so many amazing and interesting tropical plants to see. Pets are not allowed, so leave them at day care. The ladies at both of the information centres are lovely and very helpful. The restaurant/cafe serves great tasty food."
Tropical paradise,"We went to Cairns Botanical gardens and had a lovely day . The perfect winter August day was just the right temperature for walking around the lush tropical plants . Parking is good and a very short walk to the first cafe for a very good coffee and fresh fruit juice . The bromilliad garden was my favourite but all the different tropical flowers and trees are great to see . I also loved the butterflies , will come back again for sure."
Cairns' unsung hero for tourism,"To do it justice, you could spend up to two days wandering the tropical experience that is Cairns Botanic Gardens. Central to the city (you can get there on the local 131 bus). A credit to its fouders, the gardens are served by an active ""Friends"" group who provide guided tours. Our guide was Bill, who offered a wealth of information. Also, fulltime staff member Peter in the butterfly house-conservatory gave us a lot of interesting facts and backgrounds. Plenty of wonderful, shady areas and, admission is free. Great coffee shop/restaurant on-site and adjacent at the Tanks Performance Area."
Excellent free attraction,"This is an excellent free attraction and we were a little surprised that the Gardens do not feature more prominently on 'Things to Do in Cairns' listings. Fantastic collection of native and foreign tropical species, very well kept grounds, informative descriptions, themed areas, pleasant lawns, conservatory with butterflies and a handy cafe. Easy to combine with longer boardwalks through native forest and around lakes over the road. Plenty of parking just off the the main road turning, but not so much directly outside main entrance. Could maybe do with a few more posts housing the guided walk leaflets as these are very useful for numbered species descriptions."
What a beautiful place ,"We called in and checked out the Cairns botanic gardens rainforest boardwalkman then moved onto the flecker gardens and visitor centre precincts. The parks are well kept, restful and best of all no admission cost. Go there talk a walk and relax it is beautiful."
Great walks,We were staying at the Cairns colonial club which is within walking distance of these lovely gardens. You would need to visit on more than one occasion to see all of it but it is definitely worth the visit.The information centre is very helpful and the cafe next door has really lovely food and drinks.A very good day out that I would recommend and you can walk as much as you like or as little as you can.
“ Tell me and I forget; Teach me and I remember. Involve me and I learn”,"“ Tell me and I forget; Teach me and I remember. Involve me and I learn”Benjamim Franklin is quoted as saying this many years ago but it translates exactly to the tour at the Botanic Gardens tour that I participated in last Wednesday.I had a relaxed, yet enthusiastic morning guided by Barry, who made all the difference in our day, he shared his knowledge about plants and involved us. I learnt a lot about the history of Cairns.  Barry, who works as a volunteer, had charisma and conducted the tour with promptness. He also showed us the diversity and value of this wonderful place. Overall, I’d recommend going on this tour, especially if you are curious about botanical science like me. I’m sure you will have a great time too. Esmeralda Amim - Brazil 🇧🇷"
Terrific place to visit,"Allow at least an hour to visit these interesting gardens. Helpful staff, and a great place to take photos."
Great Experience,Barry was a really good and kind guide. He did not just show us plants and butterflies but also the history behind them which made me feel more interested in.Thanks barry and botanical gardens for allowing to have this great experience.
Beautifully maintained tropical gardens - Must see,"Beautifully maintained gardens in a compact area, but still offering a variety of tropical habitats.We'd spent several hundred dollars on a tour to the Daintree a couple of days earlier and to be honest we should have just come here for free. I'm sure the natural rainforests are beautiful if you can get off the beaten track, but let's face it most organised tours don't and can't, so what you're left with is the weed-infested roadside. Far better to come here.We'd bought beautiful fresh made rolls and a coffee two minutes down the road at Victor's Gourmet Delicatessen (can highly recommend) and ate them sitting on a bench, feeling the serenity...."
Jurassic Park with good coffee,"Everything about Cairns Botanic Gardens is bigger, more lush, greener, fernier with massive variety. Bit overwhelming for one morning visit - needs at least a week to begin to appreciate the magnificent plants. Brunch spot in the gardens is idyllic."
"Free to tourists, lovely place.",One of my favourite places to visit in Cairns (restaurant/cafe on site). What is better than free? Nothing! As an ex tour guide I always told my customers of this wonder(so close to the city hotels) I love it sooo much I know live (bought an apartment close by) 10 mins walking distance from the place. Cannot praise enough.
"Beauty, Beyond the i can see","Baz or Barry our quite uniquely styled tour guide this morning was an amazing journey into the beauty of nature beyond what you first see. Barry's amazing story telling and near perfect information on any plant had me fascinated from parent plants that kick there kids out of home by literally exploding there pods, pelting seedlings up to 20 meters in any direction and than using poisonous sap from there leaves to stop there seeds growing under there soil. To the earliest ever primitive Dicot flower.I highly recommend you visit and if you stop by the cafe, i highly recommend the caramel latte"
Amazing nature contact,"I am really grateful with Barry, because he make it great experience, and guide as around the place, sharing stories and very interesting information."
Beautiful tour with great guide! ,"Enjoyed a beautiful tour through the stunning botanic gardens today, gaining lots of interesting knowledge and information by our tour guide Barry! I especially loved all the stories he was telling us relating to interesting facts and the Watkins Munro Martin conservatory!"
Beautiful plants,"I highly recommend this place.There are various plants and I really enjoyed it.And also, I joined a tour and a tour guide has a lot of knowledge and he taught us story about plants.I had a very nice time."
Excellent guided tour!,"We did the walking tour this morning and it was excellent! Barry was our guide and he gave us a lot of information about all the plants we saw. He has showed a lot of knowledge and passion, specially about the microbiology and chemistry processes specific to each plant. It`s always really worth getting a local guide on your tours!"
Informative and overall awesome Tour!,"Was lucky enough to enjoy a quick tour around the gardens with Barry, and i can honestly say i had a fabulous time! So many interesting facts and stories were told which kept the tour exciting and overall the gardens are stunning."
Beautiful display of plants,Spent nearly all day wandering around checking out this wonderful area. It has an outstanding variety of plants from all over the world.
All things bright and beautiful,"A Sunday afternoon stroll through the beautiful botanical gardens will certainly relieve stress, anxiety and worry. The conservitorium with orchids and butterflies is extremely therapeutic and a photographers playground. Remember to support the lovely ladies at the Cafe...a bargain for sure @ $2.50 was a small coffee cup filled with 2 scoops of creamy vanilla icecream and yummy home-made caramel topping. There are plenty of bench seats and tables for a peaceful place to read, play a game of backgammon or enjoy the goodies in the picnic basket."
Not to be missed,This place is remarkable. The plants are so vivid and colourful. We were amazed. There were also some interesting birds. It was raining heavily so the butterflies were hiding. We found two.We were disappointed that signs said dogs no allowed. We left ours in the camper. We then saw other people with dogs walking around. Who knows?
Nice walk,Very nice to have a walk or a picnic There are also a few hikes that can be done red - blue - yellow arrow
Gardens visit,Visited this as part of tour very well cared for by volunteers we'll set out easy to get to  the tour guide gave us a talk on the gardens history @ about the various tropical plants very worth while  visiting this attraction   allow about 1hr to see without hurrying   you will enjoy
Great garden & Tank Arts Centre,"The botanic gardens are all they should be, and a wonder to those not from tropical climes - both in terms of specimens, and walking tracks & boardwalk. The bonus is the Talk Arts Centre which doesn't  advertise itself nearly enough, a brilliant reclamation of embarrassing old wartime structures, and when we visited was showing a wondrous exhibition of contemporary indigenous artworks - and obviously does exciting performances too."
Always an adventure and so many beautiful plants to see!,One of the best Botanic Gardens in the world.  What a beautiful hidden treasure!  so many individual areas make up the greater gardens and each have their unique collection of plants.
Relaxing,So many different plants to see. Beautiful varieties. No butterflies in the enclosure which was disappointing.
Cairns Beautiful Botanical Gardens,Beautiful subtropical gardens with lots of lovely orchids and ferns. Definitely worth a visit especially if you have a few days in Cairns.
One of my favourite places in Cairns,We visit the gardens every time we are here. The celebration of tropical plants is a celebration. The gardens are well kept. The orchid house continues to delight. We love these gardens so much we got married there a few years ago. Definitely a favourite of ours.
lovely free day out,"Walked out to the gardens (about an hour from town at a relaxed pace) and then caught the bus home. Wondering around the gardens was very pleasant. lots of information supplied around the walkways. the information centre was closed but the cafe was open. they are however facing restricted space problems so  if you are unable to get a seat there, there is another cafe in the gardens themselves (something the first cafe neglected to tell us at the time which I found more than a little annoying). Really enjoyed our day."
Thoroughly enjoyed the Flecker Botanic Gardens,"A lovely day out. We explored several of the garden areas, but particularly enjoyed the butterfly house where your patience is rewarded by close flying butterflies - a magical experience. The walkways around the gardens vary - some are rougher than others, with steps etc, but there are also large well paved areas easy for everybody. Cafes and souvenir shops available with lovely art and treats to keep you going."
Beautiful little spot,"Beautiful place with heaps of areas to set up a picnic, read or excercise, a really fun kids playground, good trails for amateurs or experienced hikers. A fresh water lake, saltwater lake and a lot of interesting plants and animals to see. I personally recommend seeing the butterfly’s."
Amazing variety,"Easy to get to with regular bus's, need more than one trip to take it all in. The butterfly's are an experience and the whole place is very well set out and maintained. Much better than expected and well worth the visit. Not just for gardening types."
"Compact botanical garden with beautiful paths, plants, and flowers","Walkable visit allows an opportunity to appreciate the tropical vegetation, flowers, and an immersion in nature, all in a tranquil setting."
nice walk,a peaceful garden to wander through lots of beautiful orchids and interesting plants only found in the tropics
Bus tour,"This was a bus trip with Cairns Discovery Tours and the gardens are absolutely fabulous very beautiful and the amazing trees are  enormous, the orchids many of various species and colourful. This was such a bonus for photography."
Photographers delight ,We spent a couple of hours walking around the gardens. Excellent walks meandering through the plants. Photographers delight! Restaurant seemed busy. Small gift shop with well priced souvenirs.
lovely gardens,"A must see on your visit to Cairns, beautiful gardens and a lovely walk.Always a little cooler in the gardens all tres and plants have signs for identification."
A long way out of town,This is well worth visiting if you like flowers and plants but make sure that you spray yourself with insect repellant if biters like you. The garden itself is well worth the trip but it is not within walking distance and you will need to take a taxi or the hourly bus that starts from the stop in between the Station and the Shopping Centre. You can spend several hours walking around and it is free so you can afford to say fares. Plenty of choice of food and drink is available.
Walk in gardens,"One of our favourite places to visit. Beautifully presented tropical gardens with so many varieties of trees, flowers and plants. The boardwalk is so lovely with different type of vegetation. The salt water and fresh lakes beautiful. A must see is the dome full of ferns, orchids,butterflies and rare plants."
Staff need to learn manners.,Arrived 10 minutes before the gardens were to close. I wanted to grab a couple of photos quickly from inside the gate to show a family member. Staff were super keen to lock the gates. I mentioned they were ten minutes early. Couldn’t care less. Very disappointing.
Large selection of native plants,Had a great walk around the beautiful gardens. The selection of native plants are amazing. There is a fantastic orchid house were you can sit and listen to the water will looking and the colors of the different varieties. If you are here at the right time of the year there is a huge Jade vine that will amaze you. After the walk we had a big breakfast at the cafe surrounded by trees. One meal does both of us.
Whow This place is spectacular and so worthwhile,"This place is just whow - you need heaps of time to do it justice, days in fact could be spent here.  Went to the Tanks with the art etc inside, amazing use of space.  The plants in the garden were fabulous & a photographer could spend forever here.  There was also a small info centre in the gardens which was informative & well presented.  Saw a lovely looking cafe there too but we did not have time to try it out, definitely need to go back.  There is also FREE tours that happen here with volunteers which are a great asset so for anyone staying in the area or those living there this is a very special place"
Beautiful tropical botanic garden visit,"Lots of interesting plant displays - well set out and labelled. Great to wander, especially as there’s a lot of shade to enjoy along the paths"
Great little gardens,Disappointing experience at welcome desk. However loved repurposed tanks and history of gardens. Took bus from Cairns and short walk from stop.
Really pleasant walk,This was a great walk to do by myself and so accessible without a car.  I especially enjoyed the rainforest boardwalk.
Beautiful scenery ,I recently moved to Cairns and live right next door to the Botanical Gardens. I always look forward to this walk and observing all the beautiful trees and landscapes it has to offer.
Better in cooler weather,What we saw was very nice. But it was 105 F /40 C so walking too much wasn’t enjoyable. Wish we could have seen more. Certainly many places to see in the large area it covers
Excellent but take insect repellent,Loved taking a casual stroll around the gardens. There are a lot of exotic plants as well as some beautiful native plants & trees. It has a butterfly & orchid area also a cafe. Just a little tip though because it is quite tropical there were a few insects and mosquitos so insect repellent is a must.
Cairns City and Surrounds Tour,"Our guide Eric explained a lot about the history of the gardens and the features of various plants. They plants were tropical delights, such as orchids, picture plants, timber trees and giant ferns. It was not too hot and plenty of shade. Easy walking for me as I am not young! Seats on the way. Grounds being well cared for by gardeners. I would like to come again."
Day out,We visited here for the day and walked there from Cairns harbour. It was a very nice day out and would definitely return. I took some lovely pictures. We stopped at their cafe for a coffee. We saw some food coming out that looked really good. The rainforest boardwalk was good to walk out back to the main road. Nice day out.
Good walk with Grandkids,When we have visitors we take them to the Botanical Gardens and check to see what’s new  thats been added to the gardens.There is an enclosed area with birds and butterflies and collection of plants. From the gardens there are 3 kinds of walking tracks to the top of the hill good exercise for all.
Stunning,"Just wow! this rain forest is utterly stunning and so pristine, its a joy to walk through and learn from the helpful cards about the native trees and animals"
Flowers,That place are so clean and the flowers are so beautiful and different unknow what the name are they wow love to walking round
Stopped here on way back from a flight over the great barrier reef,"Fortunately, the company that took us flying proposed to drop us here.  We were not disappointed.  The outdoor ""gardens"" are spectacular.  It's actually more like walking through a tropical rainforest.  Birds, butterflies and a spectacular collection of trees and ornamental plants all in a natural setting, there are well marked paths to wander through at one's own pace.    In addition, the Tank Galleries are just next door.  Easy bus ride from the main road, back into town.  Highly recommend."
Beautiful spot in the city!,We visited the gardens on two occasions.  What a beautiful place with so many places and trails to walk. It’s like a small tropical city within the city of Cairns. Would highly recommend a visit to stroll around and experience various plants and wildlife or if you are looking for some exercise.
"Wonderfully Garden, you feel being relaxed",Nice preety clean and wonderful garden where butterflies 🦋 land in your hand if you are genuinely gentle
Lovely!,"Great free thing to do with the family. We spotted two varieties of frogs (watch out for the grassed areas near the lakes as there are hundreds of miniature frogs there and they are easy to squash if you're not careful), heaps of interesting caterpillars, insects and birds. The tropical plants are amazing and it's all well presented. Centenary Lakes play area is on one side of it and this is great for kids. Bring the Aerogard, but other than that this is a great place to visit."
Tropical Gardens and Great Walking Tracks Nearby,Everything is lush and green - great gardens with secluded coffee shop. The adjacent Red Arrow Walking Track is a must do in Cairns with views over the Cairns Airport from the Whitfield Range.
"Smaller than thought, but shady with cafe, easy to reach by bus from central cairns","Easy to get toFlat and shadyEasy for people with walking issuesFreeLovely faunaCafe serves snacks, drinks and meals"
Back to nature,We had a pleasant couple of hours walk looking at all the Tropical and Australian Native plants. So much to see. Then on to the Cafe for a coffee. Worth a trip.
Beautiful in the wet with umbrellas ,One of our hilights during our Cairns stay.Was very lush on a rainy day and all the family enjoyed it. Take an umbrella each.
Another World,"These gardens are fantastic,you can spend hours there and also have a feed.The butterfly and orchid house are fantastic. These gardens are a great place to visit on a hot day.make sure you look up."
Beauty all Around,An afternoon spent wandering around the Tanks Market and then the Cairns Botanical Gardens. It was so relaxing but also breathtaking with the stunning floral displays all around the gardens.
Excellent gardens,"If you’re staying in Cairns and are interested in the tropical vegetation, then definitely visit the Botanic Gardens. I only had time to do a quick walk through the rainforest boardwalk and Flecker Garden, but was impressed by both. If you have a couple of hours spare it’s a lovely natural area to walk around and get a feel for the tropical environment."
Beautiful ,"Beautiful gardens just outside of the main area of Cairns.The gardens are set up with lot of different areas including wetlands, rainforest and European and Chinese gardens.Walkways throughout provide easy access and it’s a beautiful place to visit for either a casual stroll or to get some exercise."
Beautiful and Lush! ,"So peaceful and lush!! Worth a visit for a nice stroll, lots of interesting looking plants and flowers. The butterflies are beautiful!"
Beautiful gardens in Cairns,Just beautiful to have a wonder through whether you are a visitor or local. Best when all in flower but still worth the visit seeing our tropical plant species etc.
A pleasant stroll in tropical nature,Exotic flora and fauna. A chance to see birds that you will not see in the city. Tropical rainforest without travelling far.
AUSTRALIA TOUR,"this was part of our city tour,it is a nice place to spend some time.we had a guide so was really helpful to get all information"
Beautiful gardens and free!,"The Cairns Botanic Gardens are very well maintained, with an interesting array of vegetation and birds.  The gardens are fairly compact, so a visit might take an hour or two.  The enclosed green house includes tropical and unusual plants and butterflies.  There is a coffee shop too.  And it's free to visit, with local bus stop out the front.  Nearby is the Red Arrow Walk and Centenary Lakes - both also worth a visit (and again free!)."
Just beautiful!,"It was a delight to visit this Botanical garden, I think the best of Australia! I spent a whole morning between a vast variety of trees, plants and flowers of the tropical rainforrest. Afterwards, I had lunch in the cafe."
A very nice stroll through the gardens!,"They have quite a wide range of plants and trees from similar climates all over the world. Annabelle was our guide for the 10:00 am to, which was very worthwhile and informative. A beautiful place!"
Cool place under gorgeous shady trees,"Lots of interesting tropical plants, love the orchids most.  Great variety of trees both Australian and from overseas."
Best botanical gardens that we have ever visited.,"Absolutely beautifully layout and an incredible number trees, plants, and flowers. Even if you aren't a plant lover, you will be impressed. I could have spent the whole day wandering."
Fantastic ,"Always loves to visit botanic garden wherever I go. In cairns, there is no exception. It can absolutely make to the top in terms of variety of the spices. The place is extensive and well maintained."
amazing and free,the highlight of my trip. this is free and good for sightseeing and chilling out. I walked from the top to the bottom was dropped off and collected by uber drivers. its a must see.
Great activity for free with a Butterfly House,"A free activity with a beautiful gardens and a special surprise of a Butterfly House, free entry to both."
Well maintained Gardens,"This free attraction can be visited for a good three hours or more.We can see that a lot of effort has been taken to maintain this beautiful Garden.A must see attraction in Cairns.Plants from all over the world are being grown here.Wish I was a botanist to fully appreciate the gardens.There is a restaurant here, if feeling hungry after the walk."
Brilliant,"One of the best gardens we have ever visited. Free entry to these really extensive rain forest based gardens is great.The trees are huge mature specimens, it's like walking through a rain forest. You can spend many hours here. Highly recommended"
Native and exotic beauty! ,"This would have to be one of the most stunning botanical gardens I’ve had the pleasure of spending time in. The variety and colours of the flowers, the well laid out paths that guide you through the journey of tropical rainforest... just sensational. Make sure you have plenty of time and that your phone/camera have plenty of storage!"
