title,text
No swimming for us ☹️,"We couldn't have a swim as we had our dog with us and dogs aren't allowed at the lagoon. Travelers with dogs might be best to avoid Cairns as it is not very dog friendly. Dogs are also not allowed on the Esplanade, the botanic gardens or any part of the CBD of Cairns. We are grey nomads living permanently on the road so leaving our dog at home is not an option. Also most of the swimming spots and waterfalls are in national parks so obviously can't go there with your dog"
A gentle stroll along the boardwalk,Great fun watching the ironman event and walking along the boardwalk...ice creams and sunshine ...a great combination
Excellent,Better than Brisbane’s Southbank! Our kids loved the lagoon. Very pleasant to sit there in the afternoon and watch the passing parade.
Great place for family visit ,Great lagoon for families to take small children to entertain. Not as good as Southbank lagoon in Brisbane where families can swim and sunbath but a nice place for young families to cool off.
Relaxing,"Nice set up, lovely view. Life guards on duty. However the closest parking is very expensive, so work parking in a side street and walking"
Swimming spot,This is a great spot for a swim. We walked past after shopping and I wished I had my swimmers... I would have gone in but had to content myself with a paddle.
Enjoyable,"Such an enjoyable place to walk along and take in some nice veiws and enjoy swim in the lagoon, lots of friendly people and a great place to exercise!"
Reaort style pool in a public park,"Great idea of a clean safe pool on the edge of the bay, feel like you are in a resort open to all. Come and go as you please, plenty if space . Winter water temp is a bit chilly though.,Lie out on sand or under a palm tree. BBQ's and picnic tables caters for everyone."
Lovely & relaxing.,"A superb & safe oasis on the edge of the cities Esplanade. Take your time to also relax in the gardens, the shade under the beautiful fig trees & make use of the facilities, it's great👍"
Local,"Love the lagoon (as do most locals), conveniently located close to most hotels/motels/hostels, with clean toilets/showers/BBQ facilities (all free) what is not to love? One day our dictator state government may allow us to drink alcohol in a social manner whilst we enjoying what we pay for through our taxes and rates."
Chilled out! ,"Great place to visit and just chill out. Fantastic sun spot! Shaded space available, ideal for all ages."
Refreshing,"Crystal clear. Great on those hot days. Can have a picnic. There are Shops, restaurants and cafes near by."
Local sights,This is great place for family's there are picnic area's tables and chairs shaded area's swimming area's all along cairns city esplanade l think this is good area to walk @get a good idea of the harbour @park surrounding areas you could spend as much time as you like here there are also barbacue facilitys to cook food  not to be missed
Good spot for breakfast ,Good spot for breakfast clean and tidy has multiple walking areas an biking areas alsoHas spots to sit down and eat or just watch nature wheel chair friendly
Brilliant pool in Cairns Esplanade ,Extremely clean Nice pool Free to use Great for all ages Nice grass area and bbq area with tables and chairs
Great place to spend the afternoon,Took the kids here in July so it was only 25 degrees. The day we went there was a bit of a breeze so it was a bit cold out but in the water in the middle of winter it was still pretty bearable for adults. Kids can swim in ice water and still have fun so they are no judge.  It’s in a great place and it’s a good idea for councils to have free to the public. I did hear rumours that after dark the backpackers make it a bit of a make out spot but it was completely fine when we were there (it was also during covid so mostly Australians on holidays I’d say).
A must visit to relax both day and night.,"What a wonderful, free, offering by Cairns for locals and tourists. We loved the area and atmosphere. Our teens played frisbee on the grass, daughter waded in the pool and I sat relaxing and watching with a great coffee from the nearby cafe/coffee shop with lovely, friendly staff. Visit at night for some lovely sunset photo opportunities before dining along the wharf area."
Swim - Chill - Eat,Beautiful infinity pool overlooking the bay with all facilities including Bbq near by. A Must do in Cairns
Cairns,"Cairns Esplanade Lagoon, is the place to go with kids, couples, elderly. Beautiful manicured gardens and surrounds, so peaceful, with BBQ facilities for free, you can spend a hour or several here. Plenty of cafes, restaurants all within 5mins, along with having a cafe near toilets and lockers. Be aware, lagoon is closed to swimming until 12pm on Wednesdays."
