title,text
Canton Tower,Too many people on holidays. Good to visit in evening or night to view canton tower in ligts. You can have a visit by tram on river side by 2 rmb. On river side there are many other places on river side. Each stop of tram has a specific visiting spot.
Colour and contrast,"Walking towards the river, the tower is unmistakable.  It is colourful at night, cutting into the night sky in a beautiful display of light.  It seems busy at night and gets busier as you get closer.  The vantage points of the tower are really quite good and well-designed.  Pictures don't always do it justice."
Quene & Quene but worth the time ,"Went to the xiao man yap, Canton Tower today . Checks were strict due to covid. Masks, temperature taking are a must. Tickets are personalized with name and passport number printed on the tickets. There's 3 rounds of ticket checking before reaching the tower. Everything was smooth and fast although there was some jostling and shoving during the quene for the lift. However this is typical of daily situation in China so behave accordingly to maintain your place in the quene. To get the best value for your tickets, go up around 6pm, hang around until 630 pm and join the quene for bubble tram to be on the tram just in time for sunset (sunset is now 705pm daily in summer but check the timing to be sure before you buy the tickets). With this timing, you get to see daylight, sunset and night time with 1 ticket price! I would also suggest reserving tickets 1 day in advance to avoid disappointment."
Most beautiful when lit up at night,"Beautiful from below, and wonderful views from the rotating observation deck of this 604-meter-tall tower and icon symbol of Guangzhou. Nice location beside the Pearl River."
Vacation ,Canton towers buzzes at night. There are crowded areas in the centre. Close by is a shopping mall and the subway station can be accessed easily.. This place is breathtaking and has many tourists looking for a place to catch the perfect photograph.
The only sunset view is recommended ,"I went to canton tower just once even though I live in Guangzhou and always have guests to bring there. It's a very crowded place and to be straight a bit overpriced. But still ”must-see” attraction in GZ, no doubt. We celebrated my wife's birthday on the top floor restaurant and I'd not recommend eating there even if you're very hungry. The food was looking nice but absolutely tasteless and in the end disgusting. Instead of doing anything inside or around canton tower, I'll recommend having dinner in Canton place or in any well-rated restaurant in GZ. Also for a better view its good to check the weather because if it's a bit crowded and you hardly see the building 1 km away means it's not the best day to go up to the tower. As an any big attraction in China, it's better to catch it during the sunset. You'll see how the city getting darker and puts the lights on and totally changes from its boring grey fog to the multicolor silhouettes."
Great view of the city,"Great view of the city, and went up at night after a conference held in Guangzhou. Easy to see the local sites of interest as they are marked and would recommend for a good view of this busy city at night,"
Modern architecture,One of the best places to visit in GZ. Love the surroundings the place is very organize and green. The tower itself is very unique with its design and stylish. I didn't go up to the top just took photos on the ground. Maybe the view during daytime is not as beautiful as during night time because of the position of the sun the photos taken were too bright. If I have another chance I would really want to go during night time.
Nice View of the City,This place is super nice on a Bright sunny day or at night. The view is probably the best in the city!
Stunning Views,The Canton Tower offers stunning views of the city. If you go in the evening on a clear day you can really see the city in all its might and glory.
Tall Tower with Great View of Guangzhou City,"The Guangzhou Canton Tower was at one time the tallest tower in the world - from August 2009 to March 2011.   This tower is unique in its ""twist"" shape design which is very distinctive and nice to look at.  The Tower interior is quite spacious, clean and modern - it is a very inviting place to visit.The view from the observation decks of Guangzhou city is nice - even though the view was somewhat ""foggy"" on the day that we had visited. Upon leaving the Canton Tower, everyone gets to go through the LG OLED Tunnel which is a state-of-the-art ""light show"" as you walk from one end of the tunnel to the other - very nice!   Overall, I feel that a visit to the Canton Tower is worthwhile and fun."
Stunning view,"Its the 3rd tallest free standing structure in the world.  Day view on top was stunning,  Night view from outside was beautiful.  There is only one small portion of glass bottom view.  Was expecting more glass bottom area.  Nevertheless, the view is still awesome."
"Marvellous view, except from the smog limiting it","The Canton Tower is quite remarkable! On the top, you can take the ""bubble tram"", and see the city below. When we visited, the smog limited the view quite a bit. Nonetheless, it is a breathtaking experience, and well worth a visit."
Colourful ,A bit bland during the day but very colourful at night when lit up amongst the rest of the surrounding buildings.
Bubble team and tower,We went there by day...no queuing at all. Great experience and bubble tram must do. Nice view and funny experience when in guangzou
Didn't make it up - too hard to buy tickets.,"We were already put off by the taxi trying to rip-off without using the meter, so not in the mood for further difficulties. I'll give you the tips anyway.  Best to visit on a clear night for the city light show. Main entry is at the West Entrance. Take your passport.  First go to a machine at back right, scan your passport and receive an ID ticket. If you need to enter details, hand-draw your letter on the left grey panel, press OK, then the right panel pops up with a range of English and Chinese characters. Tap on the letter to match and press OK. Then draw your next letter etc.  An ID ticket is issued.  Take to ticket office and buy a ticket, either the lower view, upper view or a combo with bubble wheel and/or zip line jump.  There is a discount concession ticket for seniors > 60 if you manage to explain.  Or buy online for a timed entry, but you still need to obtain the ID on arrival.  No English is spoken or displayed in the ticket office.  The Tourist Office next door may provide an officer to come and help you.  Shame we didn't have the patience to make it through, as I was looking forward to the view. Anyway we saw the lights walking around the river front and central park, which were really nice."
City Landmark,"Impossible to miss. If you are in Guangzhou, then you must be impressed by this beautiful tower. At night it is breathtaking."
Impressive Tower,"You should go there on a day, where is no pollution, in order to have a good view. The view to the town is great."
Canton Tower,"its a good place to visit, but remember its good in night only, so better plan to visit after evening, in dark you can see the beautiful color full lights, near to it you can go for fairy ride with dinner or snacks on that, you can go by Line 3 of subway (metro line), avoid on Chinese holidays and festivals times, because it will be so crowded and could take more then 1 hour to back to Subway station again, on the opposite side of river if you will walk for 5 minutes there are 7 eleven and some other store, where you can grab beer and can enjoy the evening."
Amazing views ,This is a great tower to visit with different levels We took the 450mts level with the balls tram and it was stunning . The tickets price for that level is around 30 € per person but it is really worth it .
Canton Tower,"It’s a tall building so be ready for hordes of people and expensive tickets. Overall, it is worth it. I went at night so it was fun to see the city lit up. That being said, you do miss other sights at night. The tickets are done in 3 hr blocks so be aware that you have to go up in your ticket window if you aren’t planning on heading up straight after purchasing them. There is also a deal on the tower+a river cruise, but I did not do that option."
Impressive,Beautiful sight at night with the changing colors. Amazing view from the top of the tower. The bubble tram on top of the tower is a must do as you will experience the best views of the city from there.
Looks beautiful in night.,"It's the 2nd largest tower in the world located on Canton metro station on line 3.Make sure you go in the night because it is illuminated with beautiful lights. There are many things which you can do but they are costly such as bubble tram (for 360 view of city), sky drop (100 foot free fall) etc.There is a mall below which is free to access.And make sure you see beautiful skyline from pearl river, its located near tower"
Great Views,The view of the city is amazing. Make sure to take a light jacket with you as it will be windy at the top. only one issue - the capsules obstruct the view of the city which means you must buy capsule for good view
Seen from across the river ...,"I did not actually go into or up the tower. But took pictures of it from across the Pearl River. At nights, it is garishly coloured, but yet, a captivating light show."
Mesmerizes in the night,Being third tallest tower it awes you as you stand beneath this majestic tower .Its more Beautiful in the night with all the light glittering all over .A must see if you happen to be in guangzhou.
A must see place of interest,"The world's third largest and China largest Tower, designed by Dutch architects. Went there with my grandson, little bit scary for him but later he told me it was super, take an outside gondola at the 111th floor, spectacular views over the city. Great fun to do."
Awesome Landmark In Canton!,This is an awesome landmark in Guangzhou. The light up at night was beautiful. The view at the observation deck was exhilarating and the are quite a number of nice restaurants at the lower deck!Awesome!!!
stunning views from the top,"Absolutely interesting to visit , best at night with the city lighted up. great experience. very fast elevator!"
Try the sky drop to remove stress!,"Wow! Amazing experience. If this is your first time in the city, you should go to the Canton Tower. Enjoy the 360 degree view of the city! If you’re not scared with thrilling rides, go and try the sky drop! It’s definitely worth it for me!"
Horrible experience,"Horrible place if you want to take nice pictures of GuangZhou.First of all, I came at about 4h00PM and it took me 30min of waiting to buy tickets, and 30min to take elevator.Then, when you finally reach the top, it was overcrowded, there was so much noice (chinese people speaking so loudly) that you can get a headache.In the end, all your pictures will look awfull because of tower's design. You can't take a nice picture without a pillar obstructing the view.It was a really waste of time, money and energy."
High tea time afternoon,We went for high tea at the Lucerne restaurant on the 105th floor. The view and experience were fabulous. We were able to go up to the observatory floors afterwards to see the sunset and city at night.
Night view,One of the best attraction in Guangzhou. Best time to visit during night time when it lit up with different type of lights.
Great views,Spectacular views of Guangzhou. Recommend visiting towards end of day so you can also see city lit up at night. Liked the “bubble ride on edge at top of tower.
Wish there was support for Foreigners,"I came from Toronto, Canada expecting to take the ride in the bubble carts + see the sights however, nobody was able to tell me that it was Out of service for a while and was scheduled to be available at 5pm. I learned about all of this at 12 noon."
Pretty at night,I did not climb it but was staying at the Park Hyatt hotel nearby and their rooftop terrace is the perfect place to see it well and take pictures at night when lights change all the time.
Nice but expensive ,"Because it is one of the highest platforms in the world we visited Guangzhou Tower.The views are incredible and the ride on the bubble tram is great.However you pay almost € 50,.. For entrance. Don't forget to bring your passport..."
Guangzhou must visit scenic spots,"I was in the WeChat small program Canton Laowai above see this scenic spot, Canton tower is very beautiful, the landscape is super good, up is need to buy tickets.This is a must visit place in guangzhou"
at night it is colorful,very colour place and big. it is nearby thr river. very beautiful place. recommend to come. it is the landmark.
Expensive but well worth it! ,We took the bubble combo around sunset and had amazing and clear views of the city. The bubble tram is also quite a lot of fun
Better at Night,"Canton Tower is the symbol of Guangzhou, you can enter and go up as the prices vary with each different levels from 50 yuan to 200 yuan I guess, You have a pretty decent view.At night its a good walk through the park and all the surrounding buildings and lightning gives it an effect, a picture moment."
Better to view it at distance at night,"We took the cab from Sofitel to this Guangzhou land mark; a engineering marvel to be admired. The lobby is full of shops and eateries; very tourist oriented. The price for the entry varies, depends on how high you wished to reach and you could enjoy amusement style ride on the very top. The area is nicely maintained and safe; I just enjoyed to view the spiral structure afar at night from the river cruise or from top of building to experience the true magnificent of this iconic structure."
"Amazing, especially at night","This place around Canton tower ia amazing. Big park, underground shopping mall, restaurants, walk by the river. Be sure to come during the night, while everything is shining."
Nighttime light show fabulous ,We went on our dinner cruise and enjoyed the views and lightshow including the Canton Tower. An extremely tall building in a city with thousands of multi-storey buildings stands over everything else. Well worth a visit to Guangzhou.
Amazing ,It’s iconic tower in Guangzhou downtown. See it from different views. I found best from Four seasons hotel’s 99th floor.Lighting is amazing. Worth the see
Very nice tower with light,I have chance to have a look at this tower when I was in night tour by ship and it was very beautiful with colors
The landmark of Guangzhou.,The Canton tower is the new landmark of Guangzhou.I came to Huacheng square twice to take pictures of the tower.The first time was at the 2200.The lights of the tower was fantastic.The second time was at 1400.The picture I took was more clear.I like to stay at the Huacheng square.That is the best place to view the Canton tower.You also can buy the ticket to reach the highest level to view the whole city.But the ticket is very expensive.
Its very nice when you see from the river or the bridge,You can see Canton tower from various places. I went to a river cruise and saw nice view from it. If not you can have good view from the bridge as well.
Amazing construction,We bought the whole package to go up to the highest level. The only thing we did not do was the sky drop. Do take the stairs up to the top balcony as we felt that was where you really experience how high you really are as it was an open & windy balcony.The bubble car was something different though it was quite smoggy when we were up and could not really see much of the city.
Unprofessional staff (Bar and restaurant),"This is hotel need to employ the professional and bilingual workersThe front desk is good but the normal services like bar, restaurant... nightmare,The worker can’t express themselves.That way they always upset because they can’t not speak other language apart from Chinese.I had arguments with Batman STEVEN regarding his manners. This can’t not be 5 star’s Hotel"
a must-see site in Guangzhou,"the canton tower is a must see in guangzhou. it changes color every few minutes, and it is really a site to behold. it is near Pearl River, another must see.  nearby are lines and lines of restaurants for every kind of canton dish and cuisine imaginable.  i'd recommend this to visitors of all ages."
Must do in GZ,"I’ve been in towers all over the world, however the picturesque scenery of the night lights revealing the modern center on Guangzhou admired under free sky at over 450m is breathtaking. You have a thrilling ride on top too, I suggest the full ticket price (398 yuans). Passport needed! I you visit during fairs you will receive a small discount when presenting the Canton Fair badge. Last entry @ 22:00, but if you want to take all rides on the top, you should be there latest 21:00.Enjoy!"
Amazing view of Guangzhou ,"Go straight and get 488M tickets to experience the best view. You will avoid all the crowd in any of the lower view deck. They only allow 40 people on the highest deck. If you can afford the price and have time, purchase all in 1 ticket, RMB398. Try to get a Chinese friend to purchase advance ticket online to avoid long queue and sold out timing. Do remember that online ticket require your full name according to your passport. And BRING your ID to enter. You can do the Ferries Car, Sky drop, access to all the deck. But do plan your time, each access is one time only. For example, we wanted to get pictures of the view during sunset and night view, we had to stay on the 488M deck the whole time. We couldn't do the ride and go back up. When we came back down, the queue for the Ferris wheel was too long. Too bad it was a bit hazy the few days we were in GZ. If not, it's so spectacular!Avoid any China holiday period! It was the National Day Holiday when we were there. We couldn't even get to the train station to get out of the island. Luckily we found out they provide shuttle buses at RMB5 to the nearest station!"
"Hope on, get some selfies",Visit there at 615pm. Find yourself taking lotsa of selfies as light interchanges.Then go over to Hua Cheng Da Dao to find some nice dinner.After which stroll around and find yourself taking more selfies from afar the tower.
"Nice visit any time, even in a cloudy day!","Place is amazing and the city has amazing architecture, not only the Canton Tower, yet it's the most iconic. Nice shot from the Four Seasons Guangzhou"
Not as great,"The ticket gets you up to the top floor where you walk around and have a 360 view but taking photos is not great as there is alot of reflection at night.  You go up, walk around and back down in 10 minutes, fun but disappointed that this was all to it"
China 12 hr transit visa,"If you’ve only got a few hours to kill and have a limited budget, the metro rail takes you right to most places for very cheap. The tower was one stop on our itinerary and gave us a nice layout and aerial pics of places we had already visited. Finished with a lunch downstairs at one of the many places available."
IMPRESSIVE!,"I started with a dinner, followed by a tour at the top, around 1/2 km above ground level. Very well organised; excellent elevators; stunning views."
Surreal view,The view at night is amazing! There are some “games” on top of the tower (if you are not to scared). Usually is gonna be full of people so choose a non-holliday day to go and try to be there for sunset 😉
Don't cheap out!,"I would usually never say this, but buy the most expensive ticket so you get out of the star observatory. I bought the 150 CNY ticket and the observatory was loud, the facade of the tower blocked your view and there was lots of glare on the glass at night. I paid 100 CNY to do the drop tower just so I could go to the deck and be outdoors, the view up there was better but the bubble tram blocked my view, but it was way better. The drop tower gave me the full unobstructed view, which I'll never forget. The drop was pretty standard, not worth it if you do it for the thrills, but now I get to brag I've been on the world's highest amusement ride. If I were to do it again, I'd pay for the 450 m lookout and go at daytime. The view at night was spectacular but since I don't know guangzhou well it was hard to be too engaged with it. Looking up at the tower from bellow was my favorite part of visiting, it's such a beautiful structure."
Would Recommend,"The Canton Tower is definitely a must when visiting Guangzhou, it’s an amazing landmark with great views.  Access was easy and elevator ride to top was fun. The surrounding plaza can be very congested and is safe for travelers, but I would suggest you watch your belongings. Canton Tower is a ""must see"" building when visit to Guangzhou and we took Pearl River Cruise which permitted us to see the Canton Tower lit up in a multicolored display. Would recommend a visit."
Gorgeous sight to behold,"You do not have to be at the Canton tower itself to see it, best viewed from a distance away by staying at a hotel near Zhujiang (Pearl River). The colourful rainbow lighting from this tower is certainly a sight to behold and the ever changing patterns are amazing and breathtaking, it’s able to display wordings as well. It is an iconic structure that represents the vibrancy and beauty of Guangzhou. It is a must visit place. Will certainly be back. Lights out at 11pm every night and greets you good night too!"
Awesome Place,"The Canton Tower is truly iconic and majestic. It is definitely worth a visit at night to watch the light show, its truly an awesome experience."
Main Attraction,"Came here as it was one of the main attractions in Guangzhou.  Even though you have an unrivaled view of Guangzhou, when you are inside the tower it feels like they are trying to hard.  I felt for what you pay as an entrance fee was not worth it.  There are a variety of tickets you can buy, each of them including a higher floor or additional experience, such as the thrill ride or the bubble tram.The one big positive for me was the open air viewing platform.  For me that was the main selling point."
KKChan,Seems to be one of the newest landmarks in Guangzhou. Beautiful place especially when all lighted up by night.
I am afraid there is no choice but to get on a bubble tram.,My only suggestion for Trip Advisor users is to purchase the bubble tram ticket even if it is expensive. This is the only way to enjoy the view from the top. The view from the observatory deck is really poor due to the external structure of the tower that limits what you can see. Needless of me to say that taking the bubble tram at sunset time is the best option.
Vastly overpriced ,We have been travelling in China for nearly two months now.This 'attraction' must take the prize for the worst price/value ratio of anything we have seen.It's just too darn expensive for what it's offering.
"Spectacular views, but not really worth the price","The views are great, but the entrance fee is crazy even by Chinese standards. Go there only if you have a huge amount of money and no idea how to spend it"
Fascinating view!,"Fascinating view all around Guangzhou, Bubble Tram up there proved to be big adventure. Smooth ride up and down."
Bubble Tram,The bubble tram at the top of canton tower was a slightly expensive but fun stop for us during our layover in Guangzhou. You get excellent views of the city for photos and the tram is a fun and unique experience.
Must see with its lovely coloured lights at night.,"We were in Guangzhou for 24 hours and the 24 hours subway pass at 20 yuan is extremely handy and value for money.  We bought it from the service counter at the subway station in Guangzhou South railway station on arrival.  We stayed at One and One International Apartment which is linked to People Park station.  This station has two very useful lines, 1 and 2(to airport).In the evening, we took the subway to Canton Tower followed by the APM to Guangzhou Opera House.  We could see the beautiful lighted Canton Tower across the Pearl River.  Again we boarded the APM and it travelled across the Pearl River to Canton Tower.  From Canton Tower, we walked along the promenade along the Pearl River.The next morning, we came here again to take the Guangzhou Tram which starts at Canton Tower.  It passes through many scenic spots including the different bridges across the Pearl River, the Canton Fair ground and a lovely park in the suburb with a tall pagoda.  We rode it to the terminal station.Canton Tower at night is a sight not to be missed with a walk along the Pearl River."
Love it!,I've been there twice and I can see the tower from home. View of the whole city can be seen on the tower.
Grand,Architectural marvel very nice amazing built. A soothing site from any visible angle. The light effects at nite is even better. To seen it up close and from a distance is a wonderful thing
Wow One of the Best Architecture,It is really very good to see the Architectural view of this Tower. I will suggest everyone to go there and see the Beauty
Nice,"Especially nice at night with the lights on. Symbol of the city, I really like its peculiar shape, recognizable even from big distance."
A site to see at night,The area is booming with life at night. Beautiful pictures can be taken by the river. The lights make it a spectacle to see.
Superb and breathtaking view & sky drop,Too good place to see with world record of skydrop at this much high tower Tickets are bit costly But skdrop is must so forget costBreathtaking view of city Must see place Very good location good connectivity with metro buses and road
Nighttime views best,"Similar to many towers like this, nighttime views from the observation deck are best. At night the city is lit up, and some buildings are ever changing in colors. Also, the tower itself is the most beautiful of the nighttime colored structures."
Fun Travel,I loved the commanding views. I enjoy being downtown. It realky is a place to get lost and eat some great food and an exceptional environment!
Must visit in Guangzhow - 488m high highest tower in Asia,"A must visit, Cloud observation deck, Buffet restaurant, sky bar, Bubble tram, mesmerized with the arrangement. Only they accept Alipay, Wechat and Yuan. They dont outside accept cards.. pl carry cash. Even the photo shops gives u photos on wechat, they dont use google/ email etc etc.. whatsap is also not working there.. Excellent experience.. lift speed is 10m/ sec.. so the entire journey took less than a min."
the symbol of Canton,"Is the symbol of Canton (Guangzhou)! Beautiful and lighting in any circumstance.From the big square, visibile everywehere and from where see Canton is simply an experience!"
great way to get high,"I came pretty late (2130) with last entry being at 2200 and the tower shutting down (officially) at 2230. I got the ''most popular ticket'' for ~228Yuan, whilst it does say ''bubble capsule'' on the ticket it seems that this is an extra 180Yuan once you get up so the only adventure ride they let you on is the drop.Regardless of this is a well-organised tower, however, the interor lights on the lower viewing floor make taking photos difficult (not impossible) so I would HIGHLY suggest the top viewing area (sans-windows) where you can get great photos and get a slightly better view."
