title,text
Worth the walk up there,Nearly killed my husband walking from our accommodation!😂 Well worth it though as the views are amazing. Don’t do it in thongs!!!
Amazing view,Loved the view. There is a cafe there as well. Nice walk down to a cute beach. You can park near the lighthouse for free if you have the national parks sticker on your car.
Great day activity ,Was a nice drive then hike up to the lift house. Amazing views from the top. Cafe there also had nice snacks
Stunning Cape Byron Lighthouse,Spectacular place to visit especially if you are looking for a physicl workout. Lots of pathways to explore. Great little cafe at the lighthouse. Parking is $8/hr but worth it if the hard trek upp the hill is too physical for you.
Worth the walk,Quite a hike up there if walking but well worth the view from up top bit of wildlife along the way nice little cafe up there as well can take a different route to come down which is a bit easier
Best Views in Byron Bay,We drove up for a sunset and walked up one morning (quite strenuous). Best views of Byron Bay and surrounds. We even saw whales blowing on their way south.
The icon of Byron Bay,The Cape Byron Lighthouse is an  icon of the Byron Bay region and its easy to see why. An easy walk from the car park to the lighthouse area affords you outstanding views of a beautiful and rugged coastline. Great way to spend an hour and a really photogenic area. A must see for visitors to the area.
Just Magical ,We came here late afternoon after a wedding renewal ceremony & it was just magical.  Beautiful views in all directions.  Whales breaching the ocean below the lighthouse.Great photo opportunities all around.  Don’t miss the spectacular Tallow Beach photo on the way back down from the road.Definitely worth a visit on a beautiful sunny day.
Morning visit,"Great panoramic views of the surrounding coastline, with easy walks in the adjacent bush and suburbs. Passing whales were easy to see on their trip back down south."
Amazing. ,Just stunning. Well maintained and great history. Dissapointed the gift shop wasn't open though. But what a view of the east coast.
Great views,"Really worth making it up to the lighthouse, there are many different pathways up.The view is great, and we saw a fair few whales from the top."
Forever special,"Nowadays, seeing and standing up at the lighthouse is really the main reason to visit Byron. Unless you are a Yuppie or the new ""äspirational class "" and you can swan around town and pubs and crowds!!The views are magnificent, the lighthouse and buildings well maintained."
Awesome place,"I visit everytime I come to Byron. It's a nice walk up from Byron township, a great place to watch the sunset (take a picnic) and at certain times of the year, an awesome place for land based whale watching"
A highlight of Byron Bay,It's a great walk from the town along the beach and up amongst wooded tracks to the light house and then back along Watego's Beach and back along the woodland paths. There are excellent views and there's a cafe if you feel like a cuppa and snack. We saw many whales and dolphins and beautiful place to watch the sunset or sunrise. We also saw a koala:)
Beautiful location! ,"Beautiful Lighthouse with a great walk leading to and from it. Amazing views, whale watching hot spot, sunrise hot spot etc. Plus a cafe and car park."
Lovely spot with great views,"Did this as part of our sunrise walk.  so beautiful and an icon of Byron.  We were lucky it was not too busy and to top it off, it is a wonderful spot from which to see whales if they are migrating"
Great views,We visited in the morning. It is $8 to park or free if you have a National Park Pass. We saw whales and dolphins. Had a great coffee and yummy treats looking at the magnificent view.
Magnificent view!,Well worth the walk up to the Lighthouse! Iconic Byron activity. Saw whales and dolphins gliding through the waves.
Great views,We did the long trek from the town along the beach and up to the lighthand house . A very good workout at a brisk pace . When you get there the views are awesome . If you are lucky you can see dolphins and other marine life and at the right time of year you can see whales breahing  . You can also drive up there but you have to pay for parking .
"Stunning views, great walk",Highly recommend starting at the lower end car park and making the 35-40min walk along the coast line and then up to the light house for the most spectacular views and take the time to watch whales and dolphins splash about.
You won’t be disappointed. It’s as good as it looks in photos,Just gorgeous. I spent a week here and visited to watch sunrises and whale watching. Parking at sunrise can be tricky- it’s better if you can walk. It’s only about 1.5kms from Main Beach and evening in the dark there are plenty of people walking/running to the top.
Lighthouse ,"Such a good view , saw whales within a couple minutes of being at one of the many lookouts. Probably went there 5 times during our stay ."
