title,text
Fast stop,Easy fast stop to The Holy Cross.   15 minutes to see church and the view. Parking lot is small but turns over quickly.
must see in Sedona,The view  is breath taking of the mountains around Holy Cross. The cross it self is also well worth seeing.  Park up the hill as high as you can to reduce your walk.
"Beautiful views, religious or not",I’m going to piggy-back on another commenter who mentioned that this place feels sad. This chapel did not feel like a holy place to me— and I’ve been a church-going Christian for my whole life. The space inside is small and I’m surprised there wasn’t any sort of attendant/staff there to perform any sort of crowd management during the COVID pandemic. The views from the outside are beautiful and that can be appreciated whether or not you are religious. It’s a free visit and worth a quick trip. We visited at the end of the day and 30 minutes was all we needed.
Interesting ,"This chapel is a popular stop in Sedona.  It is not as large as pictures make it appear, but it is an amazing structure nonetheless."
What A View.,"A little bit of a short, steep hike up for a Senior, but go slow because it is a spectacular view. Take a moment to sit in the chapel for some quiet time. God is close."
Some sadness here,Can't put my finger on it. This structure is cool. It felt spiritually malnourished. Crowded over visited. They neighborhood is overbuilt. I felt sad when I left it.
Worth a visit but not on a weekend!,"This is a special little chapel built into the rocks, but it is absolutely packed on the weekends. People were parking almost a mile away. I would definitely recommend a stop here - but make it on a week day if possible!"
Beautiful day for a walk to a stunning church,"We were told this was a don’t miss, the outside is beautiful and inside too.  Parking was rough and the walk is all up hill. Wearing masks, due to COVID makes it a little harder to walk in the heat. Great pictures were taken and I would recommend"
Wonderful place!,"Place is great to visit, inside and out. Highly recommend. Only thing a bit crazy was the turn around at the top, should find a better way, especially with trolleys, not sure how they did  the turn but did."
Outstanding view,The view at chapel of the holy cross was outstanding. A very spiritual experience meditating in the chapel.
Nice little excursion,"It definitely is a sight to see. We went in the morning as some other reviewers stated it's the best time parking-wise. And so it was. We didn't find parking on the way up but shortly after we turned around to go back down. The way to the chapel is a little bit up the hill but nothing really strenuous. Aside from the chapel which is unique and beautiful, the view down into the valley is very picturesque as well. Saw a mansion with its own waterfall while looking down. Took pictures of that too. Everything very nice and absolutely worth a trip. Thumbs up."
The Beauty of it all. . .,Not much available but the view is all that it takes to enjoy this little rest spot in God's house. Got very close to the rock canyon and the views are breath taking. Went inside and lite some candles for the Family and Friends. May ALL feel the peace and Love of this church.
"Pretty views, no hiking required","If you don’t want to hike our climb, this is a great place to come for the views. You can see a lot of different angles from here and it is beautiful. The Catholic Church is also beautiful but worth going even if it is not open. We enjoyed it. Convenient to Cathedral Rock."
Beautiful ,"Quick trip that everyone should make. The chapel is small but so powerful. Grab a brochure and read and really take a look at the statue. So peaceful, powerful and beautiful."
Iconic Structure and Free Photo Op,"Easy to find and easy to walk up the ramp to the chapel.  It is in an upscale neighborhood with beautiful views and a lovely interior.  The explanation of all the symbolism on the crucifix is interesting.  Opens at 9 am, NOT 10 am as I was told at the resort where we stayed.  It is the gift shop that opens at 10am."
free    You get a great view of the red rocks,Fantastic Cross with Jesus   The most ornate and artistic I have seen Ever!!!  Some have to park lower at hill.....I saw a handicapped person and assistant trying to get up the hill.....It didnt look very handicap freindly but there are workarounds   Perhaps drive to top and let that person out..   Small gift store down stairs.
Impressive,One of the most unique chapels I've seen and with amazing views.  I was so glad we got there before it closed at 5 PM.
Beautiful ,Quiet reflective moment well worth the stop 🙏. Church is peaceful and serene feeling blessed!  🙏🙏🙏🙏🙏🙏
beatiful chapel and view,"It is a lovely, serene chapel with a wonderful view of the surrounding Red Rocks. It can get crowded for parking. God early."
Amazing to see the chapel cut into the rock,I was amazed to see the chapel carved into the red rock.  Coming closer it was nice to go inside and tour the chapel.  If you are Christian/Spiritual you will enjoy this stop.
Very Spiritual Visit,The chapel was beautiful. The crucifix inside the chapel was beautiful and spiritually mesmerizing. Wonderful visit!
Did a drive by visit,It was a hot day but we wanted to see this wonder so we didn’t park but saw it from below and next door as we drove around. Very neat structure out in the desert. Easy to get to from the main road.
Chapel of the Holy Cross,A great Christian place to visit. We highly recommend this stop during your stay. Very close to Creekside Inn
A truly Sedona spiritual  experience,"So glad we took the time to travel up to this incredible and peaceful space.  The chapel was not only beautiful but inspirational as well.  Make sure that you take the time to enter the chapel.  Found people to be thoughtful of others and their experiences there. Hint, the highest parking is for handicap, but there is parking above the bottom lot if you go early."
A great experience at the Holy Cross Chaple,"Chapel of the Holy Cross has a great view. But the most important is the Holiness of the place, It is a small chapel on the rock. However it is architectonically gorgeous!! It has two small beautiful fountains outside. What I liked the most is that it a christian worshiping place. Although it is managed by the Catholic church, it was built for the worshiping God by any christian denomination. It is just about Jesus and you! It is place to visit because it is a landmark in Sedona, but also for it holiness. From there you can see also three picks on side mountains that look like MAry and the Baby Jesus , kind of the holy family in the rock. IT IS GORGEOUS.   You can take the trolley or go by yourself oun you own car. It is free. But remember to give a donation so they can keep that gorgeous place open."
"Perfect spot to see the area, pray and hit a gift store",So beautiful!  Gift cart help was nice as I am on crutches.  Can go to the church and not feel rushed (I did a a Rosary.).
