title,text
Nothing to write home about,Had a quick look round - mostly because it was free and raining outside - and was mostly an empty shell.Little of the original remains due to large renovations over time but some lovely memorial stones.
Beautiful cathedral,Decent visit. It was free and worth a look around.  Beautiful cathedral. Friendly staff. Social distancing maintained.
Beautiful cathedral,Excellent visit well worth the trip alone. Very interesting place full of history. I loved the vastness of it and the stained glass windows.
Peaceful,Worth visiting just to take a few minutes out of a busy day and find a quiet and peaceful space. Amazing building and history.
Touching,I’m rarely moved by churches etc but this on got me probably because of the many references to the deaths of service personnel.
Imp spotting,"The Cathedral needs your donation so please make sure you donate on arrival, some stunning stain glass windows, the lego cathedral is ace, but the best items to see are the imp (up high on the left hand side in the Nave) and the cobweb portrait."
A must!,What a beautiful cathedral to visit and spend time. The interior was amazing and I took many photos. You could spend hours inside this place. The shop is also good for value for money and COVID secure. A must see!
A must see,"This is a cathedral is set in beautiful grounds and garden, most unusual to see this, well worth walking around the garden. Not the oldest of cathedrals nevertheless it is most impressive. I was interested to read and learn about the Chester Regiment. The cathedral is beautiful and well worth visiting. When we were there, there were interesting crafts to see inside. So nice not to have to pay an entry charge. Maybe due to Covid there weren’t any pews to sit and contemplate."
Gorgeous - must see ,"Visiting Chester for the day and had to stop in at the Cathedral. Covid measures in place, so track and trace details were taken on arrival. Staff at entryway friendly and helpful. A beautiful building to walk around at leisure, taking photos and reading the various information. It was very strange seeing the cathedral with the pews removed as it makes you realise how vast the space actually is! A beautiful place, we spent around 30 minutes wandering around and then visited the cute gift shop."
Beautiful Cathedral. Great Gardens.,"We went in as it was open, free of charge (donation requested) and we had not visited it before. It was amazing! We wandered around for about an hour, the garden is also lovely in the centre and around outside. Definitely worth a visit if it's open."
Interesting to look around,Worth popping in if you’re in the city centre to see the architecture and key points of interest inside.
A small gem of a cathedral,"A beautiful cathedral, stunning mosaics and stained glass.  Only drawback, we could see people in the garden within the cloisters, but couldn't find the way in."
An oasis amongst the hub bub of the city.,"Free to visit, beautiful cathedral, fantastic stained glass. Dropped in whilst walking the city walls. Interesting newish detached bell tower. Impressive and peaceful."
Smaller than expected. ,It is free entry but they do ask for a £4 donation.Its smaller than i expected and only takes a short time but i fell in love with the hidden garden - follow the cloisters round past the cafe and gift shop till you cant go any further. Door on the left.
Amazing! ,"Amazing place to visit,Very well thought measures with how to deal with these COVID wary times.Nice shop as well and some nice bits and pieces 👍🏻"
Wow!,"Beautiful building, totally awe inspiring.  Donations requested, but totally worth giving generously; friendly staff and track and trace in place.  Loved it, spent a good couple of hours wandering around and will definitely return."
Beautiful cathedral,"Very beautiful cathedral, lots of interesting architecture and stained glass windows. Well worth the visit"
