title,text
A must see,I’m local to the Seattle area and anytime I have family or friends visiting from out of town Chihuly is a must go! Sometimes I take them there more for me lol.
Views,Great views and strict covid precautions taken. Bit of a wait for the lift but safety comes first. Wanted to change our time slot due to bad weather and the staff were super helpful.
Breathtaking,Beautiful handmade art that is so breathtaking! Vivid colors and to top it off a live demonstration was provided!
Interesting attraction,This is about the same inside as the Chihuly museum in St Petersburg FL. but the outside or garden is worth the trip to see.
Good experience but not a good value,"The glass blowing is amazing but overall its a pretty short experience. The cost is very high, so ultimately I would not recommend doing this just from a value standpoint. If money is no object then it is a pretty cool place to spend 45 min to an hour."
Very colorful place,"If you love glass art then come to Chihuly Garden. Lots of different glass installations around every corner. Loved garden,heard it lights up at night. Did not enjoy employees chasing people because they lowered their mask to drink water. It was a hot day. There are mini talks in different rooms and glass blowing demonstrations. Buy tickets as a combo with needle or citipass, you will save some money."
Beautiful Gettaway In The City,We really loved this experience. I am a big Chihuly fan so this was at the top of my list of things to do in Seattle and it did not disappoint. I hope to return in the future!
Amazing museum—vivid colors and forms,"I was visiting Seattle solo and bought the combined Space Needle/Chihuly gardens and glass ticket.  What a fantastic afternoon.  The Chihuly gardens and glass were amazing!  A great solo activity.You start in the indoor museum, which walks you through Chihuly’s career.  It’s very impressive without being overwhelming.  One of the first galleries shows beautiful vases inspired by baskets; in this same room, there’s a gorgeous wall of another Pacific NW work of art, the Pendleton blanket.  And then there are some jaw-dropping galleries:  one with a boisterously colorful ceiling of flowers; another with a huge line of “Mille fille,” in a dazzling array of forms and colors; one with a big boat full of colorful balls and other forms; another full of enormous vases.  It is visually stunning, and there’s just the right amount of information to accompany each gallery.  Then you step into the gardens, which are beautiful in and of themselves, with Chihuly’s forms of various sizes dotting and complementing the landscape, all in the shadow of the Space Needle.  What an artist!  The photography opportunities are outstanding, too.You end your visit with a gift shop (per usual for museums); this one had a very nice selection of Chihuly-inspired stationary, calendars, etc., and I obtained a couple of gifts.A really nice visit.  Put this on your “must do” list for Seattle.  People of all ages and types will be amazed by the art, either for its color, form, or technical achievement."
Wow,A must see and visit. Combine your visit with the space needle.  I recommend taking time to watch the videos and to take in the glass blowing demonstration.  The shear scale of the art is amazing. The garden area is a beautiful balance between natural and man made art
Good for artistic eyes,"I purchased the space needle and Chihuly garden combo tour - so the entrance fee to Chihuly gardens was just a few dollars extra. We did the space needle one evening and were able to use the ticket the next day for the garden. We were told you can use the ticket within 24 hours. The glass art and sculptures were amazing and unique - defiantly good for the artistic eye. We completed the tour in less than an hour. Travelled with adults, seniors and teenagers. Would not have paid full ticket price for this tour."
Amazing glass sculptures,"If you are in Seattle, you really need to visit Chihuly Garden and Glass. Absolutely amazing glass sculptures and beautiful gardens. One of the highlights of our trip."
Great Experience,"I was initially skeptical, but this exhibit was far more interesting than I anticipated.  The artwork is well displayed.  I particularly liked the outdoor garden pieces."
Beautiful museum and garden,"The artist and his glass works were unfamiliar before visiting Seattle, but I really enjoyed this facility and it’s outdoor gardens. The artist’s work also appears at the Bellagio hotel garden in Las Vegas."
Awesome restaurant,"Now, this review was based on a visit a LONG time ago (a little before covid), but let me just say, the service in the restaurant was amazing. My sister ate some of the bread off my hamburger, and as I complained to her about it, a waiter actually came over and got me free bread. To replace the bread my SISTER ate. Everything else was absolutely beautiful and a sight worth seeing."
Great place,"tbh i really just wrote this so i would be the 20,000 5 star review but fr this was a great experience and there was this place in the museum where they were making glass sculptures like you in a restaurant where they make the food in front of u all in all nice experience"
Someplace unique to see,"I would not have chosen a place like this to see on my own. Not into museum, but this place is AMAZING!  I’m glad the opportunity came with the space needle and we chose to go."
