title,text
Amazing place!! ,"The place was just beyond my expectations. Amazing aquarium, really awesome. Insane roller-coaster and the lights and fireworks show at the end is great. Food buffets are good."
Loads of Fun,"Met my match here - a terrifying roller coaster that has kept me on terra firma ever since. The kids couldn’t get enough of it though! Very impressive aquarium. Though we went during a holiday, we never felt that we were waiting too long for anything. Bring your own snacks!"
Better than HK Ocean Park and HK Disney combined!!,"We were quite surprised how big this place is...and how many sea animals it has!! Penguins, whale sharks, polar bears, wolves, seals, etc.The seal show was just ok but the dolphin show is a must see!!The rides are quite mixed for young and older kids....although ur child should at least be 1m high for him/her to be able to ride most of the rides...There are a lot of restaurants to choose from inside with a lot of food selection.Last thing, wait for the outdoor finale fireworks show at night...ITS A MUST SEE. You can also get english maps at their customer service area....They have a rental stroller service...toilets are clean and have international toilet bowls..All in all, kids will definitely enjoy there...we got the 2 day ticket to be able to finish everything...we suggest that!"
Great place for family,It was a shame that we only had a very limited time to visit this park. It was huge with lots of things and I wish that we could stay a whole day. It's a great place to visit for family and kids.
'Wonderful Day Outing',"Very entertaining amusement theme park, rare marine animals, lots of thrilling rides and spectacular shows.  Go early to avoid the hot sun and not during school holidays time to avoid the queue."
Quite a good park,"We went for my son’s 7th birthday, on a regular week day, which is the key for an enjoyable experience. Holiday and weekend would be a nightmare with the amount of people visiting. On a Wednesday, the most we had to wait at any ride was 5 minutes, with most rides less than 2 minutes. One day was enough, with a good ending at 8pm as they do their spectacle light-fire-air-water show over the main lake area. I was impressed with the quality! Also we were lucky as it was the first day of their Halloween festival so that was a bonus. Only down side is some of the animals seem like they should be taken care of better. Other than that, my family enjoyed the visit a lot."
Theme park and circus,A simple theme park with not much attraction. Do not compare it with Disneyland. However it is stil ok for my kids to have fun. Tried the motorcycle speed racing which is fun. There is no queue when I visit this theme park probably due to outside holiday season. Enjoy the circus in the evening right beside the theme park which is fun and entertaining
"Overpriced - admission, hotel. Not worthwhile at all.","There has been so much hype about the place. Went there to check out. Firstly weather yesterday was super hot. Admission fee also expensive CNY 450 per adult for ocean kingdom and CNY 550 for theatre. This is excluding hotel accommodation which is easily CNY 2000 and above. A day + night stay there with family will easily cost close to CNY 10K including food and transport, if you are to cover both ocean kingdom, theatre and lions gate! Not many can afford and I don’t think it’s worth the money."
Horrible,"After hearing so much about Chimelong we decided to go and check it out. There were many many problems. 1. The amount of people. We had to wait in line for hours just to go on a ride (regardless if it was small or big) and also for the animal exhibits. 2. The poor, poor animals. Those animals were living in concrete painted to look like its habitat rooms. No ice/snow for the arctic animals. All the animals were going crazy walking back and forth because their enclosures were tiny. Their nails were over grown and because of the concrete floors they had trouble walking. All animals looked malnourished. Just disgusting treatment for the beautiful creatures. 3. The park isn’t big. There aren’t a lot of rides for a price similar to a bigger amusement park like Ocean Park or Disney Land. If you want to have fun and not feel bad about the animals go to Hong Kong’s Disney Land or Ocean park. Worth the money and time. Chimelong is generating so much money, they just choose to not take care of their animals."
Chimelong Ocean Kingdom,"Beluga shows, dolphin shows, main aquariums, fireworks, etc. It's too much to watch all day.I think I can afford to watch it for two days.I think food is a bit expensive in amusement parks."
Reasonably Priced. Good attractions. Long Journey.,"Cheap food and souveniours comparing to other international theme park standards (which is a plus). Rides, attractions and performances are pretty ok. Customer service is good. However, recommended to go during colder seasons. In summer; too hot. There are a lot of people as well! Also getting to the place is not straight forward for a foreigner."
Happy time in Chimelong Ocean Kingdom ,"If you have this opportunity definitely should visit this park! Our family did not visit different attractions in park , because we are not interested, so I will not say anything about it. With you can take only water. Don't bring food. Inside very beautiful, a big pleasure to see all this  different and such amazing animals! All day we just walk around , enjoy big aquarium couples of times , performance, big parade. Of course it is a lot of people,but it's ok. In the end of the day a huge performance on the water with lightshow and fireworks. So do not go away early )"
Great Place one must Visit,It is amazing experience to see the Ocen Kingom and the rides are very exciting and the water ride was among the best. Of course the parrot ride is the most exciting heart holding and it challenging. l
Beautiful park for a day,"After a tip from my Chinese colleague I decided to go for a day trip to this park. A day trip because it is rather expensive (380RMB submission ticket). Although, it is a beautiful place with nice shows and a lot of different animals."
They have the largest aquarium in the world,"The Chimelong group is trying to build the area to be the “ Orlando of the East”.  The facilities are newly build and big.  The aquarium is very attractive.  The performances are also well designed.  The problem is the management is not as good as the one in the other countries, including the services staff they do need lots of training. Besides, Road signs are not sufficient, you can easily lost your way."
A small combined version of HK Disney and Ocean Park ,"Mostly Hong Kong and mainland Chinese tourists. It has a few elements of both HK Disneyland and Ocean Park: the Iconic seals, dolphins and white whale show, birds park, cartoon village, thrill rides for different ages... But the water flying man show and the night parade are the best. Ticket is a bit expensive and audience needs to purchase separate tickets for night circus."
Great for families,"Chimelong Ocean Kingdom has many attractions ranging from aquariums to performances to rollercoasters, which suit a wide variety of ages, making it an ideal destination for a family trip.The performances attract large crowds, so be sure to arrive around 10 minutes in advance if you want to grab good seats. The staff will let you in if you are a few minutes late, but you will likely have to stand.Food and beverage inside the park is priced reasonably for a theme park, and the disparity between pricing inside the park and outside the park is considerably smaller than that in other theme parks (Disneyland, Universal Studios etc).Overall the park is clean and hygienic."
Ocean Kingdom - Chimelong,"Chimelong has a great brand for Chinese Theme Park, and this ocean kingdom bring the company into a new level. Anything is a great here, and i have a great lunch restaurant with direct view to see the whales, I have heard there are one in okinawa and here has four, i guess that are smaller but still impressive. Imagine, you are eating fish and chip and seeing the whale looking at you. The location is also very near Macau and you shall consider reserve a day hear if you are visiting Macau"
Had a great time ,"Being from Hong Kong, this park to me was a crossover between the Hong Kong Ocean Park and the Disney Land. There were lovely sea animals and big musical parades that the young kids loved, and there were also some pretty freaky rides for the grown ups. I liked how the place is spacious and all the line ups weren’t very long (by Chinese standards anyway) (we visited a week before the Easter weekend)."
Poor living conditions for the animals,"Despite the large variety of animals and the top-notch performances, certain animals definitely deserve a better living condition. In partucular, the penguin exhibit is way too overcrowded! I don’t think the penguin actually have enough space to swim. Arctic foxes are kept in a small and bright room with barely any space to hide. The polar bears are clearly distressed and pace back and forth in agony. Besides that, many of the other tanks and aquariums are also overcrowded. Yet, the park does a great effort advocating animal conservation and provide useful information in educating the public. The animal collection is definitely amazing but their standard of living should be improved."
Family Visit,"Ticket pricing is very light on wallet  comparing to the likes of other team park (Disney or Universal Studio). Toilets are clean, amenities are new. We did not try all rides as it will take more than a day trip. Park with plenty of shows, whale, peguins or sea lion. Spectacular huge aquarium and very informative with plenty of fishes or marine life species. Kids age ranging 8-12 will enjoy it emmensely. Food pricing are expected on par with the rest of the teampark. But not bad with lots of choices. No water dispenser for public but vending or stall are easily around however WeChat pay is widely used. You may have hiccup if you use cash but non speaking Mandarin or Chinese. Crew are generally non English speaking.You can spend a whole day if you wish to unravel the park intensively. They also have night program unfortunately we lacking of time. Suggest to spend a night at the theme park hotel to fully enjoy the park."
good for family,"beautiful lobby, beautiful room and the buffet breakfast was good.fast check in and express check out"
too expensive,"qa good place, however no one can speak my language, I go therte alone, big and will spend you a whole day there, anyway, it is a good place"
"Well maintained, good mix of attractions, a taste of real China",The park is well maintained and is very good for young children (although teenagers and adults will enjoy it too). There is a good mix of attractions and things to see and do. The park is clearly geared towards domestic visitors but otherwise signage in English is very good (better than Narita airport...) so getting things done is not an issue. The aquarium is fantastic although the path inside it is designed to move a lot of people fast through it. There are animal shows and ones at display and their condition is generally good. Definitely worth a visit if you are in Southern China.
