title,text
L❤️VED it!,Going to Chimelong Safari Park was the highlight of our trip to Guangzhou!  The animals are well taken care of and were super active when we arrived that morning!  The employees were so welcoming and seemed so happy to be there!  Please do not miss feeding the giraffes.  The park is blessed to have the only panda triplets in the world!
Lots of Animals,"There are lots of animals and many exhibits to check out. It will take a long time to see everything so do plan to spend the whole day there. It was a huge surprise to see all the animals here. We would recommend doing the ""safari train"" when the lineups are short as it is included with the ticket price and it is very cool seeing the animals out in the open.The only downsides are the long line ups for the cable cars and the food quality is not that great in the park. Refreshments and ice cream is cheap.Closest metro station is Hanxi Changlong."
Chimelong paradise Park... ,"Chimelong is an amazing place to enjoy and explore. The park is massive and there isn't enough time in the day to go through all the rides.. The fun doesn't stop here.. From 3d to 5d theatres and a variety of roller-coaster rides, your day at the park is filled with plenty of great features such as water features and dance party around the other end.. Truly phenomenal experience..."
Great to have fun but walk too much,"This park is very interesting, cable car and train,but the park is too huge ,after the whole day ,we are tired and exhausted,but it's good for kids."
Best animal Park ever alot of walking,"This is amomst or was one of the best places to visit if u like animals, sadly be ause if the current circumstances, no one can go in or out of China, I wonder people can look after themselves as much as possable, told not to travel unless necessary, so what is happening to the wonderful wildlife parks, chimelong has the most amazing animal collection, in one space, its like Disney only for animals, animals need humans to look after them, to train them, to feed them, if no one turns up for work, how will they live"
Interesting but too crouded,"Visiting the zoo was a pleasant experience as it is spacious, new and well organized. But it is too crouded (maybe because we went there on Saturday). We had to queue for about an hour for the cable car and more than half an hour for safari. It was a bit annoying, but it is the problem of all similar parks."
Over Rated Over Priced Over Populated ,It's like a second rate zoo on steroids. Animals kept in poor conditions along with  rather small enclosures.There's a souvenir shop at every attraction so with two small children they get some of your coin eventually. We found it some what over crowded with alot of pushing and shoving however the children did not mind as they thought it was some kind of game and held their own.I would not go again due to the above.Regards S
Great for children but too many merchandising ,"We went there on January 2020 with 2 children 2 and 5. (For being low season there was no queuing) You can go directly per metro and enter in the south entrance. All by all the experience was great! But my heart broken when we saw the pandas in such a poor condition and really placed as THE attraction of the safari. No respect for the animals,  very noisy lots of shops before and after each area, and noisy music. By chance we ended the safari with the train and this part was beautiful. Then a  big walk through dinosaurs (funny) monkeys reptiles exotic birds. All by all very nice and a must do with children’s in Guangzhou. But noisy and lots of plastics toys selling. It is more like a Disney world for animals rather than an ecological and respectful area for animals."
Great Park Experience!,Full day required to see all the animals at this park.  Our children were thoroughly entertained here.  The highlight for them was feeding the giraffes!
Great day out for the family,"Admission is a bit pricey, but once inside you will know it's worth it. This a large zoo with cable car and safari train included in the entry fee.  Lots of animals, clean and nice forest scapes.  The animal nursery was an unexpected but excellent experience.  Saw the brown bears close up (almost too close), and it was awesome.Food is very expensive, so it might be a good idea to BYO.  Go on a weekday to avoid the queues"
Absolutely amazing ,"The safari park is amazing! A great zoo, but way more than that. The cable car and train and worth the whole price of admission. Even as English only speakers we had no problem. Staying at the chimelong hotel was a big benefit...express line for the big experiences."
Very impressed definitely one of the best zoos I’ve ever been to,Had zero expectations going into it but came away very very impressed. The biggest thing is the sheer number of animals they have. Most zoo’s will have 2-3 of each type but there were literally tens of each type. The other thing is the safari - you can drive in yourself ( or hire a taxi ) and see the animals up close. Great treat with kids! The park was too big for my 2 and 4 yr olds so we will definitely be back some day
Best zoo!,"I've been to a lot of zoos and by far this is the best. What separates this zoo from the rest is how unbelievably close you can be with the animals. The animals in the zoo are very diverse and plenty as well, and the crowd could have been much worse on a Saturday. The highlight of our trip were the pandas and the safari tram ride. Some notes as well below.- If tickets were bought online, it must be exchanged with a real ticket prior admission.- Price of food (main meal) ranges from 60-80 RMB.- Waiting time for cable car ride during our visit was 45 minutes (11AM on a Saturday). We didn't ride one during our trip.- Tram ride was very much worth it despite a long queue. Waiting time wasn't too bad since the tram has a high capacity and trams were frequent. Sit on the right side as most animals are on the right (sitting on the left isn't too bad).- No animal shows here, only scheduled expert talks.- You can easily spend a day here with kids."
Best zoo,"Chimelong safari park was easy to get to using public transportation for our hotel in Tianhe district.  Our kids (7 and 5) had so much fun seeing all the animals like camels, giraffe, elephants, white tigers, flamingos, parrots, rhino, kangaroos, koala and much much much more.  Their favorite were the pandas.   It was not hard to spot them as there were many. The tram and gondola cable car are a must and the line wasn’t too long for us on a Wednesday. We were lucky because kids are free for the month of December. However admission is reasonable between $200-300 CNY,  highly recommend for anyone especially children."
Sunday Half Day Trip,"Took a Sunday afternoon off and went to the zoo with the kids, upon their request.  Surprisingly, after living here for over a year, this was my first time to Chimelong zoo.  I've driven by it a few times and even attend a few weddings at the hotel, but this was my first time at the zoo.  Overall, I'd have to say it was a great experience.  First, it was not crowded and the lines were very manageable.  Second, the weather was nice a cool, so it made walking around the huge park easier.  There were plenty of animals to see and majority of the animals we saw were quite active.  What I appreciated were the number of staff around to keep the park clean and in order.  The kids had fun watching the monkeys, taking the safari train ride, and watching the 4D movie.  We could've easily spent 3 to 4 more hours there, but since it was a half day trip we only explored a portion of the park.  I'd definitely take my kids and other family members visiting back to the zoo."
perfect,it was a good place and full of fun. I will visit this place for sure in the future. but this time I'll go there in summer. I think it will be much funner.
Great park,Excellent day for everyone. It is big and there is lots to see. Budget a full day there. Some went in the the part of the park where you drive in using a taxi.
Many lovely animals,"I have seen this scenic spot in the small program Canton Laowai, which is very suitable for families to see, take children to see all kinds of animals and this visit can go to water park and happy world, all in the same area like the zoo must go to see"
Excellent zoo with some very special animals,"Great and very large zoo. The pandas, kualas, and tigers are very impressive. The reason ride was somewhat disappointing. Many stops with seemingly too long explanations in Chinese only, and quite a long queue"
Huge place,The place is so huge. The place isn't that crowded when we were there. The animal seemed to be having a huge compound for themselves. Some animals were roaming freely around the public area.
Cool circus show,"If u bring children to guangzhou , you must go to this park, ini this park so may thing to do with family.And at the night must go to show circus"
Overrated,Stayed at the hotel and it was a million crying kids.  We then went to park and it was not worth the time.  Poorly done and not easy to get to Canton Fair
My Brother Panda ,The entrance ticket is 300 yuans on week days and 350 yuans on weekends or any national holidays which seems a bit expensive to me. The best things I enjoyed here are pandas and giraffes.
