title,text
A M A Z I N G,"The church was erected in 1883 on the site where Emperor Alexander II was assassinated in March 1881 by the Romanov imperial family (""spilled blood"" refers to the murdered emperor). There's is an altar inside the church to mark the place.I'm seen many churches and cathedrals in Europe, including the Vatican, but never have I seen such a beautiful, decorated church. The richness and choice of colors and painting leaves you overwhelmed and in awe."
Worth seeing.  A really beautiful church.,"One for the history buffs!  This beautiful church is built on the site where a much loved Czar (Alexander the second) was assassinated in the 1880's.  (the Finns adore this Czar, it was he who gave the Finns autonomy, they are proud to display a huge statue of him in one of Helsinki's main squares.  Surprisingly, I did not see any similar statue of him in Russia!).  The problem in visiting this church is that it is easily accessible and is so beautiful that it is very popular with tour groups.  That means huge crowds.  Plus, the area surrounding the church is filled with stalls selling all sorts of souvenirs and other knick-knacks.  These stalls add to the general confusion.  Everything about this church is so photogenic.  The inside, the outside, the floor, the ceilings, etc...etc...  Well worth a visit."
Absolutely Amazing,"This is the type of architecture we expected to see here in Russia and it amazed us both inside and out.  It is a pleasant walk along the canal and we saw a man feeding sparrows on his hand, which made our day.  A simple pleasure.  There are many stalls lined along the canal walkway selling Russian Dolls, Faberge Eggs, tat, etc.  A must see when ih this Fabulous City."
Beautiful Church with incredible history,"Though it was under repair when we visited, this church was still an incredible piece of history to see. The incredible mosaic art on the interior walls is truly breathtaking, and the arc created over ""the spilled blood"" is quite something (you can almost feel the weight and gravity of history here!) It's not a long visit activity, but a good 30-45 minutes gives you enough time to see it all and read about the history - although seeing this stop as part of a tour would probably be your best bet."
Amazing architecture and history.,"Amazing architecture and history. The church was built on the site where Czar Alexander II was assassinated in 1881 & was undergoing external renovations when we visited in August 2019. The intricate and massive mosaic panels were created by leading artists of the time. The visit was extremely rushed and the inside was over crowded, as it is very popular with tourists, making it a rather unpleasant affair. We were warned not to take any valuables (including passports, wallets etc) inside by our guide as pickpockets frequent the site. Not to be missed when in St Petersburg but could have been a better experience."
Amazing!,"This being my first trip to Russia, I was amazed at the historical value of what I was witnessing.  Each church tell it own story.  My wife and I were fortunate to have a friend who lives there point our places of interest for us to see while she worked.  This church is under renovation but the artwork on the walls and ceilings is not to be missed."
Spilled Blood Church,This is such a unique and beautiful church and a must see on any Saint Petersburg tour itinerary.  Easy to find too.  Before you go read about the history of the church and all the turmoil surrounding its construction.  The inside of the church is breathtaking!  Don't miss it.
Riot of Colors!,"Amazing architecture, a beautiful festival of colors, the great landmark of Saint Petersburg reminds us very important Historic Events regarding the House of Romanov. The Church on the Spilled Blood blooms at the end of Griboyedov Canal like a rare and exotic perennial flower, stunning the viewer with its riot of colors.Take your time and enjoy your visit."
Ms D,Beautiful ornate antique church with a rich history. Worth seeing. We didn’t have a tour guide but it wasn’t necessary
Must visit,"The inside is even more spectacular than the outside (which unfortunately was partly covered by scaffolding during our visit).  We went independently but there were multiple guided group tours inside, most of which were in English.  If you have time to hang around a bit, you can pick up quite a lot of the detailed information from listening in to these groups."
Good,"I have been familiar with church and christian culture...i turn on candle and speak to my god, it brings me a deep calmness..."
Beautiful,Amazing experience.  Beautiful architecture and gorgeous interior.Marina is a fabulous guide and we learned so much about the history of Russia and her rulers.
Beautiful orthodox church looking like a fairy tale,"This is one of the most beautiful architectural attractions of St. Petersburg. Tsar Alexander II was murdered in 1881 just before this majestic cathedral, which owes its popular name to this bloody historical event. The interiors are wonderful. This is really stunning  interior that is suggested by the even unique and colorful external quality of this worship space and place .  Mosaics inside are very impressive due to their color quantity. It essentially operates as a museum.  Nice access to the entire church along the Griboyedova channel. This is a place   which must not be missed when visiting the city."
Viewed from the outside only,"Visited (outside) on our walk around SP, near the canal there are a variety of tourist stalls. Didn't realise until later that there is a combined ticket with other religious buildings.  Worth the view from the outside to appreciate the architecture."
Picture Perfect!,I was thrilled to see this in person. Beautiful church. Great backdrop to a picture. Must visit Church of the Savior on Spilled Blood!
"A must go, if you don't, I don't know what to say","A fantastic and beautiful church, the inside is fantastic, try not to go during peak hours. I wish I had gone more than once."
"Picture-Perfect, Inside and Out!","We went with Alla Tours while on a 24-hour stopover on our Norwegian Getaway Baltic cruise in August 2019. It was so crowded that we could hardly walk around! But, so gorgeously decorated inside, floor to ceiling filled with paintings, carvings, and very colorful mosaics! It is not a working church but just a tourist site."
Grand and Colourful,Colourful. Entry is ticketed but you can enjoy view from outside. Looks really nice. Esp if its sunny.
An incredible sight,"Amazing to learn the history of this church, and to witness the beautiful art--all of which is mosaic. The amount of time and skill invested into this church is astounding. I visited with a guide so I am not sure I would have learned nearly as much from the English language signage throughout. It was March and just in the middle of coronavirus that I visited so it was pretty empty, but apparently it gets packed."
Beautiful church,"It is a very beautiful church, with amazing paintings on the inside walls. The entry fee is not very expensive and it is worth it."
Beautiful ,"It’s a famous church in the city. When I visited in early March 2020, there were renovations happening, but you could still see a majority of the building and I was still impressed."
Another must see,Definitely add this to your list of amazing places to see another truly breathtaking stop of architecture
Fantastic mosaics,"Very different to other churches thanks to its mosaic walls and ceiling. Beautiful, simply beautiful both indoors and outdoors."
Amazing,"its worth the 3,50 pounds you spend to get in. the colors inside are just insane. People weirdly queue up in the morning to get tickets but i don’t understand why, it’s not busy or it’s not that tickets sell out (?!)."
A Striking example of modern day iconography and wall painting,"We visited the church around 9 pm after dinner. Yes, it has a late evening entrance. We were struck by the modern day rendition of the medieval church paintings. A remarkable architectural piece. It is built at the place where the Tsar Alexander II was assasinated."
"A Must Do, when in St.Petersburg","We visited the Church of the Savior on Spilled Blood as part of a 2 day cruise ship excursion, which got us inside with a minimal of waiting.   Fabulous!   Very busy and hectic, but completely worth the visit.  Lots of old religious icons and art.  Amazing.  Get there!"
Church of the Savior on Spilled Blood,Amazing how they create the interior artworks in mosaic tiles. A must to visit when you are in St. Petersburg. One of my favourite attractions.
Must see,An amazing building inside and out. Entry tickets are very reasonable and can be purchased on the machines outside (cash or card). Has to be seen while in St P.
Amazing Church,"Highly interesting structure, inside and out.  Lots of shapes and colors blend to a spectacle; granite, marble, ceramic and lots of stuff of which I don't know the names.  Apparently built on the spot where Tsar Alexander II was assassinated.Has been restored to excellent condition."
Beautiful Church with Interesting History,"This church is really interesting, pay attention to the floor, it's a mosaic and each one is different. Plus the onion domes are just really cool!"
One of the most iconic attractions of the city,"We passed by the Kazan Cathedral and then walked along the channel embankment to Church of the Savior on Blood. The Church of Savior on Blood is quintessential Russian architecture with onion domes. After paying 250 Rub entry fee per person, we went inside to explore. There are numerous interesting mosaic work inside the church as well as the notable spot where Emperor Alexander II was assassinated."
Very beautiful,Beautiful both in and out and a reasonable price to visit. Go in the week when it's much quieter and beware of the pickpockets.
A sight not to be missed,"Unfortunately the church spires are under repair so presently partially covered up, but when the renovation has been completed the beauty in all it's splendour will be revealed."
"Extravagant mosaic work, beautiful interior",Beautiful mosaic work murals and serene atmosphere. you can feel the history of its place and it's one of the landmarks that should not be missed.
The must see,"Very beautiful place, you should see it for 100%. Gorgeous, the best place in Saint Peterburg, I definetely come back here"
Fabulous,"Well, it's unlikely that anyone who visits St Petersburg will miss this lovely iconic church. A visit there is not mererly to tick off the box but purely enjoyable and a divine experience. Keep aside atleast an hour for the visit."
Church of the Savior,Absolutely amazing building and history coming out of the walls. Loved it.Our guide gave us so much history of the buildings and its character.
Most amazing orthodox church I have ever seen.,"Simply extraordinary. Impressive Mozaic work inside, grandiose marble altars. Worth seeing if you are in Sankt Petersburg."
Amazing church. Must visit.,It is well worth an hour of your time to see the amazing frescoes adjourning the walls. On the way to the hermitage museum as well.
Worth a visit,This elaborate and awesome building is a short walk from the main shopping street. It won’t take long but it’s definitely worth a visit. Great photo spot
Historically and architecturally interesting church.,Built on the site of the assassination of Emperor Alexander II this is an ornate and beautiful church in the Russian style. It is centrally located in St Petersburg and well worth exploring.
Church,So impressive a must visit! Recently renovated itt surprises you pleasantly when you enter and impresses you with the inside!
Awesome,Unbelievable artistry. Creating what looks like paintings inside with tiny glass tiles. Hard to believe it’s possible! Really hard to take it all in.
Architectural masterpiece,Last August my wife and I visited St. Petersburg and our visit to the church of the Saviour of the Spilled Blood was one of our highlights. The church is absolutely glorious and in the sun of a summer's day is an absolute stand out.
