title,text
A place of historic significance that will teach you a lot about WWII's way of life,"We discovered this place, funnily enough, for a Valentine's day special. They had organized a whole event night, with dancers and dance classes from the 30's-40's, and an underground bar, everyone was supposed to dress up in the WWII style, it was really awesome. The exhibit itself is really fascinating, if you're a history buff, this place is for you. It has been preserved as it was during the war, and it's a great visual learning tool for kids too. It really makes history come alive. Loved it!"
History  made really good ,Good place to visit 4 all especially  history geeks and good gift shop 4 all and not too dear i found
Informative and interesting tour,Spent a couple of hours at the War Museum and it was very informative and interesting. Due to  Coronavirus I understand the museum was unusually quiet but it meant we could walk through each section at our leisure.The restoration of the rooms and their contents were the most inspiring part of the tour and great to add more of a background to the recent film.
Interesting ,"Very interesting tour, though it was a little unclear at times the route to follow to get the best experience.All staff very friendly"
Excellent visit,"Very interesting, spent just under 2 hrs going around. Hard to believe a war was planned from a basement with such basic equipment.  Fascinating place."
"This is an absolute must see. Its worth every penny.
You will be happy you visited.","Give yourself a minimal of 2 hours, if you have time 2.5 to 3 hours. The museum is fascinating and you need to take your time, there's so much to see and read.It's both fascinating and humbling to see how people coordinated the war effort 24/7 and only 80 odd years ago too! A morning very well spent."
Interesting historical exhibition,"Fascinating insights into Churchill's life and career, and how the war was run from cellars under WhitehollFascinating insights into Churchill's life and career, and how the war was run from cellars under Whiteholl"
Fascinating!,It was my husband that wanted to visit here but I wasn't sure that I would enjoy it - how wrong I was.   Absolutely fascinating!  We spent two hours but could happily have stayed longer.
Well worth it,"If you are remotely interest in one of the most culturally and historically significant periods in British and European history, and you have an interest in famous figures and how they deal with those periods in history, then this is a fine visit for you.  Walking through the corridors of the underground monument you get a clear sense of importance.  The exhibition about Churchill himself is incredible; detailed, informative and enlightening - I reckon even a Churchill expert would learn something.  A highlight is the original door to Number 10 before anti-terror measures were installed."
Churchill War Rooms,Really interesting experience. Would recommend for anyone interested in Churchill and visiting London.
interesting facts,Lot of things to discover here. Off the beaten paths from main touristic attractions. also good for kids from 10 yo I would say.
Interesting vist,We visited in August 2020 as London was very quiet. Interesting place to visit and see where the control room for WW2 was! helpfull staff and great social distancing. You must book
Very informative ,"Wanted to come here for a while after watching the film. Did not disappoint at all! We learnt so much and the atmosphere felt very real when walking around.  Using the hand held guides was very easy and learnt a lot. Took a good hour and a half to go around, but would of taken much longer if we looked into everything properly.  Very much worth a look."
Churchill Rooms,"Well worth the look, get there early before crowds. We bought tickets on line so skipped the cue. Not a fan of the listening devices rather walk around at my own pace and read.  Absolutely fascinating."
Enlightening ,"Visited the Churchill war rooms a couple of days ago and wasn’t sure what to expect but it was rated highly on trip advisor so gave it a go. Thoroughly enjoyed it and found it informative and enlightening. We have previously been to Alcatraz in San Francisco, wall museum at check point Charlie in Berlin and the War remnants museum in Vietnam but we have never done our own history. Would recommend a visit and it is probably one of the best ways to spend a couple of hours on a wet day in London"
Interesting visit,"The historical significance of Churchill’s War Rooms is unquestionable, and it was great to tour the tunnels from where he commanded troops, legions and made the critical wartime decisions that positively affected our futures. However, I must say the audio guide and tour felt slightly repetitive after a while. I came away without too much new knowledge of Winston Churchill to tell you, but having visited the War Rooms is an experience in itself."
Amazing,A very fascinating look into our history. Well worth the visit and I highly recommend it. Buy online before you attend to avoid the queue.
Fantastic visit. Makes you proud,Have been wanting to do this visit for some time and we were not dissapointed.It really is a fantastic insight into the life and times of a Great Britain.Great displays and thoroughly enjoyable.Can't recommend it highly enough
1pm,"We visited today as family with teenagers and throughly enjoyed the visit. Great audio tour and we all learnt loads and could have stayed longer as so much to see. The visit was really enhanced by a volunteer helper Lee Harris who was very knowledgable and helpful, telling us lots of interesting stories and showing us how to get the most out of the different exhibits. Thank you so much. Highly recommend a visit to this very interesting museum. Very COVID friendly too."
Very interesting part of history,"I loved this tour it was totally unexpected very informative and interesting about a special part of British history,"
Really unique museum,Spent a good three hours learning about the cabinet war rooms and reading through all the information in the Churchill museum. Staff are friendly and helpful. The lay out has changed to make it one way because of Covid so was a bit confusing. Could do with the regular signs being covered up whilst the new one way system is in place. The audio tour is really informative.Really enjoyed our visit here - make the effort to come and bring the children.
