title,text
Beautiful city,"Old world charm, beautiful locales, lovely heritage and remarkable lakes, the city of Udaipur has something for everyone. It is romantic, mystic and historical."
Just a hype and overrated!!,"It is just a one time watch if you are visiting Udaipur for the first time.Nothing found such interesting.entry ticket is 350₹ per person. You can hire a e-car till the entrance gate of the palace for 50₹ per person,of-cause this place is large but there was nothing within the walls that shouted out that maharajas and maharanis used to live here."
Amazed!,Best place to visit in udaipur. Amazed to see such a huge creation and history related to it. A must visit place in udaipur
Must visit in Udaipur,Amazing place. Take a guide to listen to all history with palace. Will definitely make you awe. Scenic views. Well maintained heritage.
Beautiful heritage in the city of lakes,Enjoyed really well... neat and clean. Well maintained.. safe to visit in this pandemic.. beautifully presented each and everything.
palaces & lakes : unbeatable combi,"a lovely trip with family & friends , and their families , for a 3 night stay : darshans , food , walks , food , sajjangarh, food , lake , food , boating , food , palaces , food ......delicious !!"
Excellent place,Excellent visit and place to be. Will definitely refer others. Very friendly people. Will plan to take another trip.
Good,Ok nice place ... atmosphere's nice  Nice   NiceNice  Nice NiceNice      NiceNiceNice good connectivity nice to vist
Cultural City Palace.,"City palace of Udaipur is a marvelous architecture. It showcases the culture of Rajasthan in every way. It make you imagine the lifestyle of the kings and queens. How they lived, what kind of clothes they wore, everything.You can find the vessels and tools used in the old era,…"
Lovely place to visit ,I’m in love with this place.. I really appreciate the detail in the history and meanings behind so many things in the palace. Often we visit these places
Nice Feeling ,Awesome palace Any word would be less to explain how beautiful this place is. It took 3 hours to cover this place. Due to the weekend there was a great rush.I was literally wondered by the beauty of this palace. It still shines like it is newly constructed. I highly appreciate the architecture and the skills of the people who built this palace.
"Udaipur, great place to decompress","A trip to Udaipur is a tryst with royalty, a dalliance with indulgences. Udaipur is a great place to decompress and enjoy life after traveling around India for a while. You can’t spend three days in Udaipur without visiting the City Palace. The City Palace is actually a number of separate palaces constructed over a span of 400 years. The entire complex is now a museum open to the public, except for Shiv Niwas Palace and the Fateh Prakash Palace which both have been converted into heritage hotels."
Beautiful palace and a must see in Udaipur.,"Our guide gave us a very instructive tour of the palace and the crystal gallery and although, because I find lots of stairs difficult, I was unable to visit some of the rooms the whole visit was extremely interesting."
