title,text
"""Amazing view""",Nice and Beautiful experience with Coaker's Walk. Coaker's Walk is one of the most popular attraction in Kodaikanal. A good place to have a relaxed and peaceful walk with family..It is also one of the main attraction in Kodaikanal. The entry is Rs 10 and camera fee is Rs 20 and Amazing place to see kodaikanal from the top.
Breathtakingly Beautiful Sight !,"Holidays in Kodaikanal are incomplete without a visit to the Coaker's Walk, a beautiful man-made one km long walking plaza built on the mountains in the mesmerizing city of Kodaikanal, Tamil Nadu. The lovely path of Coakers Walk that curves by the edge of the gorgeous mountain have been constructed mainly for visitors to get a glimpse of Paradise on Earth. It is a preferred location for morning and evening walks to admire natures beauty.The Coakers Walk is named after by Lt Coaker, who constructed it on the steep slope of the mountains. in mid eighteenth century & is about half a km away from the Kodaikanal Lake. The pathway is fenced by the edge of the mountain for the safety of the visitors.It's a favorite location for activities like walking, cycling, sightseeing & photography. A walk here is a unique experience to capture the wonderful lush green valleys and the hills of Kodaikanal and make you feel like walking amongst the clouds.Breathtakingly beautiful sight indeed !"
Excellent mountain views while walking,The view of mountains while walking is mesmerizing. It feels like walking through the clouds.The place is beautiful and worth visit.
Enjoy a Scenic View of the Valley,"You need to walk some distance through the well-paved walkway. During Dec - Feb you can enjoy the mist. Also, a breathtaking view of the valley can also be enjoyed."
A walk to cherish,Coaker's walk is a must visit if you are in kodai. You will enjoy clicking off if you love sceneries with breath taking views on one side as you  walk. We were lucky as there was no mist and we could see the valleys clearly. Entry fee Rs.35 per person is a bit high.One entrance opens at 9am while the other  opens at 7:30 am.Loved the lemon tea we bought from street vendor in the walk.
A nice walk!!!,"Provides great views and makes for a pleasant walk. There are small shops who deal with handmade goods and articles. There is also a provision for an observatory, but, this was hardly of any use due to the poor visibility in December."
Coakers Walk,"The best place to visit in Kodaikanal, this place is close to the heavens and you can have a spectacular view of mist within the mountains."
A walk on the slope of the mountain,A 1km long man made walk on the slope of the mountain.  Take a walk around while getting mesmerized at  beautiful valley  & mountains.
A walk through clouds,We went on a weekend to Kodaikanal in February and decided to explore the area. The whole place was filled with clouds and we captured some really cool pics. We also had some hot tea to go with the weather.
Good View from Coakers Walk,Good View from Coakers Walk. Its a nice km long walking track. Can be done once during your stay in Kodai. Has an entry charge of Rs 30/person.
Great experience,"It’s an awesome place, just that you need to visit at the right time (during sunrise and sunset). A 15 minutes walk of this place would give you long lasting refreshments"
Unique Walking Track,I think this is a first for me to see such walking track combined with beautiful views on one side.  Cool weather with warm sun light on clear days makes it an amazing experience
Interesting and beautiful but pick your month,"This is a 1km walk alone a cliff overlooking Kodaikanal park and leading to the lake, after a further distance. The views are fabulous if the day is clear but the valley easily fills with mist in Jan-Feb. So go later in the day when the mist has lifted - say after 3pm. There are many small stalls selling souvenirs and artistic stuff, nibbles and some hot food.  The safety fence had collapsed in some places so be careful with your kids - bikes not allowed anyway. At the end of the Walk, it is possible to access downhill to Kodai Lake with all its amenities and the ornamental park. I imagine it gets very crowded May-Oct, but we walked with no difficulty.  A nice way to spend an hour or so."
