title,text
A beauty spot but.......,A little bit of paradise in North Goa but unregulated & very polluted.The government just does not care.The locals tell me of how the fish stock has been decimated since the last 20 years.What a shame.And the DOGS!
Coco beach,Heard a lot about the famous coco beach !!!! To say it was a disappointment is an understatement the place wasn’t clean even by Indian standards we will not make an haste return
Day out trip,Went to coco coco with a dolphin trip with John's tours it was our second time here well worth the time
OK OK beach,"It was not very clean beach, but fine beach compare to others like candolim, etc.  This beach for taking boat for dolphin view. They charge 300/- per person."
coco,its has nice place and if you visit 4 places from there and boat facility are also available and 300 rs per person you should pay for this
Small & Good beach!,Coco beach is not big and so famous as like other beach of Goa yet small and beautifully maintained beach!
Dolphinnnnn spotting,Ok. So two things! You do spot the dolphin and it’s a sight specially before 12 everybody we met came back happy! The counter for tickets is right there at coco and for 300 rupees you are taken for a boat ride and after dolphin shown the famous old jail and lighthouse! Worth the money but people need to be better! We enter dolphins territory and to see plastic bottles right in the middle of sea floating is disgusting ! please be a little responsible with your belongings in somebody else’s house:)
Nothing special,Beach. Too many boats for swimming. Only really a starting and departure pioint for dolphin spotting. Wouldn't go there otherwise
Nice,"We visited this place to experience the dolphin rides, not great but i was good experience. also get an sea view was superb!"
Where is the beach ??,"Coco Beach is crap !! There is no beach at all. No shacks, no place to eat. Not even golden sand. A place to be avoided."
Beach for Boarding fairy for Dolphin trip,Average location for boarding fairy for Dolphin trip. Nothing special about place. Cab driver Just take to this place to get their cut from fairy owners
nice beach for dolphin sight,"Nice beach for dolphin seeing.Go directly to the boats counter and buy a ticket, you can bargain if you have more persons with you. On the way you would find lots of people asking you to go for dolphin seeing, they get a commission when they take tourists to the counter."
dolphin ride coco beach,"very nice dolphin rides at coco beach with beautiful sea view , light house,bungalow which are given for shooting and all.lots of sea Shell's are there at coco beach nice place"
Dolphin trips!,"We went to Coco beach as it was recommended by our fabulous taxi driver. We had a boat trip which lasted around an hour. We saw some of the local landmarks, the fort, prison, and Millionaires villa which are along the coastline. We then went further out to see if we could find any dolphins....we did!  Loved the trip, wasn’t expensive and was fun!"
