title,text
An Oasis in the City,I love the Denver Botanic Gardens.  it's an oasis within the city to escape to if you love being in a natural environment instead of a concrete world. I enjoy the serenity and calmness I get when I visit there. Their exhibits change so I am constantly learning new things about plants. I am a member so I get to go as many times in a year that I want to.
Wow!,"This is a beautiful and Very expansive garden,. We spent two + hours there. If you like botanical gardens this is a must see."
Amazing,its like an oasis in the middle of downtown. They could let everyone know that many of the exhibits are closed due to covid distancing.
Worth seeing!,"The Botanic Gardens are well worth the time to visit. We came in the fall, but there were plenty of flowers to see. In the winter there will be lights as well. Bring tissues if you have allergies!"
Beautiful + a Chihuly,This garden is on par with other big city Botanic Gardens plus they have a Chihuly!  There are many themed areas and they are all beautifully done!   Unique to Denver Botanic is the area with the metal gates and bee boxes.  They also do a great job with plant identification signs.I know other gardens do this too especially on weekends but it was disappointing with all the buildings closed because of Covid to also have 2 other garden areas closed for special events and photographers blocking areas to take bridal pictures.  Plus a number of people sitting in garden areas with their laptops.   If you can come during the week you probably would not have any areas blocked like this.The Hive salad was a little pricey but delicious and a great setting overlooking the pond
Very Relaxing,"I've been to a lot of gardens around the country and I was impressed with the Denver Botanic Gardens. The place is not huge, but they really do make great use of the space. Due to the pandemic the indoor exhibits are closed, but you will find a lot to see outside. Make sure you go on their website to reserve a time."
BEAUTIFUL,Visited this place with my mom... If you like walking in a peaceful and nice place then you definetly have to go there... took some super stunning pictures also
Enchanted Gardens,Beautifully and serene.  Great escape from the city. Relaxing stroll through gardens with no stress from outside world.
Beautiful Place,This was our first time visiting the Denver Botanical Garden and the overall experience was excellent! The garden staff were friendly and helpful.  The Garden requires a time slot reservation in order to stay within the city coronavirus protocol. The Botanical Garden we're beautiful and well laid out for the visitors.  The Garden shop was open. But it limits the number of people inside.  The cafe was open for food and beverages. The Botanical Garden have free parking available. Worth the visit.
Wonderland,"Unbelievable how much beauty can be crammed into 24 acres! Wonderful, quiet Sunday morning filled with a pleasant surprise around every corner!  Not enough time today.  We’ll be back!"
Beautiful Grounds,The Denver Botanic Gardens are the perfect place for couples to go and check out on a date or families. They have great signage to help you identify many of the plants that they have.
Beautiful Botanic Garden,The garden was small but beautiful.  The refreshments that we had were also good and we were able to socially distance and find a place to enjoy our drinks
Always a winner,We've been here a few times and always love it. So much to explore and places to relax. I love the Japanese gardens and the bonsai collection. And finding the round hobbit archways.
Beautiful,Beautiful gardens all year around--lived in Denver for 20+ yearsWearing a mask in the hot summer is not ideal--but that is the world we live in right now. The staff are going overboard enforcing it though.
Beautiful and a delight,Went on a whim and damn happy we did. The flowers and walk paths were the perfect break from walking around the downtown area.
Beautiful,"A hot day - but not unbearable.  Not crowded (be sure to get your ticket online and show up in your allotted time frame).One place was open for food and beverages.  Everyone was very polite.The gardens are beautiful!  I think with a lot of the venues inside closed, just walking around takes a couple of hours."
Peaceful oasis within Denver,"We enjoyed our visit, even though I was probably the only gardener in our group.  The variety, multiple garden “rooms” and intriguing settings were interesting for all.  We found cool shade in several spots, some entertainment with the eager koi fish in the lovely Japanese garden. (No, we did not feed the fish, although they definitely seemed to expect hand outs.) I will take many simple ideas home to our landscape."
Walking path gardens,The gardens were well maintained and there were hand washing stands throughout. The fountains were not on but it was still nicely kept.
Very pretty :),"Family of four visited on July 4, 2020.  The gardens are very pretty and scenic, if your interested in plants.  Masks were required, even for small children.  A lot of exhibits were closed, but there we a number of accessible restrooms.  Parking was free, but admission for 2 adults and 2 children was around $53."
A top place to visit in Denver,"I loved Denver, and this place was one of the main reasons!I've been to Botanic Gardens all over the world, and this one was in the top tier.We visited during the pandemic--but the place accommodated people very thoughtfully.It's huge, btw, and will take a lot of time to experience.Even if you're not a plant person, you'll enjoy the colors--the details--the meandering walkways."
One of the best I've been to in North America,If you like gardens plan at least two hours here to enjoy and relax.  Great place with lots of Rocky Mountain exhibits.
Picnic at the Gardens,"We went the other evening for a picnic with friends.  It was easy to get tickets and with limited admission, it wasn’t crowded.  We have been there more than once recently and we enjoy the fact that each visit is different based on what plants are in season."
Fun place to walk around and look at nature. Adjacent to a big city park no shortage of things to do highly recommend yo,Fun place to walk around and look at nature. Adjacent to a big city park no shortage of things to do highly recommend you go
Great destination,"I took my extended family here on a rainy day without enough time, but it was still good. There is a lot to see and they have nice paths set up, along with some inside areas to escape the cold/rain. Don't miss the rainforest building; it's really special. There is a very nice gift shop and I have had a lovely lunch before here too."
Beautiful Garden,"We had a wonderful morning with young grandchildren at the Botanic Gardens!  Due to the coronavirus attendance restrictions, there were minimal crowds and the flowers were absolutely gorgeous. There are plenty of shady spots to sit down and relax.  We can’t wait to return!"
wonderful activity for anyone,"A wonderful evening activity for anyone or group. We saw people with snacks and drinks which looked quite relaxing. It could take 30 minutes or all day, depends on how much you like looking at flowers."
I go here to relax,A wonderful place to take a few hours to walk and soak in the wonderful outside plant atmosphere.   It is a stress-reliever for me.
Great destination,"I took my extended family here on a rainy day without enough time, but it was still good. There is a lot to see and they have nice paths set up, along with some inside areas to escape the cold/rain. Don't miss the rainforest building; it's really special. There is a very nice gift shop and I have had a lovely lunch before here too."
Nice way to spend the day,"Walking thru the gardens is not just about plants--there are sculptures, seating areas to reflect and much more. Gaze at the fish and stand under a tall tree--all nice escapes for the day ."
Disappointing visit - weather and current events played into it,Because of the pandemic all the indoor displays were closed. Outdoors was pretty dead and desolate nothing really was in bloom - no bonsai on display. Nice layout and spread but really nothing much to enjoy maybe because of the weather and the current global event.
Breath taking!!!,We went to the botanic gardens for their winter Christmas display - it was breath taking and a wonderful experience for the entire family - HIGHLY recommended.
