title,text
Amazing experience,Best place to enjoy the silence of nature. Meditation hall was mind blowing and must visit place in Coimbatore
Wonderful meditative ambience,"It is a wonderful place to sit and meditate. The atmosphere is very conducive to higher states. Due to the high flow of people and to avoid interruption during meditation, every 15min a bell rings allowing people to come in and out."
Perfect ,The perfect place for meditating in silence. The overall ambience and the structural brilliance of the place is simply amazing.
This was an amazing experience.,If you want to find out the basic in life this is it. This is true you find out your inner balance and if you stay for a week or longer you will have great food in great company eating in silence. There are different options for lodging from the very basic to more luxury. There is a great spa and you can signup for courses and free yoga.Very much recommended. Look up Sudhguru and find YouTube and listen to Sudhguru. He explains the most complicated issue in a very understanding way.Thanks Christina
Powerful,"The bold, strong and powerful existence of the dome and the Linga within it, overwhelms you into a meditative state. If one is evolved to an extent, and comfortable with oneself and the quietness of mind, they may relish the experience. Else, it can be eerie and cause discomfort that one may want to strut away asap, not even sitting through the brief 15 min time that is usually given. Coughs of adults and whimpers and crying of children spoiled my experience, but experiencing this is good."
A powerful energy force conducive to meditation,"It is like no other place I have ever been. As soon as you are in the vicinity  of the Dhyanalinga you go into another state of being. I was in awe of the energy that was transmitted and kept wanting to go back there again and again. It is a powerful experience to meditate in the presence of the Dhyanalinga. I highly recommend going if you have the opportunity, it has the potential to transform your life."
Totally relaxing,"Visited here during a business trip to Coimbatore and was stunned by the peace and tranquility of the site.  Yes it is becoming commercialised but so are many visitor attractions around the world.The temple visit was, although not a particularly religious person, energising and relaxing! 15 minutes of contemplation where I thought of nothing but my mother who passed away 20 years ago.The Shiva sculpture is enormous and awe inspiring and although busy very well worth a visit if ever in the area.Made my trip to Coimbatore so much more enjoyable."
Interesting,"Really enjoyed visiting Adiyogi Shiva and Dhyalinga temple. All staff/volunteers were very smiley and welcoming, I was left with a strange feeling about the foundation. Definitely worth a visit and a Google!"
Best place must visit,Superb energy .. Must visit...it is spiritual place.. Any one can visit irrespective of cast creed religion..
So peaceful,This temple is in Isha foundation. This temple is so nice and peaceful environment. This temple gives different happiness to our mind.
The most powerful meditation spot I have experienced. 15 minutes passes like a minute.,"Visiting Dhyanalinga after taking a dip at the nearby Suryakund (for gents) or Chandrakund (for ladies) you experience the awesomeness of the space. It is energetically charged, and slipping into serene states of meditation is easy. Especially recommended during new moon and…"
Excellent experience,"Dhyanalinga is a form of Shiva created by Sadguru, to bring life force focused on one's growth. I arrived around 3pm. It took us around 2-3 hours inside. To enter one has to leave mobile and shoes outside. The whole visit starts with a dip in a pond specially created. The holy…"
"mesmarising, peeeeace","Goood place to visit, All together appears to be difference place no comparision to any existing place in india. Could be better to plan to visit the place by 4:00pm onwards so that sadguru may be avaialble during evening.   During meditation @ dhyanalinga,  i sensed lot of…"
"Amazing ,calming & unique","Peaceful,fulfilling experience, amazed by the clockwork functioning ,people are v.friendly & polite. Must visit"
Inner peace,"If you want to go in search of inner peace, then this is the place to visit and stay there for a couple of days."
Unexplainable peaceful place!,"Dhyanlinga, the place, I would like never to leave this place. Where I automatically cut off myself from the earthly world, without any special efforts! Wonderful experience cannot be described in words!"
A day out at Isha foundation ,"One of the largest linga temple I have visited.Very organised ,clean and peaceful Zero discrimination!Clean and hygienic toilets Vegetarian food available for purchase apart from prasadams provided by the foundationBhairava carts available for ferrying people from dhyana linga to parking lotMust visit if you are around Coimbatore"
Tranquility at its best,"The Dhyanalinga Temple is one of the most peaceful places at the Isha Center in Coimbatore. The absolute quiet inside the dome can make even the most distracted person meditate. A bell rings every 15 minutes, signaling people to enter or leave the temple without disturbing anybody. Make sure to bathe in the Kunds before entering the Dhyanalinga for an even more meditative experience"
Peaceful ,"Very peaceful, it attracts you like a magnet. Puja done twice a day is simply awesome. No elaboration here but touches you to the insides. Grace is there, but are we ready to receive it , is a question . Felt the magic for sure 🙏"
Amazing peaceful place,Go there only if you wish your peacefulness to permeate through you. Best time to visit: early mornings. Avoid weekends. Also try to be a part of the naad aradhana that happens twice a day.
Quiet and peaceful,"Impressive place, but also raises expectation of a mind blowing inner experience which it was not.What was lovely was to see so many respectful quiet people waiting their turn to spend 15 minutes in contemplation.Perhaps I expected a deeper than normal meditation in such surroundings.. So entirely my fault I'm disappointed in that count."
Good,"Dhyanalinga temple, beautiful temple, overall good atmosphere for pray and relax , located in a beautiful place"
Spiritual,Very very very very Spiritual and rejenuvating experience to achieve..rare chance to have such experience
Heavenly feeling,"I do not know what heaven is feels like but if highest level of satisfaction is the goal then definitely this place. Just be there and close eyes, everything happens by itself."
Must visit,I have done my Inner Engineering and Shoonya meditation from Isha. I do meditate daily. But if you meditate inside Dhyanalinga then you can feel the difference. All the energies flow inside you. And there is only positive energy. About one and half hours drive from Coimbatore by cab. It will cost about 600-900. I will suggest to check both Ola and Uber fares before booking.
Meditation Place,It's a good place for people who are looking for meditation. Well managed and volunteers are their to guide and support  .One can not take phone inside and can't click pictures.
Divinity at its best,"Located in the foothills of veliangiri hills , an hour drive from coimbatore is a place not to miss. Isha foundation manages this temple and peace and serenity are at its peak. If you are a meditator ,this is the place for you. You come out of this temple as a different and new personality."
ECHO Environment,Must visit this place to see how they made individual block with echo. I personally felt some negative vibration in this ashram.
No Pictures allowed,It was ok for the purpose of the visit but I felt like something weird going on there. All the staff looks like they have been brain washed and honestly felt like they were walking zombies. They will not let you take pics apart from the giant Shiva statue. They even ask you to leave the mobile phones at the check in area. It is free to visit. But little odd!
