title,text
Mesmerizing place for History & Archeology Lovers,"Though this place is a bit far from the main Abu town, it is one of the must visit site. Especially the stone carving work of these temples will make you say WOW. Photography inside this place is prohibited and a small token fee is charged to enter."
Architectural Marvel,"Dilwara Jain temples are one of the finest pieces of Architecture in the Indian History. The temples located just a km away from the city center are also a major tourist attraction in Mt. Abu. The Jain temples are famous for its carvings. There are close to 7 different temples within the complex and each of them seem to compete with each other on the architecture front. The top of the temples looks rustic and untidy, specially designed to prevent it from being looted and destroyed. The temples have a great piece of history and you surely need a few hours to enjoy it fully. It is open only to Jains in the morning and tourists can visit here post 12 pm once the daily rituals get over.…"
The Best,This is the place where you will lost yourself while watching the workmanship on the marble stones of this temple. Photography strictly prohibited 
Dilwara temple,Superb cravings of the temple one should visit.... un fortunately no photography allowed.. Also no footwear allowed inside as the said being a temple..
Great temple,1ooo years temple.world heritage temple.great Arctic work in the temple.great monument it is and outstanding temple.
Beautiful architecture at Dilwara jain temple,The finer details and intricate carvings at Dilwara jain temple on white marble is worth watching.  They do not allow us to photograph inside the temple. Beautiful piece of architecture. enjoyed our visit. A must visit in Mount Abu.
Dilwara Temples (Architecture at its Best),"Dilwara TempleIt is Pilgrimage Place of Jain's and popular tourist center of Mount Abu. The beautiful Dilwara temples are carved between the 11th and 16th centuries in white marble and intricate marble carvings reminds you the carvings of Orcha and Khajurao. The temples are dedicated to the Jain Tirthankara’. Brief of about TirthankaraIn Jainism, a Tirthankara is a saviour and spiritual teacher of the dharma. The word Tirthankara signifies the founder of a tirtha, which is a fordable passage across the sea of interminable births and deaths, the samsara. According to Jains, a Tirthankara is an individual who has conquered the samsara, the cycle of death and rebirth, on their own, and made a path for others to follow.  Digambara sect believes all 24 Tirthankara to be men including Mallinatha. Our Visit, We visited the temple around 12.00 noon.  Since it was February, the weather was pleasant at Mount Abu. The temple was more chilled than the outside temperature. The ambiance was peaceful and serene and gave lots of peace to mind. We spend almost an hour because every pillar and ceiling was full of carvings with so much of perfection. I lossed in thoughts of these divine artist who have crafted these beautiful carvings long back when there was no advance engineering and amenities. How must be the pure soul of such amazing artist? A Big Salute to those beautiful souls.Temple Name 	Dedicated to 	Tirthankar	Built in 	           Built  by Vimal Vasahi	Shri Adinatha	1st	                1031 AD	          Vimal Shah , Minister of                                                                                                                   Bhima I, the Chalukya King                                                                                                                   of Gujarat Luna Vasahi	Shri Neminatha	22nd	1230	                    (Vastupal and Tejpal )Porwad Brothers, Ministers of Virdhaval, the Vaghela ruler of GujaratPittalhar	Shri Rishabhadev (Shri Adinath) 	1st		Bhima Shah, a minister of Sultan Begada of AhmedabadParshvanath,	Shri Parshvanatha	23rd	1458	Mandlik and his family Mahavir Swami,	Shri Mahaviraswami	24th (Last Tirthnkar)	1582	Painted by Sirohi in 1764Amenities Facilities are available for bathing, which is mandatory before puja is performed for the idols. These facilities use passive solar power to heat up the water for bathing and other things. Guided tour hours for tourists are posted outside the temple.Note: 1.	No Entry Fees.2.	Mobile, Camera Bags are not allowed in the temples. They need to be         deposited at the fees of Rs.25/- in the Locker."
MIND BLOWING CARVING HERE!,"Located amidst the lush green Aravalli hills of Mount Abu in Rajasthan, the Dilwara Temple is the most beautiful pilgrimage site for the Jains.It is a famous tourist attraction for its extraordinary architechures. I truly liked their sculptures and carving within temple. It was mind blowing."
Immerse yourself in past glory !,"Temples in Gujarat and Rajasthan have a distinct flavour. One needs to study their history before the visit. If you do this, Dilwara is a photographer's delight !"
Impressive,"The carvings of the main temple are extraordinary, so much detailed work... I was amazed of seeing so much beauty thinking that it was built 10 centuries ago!"
