title,text
Vacation trip,It was a enjoyable ride after quite a longtime. Really enjoyed. Elephants were well maintained and neat.
Most Enjoyable,Very nice tourist attraction spot in elephant junction. Elephant Savari with bath and shower. Excellent ride. Nice place. Overall best tourism place.
Horrible experience with sad Elephants.,"So we thought we were visiting an elephant sanctuary. When we got to this place we saw just two sad looking elephants that had chains around their legs and were providing entertainment to the tourists by giving them rides and laying in really dirty water so tourists could bathe them. If you really care for animals then stay away from this place. I asked the guides how they were caring for the elephants and they said they get plenty of food and water. That's really not the point. These places should be banned, elephants are not there to provide entertainment. I've made a complaint to the tour company as I specifically said at the time of booking that I do not want to go to a place that exploits animals.…"
Favalou,It was like dream come true. We did 30 minutes Elephant ride which were unbelievable experience for both of us.. 😊😎
Chained wild animals. ,"I didn’t feel comfortable knowing that these majestic animals are chained up overnight. Also: The weight of carrying tourists and a trainer on an elephant's back is grueling - and can cause severe damage to an elephant's spine. ""Instead of smooth, round spinal disks, elephants have sharp bony protrusions that extend upwards from their spine,"" Carol Buckley, president of Elephant Aid International, said.    I couldn’t get out fast enough. …"
Amazing creatures,"Several centres allow elephant related activities like safaris, feeding, bathing with elephants, etc.The activities are really wonderful.Children specially enjoy them a lot.A must do activity in Thekkady."
Wonderful Elephants ,"Our visit to the elephant sanctuary was a magical experience. My wife had a ride on a 28 year old elephant called Meenakshi and I was able to take some fantastic photos. We were also allowed to feed the elephant with bananas, which was also lovely."
Elephant ride ,We stay at the elephant court and mr Kamal from elephant court suggests us to try elephant ride it will be good experience for you so We had done elephant ride at elephant junction It was like dream come to ...thank you
Good experience,"The place is nice and well maintained. The elephant ride was amazing, my year old baby too had fun. I was impressed by the photography skill of Mahut. He clicked nice pictures and a video. Although it was very crowded they were managing well and giving the elephants too breaks as needed. The elephants were well maintained."
Joyful Elephant ride ,"After discussing our driver ,Went to elephant junction with 2 kids in morning around 9 ..Kids below 5 years are free for elephant ride .It costs 400/- rs for abt 15 minutes elephant ride . Elephant bath was also available ,but that time it was bit cold in morning ,so avoided that . Overall a must visit place , specially if u hv kids with u ."
