title,text
Its a football ground,Good facilities and transport links .Not really too much more I can say . It is what it is  you go to watch  a game
Soccer World Cup German vs Sweden,Had a fantastic weekend in Sochi watching the world cup soccer game of Germany vs Sweden. The stadium is first class within great hotels nearby
Beautiful Stadium - Especially if you get to watch CR7 score a hatrick at the World Cup,"This stadium is just as pretty as the city. Fisht is rightfully Sochi's centerstage for football. We saw Portugal take on Spain in the World Cup '18. What an atmosphere, what a pitch, what a location."
new and modern and well built,Good new building with good stadumvery modern and well builtThere was about 45 thousands people watching Australia Peru in this stadium
lovely setting,this stadium looks like a spacecraft. the arrangements are wonderful. there are electric buggies from station or bus stop. broad ramps to access seats and upper floors. big service areas and toilets
Spectacular Stadium,We went to Russia for Soccer World Cup 2018....My son played for Peru...so Sochi was a must...Peru vs Australia...The Stadium is Spectacular...View is excellent from all seats..Very well organized the logistics...Always somebody to help you find your way...It has food and drinks really reasonable prices..Location is in the Olympic Village..Adler...Train from downtown Sochi is the best way to go og you are not staying in Adler...It is also accessible by bus.
Futuristic shape of the stadium,I like the shape of the stadium in the context of all the olimpic park. The stadium is a turned whale...View from each seat of the stadium is perfect and access to the stadium too
Great Mudinal game!,Watched the 1/8 (Portugal vs Uruguay) and 1/4 finals (Russia vs Croatia). Great facility and location
Croatia vs Russia,an amazing stadium and lovely access to the venue saw one of the best matches when Croatia beat Russia in the penalties in this stadium.The stadium is next to a beach and has a host of eating joints
Amazing,"An amazing modern venue, great viewing of the field, easy to get a drink, exudes atmosphere. Was functional to enter arena and the service was very good when dealing with ticket issues. Worth a visit"
Impressive,It was built for the Winter Olympic Games 2014 in Sochi. It's located in the Olympic Park in Adler.I was there with my family for Uruguay vs Portugal World Cup match. Great infrastructure. Very well organised. Great experience. Hoping to catch some more games there some time!
Sochi big stadium,The Olympic Stadium of Sochi is a wonderful architecture it was established before the winter olympic games in Sochi 2014. I was lucky to attend the first match in round 16 in the 2018 worldcup. Beside the stadium you can find the park and the big skiing court in Sochi. The good thing that they are near the airport but a bit far from Sochi center.
The best experience ever!!!,Germany vs. Sweden World Cup 2018 Game!!! AMAZING. Everything around the stadium and in the stadium was perfect. The stadium from afar looks amazing day and night. It is impressive and breathtaking.
Excellent,"Very nice stadium. Saw Spain vs Portugal there and boy, did we get our money's worth! As it is smaller, you can see the match properly. And of course, Ronaldo made every second worth it!"
Amazing watching game at Fisht Olympic Stadium,Fisht Olympic Stadium is located along the sea and view from stadium is also great. Excellent facilities and we really enjoyed watching  FIFA world cup game in a great atmosphere here.
Good for football,Watched World Cup football match and stadium was great for this purpose. Approximately a 15 minute walk from the station.
Beautiful stadium,"Thoroughly enjoyed this beautiful stadium during the Panama- Belgium World Cup game.  The entraces are clearly marked. They have good sport event food and decently priced, even though the World Cup was going on.  The stadium is located right across from a beach of the beautiful Black Sea."
