title,text
Wonderful museum with varied collections,"The building is very fine both inside and out. Booking a free timed entry online is easy and the staff are good at explaining how they are dealing with Covid. We went to the top and worked down with one of the best exhibits being in the 1st room; they had some old artworks and then examples of the work done by students studying painting techniques - the skill displayed is superb. There are plenty of very fine paintings from many different eras and far better than you expect from a museum outside London. There are old timepieces, furniture, porcelain and ancient artefacts including some excellent pieces from Egypt. We ran out of time and after a while you tend to get overloaded so we will be coming back again."
Incredible Egyptian section,I brought my dad for the day as part of his birthday and it was fab! Harriet who was looking after the Egyptian section brought it to life in a way we simply were not expecting. She was so sweet and humble. She was willing to take the time to answer any and all questions. Honestly telling us when she didn't know something. She showed us details that if you were not told or knowledgable. She made the trip worth it 1000% more than the beautiful art and artifacts alone. The building is just as fab too. If you get the chance please go see it its stunning.With covid they have made a very clean and safe one way route and all staff were very supportive.
Too much to see! ,"The museum is a great way to spend a couple of hours in Cambridge. The staff were really helpful and friendly, and they’ve got loads of COVID processes in place. There is so much to see that we started skipping some galleries because we couldn’t fit it all in (there are quite a lot of ceramics and pottery which isn’t really my thing personally). It’s worth the admission price just to see the magnificent main entrance hall."
A must do when in Cambridge,"Despite Corona rules this was a wonderful morning spent at this FREE Museum.An amazing collection covering every area of the world, art and cultural gems from every age. Leave time to make sure you see as much as you can."
More than expected.,"More impressed than I expected, most people will find something to interest them. In one room the ceiling was to me more interesting than all the pictures on the walls. However after a couple of hours we hadn't seen everything and my face mask was starting to dig into my ears, so we'll have to come back another time."
A bit of everything.,"There is a bit of everything here. A lovely place to spend a day. Cafe was very good (covid safe). Loved the Egyptian section, and the items from Cyprus. Very well displayed."
Amazing museum,"Lovely museum, they had some lovely items in to look at, staff were lovely and very friendly, loved it"
Wonderful exhibits,Beautiful museum hosting a wide range of interesting exhibits. We especially loved the ceramic collection. Entrance is free but you need to book in advance.
Something for everyone here,"Staff were very helpful, there were hand sanitiser stations around and lockers to use if you need them. It is quite big so lots of room to socially distance but you must pre book a time slot. I went at 3pm and it was perfect, 2 hours is enough time to see everything but you might want longer if you go to the shop or café.  The museum has an excellent collection ranging from sarcophaguses to paintings by Monet to armour worn by soldiers hundreds of years ago. The downstairs rooms are dedicated to objects and ""things"" whilst the upstairs is dedicated almost entirely to the paintings collection (save for the temporary exhibits)."
excellent venue,"one of the, if not the Best Museum's every visited. something for everyone on 3 different levels housed in an outstanding building.really friendly staff, and its all free but can leave a donation if you wish."
Great Museum,"We have been wanting to visit for sometime & not disappointed as probably the best llmruseum we have seen, with great staff and a wide range of quality exhibits. Malt too large & warrants a  return trip"
"Ceramics and armour, what else do you need?","Visited the Fitzwilliam Museum as part of a school project for my son. If you want to visit, you need to book ahead on the museum website. The staff were thorough with their COVID-19 precautions and directed us around the museum allowing for adequate social distancing. Highlight of the trip are the impressionist paintings - plenty to see, so give yourself a couple of hours."
Super helpful staff,"Online booking essential. You can walk around all day if you wish. No hot food in cafe at present. Everything obviously well cleaned. Good for the less able and wheelchairs available, access al areas. Plenty of seats to rest during viewing as there is a lot to see. Online information will show you how much they have. The staff here appear naturally friendly."
The paintings collection is amazing!,"Italians (Venetian school) British from 17th to 20th century, Dutch Flemish and Impressionists. Just a joy!"
Underwhelming ,"The Covid measures make this visit a little uncomfortable as you have to keep masks on all the time. But there are fewer people to contend with.   The exhibits are a bit dry - paintings are dark and dreary (most from the Rennaisance period) but the actual building is stunning and as it’s free, worth a visit."
Art,"Happy I pre-booked tickets for this museum, definitely worth a visit, so many interesting rooms to see, the Italian room definitely worth it!!"
awesome11,"Really enjoyed spending a couple of hours going round the museum. There were a lot of art on the higher floor, I really like traditional paintings and my hubby appreciates modern art and there were a mixture of both (although more my type of art...hoooray!!). My two teenages were a bit bored of the art floor but got really into the artifacts on the ground floor. The age of some of the items were mind-boggling.....2000BC!!!You need to book a time slot in advance, I had to book a few days in advance but I think that was because it was the bank holiday weekend so it was quite busy. We all felt very safe regarding Covid-19 guidlines. Well worth the visit x"
This place is out of this world!,Everything’s masterpiece from Renaissance to Greek artifacts.Cons: You need to wear a face mask inside because of COVID including taking pictures or selfies with the artwork.
Excellent mini British museum,"Last year visited ""the fitz"" as its known locally, for an exhibition on fans with a friend, a lovely museum and an excellent very good exhibition, there are many other interesting things to see as well, really worth a visit."
lovely place,been coming to this place for the past 40 years  some of it has changed some stayed the same lovely since a kid in school and still enjoy it
Questionable Labels,"I recently viewed the new and rather small, but dramatic and challenging exhibition in Gallery 10.The Iranian artist’s own wall label for his work (Action 125) describes the terror and vulnerability of the person they have sculpted, and the times from which it is taken from.  They are sensitive to the victim it portrays.The opposing museum label compares the bound Prisoner of War against the Saint Sebastian (by Renaissance artist Berruguete), also within the room, venturing that the damaged and bound individuals were erotic.  It seemed completely out of place and insensitive.Each of the sculptures are people who are bound and injured against their will, surely this should not be sexualised?  In any other context it is completely wrong and in violation of human rights to do so.Had it been an image of another suffering man (instead of Saint Sebastian), say Jesus on the cross, would it have been appropriate to use the phrase erotic desire? Furthermore the use of the phrase “Temptingly Vulnerable” to describe the Prisoner of War sculpture is encouraging a disgusting behaviour of sexualising someone who is under attack, and clearly not consensual.You shouldn’t need to venture into the bounds of Major Sadism, on the walls of what I used to regard as a Family Friendly museum!  In the same room that local children had their work displayed only last year.I feel like it’s one thing to challenge perspectives and psychoanalyse in an academic article, that can be hidden using parental locks, and another thing when it’s on a wall to be seen by very young impressionable minds.I had not heard of Saint Sebastian being a Gay Icon before visiting this exhibition, admittedly only knowing that the Saint was sentenced to death for converting Romans to Christianity, and about his miraculous survival (though temporary).  The label did nothing to help explain this point, and simply appeared to state it like it was a known fact.  I was intrigued, but the staff did not know of it either.The exhibition ended asking how I as an observer felt about the objects on display, however, I was more mortified by the museum’s label."
