title,text
Stunning Coast line.,"What a beautiful line of Coast.   Pristine sand and such a big long wide beach that even though people were there, you still felt like you were secluded.   Many people were just up on blankets enjoying the views and the day.  The water is super warm and inviting, however Crocs are known to frequent the area, so beware.  Lots of places for photography and lots of places for the kids to play among trees and the sands alike.  And like all northern beaches Stinger season is well looked after as they do net a small area to swim in.   There are accommodation close and there is a little restaurant and fish and chip shop  just up from the carpark, so you could easy spend the day here."
Beautiful Tropical Beach ,"We are from Brisbane area close to Mt Tamborine and we still felt this beach compared to the rain forest and coast line is no where near as tropical as Four mile beach. We loved it and walked along it, however we felt a little sad we could not swim in it as there is Crocs about and stingers this time of year. We still loved the views and how hard the sand was to walk on, plus, if you pay attention, the sands have this silver kinda glitter sparkle to it. It’s real weird yet kinda awesome!!"
Walk the 4 mile beach,Very pleasant walk enjoyed every inch of it with the coconut trees coming right up to the beach. Beautiful clean beach
Beautiful pristine beach,"Wonderful pristine beach, great for a walk at any time of the day.  Great early in the morning when it is virtually empty and great in the late afternoon as the sun is setting.  Very busy during the middle of the day.Great to leave the car at one end of the beach and do the whole 4 mile beach walk and back again.At the Port Douglas end, the beach is patrolled with full life-saver facilities with umbrellas, beach chairs etc to hire.  Free change rooms and showers available."
Morning Walks,Beautiful beach for morning walks. Quite popular. Significant change in tide so had a different feel in the afternoon.
What’s the hype about four mile beach?,Went for a walk one morning - beach is average. It’s flat so that’s great if you want to walk or run
Iconic Aussie Beach,"A lovely pice of sand on the eastern side of Port Douglas stretching south. Out of sight is the Great Barker Reef. Lifeguards made it secure for us, but they did warn about stingers at the water’s edge."
"One of the best beaches I've ever seen, and I'm from NQ.","One of the best beaches I've ever seen, and competes well with the Rainforest and Reef as the ultimate draw cards of the region."
Beautiful,Loved the beach ..great for a long walk and for swimming in the safety of flags good area behind the beach to sit and have a picnic and surf club meals are great
Walking Four Mile Beach is a fantastic way to start and end every day,A beautiful beach - what more can you say? Just a beautiful stretch of sand with palm trees and one side and the Coral Sea on the other. Beware the crocs and the stingers. Walking it is a fantastic way to start and end every day you stay in Port Douglas
