title,text
trivet sangam,"as a result of the lockdown, the river is quite clean. you can easily hire a boat to take a dip in the holy confluence."
"Peaceful, soothing experience, Must Visit",You will find your true happiness sitting on the ghats of Ganges river. Soothing and mind blowing experience. Must visit esp for those who come to see culture and tradition of Varanasi.
"Took an AM & PM river ""cruise""","We had about 48 hours Varanasi and managed to squeeze in 2 river cruises one in the evening and one the following morning.  Both were quite different and both quite interesting. And if I had to pick just one, it would be a toss up as to which I preferred.  The evening ride was more educational, while the morning ride was more peaceful. The evening ride: the process of finding our boat was little difficult and out guide knew who he was looking for!  Once finding our boat, we amazing maneuvered through a sea of parked boats and made our way down the river.  The evening ride seemed to focus on the shoreline crematoriums and while interesting a bit sad for someone not accustomed to seeing it.  IT was a cloudy night so sadly no sunset, but I imagine if the conditions are right that would be beautiful.The AM ride:  It started out alot more smoothly, we found our boat pretty easily.  But the river was MUCH more crowded.  And sadly once again it was cloudy so we did not get much of a sunrise.  I'm not sure you can set up a cruise on your own but be careful there were alot of people coming up to us on the shores of the river asking us if we needed a boat, it seems like an easy way to be take advantage of.  We were there in March and while th weather did not call for it we all wound bringing and needing a little lite jacket or sweater as it gets cool at night and started out cook in the morning."
Once in a lifetime experience,"Came here for sunset ceremony and it was crowded, it was interesting.Next morning woke up early and hopped on a quick boat ride along the river. Great experience if you are in India!"
Amazing atmosphere and colours.,We stayed in the Brijrama Palace hotel and had a river view room.  It is said the river provides the life of the city and we experienced how the Ganges supports the community through out the 24 hour day as local people and visitors went about their daily business.The river is very clean and is relatively wide at this point.  Colour is everywhere.We watched the Aarti ceremony one evening and also took an early morning boat ride to experience the sunrise and the city coming to life.  The calm and relaxed atmosphere was the complete opposite to the highly charged atmosphere of the Aarti ceremony.  You have to see it and you have to take a boat ride.
Sacred Ganga Maa,"Ganves River, the Holy Ganga Maa, attracts crowds of people, from devotees to curious tourists. It's wonderful to sit in some quiet place and simply observe the Holy river and the locals activities there. Amazing!"
Holy River of the Hindu Faith,The Ganges ( and a boat ride on it) are a must for any toursit visiting Varanasi. The crowds of pilgrims coming to visit and the burning ghats where a devout Hindu hopes to be cremated on the banks of the river make it exciting and chaotic.Getting there in a comination of car and walking in the early evenig was indeed a little chaotic and the time on the river was most interesting.
Amazing Ganges ,We liked the way of worship of Ganges and the evening View. A small trip on boat was amazing. We loved that......
A must attend experience ,This was my second visit Varanasi and this place would remain my favourite. A lifeline of Varanasi and hub of all activities this is. Everyone must enjoy boat ride at least one in a lifetime here.
The No.1 thing to do in Varanasi,"My wife and I travelled to Varanasi on a 3 week guided tour of India. Included in our tour, was an evening cruise and followed up the next day, with an early morning cruise and walk along the river. In hindsight, this made our whole journey to India worthwhile. The two journeys in old wooden boats were engaging, exciting, challenging, motivating and generally mesmerizing. The view of funeral fires on the shoreline both night and day, the mourners washing themselves in the brown waters, the wood cutters providing fuel for the fires, the donkeys doing the hauling work, the cows that wander around through the crowds, the scores of monkeys swinging on the bamboo scaffolding on the building sites, the coloured washing hanging out of windows  and all those people in various stages of undress along the river. Even the riverside concerts that attract thousands of people in boats along the shoreline at night, were exciting. The boats move in and out on the tide and need to be constantly shifted into place, so that you don't drift away in the fast flowing waters. These are all heart stopping moments. Even in the boats, you don't want to be splashed by any Ganges water for fear of what it might do to you. It was a time that you never want to end. Any chance you get, do a cruise on the Ganges as a highlight of your tour and remember it forever."
Divine feeling,"As is said u don’t visit the Ganga, but she calls you.Enjoy the boat ride anytime of the day, or sit at the ghats and let the world pass by or attend the ganga aarti at the Dashaswamedh ghat.You will keep on going to the ghats each single day you stay at Varanasi."
Ganges river in Varanasi,Ganga flows generally towards South direction all over its journey from Himalaya to Bay of Bengal. Varanasi is the place where Ganga flows towards North direction. You can enjoy boat riding here. From boat you can see the ghats of Varanasi. Ganga Arati done here in every evening.
Fabulous ,Something that has been on the bucket list and wow seeing it was worth the wait. We did a sunrise and also a sunset boat ride. A must if staying for a few days
The polluted Ganges River,"We humans have polluted this great and largest river of India. It has been polluted through bathing of people and animals, laundry and related detergents, sewage, food waste. chemicals and other harmful wastes, cremation activities which leave partially burnt bodies in the water, other religious activities and festivals, and more."
A river journey to Varanasi,"We were with Explore Worldwide and we embarked on three boats plus a kitchen boat en route for Batoli Ghat and staying there on the sandbank overnight set sail again for a small village of Sherpa to visit the local school and then back for the last sail to Varanasi.  The crew were amazing and provided us with safe passage, comfortable tents (although it was very cold overnight and the condensation in the morning had covered the inside of the tent with frost) and they provided and excellent dinner and breakfast the following morning with limited resourses.Very enjoyable time was had by all."
