title,text
Turquoise water on black rock,"This waterfall stood out for me among many I saw in Iceland. It was big and powerful, but main thing for me were colours and contrast between them. Turquoise water on black rock. Almost passed it but I'm glad I stopped there."
Just Go!! ,"Upon approach to the waterfall, I did not know what to expect at all but when you walk over to get waterfall it is just breath taking! We spent around 45 minutes walking around the waterfall and it was just spectacular and words cannot describe just how beautiful it is. Unbeknown to me my partner proposed to me on the eastern side of the waterfall and I couldn’t have asked for a more beautiful and picturesque location to start this new chapter together. If you are in are in the area you must visit and witness this wonder yourself."
Great views,"Great views, but other falls are better. We went in the evening, and you can get great photos with the sunset."
"Beautiful, photo tip","Stopped as part of our Iceland tour. While not as huge and powerful as the Gullfoss, this waterfall is beautiful with its horseshoe shape.As you go up the left side, keep a look out on the right of the path for some steps which take you down to the water level. It's rocky down there but you can take photos from a different angle. Just beware the sun will be behind the falls so perhaps not so good on a Summer afternoon.If you found my review helpful I would appreciate your vote."
Beautiful waterfall ,The waterfall is stunning Green water.Easy to access from the road.Excellent for photos.Definitely worth visiting.
"Beatufull, but remember a hat","Even though we were there in late july it was very cold. The scenarie is fantastic, but wear good and warm clothes. The chilren were anxious to get back to the heated car."
Amazing spot,Very nice! To be visited !Wonderful landscape... an easy visit for family with kids.Don't hesitate to have a look
Impressive waterfall even in winter,The waterfall was great even in winter. the water flow is so massive and the walk is safe. You can have a clear view of the waterfall and it is on your way while doing the ring.
nice place,"Nice place. The waterfall was mostlly frozen. I recommend the use of crampons to get there, its a windy place and with ice on the floor it can get dangerous"
Pretty waterfall,"Another pretty Icelandic waterfall. This one is right next to the ring road between Myvatn and Akureyri. Not as big as Dettifoss or Skogafoss, but still worth the visit. Has a large (souvenir) store."
"Beautiful, and a pleasant walk","We enjoyed the walk to and around the falls, though of course you're sharing the view with countless other people. The nice thing is that you can go down some stairs and get right next to the water for interesting photos. There's a shop on premises with souvenirs and snacks, and they even have bathrooms! Really just a lovely stop on our journey."
Spectacular.,"In Iceland, anything worth seeing, equires a walk..... but always worth the effort.Not a large waterfall, but one with a lot of character."
Awesomely beautiful,"Incredible waterfall. Like the name says, the waterfall of the gods.  You can walk along both sides of the waterfall and get great pictures. Magnificent view . One minute from the ring road, you can find the parking spot and with a five minute walk you can be in the viewpoint of this extreme beauty place.A rugged, majestic and beautiful place.  Breathtaking waterfall, not to be missed."
Fantastic sight,Visited here in March 2020 complete with ice and snow. Amazing sight and views.  Safe view points and guard rails. Beautiful
Magical,absolutely beautiful.  It was super cold and cutting wind but was worth every second.  Simply Breathtaking
Waterfall trip,"Amazing view on the largest waterfall of Europe.If you arrive early not many tourists, after 09.30am it becomes crowds. Very impressed about these forces of nature!"
Fabulous waterfall,No bus loads of tourists when I went there yesterday. Not like the crowds on the golden circle waterfalls.
Frozen in time,"Wow what a breathtaking place. Definitely a highlight of my trip. We were here in winter and the falls were partially frozen, amazing to see. The water is aqua and clear."
"Beautiful, and not too many tourists","One of my favourite waterfalls in Iceland! Not too many tourists visit (at least, compared to down south), so it is easy to take photos without people in them. The falls remind me of Niagara Falls in Canada. I've visited in both summer and winter. In the summer, you can go down a set of stairs to experience the waterfall up close. In the winter, the staircase is closed, but I think the falls look more impressive, as part of it freezes into stunning icicles."
Must See in Northern Iceland,"We were little disappointed that both roads to Dettifoss were closed...However, Godafoss is conveniently located right off the main highway.  And in February, there were only few folks taking pictures.  Big difference from the South Coast waterfalls.  It is bit smaller than I imagined, but still impressive."
Amazing waterfalls,Frozen Niagara...amazing sight but it is cold..Wrap up warm the wind chill is biting.Lots of people wearing inappropriate clothing for the conditions.Best things ever...invest in walking grips for your shoes. We bought them in the UK for under £20.You can walk without fear ...cant recommend enough
Amazing ,All I can say is it was amazing!! Definitely worth going on a trip to see this place. You don't stay long but there's definitely a reason why it's called waterfall of the gods.
Fab ,Great to see the falls from both sides of the river. We were pleased we did venture to both sides as the falls looked different from both angles.Easy to follow paths.This afternoon one side was very snowy and the path not fully accessible but nevertheless it was possible to see some of it
Truly Magical Waterfall,I am lucky enough to live 45 minutes from this amazing waterfall but I never tire of visiting it.  Usually accessible all year around but spiked overshoes are a must on icy days.  If possible view from both sides but beware that the West side car park is sometimes closed by snow in Winter.  A must-see if you are in the North of Iceland.
Beautiful,A short walk and you are at this waterfall. It was beautiful even in winter when us was partially frozen over.
Gushing with emotions ,We visited on a cold day when my nose was running as much as the water fall. The winter back drop made this natural beauty ‘pop’. Absolutely gorgeous and worth a visit.
Oozing with appeal. ,"It's a grand, wild and crazy good time. It's really easy to get there and it's just wonderful. How can you say anything bad about a waterfall? You can't!"
Majestic,"This was the first of many waterfalls I saw in Iceland, and it sets the bar very high. It's a majestic sight and apparently even features in Game of Thrones but I can't place it."
"Godafoss, the waterfall of the gods","This is an impressive waterfall with a semi circular shape about a 100 feet wide, one of the biggest in Iceland. Water falls from about 40 feet down."
Godafoss Waterfalls Where you feel the greatness of nature o(^-^o),"The place where I wanted to go since I knew the name of ""God’s Falls"".I felt the great presence and enormous energy of the waterfall.I saw many waterfalls in Iceland, but I like this one best."
Amazing view,this is one of the most beautiful waterfalls in Iceland; you can park on either sides and walk along the pathways to enjoy stunning views. you won't stop taking pictures!
One of Iceland's many BEAUTIFUL waterfalls!,"A short walk from either of the parking areas on each side of the Falls.  Usually the left side, across the bridge, is less crowded.  It was well below freezing so the the ice buildup around the falls made it that much more beautiful.  One of the easiest to get to in this part of Iceland!"
Stunning,This was an absolutely stunning sight to see. Absolutely make the trip if you're up north! We only had about 30 minutes but would have love hours here.
Scenic Stop,"Godafoss is a beautiful stop. You can spend as much time as you desire, from less than 30 minutes to a few hours. The paths around the waterfall are an easy walk, mostlly paved or groomed. Another plus is that there is a great gift shop across the highway. One of the best highway gift shops we stopped in. It also has refreshments."
Beautiful,"We arrived at 3am during the midnight sun, there was noone there but us. Absolutely breathtaking and feel truly blessed to have experienced it without hundreds of tourists. Must see!"
One of Iceland's natural wonders,This is not the most spectacular but worth a stop. It is just off the main road with ample free parking. It only takes a few minutes to get to the best views. It is not particularly high but very broad.
Godafoss first waterfall,"We cruised in to Akureyri and this was our first tour of Iceland. The scenery on the way to the falls is stunning, vast. The falls themselves were really nice. great location, easy to walk to, you can choose either side, upper path or lower path. great pics too"
Goðafoss is famous and magnificent.,"We were advised to see it from both sides. In my opinion the east side has better view of the falls. We also followed a short hiking trail down to the river level to view the falls from its base and then went to a bluff to see the falls from its top. It's a must stop, but don't miss a spectacular (and significantly less crowded) Aldeyjarfoss with its beautiful bent basalt columns, which is only 45 minutes away."
Magnificent; don't miss it.  Be sure to view Godafoss from both sides.s.,Truly a gift to mankind.  Simply beautiful.  You walk along the river downstream to approach the falls.  Be sure to take time to experience Godafoss from both sides of the river.
One of the greats of nature,"We visited whilst touring from Akureyri.  The falls are an easy walk (about 1/3rd of a mile) from the car park, the path is well maintained with a slight incline.  You can walk to both sides of the falls as there is bridge by the visitor centre.  If you have the time it's good to see the falls from each aspect.  Definitely worth a visit.  The gift shop at the visitor centre is quite good for souvenirs and coffee and cake if you are a little peckish."
Don't miss it,"Godafoss is very easy to get to. It’s right by the Ring Road 30 minutes from Akureyri. It’s very accessible from the parking lot. The paths to the viewing platforms are well paved that can accommodate wheelchairs and strollers. There are two parking lots which take you to either the east side or west side of the falls with different views. The two sides are connected by a foot bridge, or you can move your car from one parking to another. I suggest visiting both sides for complete views of the falls. If you’re on a tight time schedule, then go for the east side which is the 2nd parking lot if coming from Akureyri. This is the bigger parking lot with bus parking; and there’s a coffee shop, accommodation and washroom facilities. The platform on the east side gives you a full perspective of the falls from the top. Also from the east side, you can walk down a slope to the rocky beach close to the bottom of the falls for a different view.While Godafoss can’t compare with the powerful Dettifoss and Gullfoss, it’s beautiful in its own way. I found it much less crowded than Gullfoss, and way easier to get to than Dettifoss, so don’t miss it when you’re in Akureyri/Lake Myvatn area.There were heavy rains the days before we visited, so the water looked very muddy. It would have been even more spectacular if the water was clearer."
impressive waterfall,"We visited here smack in the middle of a snow storm which took a bit of the excitement away from the experience.  It was positively freezing when we arrived but we still couldn't help but notice the beauty of the falls... especially during the sunrise.  I'd like to visit again during more friendly weather conditions so we're not so rushed to take our photos and split.  For now, this rates as an average TA review and experience for us."
Awesome sight,This Godafoss is breathtaking.  The volume of water coming over the falls is unbeiieveable.  It is a must see when in Iceland.
One of many spectacular waterfalls viewed in Iceland,Godafoss was the first of many spectacular waterfalls that we viewed on our trip to Iceland.  There was a nice easy trail to walk from the parking lot to the best viewing of the falls.
Stunning,"Godafoss is a must see in Iceland, a majestic landscape.It is very easy to reach via car.  September was a good time to visit as it wasn't too busy and the weather was mild."
Unmissable,"Very impressive falls, skip the cafe. Easy walk except trail down to area in front of the 'horseshoe falls' is uneven/rocky in places. Abour an hour to see the whole area from both sides of the river. Cafe very expensive and crowded. Falls highly recommended."
Viking History! Beautiful geology!,"So this is where the Vikings dumped their “idols” when they had a change in their religious and belief system. They didn’t mess around and had no intention of being able to retrieve them again. Water: clear and blueGeology: columnar jointing, the water has eaten through the basalt and exposed som awesome and possible collapsed entries into lava tubes or just lava formations caused by gas bubbles downstream if you observe the past rock formations.Best view: I would take the first parking lot for godafoss. You get a front view of the falls. Otherwise you get a side view and actually can’t see it as well."
Big and Powerful,"We stopped here even though it was raining, cold and windy.  We bundled up and took the walk to the falls and tried to get some clear pictures."
Stunning,"It was absolutely Baltic and taking photos was a test of avoiding frostbite, but it was worth seeing this fabulous place. Get there before 10am to avoid the crowds. The visitor centre/shop/cafe is a good place to heat up and worth a stop off. More choice of nice walks in summer, but dazzling metaphorically and literally in winter."
Magnificent and beautiful,It is a life-changing experience to stand by big and beautiful waterfalls. Godafoss is one of those waterfalls. Of course Dettifoss and Skogarfoss are bigger but few waterfalls are as beautiful as Godafoss. Don´t miss it!
Great waterfall on Ring Road Trip ,"It is like Niagara Fall in USA & Canada but smaller. It is a must visit when you come by ring road trip. There is a cafe, souvenir shop and gas station here. You can have lunch, drink or use toilet here."
"Large easily accessible Falls, attracts larger crowds however","Wonderful fall, dramatic and large.  There are paved walking trails to approach the falls and is located right off of route 1 so it is a favorite of tour buses and the masses, you do not need to be in shape or hike to view Godafoss.  The is also a gift shop with facilities located right there which made it feel more touristy than most attractions in Iceland, however I must admit the hot chocolate was the best I ever had!"
Arguably best waterfall in Iceland ,This tied with Svartifoss and Dynjandi for the best waterfall in all of Iceland. You can still climb down a very very steep path of rocks to go to the bottom of the waterfall. Most others like Detifoss have had the path down closed. We watched the waterfall for a very long time. It was so big and so magnificent. There’s multiple things to see at Godafoss. You should walk around too. There are some nice views of the river and this cool old school bridge.
So beautiful,You need to see this! it's is do beautiful. We took so many pictures here because of the sheer beauty.
It's a big waterfall.,"The title says it all. It's a big waterfall. That doesn't elicit much excitement about it, and it's not supposed to. If you prefer large waterfalls with nice viewing areas, this is for you. I, however, tended to prefer the smaller waterfalls in the area that have more character. The power this waterfall has is amazing. You can feel how powerful the water is by how loud it is and just seeing how much water falls through it is incredible. The parking is free to stop by so it's worth stopping, but if you prefer smaller more intimate waterfalls where you can get up close, don't plan to spend much time here."
Beautiful falls!,The falls are beautiful. You can view the falls from both sides. There is a walking bridge that connects the two parking lots / walking paths. There are numerous viewing platforms both high and low. Make sure to stop at a few of the low viewing spots. The visitor center has some snacks and WCs. Friendly staff. Great stop.
A Must See! ,"Rated one of the top 10 waterfalls in the region, a well deserved accolade!  Beautiful views from both sides, connected by a pedestrian bridge. There is also a gift shop and cafe with restrooms."
Terrific,Despite the wind this is an aweinspiring sight! The shop and cafe are good as well.A wonderful waterfall.
AMAZING!!!!!!!!!!,This is probably one of my favorite waterfalls - probably because I was able to visit in both the morning and afternoon and see it from different perspectives and in different lighting. It was a great (and easy) walk around both sides of the falls.
Stunning,Beautiful waterfalls - complete with rainbows! A must see when visiting Iceland and not too far to walk plus free entry / parking
Best part of our day in the region,Truly stunning and powerful waterfall.  Accessible viewing points from above and below the waterfall.  Very nice layout and truly stunning nature.
Impressive and accessible,"Another fine waterfalls site in Iceland, with good parking, groomed trails on both sides of the falls. Very well worth the quick jaunt to see it."
Smaller Niagara - Impressive,"Know as waterfall of the gods, it reminds me of a smaller version of the Niagara falls, the horseshoe falls. You can get close to the bottom of the falls if you are willing to take a risk on the steps down to the rocks and it can be a bit risky, however the view is worth the effort. My only complaint is the fact that the visitor centre charges for toilet access. The cafe is slow service but very nice drinks."
Wonderful,You have to go here if you visit Iceland. The waterfall is wonderful and massive. be prepared to do a lot of walking.
Interesting,"...and interesting visit but mind your footing. It can be quite dangerous in wet, icy and or snowy conditions. We managed to get all three."
Spectacular!!!,This is one of the magnificent waterfalls in Iceland. Each one is unique and special. A must see during your visit.
Nice waterfall,A lovely waterfall to stop off and admire whilst exploring the north.  Not too crowded.  There are steps to get a closer view of the falls.
"Awesome waterfalls, easy to reach on the Ring Road ","One of Iceland’s largest falls, Godafoss has an important role in the country’s history... the trails and parking areas have been newly constructed, and access is easy (right off the Ring Road east of Akureyri) which makes it very popular with visitors.  There’s a convenience store/gas station plus restaurant nearby too.  Enjoy!"
Amazing,"In a country with waterfalls around every corner, Godafoss is an exceptional waterfall. It is also right by the ring road, making it an easy and beautiful stop."
