title,text
Wonderful ,The grande ole Opry was well worth the back stag tour.  Just knowing all who has walked the halls and dressing rooms at the Opry.  I got so excited when I walked up on stag and stood in that circle.  Picture to prove it.
Great tour,This was our first stop in Nashville and it didn’t disappoint.  Our tour guide was very enthusiastic and she had a lot of knowledge to share with us.  I believe she was the manager of the tour department.  The intro video helped immerse you into the history and the importance of the Opry.  I wish we could have walked into the dressing rooms as the photo shows - we were only able to go into 1.I would advise pre-paying for the stage photo as it was slightly cheaper than buying it there.  Our photographer was great and even retook our photo when asked.
Great History and AMAZING guide!,"I happen to have very little knowledge of country music and it’s history, but I was honored to tour this historic building and learn all about its past in other locations. My tour guide was enthusiastic and it was contagious and fun! The Opry building was very well organized and beautifully designed! I think it’s an ‘American MUST SEE’ when in Nashville and I’m thankful to have learned a few things in the process!"
Great tour!,This tour is well worth your time and money!  The staff did an excellent job tailoring the tour so we all felt safe during the pandemic.  I appreciated it when one man in our group would not wear a mask and the staff did not allow him to continue with us.  Enough about covid...you will walk where the stars walk and hear back stories that you will remember forever.
Pandemic visit,"Even though we went during the pandemic, we were able to walk around and enjoy the music being played. It was closed, but you could still go around and there was a gift shop that was awesome. Well worth the stopping."
Grand Ole Tour,"Starts with a video and the you take a guided your. Our tour guide was very good and informative. You definitely are back stage on the tour, seeing the dressing rooms and lounge area's etc.  You also go on stage and get your picture taken ( not included in the tour price, I believe it was $25).  Overall not a bad tour, even for someone like myself that isn't a country music fan."
Fantastic,My husband and I thought the $30 price was a little high. But I am glad we went. The opening segment was soooo good that it gave me goose bumps.
May the circle be unbroken,"Fantastic guide, fantastic access, just the right length at an hour. A great way to experience a magical place."
Fantastic back stage tour,One of the most enjoyable tours I have ever taken. As a fan of country music this was the epitome of that genre for for me.  The tour guide was excellent. The venue is spotless and a walking museum to Country Music.  A must see for all country music folks.
Pickles are on point!!,Big thanks to Sarah for the moonshine tasting!! She open my mind to the wonderful land of moonshine pickles!!
Wonderful Grand Ole Opry Tour,"Even with the COVID pandemic my wife and I made a quick trip to celebrate our 31st wedding anniversary and decided to come to Nashville. To us this is the primary landmark to visit and it dis not disappoint. Their COVID awareness and deterent was good, ensuring masks were put on and sanitizer everywhere. The staff was courtious and well prepared to handle such a culturally rich tour. We enjoyed every minute as we were taken through the venue. All along the way you were guided and not rushed. It is a must see for any music fan, especially a country music fan."
Classic spot for anyone who loves music! ,"A must-do, quick, relatively inexpensive experience for anyone visiting Nashville. The food and drink options were limited but the service was friendly!"
Wonderful!,"This was a MUST do for us on our trip to Nashville. What an emotional part of Country music history, to be able to tour the Grand Ol Opry. The videos were great, and the tour guide was full of information."
History ,"Only had time to snap a picture but, thinking of all the famous people were drove that rode was inspiring. It was closed early morning didn’t get to tour it but I’m sure it would be interesting to see."
A Grand Experience!,"The guides for the backstage tour were very knowledgeable.  We enjoyed seeing the auditorium and especially all the backstage areas and dressing rooms.  Even with social distancing guidelines, the group tour was well managed. We enjoyed posing on the stage and having our individual photos made. I am glad that we received information about the Saturday night free online shows.  We can't wait to return to Nashville when the Opry is live on the stage again."
I’m sure our country music forefathers aren’t happy.,"My family visited September 6, 2020 and was very disappointed. Hannah was our tour guide and she only knew what she was scripted to say. She couldn’t  answer your questions, even when she asked if you had any. She had no idea of all of the history in the walls. We were rushed through because they schedule the tours too close together, so that they can have more people coming through to make more money. I understand that, since we are in a pandemic and they are not making what they usually would, but still disappointing to pay for the full tour and be rushed along. You will watch 3 videos and see the backstage dressing rooms. Then at the very end you can stand in the circle so that they can try to sell a photograph of you. The photographer was rude and rushed us along. We did buy the photo because I wanted a picture from there. You are allowed to take pictures with your own camera or phone, but only from the sides. If you want a nice picture front and center on the circle, you have to buy their photo package.  The photographer takes one picture quickly, and you either buy it or not. I’m glad I got to go but was very disappointed because since I was a little girl it’s been a dream to be there. Very sad to see our great country music history wasted on uneducated tour guides!"
Stand on the Wooden Circle,"If you want to feel the grandeur of country music, this tour is for you. We were able to walk out on stage and stand in the ""wooden circle"".  Tour was fast paced and I wish I had more time to take it all in, but a great experience."
Always Fun! Book it! ,Loved the backstage tour & the history of the amazing country artists. Try to get on the original circular wood stage.
Awesome ,We took the tour and it was awesome and very informative. The place is full of history. Our tour was great.
A must see for country music fans,The Grand Ole Opry and is synonymous with Country music’s greatest artists and performances. The tour of the facility is filled with rich Country music history and artifacts. The highlight of the tour has to be standing on the circle where the performers stand and having your photo taken. This circle was moved from a prior location of the opry and the distinction is noticeable.
excellent,we took a tour - worth the money so exciting to be able to hear and see all the rooms where the famous people that sing go.  was interesting about the flood - loved the dolly parton stories and so much history - what a great place.
A Great Country Experience,"There are few experiences in life like the Grand Ole Opry. We began the day by going to the Ryman Auditorium, which I highly suggest before going to the Opry itself, to better understand the history behind the creation of the iconic Opry. Once we arrived at the Opry, right across the street from Aquarium Restaurant in the Opry Mills shopping plaza, we were greeted by beautifully maintained hedges/trees that were interspersed with little monuments to country music. Before the two story exterior were dividers that either led to the gift shop (which was still open after the show) or the entrance to the Opry itself.Once you enter the Opry you can't help but be impressed with how much thought and care went into the construction of this magnificent structure. The amenities for food or liquor are about what you'd expect at a venue like this, but the barn themed show piece around which the stage is built gives a feeling of being back in the Hee Haw days of TV. The massive signs to either side of the stage with ON AIR warnings take you back a bit too...it's strange sitting in the middle of a live music/comedy performance realizing millions of people around the world are sitting by their radio's listening with you. It really does pull you back in time a bit and make you feel connected to those who listened to Johnny Cash, Dolly Parton, Loretta Lynn, Waylon Jennings and so many other greats perform in the center of that same circle.I highly recommend buying the Post-Show Guided Backstage tour once in your life. Going through the same doors that modern stars go through, seeing the wall of Golden names who have joined the Opry, looking at the uniquely designed rooms where the greats have sat before going on stage and finally being able to stand in the Unbroken Circle itself, looking out into the lights of the audience, you feel for a moment what it must be like in their shoes. It was an amazing experience for me knowing that I was standing on the same ground walked by those I watched as kids and who have passed beyond. You don't have to get as surreal as I did, but I think it brings you out of this being just some place once you take in the enormity of what went behind its construction and what was created by it.If you're in Nashville this place, to me, is an absolute must. If you'd like to spend a day then go across to the Opry Mills shops, take in the Aquarium and visit Madam Tussauds Wax Museum. There is plenty to keep you occupied before a late night show or after an afternoon one. The acts are also a mix of talent but generally have a Hall of Fame singer with top end young talent."
Stood in the circle,"Having family as a part of Hee Haw naturally made a visit to the Grand Ol Opry a must.  We were taken to stage A where the show was taped which was worth the trip in itself.  We toured the dressing rooms, saw where the guests entered and we're welcomed by Minnie Pearl's fountain. Then we were led out on the stage and had our picture taken ""in the circle."" My husband quietly sang Amazing Grace so he could say he sang on the stage at the Grand Ol Opry.  Well worth it."
A Must See,"Madeleine was our tour guide and she was great.  The tour was phenomenal and honored face masks and social distancing.  It starts with a video/movie that is so well presented you'd think Garth Brooks and Trisha Yearwood were standing in front of you.  Very moving and very informative.  LOVED this tour and getting backstage. From the Walk of Stars, Studio A, Center Stage in the  to the Circle to the dressing rooms and auditorium. Don't leave Nashville without stopping here!"
Enjoyable tour!!,We really enjoyed the tour.  The only thing that occurred that was not the best was the tickets purchased did not match the ticket date requested.  We had to exchange the tickets for the correct date.
Lot of country music history here,"Very modern venue for the Grand Old Opry. The back stage tour was informative, definitely aroused a desire to see a show, though due to covid-19, I will have to pastpone.  There us free parking across the street at the Grand Old Opry Mall in front of Dave and Busters."
Must-Do in Nashville!,"Well-run tour considering what's going on with Covid. Our guide was delightful and it was really fun to see the building, dressing rooms, stage, etc. Very cool to stand where so many country music stars have stood. The opening video with Garth & Trisha was really neat, too."
Opry House Daytime Backstage Tour,"My boyfriend anx I visited the Opry house on 7/30. It was a great experience. We loved seeing the inside of the Opry house, and all of the behind the scenes things that go on. It was a really nice tour, well worth the price!"
