title,text
So much too see ... ,"And explore. It’s difficult to just pick one place and say you must go there. My simple advice, take the whole day to walk around and go to very place, even when they als for entrance fee. From great views over Xiamen to ancient history when this was a commercial outpost, many things to see. Don’t forget the piano museum, even if you are not a music lover the displayed instruments are fabulous."
Fun but hot,"Good day- get your tickets early and get across. No cars, lots of shops and food joints, including cafe bars to shade from the sun. Some hotels too. Plenty of places to see Xiamen from and worth a half/full day."
Ferry to gulangyu island,Gulangyu is an island just a short ferry ride across from Xiamen. Around 15 minutes ferry ride which was very convenient. Just make sure you book your tickets before the day of departure. And collect it at time of visit. We book ours via a yellow APP called ‘ma feng wo’. Only one ferry terminal is running during our visit due to the pandemic. So make sure you check prior to visit. We are holding foreign passports but residing in China. No problem getting the tickets. Thought I’d mention it here because that was the first question on our minds. We were afraid they were only open for locals at this moment and only allowed local IDs.  Ferries are all on time. No delays. Do purchase a route map on the ferry itself. It was very helpful for us. It’s an only pedestrian island so prepare to do a lot of walking. And it’s kind of a hilly island. Not flat. So going up slopes can be a little tiring but still fun. Lots to eat and lots to see. Spend some time at the sandy beach. Beach is relatively clean and beautiful. Gulangyu island is considered a touristy place. But we could still find a lot of authenticity.
Great place to see Xiamen’s past ,"If you only have time to visit one place in Xiamen, this is the place. You will see a lot of old wester style buildings built in 1920s by the wealthy at that time. You can also enjoy local food in the back allies. Walking around will take a day, although you can also take electric shuttle cars.  During pandemic, you need no reservation in advance to visit Gulangyu. But make sure you bring IDs and mask to ride on boat to the island. The roads were not friendly for stroller though."
Stolling along the streets without cars,"It's not easy to enter this place as you need to take the ferry which cost some money, where you need to que. There is nothing iconic but you can just enjoy walking around narrow streets, have some great mango juice and seefood. I would avoid any holiday or weekend time, that might be crowded."
While in Xiamen,This little pedestrian island should be a must-stop for visitors in Xiamen. The first time we were there was in 1988 and the last time in 2020. What a difference! It was very crowded in the summer but still worth to spend some time there. Our private tour guide was able to book our tickets ahead of time and it was just a relaxing day for us. There are a lot of history here on this island being a UNESCO site with plenty of Victorian style buildings built after the Nanjing Treaty period. Stay for a day to fully enjoy this island.
Lovely structures,"We went before the crowds return, they have  a Starbucks now! Quaint town.  Wear good walking shoes.  I love it there."
A little island next to Xiamen,"Good place to go! Just avoid public holidays... too many people and too much noisy. You can take a boat from Xiamen port, it needs just 20 minutes to arrive in that tropical little island! It is not place for swimming etc but it is beautiful and it worth to go!"
One day tour ,This place is reachable with or without tour via ferry. But would recommend a guided tour as there are many historical sites on the island. One full day is recommended.
Quite nice,"Touristy - yes, definitely . But there is still enough small things to do on the Island that you can enjoy. We walked to Haoyueyuan and was able to climb to where the statue was to look back at Xiamen Island. That was fun and easy enough to walk to and navigate back. Zengcuoan (could be spelled wrong) is the pedestrian street with loads of little shops and vendors selling snacks and treats. Price was reasonable - more than in Xiamen but not nearly as inflated as over tourist-traps). It is busy there, lots of travellers from mainland China visit this island. This does mean there is some pushing and shovelling to get on and off the ferry. To get there and back, you could go through a travel agency or some hotels may help with booking. You need your passport to book."
A bit disappointed,The island itself is neat and quite pretty but don’t really live up to the hype... the experience of the ferry ride was the primary upset. Many people pushing and yelling rushing to get on the ferry. The island itself was also over crowded. Many attractions also required additional payment to visit and are quite overpriced.  Nevertheless it’s ok to visit but keep the expectation down.
Touristic,"Our hotel concierge helped to buy the CNY 60 ferry ticket with an additional charge of CNY 10 the previous evening.We arrived at the terminal 1 hour prior. Scanning the bags was fast for the higher priced ticket while lower priced had longer queue but not as bad as what was highlighted in some reviews due to the low season travel now.  The ferry ride was just 20 minutes. Many tour guides would approach you to provide chargeable service the moment you get off from the ferry.There were many tourists mainly from other states of China. All places of interest would charge additional entrance fee ranging from CNY15 onwards so you need to be selective in the places you wish to see.There are shops selling souvenirs, fruits, snacks & drinks everywhere on the island. You will notice 3 shops next to each other having long queue for rice flat noodle, cheese potatoes snack and Lin Shi Fishball.Tips to share: 1) There are not many public toilets and dustbins around. 2) Travel light since you can easily buy snack food & drinks.3) Peak hours to leave the island is from 3-5’ish pm.Overall we found that Gulangyu Island was over-rated and too commercialized which has spoilt the peacefulness of the island."
Many tourists ,The place is good. Natural scenery. Can walk around for the whole day. But too many tourists. The ferry ride leaving the island not enjoyable. Really too many people.
I don’t know why I went theree,Full of domestic travelers. Very crowded even on a weekend! Nothing special. I wouldn’t recommend this place to overseas travelers. The ferry ride was fun but - just for such a short ferry ride u will hve to go through a lot of hassle
I love Gulangyu Island ,"Grateful to explore  Gulangyu Island in half day, a UNESCO World Cultural Heritage site which is an 8 minute ferry ride from Downtown Xiamen. It is the home of beautiful villas, ancient relics, narrow streets, beautiful museums and good food!The beautiful island is famous for its natural beauty, colonial style architecture and a myriad of interesting museums. A great place for sight seeing with so many interesting shops around the area. A must visit while in Xiamen."
The spirit of Europe in the cemter of China,"This little island is just accross the canal from Xiamen city. The water tram takes you there in just a few minutes. On the island you will find all old style buildings and small streets from the times of european citizens of this island. You can visit piano museum, sea zoo, old churches, monuments, etc. There are several restaurants serving seafood attractions im local style so the lunch or dinner will have an oriental taste which is great."
Must seen ,"A very nice historical place you must see in xiamen. Easy access with a wonderful super comfortable ferry , costs 60 Yuan per round ticket. Goes and comes back every 30 minutes ( 24h ) so you don't have to be worried about the time. Don't miss to see the piano museum and the wax museum. Food is great but a little expensive ."
Unique Island with Multi-Nationals Buildings ,"In the history, China was ‘invaded’ by many foreign countries and ‘rented’ her land for trades and military purposes. Gulangyi is one of them. There are many mansions built on this island by foreign countries and they are now renovated to become homestay for tourists. It is unique and beautiful. Scale up to Sunlight Rock to have a birdeye view of the Island, as well as the seafront of Xiamen."
Beautiful but crowded,"The journey to the island is a little bit stressful, even though I had a reserved ticket, nobody spoke English in the terminal and I was directed to various gates before finding the right one for my ferry. Once on the island, it is a bit of a tourist trap and the crowds are a bit much. However, the tour groups seem to be directed to go a certain route and it is possible to find quieter places. I particularly enjoyed the small pottery shop and some of the quieter tea shops. I would visit again."
so much so interesting ,spent nearly five hours on the island and covered not even a third of the interesting sights.  buildings were very well preserved and utilised ... a great mix of museums and commercial interests.  bring good shoes because no cars in gulangyu.
Impressive,"Took the public ferry with a local resident which was fantastic as she knew where to go and how to get there. I was surprised with the number of visitors but even though it was busy it was peaceful and relaxing. If you have plenty of energy make the climb which is a massive rock centrally located on the island which is 90 meters above sea level. Afterwards we walked down the back of the island and went to a beautiful garden. We racked up close to 17,000 steps do come with plenty of energy and enjoy Xiamen finest 👍"
Crowded with tourists,Not a bad place to visit when you visit Xiamen. Limit numbers of visitors daily. Taking the ferry to the island is kind of chaotic if you are on your own. Take their tram when on island to certain points of interest. Too far to walk especially with kids. Food there are ok. There is a food street where there are many food to choose from n there are some stalls that hv super long q.
Don't dismiss visiting in the evening,"We chose to take the first local ferry available to tourists in the late afternoon rather than trying to fight for a day ticket at the international terminal.  While we would not have got to see all the attractions, we found the night atmosphere in the food streets to be very enjoyable and we had great food at low prices.  If you cannot get there during the day, it is still worth a 2-3 hour visit after dark."
