title,text
Excellent place ,It is now Masjid museum has been finished. Prayer is offered five times a day. No match to such a beautiful place.
Great ,"17:59 .il 4G II Reviews from tanerisiTurkey Hagia Sophia, Architectural Maintenance, Basilica Plan with Central Plan Combines, domed basilica Type in a building whether the dome Crossing and Suspension System Features with Treated Significant Milestones in the History of Architecture  .  Hagia Sophia is Important First of all with its Dimensional and Architectural Structure.  In the World of the Period in which it was built, no Basilica Plan Building was Covered with a Dome the Size of the Dome of Hagia Sophia and did not have such a large place.  Although the Dome of Hagia Sophia is Smaller than the Dome of the Pantheon in Rome, the Mixed and Sophisticated System Consisting of Half Dome, Arches and Vaults applied in Hagia Sophia Makes the Dome More Impressive by Providing a Much More Spatial Pattern of the Dome.  When Compared to the Domes of the Previous Buildings Built on the Body Walls as a Carrier, Such a Large Dome Fitted on Only Four Stages is considered a Revolution in the History of Architecture both in terms of Technical and Aesthetics.  The Main (Central) Dome, which covers half of the middle nave, has been expanded so that it creates a very large rectangular interior space with half domes attached to its east and west, that when viewed from the ground, it is perceived as a dome dominating the entire interior.  The System Was Completed By Transitioning From Half Domes That Cover The East And West Openings To Smaller Half-Domed Exedras.  This Hierarchy of Domes, Starting from Small Domes and Completed with the Crown of the Main Dome, is an Architectural System Unprecedented in Ancient Times.  The Basilica Plan of the Building Is Ingeniously Completely ""Hidden"".  Ye Dome Inscribed During Construction"
soo big and feeling good like magic!,the must beautyfull think i think! I like . But turkish people are soo friendly and happy! I feeling like my home..
Absolutely breathtaking ,To walk between Sultan Ahmet and Hagia Sofia during the noon call to prayer was one of the most awe inspiring moments of my life. It literally brought me to tears walking through the doors of Hagia Sofia and then to have my children Stand by me as we prayed the noon prayer was something we will never forget. You felt the history of the building surround you. The cleanliness is a whole other amazing aspect. The detail and care by the government is absolutely inspiring. A must for any muslim or non muslim coming to Turkey.
Amazing experience,"Amazing experience! As archaeologist myself, I had a deep and profound appreciation for Hagia Sophia, for its history and meaning to both christian and muslim heritage....really a must visit!"
Great ! ,"Istanbul's magnificent cathedral was a major religious site in Christianity and Islam, but it had also become a museum ... it’s very interesting & beautiful architecture to see."
Bucket list,Absolutely awesome    did it in history at school  had to wait 40 years to see it.Don't wait so long!!!
Quite an impressive piece of architecture,"For our bad luck, Hagia Sophia was being renovated when we visited, but it was still open. Eyes can’t soak in all of the beauty of the architecture of the this gorgeous building"
Breath taking,"Probably the nicest mosque I have ever seen in my life, you sense peace within. You can pray there inside."
Disappointed,The queues were long. The Museum was under construction and honestly it was not worth the money we spent.
Stunningly beautiful ,"Felt so peaceful when you enter. Architecture is stunning. Stayed during afternoon prayers which gave me goosebumps, wonderfully serene atmosphere. Be warned though there is restoration work so parts are closed off."
Hands down the most Beautiful Inside ever!,"Mrs and I visited this mosque on a Sunday around 3pm, it was fairly busy but the inside was absolutely stunning.Overall this was my favourite mosque out of the 6/7 mosques I visited during my stay in Istanbul. Make sure not to go during prayer times as the mosque will remain shut to tourists during those times of the day."
Nice to visit ,Unfortunately I didn’t have lots of time to see as much as I wanted to but I had a quick tour inside which was very impressive. It was free to enter.
Sofia,A wonderful place! 😳 It's been a part of Istanbul for centuries now 🕌🕌 and it's still an impressive place to visit 🕌🕌
Amazing Hagia Sophia visit,As Hagia Sophia is not a museum anymore and it’s a mosque now. The experience was quite good and amazing as the history surrounds all around you. Wearing a mask is a must for everyone entering the premises and security measures were quite good.
Truly grand and majestic!,"Historical achitecture doesn't come more grand and spectacular than this. Every part, every pillar and every corner of this colossal building speaks of years of struggle, centuries of preservation and 1000+ years of history. Its been recently reinstated as a mosque and our visit was on Friday, just after the Juma prayers, so it gave an even better feeling and an overwhelming experience overall."
Reviving,"I was able to attend a prayer there, an amazing place.  They were well organised and had very strict social distancing with all the equipments available."
September 2020,"wonderful time in Turkey, a definite must while in Istanbul. Wear comfortable shoes, and bring a good camera."
MUST SEE,"Honestly, one of the most breathtaking places I had the pleasure of visiting! It is also free to visit this place and was absolutely worth standing in a queue for"
Camii,Loved the atmosphere different feeling from a museum to camii The style is really protected the old history and new one
History centre,"Nice, interesting From outside real old ages building in amazing Istanbul!Very nice around relax area in front Sophia."
Very grand! Çok büyük!,Dim inside at night but still amazing to know the history and see it's design. Geceleri içeride sönük ama yine de tarihi bilmek ve tasarımını görmek harika.
TA should change the heading - it's not a museum any more,"This was my 6th time in Istanbul, and during every of these travels I've visited Hagia Sophia, as I regard it as one of world's most famous and important edifices. This time it was a different experience.Hagia Sophia is an iconic world heritage edifice, built on orders of Emperor Justinian. It still holds the world record being built in only 5 years (532-537). It was the main and biggest Christian Church where many kings were crowned for almost a millennium, until the Ottomans came in 15c converting it into a Mosque.During the times of Ataturk reformations it was established as a museum in 1935 - and it was one of the world's best. My memories root in that period, when you had to queue in a long line outside, paying around 10 Euros entry fee and when you could admire outstanding frescoes and mosaics from 6th c onwards, along with Ottoman decorations added from 15c. It was a unique place in entire world (along with some Churches in Andalusia) where you could admire such a cultural and religious mix.This was until this year, when it was reestablished as a Mosque again in July. While the imposing exterior remained the same, the interior is much different. You cannot walk the multi centuries stone and marble floor, as it's completely covered with a green carpet (you must take off your shoes before entering). All amazing Byzantine frescoes and mosaics are covered in white sheets and you cannot see them, nor you can climb the upper gallery where there're more. Therefore I give 4 stars, otherwise I'd give 100.Now, there's no entry fee, you can walk in freely (except during prayer times), but I wish I still had to pay and see all these now hidden jewels I remember Hagia Sophia for.I enclose pics from my previous visit in 2012 and now, 2020 - catch the differences."
Now more peaceful than ever.,"Indeed, a must see. A timeless place of workship in all its glory. free entrance, amongst many historical sites. Priceless for free.."
Beautiful Mosque but Christian icons are now inaccessible,This is a beautiful mosque and well worth a visit but the Christian icons are now covered up which was disappointing. 2nd floor is not accessible now
FANTASTIC.,"FANTASTIC. Istanbul  and  all  mosgues , Churchs and other places  are magnificent. Istanbul is that built on two continent.Asia and europe.  Istanbul  is  my  dream."
Smells history! ,"You can see the influence of different religions and rulers at this place! As Hagia Sphia is tured to a mosque, the floor is covered by a big carpet made of head ducks! That's why you can't see the floor anymore!"
Dissapointing,Very little to see as the place is going through renovations.  They make you cover your legs and head. They provide if you don’t have it.
Blah,Turn it back into a museum. Changed back again into a mosque. History being rewritten in stone. Scraped off Byzantine Icons.
It was worth a lifetime,Hagia Sophia is an awesome experience. The architecture and the beauty is enthralling. A must visit when in Istanbul
