title,text
The wind palace,Hawa mahal is a landmark of the pink city Jaipur. It is situated in the heart of the city attracts people from the main road....
Beautiful Sight,Beautiful architecture in Jaipur. Perfect for taking photos. Drive by sight. Takes a few minutes to view.
Historical architecture ,"Wonderful historical architecture monument, these are the assets of Rajasthan. Jaipur is famous for HAWA MAHAL."
Hawa@mahal,i think one should visit jaipur in rainy season when wecwere on top of hawa mahal. the view of jaipur was outstanding. When the winds blows in these jharakos. it feels lovely
Pride of of the Pink City - Jaipur,"One of the most famous tourist destinations in Jaipur, Hawa Mahal, also known as the palace of wind, is one of the most prominent attractions in Jaipur"
Mesmerising view,Oh god what a view such an epic piece of art. Reminds us how talented were those artists who built it.
Heart of jaipur,"Located at rhe centre of jaipur a palace where u can find history and art of manufacturing builduings , hows at that time king has done this work"
Exquisite ,"Although you get a sense of the palace from the road, it’s only by exploring behind the facade that you get a sense of this truly wonderful building. Make sure your phone is charged - this is one of the most photogenic palaces I’ve ever visited."
Some places just gets better with time,The surrounding has got cleaner with a little enclosure for selfie clickers. The monument has been very well maintained.
Jaipur Famous Place,Jaipur must visit place... it will take only 10 to 15 mins... just take a photo and move on... but try in both day light and night too. Here Iam attaching night effect
Just saw it from the outside a couple of times,"We just saw the Hawa Mahal from the outside and admired its wonderful architecture. It looked much smaller than I had imagined it to be. Although, we had tickets to go inside, it was so hot and we were so tired from all our sightseeing, that we chose to skip it."
HAWA MAHAL: Extraordinary example of Rajput Architecture.,"The name Hawa Mahal means ''The Palace of Wind"".One of the best landmarks to visit in India.This was built in the 18th century. It is an extraordinary example of Rajput Architecture.The interior of this palace is Stunning, especially for photographers and archeologists.Trip to Jaipur is never completed without visiting this place."
Loved it even on Second Visit,This building has a real charm that attracts you and makes you feel awesome. Its wonderful feeling going up one floor to another. We enjoyed a lot with our 5 year old daughter. A visit to Jaipur is incomplete  without a trip to Hawa Mahal.
One of the best historic place to visit in Jaipur,The best time to visit Hawa Mahal is between month of October to March because the weather during this  place is considered to be pleasant.One of the historic place in Jaipur in the night it looks more beautiful in lights but you can't go inside after 6pm.
Enjoy the outter view dont bother going in unless you are a Archeologist / Architect etc,It's not as good from the inside as it is from the outside. Rather try to go to a cafe right in front of the palace and have a coffe/beer and enjoy the view while you rest.
An Incredible Building.,...with an impressive 'front of the house' architecture. Worth seeing both during the day and at night to gain very different perspective. A favourite location for photo opportunities. Most visitors to Jaipur will come to see the front of the building and not exploring the…
Interesting place good for short visit,There is nothing much to see here apart from the beautiful frontal  facade and the area is very crowded.Very interestingly the building does not have a foundation and attempts to mimic lord krishnas crown
Not really sure I understand the point,"There isnt much to this place beyond the facade, lots of steps and the views. It was very busy but I understand that's routine.  There is some pretty stained glass. "
Impressive Frontal Facade,"As our tour group bus traveled along Hawa Mahal Road in Jaipur city center, we came across the stunning facade of the Hawa Mahal or ""Palace of Wind"".  It was said that this structure was designed to allow breezes or wind to easily travel through the building to serve as a…"
Gorgeous building and add it to a walk down the bazaar of Tripolia,"This is a very busy area of Jaipur, but worth taking the time to find a spot without being run over to admire it. Watch yourselves if you try to have a coffee from the buildings opposite, you will find you pay a lot for the view. I enjoyed a walk around this whole area of the…"
 an architectural wonder,This is an architectural wonder. The ambience inside is Royal. You feel like a King walking inside the palace. The whole palace is visible from the rooftop cafe opposite to it. It reminds you of the rich history of the place. A must visit place for all the history freaks.
Great Look,"Our guide didn't want us to enjoy this classic  in the Pink City , probably because no tip was involved ?  But we got the bus to stop and got to enjoy what is a fabulous facade and an endearing piece of architecture !"
Better than imagined! ,"If you are heading to Jaipur this is undoubtedly on your list of places to see, & it is so worthy.More than just a beautiful facade ~I wasn't sure if we would go in or not but so glad we did - the whole place is quite amazing & so beautiful, which also offers spectacular views over to Nahargahr Fort & into Jantar Mantar aswell as across to the bustling streets. Tip~  get the audioguide for some context  & take your own headphones."
The most recognised facade in Jaipur,"The Palace of the Wind was on our tour guide itinerary.  It is the most recognised facade in Jaipur and is therefore a must see. It is built beside a busy road and reflects the colour of the famous pink city.Our guide did not take us in as the beauty of the building is in the facade.  It is very shallow (single depth) and houses only rooms used as viewing galleries from which women were able to watch the grand processions in the times when they could not be seen in public.We were there for about ten minutes and that included finding somewhere to park,"
😍,Such a heavenly place situated on a busy road of jaipur which is the pink city. A must visit in the morning
An impressive facade.,"This impressive facade house a small museum, reached from the rear.  Photographs are best taken from the opposite side of the road."
An amazing visit to Hawa Mahal,"Jaipur visit has a royal feel to it and the trip is not complete without visiting the iconic Hawa Mahal. The structure was built in 1799 by Maharaja Sawai Pratap Singh, the grandson of Maharaja Sawai Jai Singh, who was the founder of Jaipur. The design of the palace allowed the royal ladies to view processions and everyday festivities without being seen by the common man. The architecture of the palace is such that it remains cool inside even in the scorching summers thanks to the Venturi effect. Your visit to Jaipur has to include this wonderful palace which is the heart of Jaipur city."
exploring,We came upon this by accident just exploring the area and immediately realised it was a stunning building in the level of detail and colours particularly the pink facade.
Unique Structure,The Hawa Mahal or Palace of the Winds is a landmark building of Jaipur.It is Made with the red and pink sandstone.Its unique five floors exterior is akin to the honeycomb of a beehive with its 953 small windows .It is very easy to reach there. It is amazing.
"Expect it , when least expected.","The famous hawa mahal- palace of winds is on the main road. So if you want to enjoy beauty , visit early morning timing with least traffic. Otherwise you'll be bothered by road Side shopkeepers. The palace was made for female of royalty to see without being seen.Five story tall the palace is made of famous pink and yellow sandstone.It's nearby Jantar mantar and city palace.So plan the visit to place accordingly."
A must see in Jaipur,"The Hawa Mahal or Palace of the Winds is a landmark building of Jaipur. Not only the facade  have a tour of the inside and get a great view of the Walled cimty. You cant miss it. Great shopping around the area...from coloured stones to Razai and other handicraft items. See the colorful flower sellers around Badi Chopar,shop for the famous Leheria sarees and turbans and lots more ."
Beautiful ,"I loved this place. Beautiful. I could imagine the royal queens looking out over the square. Amazing structure, so much detail. Not sure if you could enter the Palace but I don’t think so. So glad I saw"
Gorgeous..,It is  basically a fabulous architecture design with nothing behind it... Almost a facade on a very busy street
Visually stunning,We only saw this from a distance and didn’t actually go in but it looked enchanting.  A great photo op.
Beautiful Place! ,"I will come again, it has such a beautiful interior! The staircase and pathways indoors were a maze, and I loved the little windows that opened to the street. It’s a good place to imagine life of the past!"
Awesome Palaces of Rajasthan,"Although we could not spend time going inside the Palace, it's a piece of Beautiful Architecture. Some time you Wonder about the Level of architectural skills of ancient India!!!"
Beautiful to view from top,Great palace and great to visit. Took an rickshaw from Jantar Mantar to Hawa Mahal.Highly recommended though the location is crowded.
Ten minutes of fame ,"Iconic facade like structure is truly beautiful to behold. Located on a busy street, makes it unpleasant to stay longer. Beggars, and hawkers won't leave you alone, and don't you dare take a photo of those snake charmers unless you expect to pay... Pity "
Landmark spot of Jaipur,Everyone I think will associate The Palace of the Wind when they think of Jaipur. On my last visit here nearly 25 years ago I was lucky enough to see part of the interior with it's beautiful paintings and artwork but this time it was just a quick stop in a few tuk tuks while our…
Impressive facade,"Even though it looks so grand and impressive from the outside, it's only a few metres wide inside so that the court ladies could look out to city life without being seen.  If you want a really good view, go to the cafe opposite where there is a perfect viewing spot."
Nice facade,Very pretty but really a one room wide facade. Nice for a pic and takes 5 min. Watch out for lots of beggars
Beautiful structure,"Went here but palace on a very busy street, we couldn’t go in but was a stunning piece of architecture.  Jaipur is a breath of fresh air after Delhi"
A beautiful facade at least worth a drive by!,I believe the only was to visit this is by viewing it from the street in front of it because it is only a facade.  The story behind it which our guide told us made it very interesting but with the back story or not it is simply beautiful to see in person.
"Lunch break at Hawa Mahal, the Wind Palace","With a history of over 200 years, Hawa Mahal is perhaps the most iconic monument in Jaipur. The original intent of the lattice design was to allow royal ladies to observe everyday life and festivals celebrated in the street below without being seen, since they had to obey the strict rules of ""purdah""."
A case of tourist brochure vs reality,The tour bus just dropped us by the roadside and then it was a scramble to cross a choke filled road to take a photo of the building. The reality; it is along a very busy street and what I have seen in tourist brochures does not reflect the serenity and calm. Even the colour of the building is not true to the actual colour. We spend more time haggling with street sellers than the photoshoot of the building.
A must-see!,"One of the visual landmarks of Jodhpur, this 5 story facade is a unique structure of screened windows, built to allow the ladies of the court to view unseen the comings and goings of the busy street below, particularly during festival times. These women, never allowed to be seen…"
Jharokas on main road for view.,The most prominent structure on the main road for the ladies to view the processions from jharokaas.  Its a beautifully constructed and well maintained site.  For taking the full view of Hawa Mahal we had to cross the road and take pics from opposite side. Few friendly…
A relatively large palace,"From the outside, Hawa Mahal does not look that big but actually it is reasonably large and if one wants to see all with audio guides, it will take at least an hour and a half. Also, the entrance to the Mahal is not at the front, which is the front facade of the Mahal which…"
Iconic,This is the most iconic structure of Jaipur and is a must visit place for a photo or two. Mind you it is situated is the middle of the craziest traffic you will ever come across. Hawa Mahal is a five story building in the heart of the city of Jaipur. It has a beehive like…
Beautiful building ,Only stopped to take photos of the facade. Very beautiful.Very busy street. Lots of sellars and a snake charmer
