title,text
Great,Beautiful place with the remnants.of the mughal and british rule. Place is very clean and well maintained. Railways station is not maintained properly but the roads are perfect.
Hazratganj,"Hazratganj is the soul of City of nababs Lucknow, Market is very beautiful,also royel cafe Basket chat."
Wallah Ya habibi,"Heart of cityIf anyone wants to explore then you start walking from blackberrys showroom to Universal bookseller then make a u-turn from GPO crossing and again start from woodland showroom to be back at Bombay dyeing in front of Chief Post Master office, you will get Good walk for health and quality products and eatables."
Hazratganj ,"Hazratganj is a heart of Lucknow. It blend of British and Nawabi Architecture.It's a place where you can meet entire community people and normally people comes to hazratganj to enjoy their weekends or for shopping. .In Hazratganj where you can get lots of restaurant (like Moti mahal , Royal cafe , Ram Asrey sweets etc) ,famous street food point (like Bajpai puri bhandar,  Shukla chat corner, Bombay pav bhaji, Chinese corner, New Shukla tea corner etc) , All brands showroom  (like Tommy , US Polo , Woodlands,  Reebok, Nike,  Puma , Mufti etc)....And mainly Hazratganj called as hub of coaching institute (Medical , Engineering,  UPSC , Bank , Railway etc)..In Hazratganj there is love Lane market which is only for Women Get free WiFi for first 30 minutes. .Some famous Heritage located in Hazratganj like CATHEDRAL CHURCH ,  GPO , VIDHAN SABHA, ST FRANCIS COLLEGE etc"
Ganj ki shaam,Reviews for ganj is felt better that reading and writing. You have a feeling 'Mushkuraiye ki aap LUCKNOW me hain..
Lucknow visit,Hazratganj is very close to Cark's Avadh hospital where we stayed. Good place for local Chickakari clothes shopping
Hazratganj,Hazratganj is a popular destination to enjoy. One must visit this location if they have little time.
Hazratganj,"Its a unique place smell of kebabs, Mughlai cuisines, Kachoris. Nice place some portion reminds of Connaught Place, New Delhi. Good connectivity by Metro. Nice place to hang out."
Great Market Place,"Hazratganj, is the hub and heart of Lucknow in the Indian state of Uttar Pradesh. In addition to bazaars, it also contains shopping complexes, restaurants, hotels, theaters and offices etc."
Upscale market of Lucknow ,A nice market with all the major retail outlets. Old world charm adds to shopping experience. Must eat basket chat at the Royal cafe.
GREAT PLACE IN LUCKNOW,"This is a most popular and centre place of Lucknow You can find out all the things which you require for your daily routine like...clothes, ,fashion, ,style, ,,wellness, ,commercial, ,,even all types of dining MUST VISIT IF YOU ARE IN LUCKNOW"
Hazratganj,This is one of the most prominent places in lucknow.  The maine road offers a wide variety of shopping options.  There are  some good places to eat including Royal Cafe and Motimahal that provide good chaat and dining options.  There is a popual Hanuman temple right at the start.  The walk along the road gives a feeling of yesteryears and a mix of traditional and modern ambience.
Ganjing and local food,Had great time Ganjing(as people say while roaming around in Hazratganj). Enjoyed tasty items like Aaloo Tikki at Shukla Chat House and Kachouri at Bajpai Kachauri
Market place,"Hazrat is a place where one person can have true Lucknavi touch. Restaurants, hotels, shops all are there at one place. It can be visited using Lucknow metro. The prices are slightly on the higher side."
Great Market to visit,It was a great experience to walk on the main road of Hazarat Ganj. Not much was there in the Jan path market. Have parking garage.
A shopping district,"A shopping district, mainly for clothing and the traditional Chican embroidery. Visit the store called Ada, on both sides of the road. Dine in the Royal Cafe,"
Bustling market of Lucknow,Hazratganj is a popular market area of Lucknow where you can just stroll on the streets and shop from branded items to local items all in one place. It also had a variety of eating outlets when you get hungry with all the shopping. The place however tends to get crowded and has frequent jams but Lucknow metro has a stop right in the middle of the area.
Heart of Lucknow,This is the heart of Lucknow and from here one gets an access to all that is important in Lucknow. One should visit Hazratganj to get a feel of Lucknow
A mix shopping experience,This place gives an experience of both window shopping and street shopping. Some good brands and sarees and chickenkari products can be bought from here. The shops in Janpath are also good for some stylish stuff and some bargaining can also be done. The must have is the chaat at royal cafe and also some kulfi. Some good eating shops are there too.
Shop and Loiter around,"Nostalgic memories of the childhood, loitering around in the many many shops, eating joints and Paan & Sweet shops. not to forget the Hanuman mandir"
A la Connaught Place Delhi,"Place to go shopping of a varied kind, very organised and clean. Lots of eateries, Moti Mahal was a nice beg option. Reminds one of Connaught Place in Delhi in terms of layout"
Lucknow visit,This is the greatest human made structure in Lucknow the city of Navab. It is situated in the side of Gomati river. It looks very beautiful.
Incredible Service @ Park Avenue store,"Simply Nawabi Service-I was traveling to Lucknow for a wedding function. Forgot my belt  while packing my stuff. decided to explore the Hazrat Ganj area to find something suitable.while shopping for the belt, I notice one jacket ( half sleeve reversible) in the shelf.upon trying i realize its one size smallar, store service guys checked their stock and said that my size is not available (size 40) got really heart broken.In the meantime Mr Syed ( i think store manager) came from behind and started having conversation with me about the Jacket. As we were their only for 2 days, I asked Syed how he could help us. He immediately checked the stock availability of jacket near my hometown Gurgaon. He manage to find one in Moradabad store, he called the manager  of that store and requested to deliver the jacket to my home address in gurgaon. I was not not very comfortable to pay in advance, because what if i dont receive the product on time, As we were due to travel overseas very next day.You wont believe what Syed did next, He said i could pay after receiving the jacket.which is quite unbelievable, As we didnt know each other, i was simply a walkin customer. within 24 hours jacket was delivered to Gurgaon while i was still in Lucknow.Never experience such warm,sincere & amazing customer service.Will never forgot this experience.Keep it up Team PARK AVENUE TEAM @ Hazrat Ganj# Lucknow"
Centre of Lucknow,Hey guys this is Hazratganj centre of Lucknow amazing place and everything is there For everyone u specially for girls.
Most popular hanging place in Lucknow,"Been here many times to shop, eat, stroll, and sewa chicken, also to Bhajpai Kachadi, really good local breakfast, wide road with new metro now,"
Shopping and eating,This is a place where one can do shopping of Chikan Kari dresses and Sarees. Well known shop Ada and small shops on Janapat offer wide choice.This area also has Moti Mahal and Royal cafe well-known eating places of Lucknow.
Nice place to visit.,One of the main markets in Lucknow. Many famous restaurants & food outlets are here. Attraction for visitors.
Shopping,"Hazratganj, is a major shopping area situated in the heart of Lucknow in the Indian state of Uttar Pradesh. In addition to bazaars, it also contains shopping complexes, restaurants, hotels, theaters and offices."
Hazrat Ganj is best place in Lucknow,"Hazrat ganj is the most happening and crowded place in Lucknow.This is good for shopping from mall as well as you will get large number of variety from small shops like chicken kurta and suits. Designer chappals, jutis.Sahara ganj mall is the biggest mall of Lucknow and it is also situated in Hazratganj.If you are travelling to Lucknow, I recommend you to take hotel in hazarat ganj only."
Shopping ,"It is the place for shopping. Inside Janpath market you will get juti, mojdi, bangles, Lucknow kudta and sarees. There are Many options so look for a good vendor/ shop. Prize ranges from 400 to thousands!"
An Evening in Hazratganj,"Hazratganj  was the first market I explored when I came to Lucknow soon after my marriage in 1982. I was as if awestruck by its grandeur , classy looks, glittering lights, huge shops ,tempting eating places,Janpath ,where I loved to sit and enjoy chat or something else....truly Lukhnavi nafasat and people , the church and the elegant Mayfair hall.....all was as if a fantasy at that time as I had come from a very small and simple town of Roorkee. Today, when Lucknow has transformed drastically and there are hordes of departmental store and shopping malls ...the charm of Ganj pulls me still. I find excuses to visit it. Today too I take my guests to this magical spot ....and why not its the revered  feather in the plush plume of  destinations every visitor must go"
