title,text
Temple in between dense forest,The Hidimba Devi Temple is dedicated to Hidimba who was wife of Bhim from the epic Mahabharat. The template was built 1553 by Maharaja Bahadur Sing surrounding the cave where Hidimba performed meditation. The temple is surrounded by dence Cedar Forest all around. It's a must visit place having importance since Mahabharat era.
Past meets the present,This temple is a beautiful scared site where past meets present.  An ancient historical place ...worth visiting to seek blessings of Hidamba devi. Cedar trees add beauty to this magical place. I loved it.  I personally feel that whenever one travels the ancient monuments and sites must be seen. It gives you an insight into our rich past .
A nice calm place,The whole temple is surrounded by huge tall trees which is so photogenic and peaceful. The aura of the place is very calm and you can sit and relax amidst nature. Temple of Goddess Hidimba Devi is one of most visited places of Manali. Worship pray and relax.
Serene!!,"This is one of the prominent attractions in Manali. An old pagoda style wooden temple having a 3 level roof, surrounded by thick deodar forest. The temple is approximately 3 km from the mall road and is accessible by road. There are number of transport options available. If you love walking, then there is also a nice trail way that starts just behind the HPTDC Manalsu and takes you to the temple through the deodars. The daily prayer takes place every morning at 8'o clock.You can get the detail information of the temple at HPTDC office on the mall road.You can also go for a short walk to the Dhungri hills surrounding the temple. Please refrain from entertaining the self made doctors selling some Ayurvedic items."
A must visit place as a part of MANALI LOCAL SIGHTSEEING,There are 2 ways to enter to this temple. One way a few steps needs to be on foot on the way up . Very old structure made of rock and wood combination. Needs to be cautious if you want to go inside this temple- mind your head and steps. This place is surrounded by greenery and trees . Pay & use toilet are also there as well
Hostorical Place,Nice historical temple in the middle of the forest. The environment is so green and cool sorrounding. Worth place to visit while in Manali
Tripping,Wonderful place in manali.Beautiful scenary backgrounds.Best suited for photoshoot.There are some shops for marketing the varieties in manali
Iconic and old temple,Iconic temple where the shooting of Yeh Jawani Hai Dewani had taken place. At times its too crowded but the place is really beautiful.
Shoot place of 'YJHD',This is an iconic temple where the shooting of Yeh Jawani Hai Dewani has taken place. And that is the reason the place is so much crowded. They are so many people there who come to you and say ‘Kesar Loge kya?’ in a very suspicious way which is very funny.The place is really beautiful and there are people who rent traditional himachaly clothes to try and take pictures.
Ancient temple,"The temple is really old. When you are here, you tend to feel some thing supernatural. The skills of dear and sheep’s is somewhat scary."
