title,text
Emotional and memorable experience,"A great museum in memory of the terrible consequences of the atomic bomb. A must visit if you are staying in Hiroshima. It is an important reminder of the cruel incident that happened. May it never happen again. Mind you a visit here can be very emotional and I reccomend to go see it with a friend/familymember/partner. Outside the Peace Memorial Museum, there is an open space with a peaceful pond where a flame is burning for peace on earth. Another memorial is dedicated to the children who died in the bombing, Childrens Peace Monument, symbolized by Sadaki Sasaki (reccomend to read her story)."
A Moving Experience,"We considered this museum to be the highlight of our visit to Hiroshima's Peace Park. It not only captures the horror of what happened as a result of the Aug. 6, 1945 atomic-bomb attack on the city,  but it also offers information on what led to the blast, Hiroshima today and the need to eliminate all nuclear weapons from the world. The story is presented in two buildings through what I consider to be a fairly balanced presentation with excellent exhibits. These include videos, photos, victims' comments, their personal possessions and bomb-damaged artifacts. Some sections can be emotionally draining, such as the stories of children victims and the graphic descriptions of medical problems, resulting from the blast. The rooms' dark walls intensified the discomfort I felt when viewing these types of exhibits. Information signs appear in Japanese and English and there are interactive elements for visitors, who would like more details. The case is definitely made for history to never repeat itself with nuclear weapons. We visited on an October 2019 morning and found the museum to be incredibly crowded. I often had to wait to see some of the exhibits. Many school groups were in the rooms, but the children stayed fairly quiet and were extremely well behaved. We spent more than three hours here and had a nice lunch in the cafe before leaving to look at the myriad monuments and memorials in the park. The museum admission at the time was a most reasonable 200 Y (about $1.90 U.S.). It is on the south side of the park and easily accessible by public transport."
An absolute MUST.  Do NOT miss. Wraps-up everything else you've seen in the last 2/3 hours,"I admit that by the time we got here, I was nearing my limit - bombed-out you might say. All that reflection and soul-searching was taking its toll. And there was a queue and we had to pay, and .......But I went in anyway. Rather unlikely to visit Hiroshima again, so 'Carpe Diem'.So glad I did. Now it has to be said - there is nothing nice, fun, pleasurable, amusing, entertaining, nor enjoyable about this Museum, but it is a superbly well-done exhibition, display and learning opportunity - sombre at times, highly thought provoking & challenging.It just wrapped-up everything else we had seen in the preceeding few hours. It gave me some sort of closure and allowed me to feel OK about myself, my emotions, reactions and that I had paid my Respects, amnd could now leave.1 - 2 Hrs in here alone is almost required, judging by the foot traffic, we encountered."
Must see but the expect some lopsided viewpoints.,"Number 3 site to see in Hiroshima.  It is historically important to see the effects of atomic weapons in the HOPE WE NEVER USE THEM AGAIN.  The reasons for or against the need to use this weapon at that time in history can be widely debated.  The museum projects that Hiroshima was an innocent city.  The museum, incorrectly, states the atomic bombs were used because the US wanted to gain an upper hand with the Soviet Union for post WWII.  The museum fails to mention the estimated casualties the US and Japan would have suffered if Japan was invaded (Operations Olympic and Coronet), nor the potential use of chemical weapons form both sides, nor a long list of other issues that would have occurred with a conventional battle on Honshu (including the fact that we could still be fighting WWII---last Japanese soldier was captured in 1972).  The museum doesn't mention the death, destruction, and inhumane treatment the Japanese soldiers wrought on their prisoners and conquered people in other countries.  So it's lopsided in the historical portrayal but still a must see."
Will never forget,This experience was so moving and extremely important. It is a must see sight on a trip to Japan and the exhibit with the art made my survivors of the nuclear blasts was heartwrenching. An important place to see and an important part of history. We stayed for around 2 hours but could definitely stay longer. The park and memorials around are nice to walk through and it was extremely well done.
Impressive musuem,"A must. And the trip to Hiroshima is worth just for visiting the museum. We all have heard about the atomic boming, we all know how terrible it was. But the museum reminds you the effects and drama it caused. No hate is shown, just sadness. Everything is explained with a very sensible touch and you won't feel indiferent."
Never forget,"The museum dedicated to the nuclear attacks on Hiroshima, which occured during WWII, is definitely the one must see site in the city. It holistically tells the story of the events and days / months before and after the drop of the A-bomb and how generations of Japanese (and others) were traumtized by this terrible event. One can hardly not be shaken by this exposition and not feel a sense of solidarity with and sorrow for the people of Hiroshima. It is an important landmark that shows the indefinite cruelty humans can be capable of, but also the kindness and forgiveness that can be achieved no matter what."
Fantastic Piece of History,"The Peace Memorial Museum was outstanding.  One of the best  places to visit.  Although history states that this was a terrible conflict, the museum states that there is hope for the future.  Some of the pictures and artifacts left a striking effect on me.  Once the Corona Virus is over, please go and see this museum."
Must see,This is a must see museum when visiting Hiroshima. The displays and pictures are really somber and sad to see. The devastation was horrible for the people of Japan. We must never let this happen again.
A Heartbreaking Experience,"On my trip to Japan last summer, this was the first place I went to. As far as Japan attractions go, this one set the bar high. The exhibits will make most people tear up and make Americans realize what they did to the Japanese in order to end WWII. The museum is educational, well-put together, and overall very impressive. One thing I will note is that young children may actually learn quite a bit from this exhibit. Though it does cover death, it can be a good teaching method if the kids take the tragedy part well. This truly is a must-see attraction in Hiroshima or anywhere in Japan."
Heart-wrenching,Visited in June 2016 with my husband and brother. Difficult to see the scope of destruction and the horrible impact on so many lives. The videos were very descriptive and told the personal stories and accounts of many individuals. The artifacts from buildings and the domestic items and clothing (particularly from the children) was tear inducing. Everyone should visit to understand the impact of war and atomic weapons.
Important stop if you're in Japan,This museum focuses on the real life people stories. You can spend many hours here if you read all of them.War is never the answer.
