title,text
Most popular Turkey Aegean beach,"Ilica beach is a terrific long beach on the northern part of Cesme peninsula. It's very popular with locals so it might get crowded.Fine white sand stretches for miles with both free and private parts belonging to hotels. Water's warm and really pleasant to swim in. Many water sports with reasonable prices. In side streets are several shops, eateries and restaurants."
Nice ,A bit windy as it was the start of autumn. Due to pandemia local administration divided the beach for social distancing. Very cleverly done. Nothing fancy just sea and sand. And walking distance to food. Enjoyed it much
best puplic beach on çeşme,the views was amazing and there is a good service there WC and shower and some cafe mini bus available from there to çeşme and alaçati
Ilica beach,One of Cesme's finest beaches.  The water here is a little warmer than Altinkum but the waves can be quite high at times. Parking can be a bit of an issue at weekends but fine in the side and back streets nearby during the other days.
Sometimes the natural untouched public beach is best!,There is no where to hire chairs despite what I read on TA.There are markers on the beach for social distancing. Wasnt very busy anyway so we had enough space
Cool Beach,Truly beautiful beach with torqoise sea colors. It is too busy in high season but still clean and clear.
A decent stretch of beach with longers available.,This is just past the small dock are and small food places by the sea. Loungers are available but there is a cost of around 10 lira a time. A pleasant enough area which is a good stretch so space can always be found. No real loud music playing to disturb you if looking to relax properly.The sea is very shallow here so it is possible to walk out at least 50 metres and still not be submerged. Some pebbles making for an awkward entrance but there are sandy areas to wade in.
Good enough for public beach,"Parking could be a problem, sea is good but it was very crowded and we did not feel safe. İt is very long and sand could be more clean"
A nice day at the beach,"Ilica is rather long, so yo can pick which section to lie on. There are chaise longues and parasols at decent prices and numerous terraces where you can grab a beer, coffee or whatever you want. It seems to be a favourite of Russian tourists. Getting into the water requires beach shoes, or very insensitive soles..."
clean and friendly,"it was a clean plaj.the weather and bangalow was so nice.food and beverage were lovely.i wish i could prepare my wedding ceremony at there:)))light wind,blue sky,beautiful sea made us a good memorization.shuttle service was ontime too."
Very good and busy,"This beach is shallow with warm water, my kids and I loved it, it's a bit rocky in places still very good, Best going there in your swimming clothes with outerwear on top, I could not find any changing facility even if there is, but just a day before I saw lots of ppl going to Ilica beach already changed in their swim clothes with long dress like covers so did the same and saved the hassle."
great beach,"Really busy Beach , however we had an amazing day  had an amazing day  beach chairs a little expensive at 40 lira a person .food was good not great  however value for money ."
"Sandy Beach, Rough Waves","The sand area is quite wide and long. The sand is fine. However, the sea is wave most of the year. The water is shallow for about 100 meters form the shore line."
Beautiful beach,Beautiful beach with white-ish sands. Yet Ilica is almost always windy and the water is a bit rough.
Not recommended,"I never go back. I recommend you to go to other nice beaches on southern part of Alacati, probably the beach clubs which are more secluded, less crowded and cleaner.In Illica Plaji, you do not see much of the white sand that reviews and websites talk about. The whole beach is about 1.5 km in a U-shape format; very restricted and not cosy. On the northern part of the beach (close to Sheraton private beach) there is a sandy beach with depth of less than 25 meters, restricted by restaurants, creating a soffocating feeling. On the other side of the bay where private boats were parked, there was a concrete beach connected to the sea by ladders. Here, there were a few small logons of sand beach (10 by 5 meter!) to give you the ridiculous feeling of resting on sand! The beach was very crowded on every corner, not very clean, ppl were swarming, everyone was smoking cigar and I did not breathe fresh air even for a minute. Many places rented sunshades for 10 to 15 Lira. Especially if you are traveling from Izmir and plan to spend one day at one of Cesme beaches, do not waste your day here!"
Beatiful,"Ilıca has three wonderful beaches on this 4 mile stretch of ""the world's finest, whitest sand along the Gulf of İzmir each one of beaches offers a slightly different beach experience, but they all share the same azure gulf waters, picture-perfect sunsets, and soothing breeze that melts away your troubles so you really can't go wrong with any of them."
Very nice beach,It is a beach with white sands and green water really nice and clean you can hire an umbrella  with 15 lira the beach could be better if they but sun seats there are shower rooms and wcs but must be more restaurant on the beach will be good
beautiful beach,The beach is beautiful and long and on a sunny day many people go there to swim and sunbathe.The only drawback was the lack of a dressing room and a shower.
Ilica beach,Gorgeous beach to walk on for your daily exercise in the morning before it gets busy. You can dip in the sea if it gets hot. Very safe.
Clean and Dirty,"The water was warm and clear with moderate waves, the beach itself was dirty with cigarette butts and bits of litter. Beach bed hire was reasonably priced, with a lot of the coverings tatty, verging on dirty. Plenty of beach restaurants, vendors and shops to choose from for food."
Dirty,I was surprised by how dirty the beach was. The whole thing is covered in loungers and umbrellas which you have to pay for. I would have assumed the owners of these businesses would have worked to keep the beach tidy and clean to get people to want to come back but it appeared to just be covered in little bits of litter and not really the beach experience I was looking for. Snorkelled a bit but there was next to nothing to see. Would recommend snorkelling further down the coast.
Terribly contaminated with sewage.,"Avoid swimming not only on this beach, but on any beach on the coast of Izmir. Because of inadequate capacities, all sewage treatment plants in izmir discharge raw sewage into the sea, mostly during crowded summer months."
Advice,"In Ilica the beach consists of two parts. First one which is free of charge, but not any bed and umbrella, It's better to go second one - to Sharaton hotel by paying 400 tl. There is a big pool and kids pool. Bed, umbrella, and towels included. There is a restaurant inside. Prices are a bit high but foods were delicious."
Too 🌊wavy,There was very Wave that is why you can't swim easily in there. there was windy weather. You should keep you stuff in your bag when you go to beach where it is free.
Best beach in cesma,Definitely recommend.. soft sand .. sunbeds available for rental .. clean water and beach (might be too crowded on weekends)’
Mrs. Grosso,Fantastic!  It was clean and it wasn’t crowded.  They had many places to tab and it was extremely comfortable!
A most place to visit,Easily get rid of all negative thoughts as you immerse in the tranquility of this untouched sea.Highly recommended
Beautiful Sandy beach,"This is the famous sandy beach of Ilica, Cesme. If you go weekends or a holiday times,it would be very crowded.The only problem might be the organisation of the sunbeds and sun-umbrellas, there might be different prices which you mat not find adequate.Please find out from your friends or hotel how it works."
The best Sandy bed beach in Turkey!,I love the Aegean side of Turkey and I have travelled to many places in Turkey which are stunning but Ilica is an amazing public beach and it has a beautiful clear sandy bed. Ideal for families.
Like a miami beach,If one day you decided to visit Çeşme than you should see Ilıca Beach. I recommend you that  just passed away by car a long the road nearby Ilıca Beach. For swimming and sun tanning there are better places.
Terribly Dirty,Private beach concept doesn’t work in Ilica Beach. Seasonal business in vacation places are always same they want to rip you all the way off 👎 👎 👎  They want to make millions in a very short period of time so we are the victims for this scenario for sure. These private beaches are extremely dirty and unhygienic places in every single sense.
Lovely beach near Cesme,I took the minibus to here from Cesme main street. Lovely clean beach. You can get back on same minibus and go to Alacati about 5 mins away.
"Fine, white sand beach","A public beach with beautiful, fine white sand, crystal clear sea and shallow for many metres enabling one to see many small fish. Even in early October there were people sunbathing and swimming.  Assortment of beach cafes on the beach itself and along the promenade."
Huge beach,"Still lovely weather,  25c in October but the beach is deserted and it's a huge sandy beach with a very gradual slope into the sea which looks safe for kids.  Clean where the hotels and beach cafe and sunbeds are. Seems to be plenty of restaurants near the promenade."
Beautiful sandy beach,"Many beaches around here have pebbles but this beach is sandy. When we visited in late September, we had the beach largely to ourselves for the morning. Parking was easy. In the afternoon it was busier but still very empty. It is a large beach.The beach has restaurants but is far less commercial than those further south with no sunbeds/beach umbrellas when we were there. Nice if you prefer a less crowded beach (unlike those on the south coast of Turkey)."
Ilıca beach,"One of the best beaches of Çeşme.There are 8 gates to the beach.The variations of blue and green colours of water is fantastic.Çeşme is a source of thermal water too.Therefore you can feel hot water coming from the bottom of sea.The sand on the beach is white and thin.Usually windy.It is a good place to make a windsurf too.It is a beautiful place.But all visitors, please don't leave your trashes,cigarettes behind you.Keep the beach and sea clean.No glass bottles on the beach please..."
"Great, white sand, clean","It is great beach, white sand, hot water,no rock or oyster might hurt your feet at the bottom of water.Not getting deep quickly."
Pristine Waters,"We first came to this beach as it was the closest to Alacati, where we were staying, and liked it so much that we didn't bother checking out any other beaches. The beach is sandy, as well as the sea-bed, and the water is beautifully clean and crystal clear at just the right temperature. There is a beach bar with lovely staff that serves hot snacks and an array of drinks at very decent prices. I must add that every single item I tried over a period of two weeks was absolutely delicious. Don't let the understated appearance of Ilica beach put you off as it is a charming little place to relax at a fraction of the hefty entrance fees charged at hotel beach clubs. Well worth a visit."
Sandy Beachfront ,"What a beautiful sandy beach. Sand so thin and nice. Water is so clean and nice to swim. My girlfriend loved this beach, we will come back next year. And definitely come to September not really crowded.5 * beach."
