title,text
1 day Inca trail through the WINAYWAYNA RUINS / SUN GATE,"We have booked a private trek with VV Tour, it was the best decision, we had plenty of time for everything, especially for exploring Winaywayna Inca City, our guide David was the best with all his information about the Inca history. Highlight: No matter when you arrive, the Sun Gate is a spectacular entrance to this amazing site; Machu Picchu. Then we explored Machu Picchu for ver 2 hours with our guide in the late afternoon (less crowded). *** We do highly recommend being in shape because the hike it's challenging, especially when you HIKE the 1-day option."
Famous Trek,"The Inca Trail is by far the most famous trek. It manages to combine beautiful mountain scenery, lush cloud forest, sub tropical jungle and stunning mix of Inca paving stones, ruins and tunnels."
Worth every penny!,I absolutely LOVE Inca Rail! It has more availability in late departures and the panoramic view cart is a MUST! I would highly recommend Inca Rail over Peru Rail if you are trying to visit Machu Picchu within a day. It’s a challenging trip but so worth it!
Highly recommend the Classic 4-day Inca Trail BUT it is really hard so train and do NOT go in January,"We booked the Classic 4-Day Inca Trail Group Hike January 22-25, 2020 with Llama Path. Please see my review of Llama Path on their page but in short, they were amazing, especially or tour guide Jose Luis ""Pepe"" and would highly recommend them as your tour company.Let me begin by saying we did not have the typical Inca Trail experience. Unfortunately after summitting Dead Women's Pass on the 2nd day, a massive rock slide occurred immediately in front of us at the Pacaymayo Alto camp hitting a group of porters from another tour company, killing a man and severely injuring 2 others. After our guide and others helped the injured, we ended up hiking over the 2nd pass to the next campsite. That night a decision was made to hike to Aguas Calientes the next day via a porter trail because of more rock slides near the Sun Gate (we learned later, the trail was closed entirely due to the slides). We spent the night at a hotel on our 3rd night and saw Machu Picchu on our 4th day via bus.All of this being said, I still would recommend doing this once in a lifetime experience. The trail and Machu Picchu were breathtaking. The people of Peru and Cusco were beautiful. However...* I would NOT go in the rainy season, especially not in January. There are plenty of other times to go throughout the year when you do not have to hike in the rain and do not have the fear of rock slides along the trail. Yes, our hiking group was on the smaller side (7), but the threat of extreme weather and conditions is not worth it in my opinion. Really the Peruvian government should shut down the trail in January, not just February. However, according to everyone we talked to, that's not happening any time soon. I wish we would've gone in June for the Summer Solstice.* I would train for 6 to 12 months before the hike! I was not in good shape when we booked the trip and began working out every day from October 1 through January. It still was not enough. The trail is hard. Don't let anyone tell you otherwise. It is a lot of up. It is a lot of down (more down actually). And all on rocks. I was the slowest in my group which luckily was ok because we were all in our early 40's but who knows who will be in your group. Try doing the ""Everest"" workout on a treadmill in your hiking boots (I bought the Oboz Women's Bridgers) if you can't make it out on actual hikes. * Go 3-4 days in advance of the hike to acclimate. We are from Colorado and I could still feel the altitude the minute we landed in Cusco. We only stayed 3 nights/2 days before the hike and wish we had more. I also wish we had booked a couple days in Cusco on the backside of the hike too because (1) it was the Peruvian elections 01/25-01/26 and they were not serving alcohol (this sucked, make sure to check dates of the election when you book!) and (2) Cusco is a lovely, foodie, safe little town. * A few other recommendations:- Don't bring a pee funnel, you don't need it but be forewarned at least on the 2nd night our camp only had a hole for a toilet.- Try packing cubes to help get all of your stuff into the porter bags (I also used a dry sack to stuff the packing cubes into so they didn't get wet).- Rent or buy hiking poles, you will need them especially on the down hill (gloves also help with blistering due to the poles).- I personally liked the blow up mattress add-on that went on top of the sleeping bad, it made for a better night's sleep.Again, we did not have the ""normal"" trip but I would recommend going on the trail if you have the time to train and can go in the dry season (their winter)."
"Inca Trail Amazing Experience, Highly Recommended","Before traveling to Cusco, we researched a lot about different operators. Some are more recommended and others are not. Local Trekkers came as highly recommended one by some of our friends who had done several tours with them years ago. We opted to do the Classic Inca Trail to Machupicchu with them and we have absolutely no complaints. Everything was very well organized from beginning to end. Staff, porters, guides, cooks, were all very helpful and very professional in their work. All very efficient preparing the camp site, having warm water ready when we got there. They always took warm coca tea by the morning to our tents and then warm water to wash our faces.Camping equipment of very good quality and above all clean. Delicious food, abundant and especially fresh. with vegan and vegetarian options.Local Trekkers Peru is worth every dollar. They dont over charge for what they offer. I absolutely recommend to use this company as your Inca Trail operator."
A trip to remember,"Magical, breathtaking, and spiritual. You can’t doubt the existence of God, when you first see the Andes."
Get the train if you have asthma and probably even if you don’t,"I’m reviewing the 4 day, 3 night inca trail which we did in 3 days during the beginning of rainy season. I cannot write this review without thinking about the hobbits from Fellowship of the Ring.  Those little hobbits were courageous and never gave up while trekking through Middle Earth in what was a very worthy cause to save the world.  However if there was a direct train to Mordor then they would be silly not to use it. Especially when time was such an issue. This is how stupid I felt at the end of the first day of the inca trail.  If you are traveling to Machu Picchu then don’t feel ashamed for getting the train.  You are not cheating, you will see the exact same Machu Picchu as I did but without the hassle.The trail itself after the first few pleasant hours either goes directly up or directly down. Both of which are not nice for different reasons. Going up gave me bad asthma due to wet weather and altitude. Going down kills your knees and the wet rocks can cause you to slip and potentially hurt yourself badly at any moment. The scenary is quite nice but you will rarely see it as you will be looking at your boots for 90% of the time so not to fall over and the last 2 days we did not see anything because of the rain clouds.  The bottom line is, its not fun or certainly not my kind of fun.This is made worse by the fact that when you do arrive at Machu Picchu mentally and physically drained you are confronted with hundreds of tourists all fresh faced with clean jeans and relaxed smiles enjoying the sites having just got off the train. They have no idea what you have been through and spoil any picture of the ancient city you try to take with their brightly coloured rain coats walking through the centre of the city. This review would be different if trekking was the only way to visit Machu Picchu but its not. There is a comfortable train that takes you on a beautiful route in-between the mountains alongside the river.  The hobbits had to do it. You don’t!Some people have told me that I should be proud of completing the inca trail with asthma and altitude sickness. Many people probably would be but me, I just feel stupid for not getting the train and spending more time in the magical city of Cusco."
Hiking with Camina los Andes,"Inca trail was a challenge, however one of the greatest things I have ever done. Percy was our guide. It was basically a walk down the history of the land, it’s people. Time has stood still and the world   Has just passed by. Our trek turned into a 3 days due to family emergency back home, camina los Andes helped us achieve that goal for which we will be eternally thankful. They went above and beyond in making sure we finished the trek ahead of time."
G adventures Inca Discovery Tour - Fantastic,"We did the Inca discovery tour with G adventures in early Dec and had an incredible time! Our guide, JP, was absolutely fantastic - really passionate and enthusiastic about sharing his culture and incredibly knowledgeable. We always felt safe and supported.This review will focus on the Inca trail part of the tour but we also really enjoyed visiting the pottery and weaving co-ops and Cusco as well. Bring enough soles if you want to buy souvenirs at the co-ops. I bought a scarf and baby alpaca shawl and spent about S300. The pottery is less expensive. We stayed at prisma hotel in Cusco and we were able to do overnight laundry - 6soles/kg so very reasonable. For the trail here are a few tips:Packing - the porters will carry 6kg and you are provided with a duffle bag. The duffle bag is not waterproof - bring a dry bag if you have one. If you rent the air mattresses and sleeping bags from g adventures these add up to 3.5kg leaving you with 2.5kg. Everything else will be carried in your day pack. Definitely rent the optional air mattress if you didn’t bring your own. The ones provided are extremely thin and it gets cold at night. The hotel you stay at the night before the trail has a scale so you can weigh your bag.Hygiene - The porters set up your tents and air mattresses for you. They also bring you a basin of warm water in the morning and coca tea in your tent which is lovely. You can consider bringing some soap and a small towel. Toilets - combination of squat and regular toilets. Bring toilet paper and hand sanitizer. The bathrooms on the first day are not free so bring 1 sole coins.Food - incredible! The chefs are truly amazing and cater to all dietary needs and preferences.  They even made a birthday cake in the middle of the trail! Lunch is generally the largest meal with soup, a main and dessert. Dinner is soup and a main. We did bring some trail mix and a chocolate bar for snacks while hiking but you definitely don’t need to bring much other than that. They also provide you with a bag of snacks at the start of the trail. The trail - the first day is straightforward and not very difficult. You will pass by stands selling snacks and drinks as well as several Incan ruins. The second day is fairly difficult as you do dead woman’s pass and the trail is very up and down. A few in our group did get altitude sickness and one had to turn back. Consider acetazolamide for this trail. We had torrential rain on our 3rd day - buy a cheap poncho in Cusco and bring it as it really helps keep you dry. The rain was so heavy that it was difficult to stay dry even with rain pants and a good rain jacket. Get the large size as it can cover your day pack as well. The fourth day is fairly easy hiking - you do need to start early around 4am. I did use hiking poles for this trail which I would recommend. I hadn’t hiked with them before but there were some steep downhill steps that were slippery in the rain. Tipping: you can tip in either soles or USD. Porters - 150 soles per person minimum! These guys are amazing - they carry everything and literally run the trail to set up camp before you arrive huffing and puffing with a tiny day pack. You can tell they are treated well with g adventures. For example they are all provided with hiking boots, jackets etc. Some of the other porters we saw were wearing old converse like shoes or even flip flops and were carrying more weight.Drivers - 5-10soles/person. Generally need to do this twice - for the driver that takes you to and from Cusco Main guide - we tipped a bit more than g adventures recommended because out guide was fantastic - $30USD/person."
Great Experience,"We did the hike on the trail leading to Machu Picchu . There is nice scenery for the adventurist hiker, but it is not for the faint of heart or if you do not like heights.I did the 4 day trek from 82km. Day 2 is definitely the hardest!Bring plenty of water and hiking poles. Felt great to finish it. Would I do it again? May not be"
Spectacular!!!,"Just a little note to let everyone know about our the 4D/3N Inca Trail to Machu Picchu simply it was a wonderful experience, thanks to our local operator Andean Hikers Peru team for organizing everything very well from the beginning to the end.    from the amazing chef Sandro and porters Rogelio, Juan, Fernando and the others to our Fabulous trek guide David without whom I’m sure we would never have made it all the way. David's enthusiasm kept us all buzzing, and his knowledge of the area, fauna and history of Machu Picchu was never once questioned compared to one guide we hear who was talking utter rubbish to his trekkers team. But David is an Ecologist Guide who has a lot of to teach to his passengers, he has a real passion for his job for which he does his best effort to communicate everything that Cusco and Peru in general have to offer. So it was a real pleasure to live this trek with him, we learned a lot with him. Also we were in trouble with our flight we were not able to do the briefing the day before our departure nevertheless, but Andean Hikers Peru team in a very professional way, managed well our late departure. Hopefully, because we have been preparing this great trek since almost one year.All were very helpful and did everything to make our Inca Trail very comfortable. Amazing to see how Sandro was able to prepare a so tasty and so much food (the portions are really significant) and every day, everything was ready to eat when we arrived from our daily stop. We have nothing wrong to say about this company, I can only recommend them highly you will not regret."
Amazing Incan Site,"Machu Picchu is a must see when you visit Peru. It's 1 hour or so by plane outside Lima in the town of Cusco. Prepare yoursef prior to arriving Cuzco due to it's 10,950 or so feet above see level altitude that would give some people a so called ""mountain sickness"" short of breath, headache, nausea etc..me & my friends got sick and did not enjoy the first day of our tour. Machu Picchu's altitude was less than Cuzco so we have had a great time exploring this amazing, wonderful rich of history Incan site. It's worth the visit and would do it all over again inspite of the altitude sickness."
This is a difficult trek!,"We had a wonderful guide...Marisol Velasco Espinoza.  Very knowledgeable, friendly..perfect English.  Most helpful recommending sires , IF you have time or can shorten for your convenience."
