title,text
Fun time,We visited the fort during afternoon but still it was worth it. So much for information and also how they created the fort was also incredible
Good,"Basically there are hundreds of small homes inside this Fort along with many small shops selling local souvenirs , gifts etc along with some restaurants/cafes.  We expected something to do with Fort of Kings when we went. Though they have some museums inside but it was very crowded and we had to avoid that. There was some small museum as well haveli kind and good experience to see that.  Overall , a totally different experience and worth a visit…"
beautiful fort,Jaisalmer fort one of the most beautiful. i was there first time and u shocked to see such beautiful work on wall. amazing fort
Walk inside the fort living area as well .. So lively,The beautiful living fort in the desert golden land with golden yellow stone houses around ..  what we experienced further than visiting the various halls and exhibits inside the fort .. was going around inside the fort area where lot of people still live ..   .. still as real as live in our memory...  Would suggest tourists who are more curious to spend more time inside the living fort and around..…
Sonar Kella,The princely lifestyle prevailing is a must watch. Most of the inhabitants are visitor friendly and acts as trusted guides.  The shops are never found to be charging extra with a vivid display of products.
City within City,"A grand fort, located on a hill, overlooking the whole city and desert. Damn! I wish I could go back to live here like a princess. Nevertheless, it still has the same feel to it. But now it has also become a tiny city within the city of Jaisalmer. Like a mini jaisalmer!The fort is casa to families for generations. Not only that, it offers abode to a lot of businesses, shops, restaurants, museums and temples. This fort is architectural marvel and a cultural artistic temple in itself. The old relics we get to see here are sight for sore, archeological and artsy eyes. And that's not the best part. While exploring the palace, everywhere you go, you see another side of the city and the dessert. And the best views are of skies from the roof of it. You can actually see Akashganga from this gorgeous fort at night. I mean, is there more you want?!"
The Royal Golden Fort..primemost attraction of Rajasthan..,The Golden jaisalmer fort is one of the prime most attraction and a symbol of Royal Rajasthan..A fort..with yellow sandstone wall surrounded fortress..the maximum part inside fort is is house..people resides for generations..many turned into staying options..with shop n restaurants in many..The main tourist attraction is jain temples..3 cannons ..with city view point and obviously the main building- The Fort Palace Museum or Raja ka mahal..the preferable Audio guided tour makes a good trip with rich history n exhibits and sandstone crafting masterpiece architecture inside the palace..The shop inside the fort is for good buy of Rajasthani crafts n mementoes.. with good food of different taste available..A sunset n sunrise time at Cannon point is a must do..Make planmess trails of the lanes..explore the haveli like houses..feel the pulse of the life inside the fort..have a full day time to explore it..to feel the real hues of the fort..It gonna be a lifetime experience indeed...
The Living Fort Of India,"You must be thinking why I am saying it a living fort because still inside the Fort like a small town is established.Still, the people from centuries are living here from one generation to another.So I visited in the month of Feb and the best time to come here is Nov- March because of the Desert.It's a very old Fort and we hired a guide who helped us with the complete history of Fort. When we entered the Fort we saw the shops all around, a few antiques, traditional clothes, famous stones for jewelry and I bought famous Red Stone Glass which is good for Drinking water. The structure and walls are very old and they are not maintained and everywhere will found scooters, cycles roaming inside the Fort. It's established in a big area but because of less maintenance, the places inside different Fort areas are not kept properly.Suggestion: There are different places inside Fort and every entrance needs ticket so do not go at all places inside Fort and one thing not to miss there is Birla Mandir.Also, don't spend more than 2 hrs there that is sufficient to cover the Fort"
Average,"Jaisalmer fort does have nice history behind it and nice carving and all in it, but given the fact that people live and do business inside this fort, the fort is very noisy, dirty and somewhat smelly.  People ride by two wheelers honking for no reason, just plain noise pollution.  Even though Jain temples inside the fort have very nice carving and beautiful history, the public bathrooms are also very dirty.  You are walking on narrow streets fighting street sellers If you have been to Jaipur or Jodhpur and not willing to shop, you can skip Jaisalmer fort and Patwon ki Haweli. I must admit, Patwan ki haweli is a masterpiece in terms of carving and stuff, but again, very crowded streets and small canlas of dirty water going around.   There are many small small Hawelis inside and people will charge you to visit there.  Gadi sagar lake is not maintained , you can may be take a photo. Better visit Desert camp (stay in a tent) instead of going to Jaisalmer.   Mehrangargh fort in Jodhpur is awesome, much more impressive."
Great tourist place,"Canon point, good place to see entire Jaisalmer city. Jain temples & entire fort has very good architecture of ancient nature. Very intricate details."
Superb architecture,"Amazing architecture. Take a guide to know more about the fort, it's history and the palace.  It will take around 3-4 hours to visit all the places "
Jaisalmer Fort is not a Fort but city within a fort,"What you like is what you appreciate. We like forts to be Forts, and not a fort with a city within it. The approach and entrance to the Fort gives the impression of a Fort - but when you get to the square it all changes. The waste is spread around and the buildings are tight so…"
Very Crowded with Nice Views,"Fort was nice, but get there early before it gets too crowded. Went in the morning before most shops were open and it was easier to enjoy the views from the fort without every shop keeper in your face."
Jaisalmer fort,"I personally fell the fort view is magnificent from outside when compared to inside.we viewed in day light and night in illuminated fort,both were impressive,till 9pm lights of buildings inside the fort adds on to fort beauty.select a hotel which has fort view so that ur…"
Fort : marketing place and residential complex ,"Cleaniness is not as supposed to be inside the fort. Full of market. Remaining of Satyajit Roy’s film “Sonar Qella” not preserved properly. I would like to request from this forum for building a “ statue” of Shri Satyajit Roy , that can be a visiting place, as the local people…"
Living Fort | Amazing experience | Take guided tour to explore,"Personal Review: One of the very few living forts in the world, and the only reason, for you to travel to this place apart from safari. Fortunately, we planned our stay within the fort (Zostel) which I would recommend you to opt if you are a group of friends or colleagues without any second thought. To give you a brief about this fort, it is quite old, built-in 1156, by Rawal Jaisal. Hence, the name Jaisalmer. There are a few quite interesting facts, I would like to put:a)	It is one of the very few living forts in the world. You will find people still living within it and doing with their usual business (handicraft etc.). Mostly populated with Rajputs and Brahmans. 40% population lives inside the fort.b)	It is built using golden sandstone using an interlocking system, which is quite amazing, given, it’s 800 plus year old.c)	It is 1500ft long, 750ft wide and 250ft high. (You can also opt for a guided tour which I would recommend if you are interested to know more about the culture and traditions which are still being followed.)d)	An interesting fact about it is the way, a family invites the entire fort for the wedding, where they paint an idol of Shri Ganesh with the wedding details, but only the fort residents are invited and not tourists (such a bummer).e)	It will take you around 1 hour for the entire fort tour including Jain temple, canon point (good for sunrise view) and try Zostel common area (epic sunset view).Food: You will find many eateries and cuisines here especially Italian which you can try. I would recommend a German Bakery which is nice. Jaisal Italy restaurant and Free Tibet are a few others. These restaurants are nice and you can explore. Apart from that, there is a legal bhang shop just outside the fort (do try:p) and in the morning, there is a famous local kachori wala adjacent to this bhang shop that can be explored for the breakfast.For any queries related to helping you prepare your itinerary or choosing a place to eat or stay, drop me a message and I will try my best to assist you as soon as possible. Also, if you found my review helpful, don’t forget to give a helpful vote and follow me. Thanks."
Hire guide Suraj for detailed history and excellent photography skills,"Ask around for guide Suraj, small frame bengali guy who is very knowledgeable and has excellent photography skills."
Take the audioguide tour to the palace museum,"The museum housed in the palace is beautiful and well maintained. The rest of the fort is overrun with hostels/hotels and is none too clean, but charming in parts."
Huge and nice one,"This fort is one of the very few 'living forts' in the world, means some population of the city still resides within the fort. It is also called as #goldenfort  or #sonarquilaIt has massive yellow sandstone walls, with four huge gateways for visitors. Must see -Raj MahalJain templesLakshminath templesHavelisThe fort has many hotels, restaurants and shops within the boundary.Fort ticket - entry is free but to visit Raj mahal ticket is Rs. 100 p.p. One may take a cab to the fort or an auto. 'Rajput forts were not easy to build.'"
Spectacular Fort ,Saw unique past achievements.Good day trip.Well organized and useful guide info Take a guide to enjoy the detail. Not crowded like other venues.Rajasthan's pride
A Must Visit,"All I can say is that it is a must visit if in Jaisalmer. It's the only living fort and offers up an insight into old fort cities.Plenty to see within I.e. jain temples, museum etc  Definitely worth exploring!"
"A Fortified housing of Beauty, Commerce and Hospitality","In Rajasthan, India, to experience valour one would visit the fort of Chittorgarh. For understanding the political jugglery between Rajputs and Moguls Jaipur is the fort to visit. Jodhpur Fort would represent the fortification for Defense. Jaiselmer, the living fort, however, would be visited for its throbbing hospitality and beauty. Primarily, designed in 12th Century to secure the trading community that lived there, to this day, the residents within retain the flavor of enterprise in a very harsh desert surroundings. The negotiating skills of Marwar region coupled with the valour of Mewar is one reason why India survived the onslaught of invasions from North West. No wonder foreigners thronge to Rajasthan to experience this rare battle for survival fought and won there."
Beautiful architecture in this living fort,Stunning  fort  well worth exploring and it is right within the city.  It is good that Unesco are helping to  restore the fort which is being eroded by water damage.
Amazing living fort,"What can I say other than ""visit it""? It is the only living fort in the world and if you go to a roof you get a view of the all engulfing desert and wind Mills. Also, jaisalmer is the windiest city in India. So even if the sun is shimmering down, you don't feel hot."
Amazing! ,This is totally worth a visit. You’ll find lots of shops and places to eat in the fort. It is definitely worth going to the museum too.
