title,text
Just a view; but it is stunning despite floating garbage ,You can’t visit the palace on the water but the view from the lake something like you never seen before.   Unfortunately the lake is dirty needs to be cleaned so don’t be fooled by pristine photos where all the floating garbage has been photoshopped out. 
Jal Mahal Is A Beauty,"Jal Mahal Jaipur Is Reopen And Best palace To Explore In Rainy Season   builduing that made in the centre of a lake , u can easily watch one side of this builduing on the way to amber fort , ek behtreen namuna.."
Beautiful to photograph at different times of the day.,"Beautiful to photograph from down next to the lake or see Jaipur come alight from sunset through to when it lights up from the road to Jaigarh Fort.  The Jal Mahal is beautifully lit. and the lake reflection makes it especially lovely at night.  There is work underway to clean up the lake and restore the palace. which is five storeys, but only the top storey is visible above the lake.  There is a market along the road there, we didn't find any problems with the hawkers. We were there in early March 2020 They just have to make a living, must be tough this year if they are around at all now.…"
sthapatya art ,"A builduing that made in the centre of a lake , u can easily watch one side of this builduing on the way to amber fort , ek behtreen namuna art ka that too made and stand from years "
"Seriously, don't step out of your car!","Jal Mahal looks good in pictures and from far away. Of all Jaipur attractions, this was the worst. You can get down from the car, only to be confronted by hawkers, touts & crowds. It is dirty & as you near the water, the most disgusting smell assaults your senses! Unfortunately, I am saddened to say that the people around have little civic sense either. And it isn't worth getting down, for even a few pictures, because once you breathe in that disgusting smell, it stays with you! Admire the place from far, is my advice to you!…"
I m still confused,"Just like my last visit in 2017, I am still confused why this structure was built. This time I had an even worse experience with a foul smell in the waters when we tried to get some pictures from the road. The hawkers on the street makes the things a bit more clumsy. This place…"
Summer & Water Palace,"Title according to our guide so could be a furphy ?? But obvious that it would be a cooler location during the heat of Summer with cool water breezes. What is known is that it was built in 1799 AD and is only viewed from the roadside. A hundred hawkers on site , so it is a well…"
Okay for a photograph,The still waters give a perfect reflection and so this is good for a photograph.  You can only view this from the road and cannot go into it.  It was a former hunting palace and is presently being converted. There is a market in the area by the place that gives the best views. …
Worth a photograph!,"Known as the Water Palace, this former hunting lodge is in the process of being converted into a restaurant.  It can be viewed from the road that runs alongside the lake."
A break in your coach trip,"Not as spectacular as mooted. A palace in the middle of a lake, can be viewed from the lake side walk 150-200m away.  The many hawkers and street vendors detract from the possible beauty and allure of this palace. The hazy atmosphere also diminished the view, making photography…"
Palace on Waters,"It is now known as Taj Lake Palace. It is located right in the midst of Lake Pichola. Standing tall and beautiful in the middle of Lake, Taj Lake Palace is an 18th-century historic stay in the City of Lakes offering an ethereal experience of the era of kings and queens"
Just drive past and view this from the viewpoint,"This Palace probably looks more picturesque in the evening (I hope), because it is very average to see by daytime. We were told by our driver that you cannot actually go across the water to the Jal mahal, not sure if this is true or not. If so, its a very average drive by…"
Water Palace,Amazing place to visit either in day time or in evening in middle ot Man sagar lake in Jaipur.  Maharaja Sawai Pratap Singh constructed Jal Mahal in 1799 to serve as a hunting lodge during his duck shooting trips.
Jalmahal,Nicely  developed with vision of water conservation  and tourism.  Feel vibrant when you are on top of jalmahal viewing  nature  and  clean water. Beautifully decorated  museum  to display  historic  past od palace.good experience.  Can be visited with family  friends  and kids…
Jal magn,Jal mahal is jaipurs one of the historic place and its wow moment for me amazing place in between water its palace here and i loved it
Nice,"We visited here n looked outside only.You cann see from the banks of the lake.but we enjoyed the shopping here.Rajastani duppatta s,chappals,dresses.we bought them."
Untouchable! ,"What an impressive view from the shore of the lake. Unfortunately, it’s inaccessible and no visits allowed. Our Guide informed us it was being renovated and will be open end of 2021 as a floating hotel. Watch this space!"
A romantic view from the shore,I loved this palaceIt ignited my imagination and I took a pic I love.My guide a young auto driver was happy to take me from site to site.We went to Amber Fort... don’t miss it!
"Impressive, but not possible to visit.",Imagine that you want to duck hunt ... so just build a small cottage in the middle of field and make a lake around it! Wow!I hope that the plans to organise guided visits will be made reality - in that case I'll go back.
A guided tour is not allowed,"One is not allowed to be close to Jal Mahal, and internal tour, or guided tour is out of the question. You can take a view from distance, and it is fasciniting. It will be great, if they will allow a boat tour closer to the palace."
A neglected palace,"It may be a palace but not accessible by tourists, you can not go there, you can’t  see it from inside, you can’t have a close look. Not properly maintained  by the authorities. You can just enjoy the lake and hills around. I have visited this place a number of times but could…"
Memorable one,Place is very good for see its situated in the centre of the River area was very fantastic for the visitors
Good at night 🤩,Visit it at night u will find many streets shopping at and some food to canmel ride also available but I didn’t take it because animals get hurted buy us only
An old palace in the middle of the pond ,This palace was built for the use of the royal family of Jaipur and is surrounded by an artificial pond . Can be reached only by boat . Is used by the royal family only twice a year . Is not open for visits of the public . 
Golden Triangle,"You can get dropped off along the side of the lake where there are viewing points to take photos of the Palace on the lake. There are many crafts being sold along here who want to sell you something so be ready to haggle. Don't miss the wildlife statues here of an elephant,…"
Palace inside Water,Its just Amazing to visit Jal Mahal. Name of this Site says PALACE on WATER. You will find picturesque view & nice heritage  site
Seen from afar,"One can not see this palace very closely, unless you stay at the hotel there. Very disappointing as the gardens looked nice. There are lots of street vendors and beggars who made the visit there unpleasant."
Not a tourist attraction,"This does not qualify a tourist attraction. It does not offer anything to stop by, and spend time. You can only watch it from the shore and cant get close to it. You can very well watch it on a drive to or from Amer fort. The only reason why you might want to stop there is the road side shopping option available in from the front of the Jal Mahal. But you have a lot of other places to do road side shopping in Jaipur! This should be your first place to skip if you are on a tight schedule in Jaipur"
What a place!,I’ve been going to Jaipur my whole life but only this once did I visit the Jal Mahal! Unfortunately one can’t go too close but it’s still a site to savour !
Unfortunately smelly,"Just a single picture worth, this attraction offers nothing but disappointment. Tourists can click pictures of Jal mahal from the promenade. The area surrounding the promenade is very smelly. The roadside hawkers sitting on the promenade have nothing new to offer as well. This attraction can be avoided big time."
Smelly ,Just a palace immersed in water. We stopped just for the picture. Place smells horrible and it’s full of people selling you stuff. Don’t think that is worth seeing.
Do not visit during daytime,The light show at night is the only good thing about the monument. If you during the day you can do a lot of shopping for tiny things.
“Water Palace”,We had to stop roadside to view the Jal Mahal which is located in the middle of Man Sagar Lake. It was built as theatre. It is a beautiful site from a distance on a foggy day. There were plenty of traditional handicrafts venders and sellers along the roadside.  SEE photos.
Roadside Stop and Viewing,A palace in the centre of a lake in Jaipur. You cannot visit and are constantly pestered by beggars and touts. Very pretty but nothing special.
Beautiful. ,"So lovely, you can’t go on the the island, you just stop for a few mins by the road and look from the road. It’s a shame the government don’t allow you to go on the island.  It’s gorgeous. "
Pretty cool,I guess the only reason I like this place is because it was poking up out of the water like a floating Hotel. I guess the royalty in the area found it nice in the summer time because the water cooled the entire building. I thought that was very interesting. I don't know if you can actually go to it when you can see it from the road way and one of the Street Markets along the way. It's worth a glimpse
Worth the stop!,"This is worth a stop along the road as this is one of a kind, even if you’ve been to Venice!  You’ll fight for space along the hockers and the mopeds but the juxtaposition of water and palace is odd to say the least."
Relaxation in Night,In jaipur jal mahal is famous there are 7 floor but u can only see 2 floors near by nargarh fort and in night this place is very peaceful
A visit means you look across the water from the road!,"As with  a few ""attractions"" and historic buildings in India, this is a view from the road only place.  Looks great but why do these things get listed as attractions?"
Another must see while in Jaipur,This is yet another must see in Jaipur. It's a quick stop for a photo and you can be on your way. This is a good area to see and/or ride camel's. I didn't ride a camel but the camel owners let me pat the camels and take photos
Drive by,It's interesting to drive by and see. Didn't go out to it but the history of how it was made is interesting.....look it up yourselves. 
Stinky,"Poorly maintained, but fort was good , just on the way on the road so doesn't waste much time  Not clean"
Don't waste your time here,You can see it from far distance from the dhore of the lake. It would have been great experience to visit here if the entry is allowed. 
On the way stop to the Amer Fort complex,Nothing much to write about here. No boating or visit to the Mahal allowed. It's just a photo op on the way to the Jaipur forts  Ask the auto guy to stop for few minutes in way to the forts and this place is checked off the list
Photo Stop,"This place can't be accessed but you can have a good photos at the time of sunset and sunrise. Went during Kite festival, this sky around this place is filled with kites. It is a really enjoyable moment but too crowded."
Unique structure,A unique structure in water. Cannot go inside. Can admire it from distance. Surrounding water body is not clean. There are local street sale on the sides. Can visit on passing by to Amer fort
Visit to Jaipur,Jal Mahal is another tourist place to visit in jaipur. Though it is not open for public. It adds to the beauty if scenic Jaipur.
Super Place,Awesome Place to visit with family and friends. Best location for all ages in every season. Recommended.
Floating palace better in pictures,Although this is definitely something unique the pictures online make it look much more spectacular than it really is. Very dirty near it and a fence obscures any good views.
Pretty but not accessible,"A pretty summer palace in the middle of a lake, which is great for a photo backdrop, but, as it's not accessible, that's about it. Stalls and and attractions along the lakeside where you take photos from make it more entertaining."
Light up the Night,"If you have the opportunity, save the trip to Jal Mahal for night time.  Although it is equally impressive during the day, the reflection of the palace on the dark water at night really accentuates this place.  Plus, it is MUCH less busy."
Don't expect too much,Try to go at evening to see the light work.I went for sunrise view but it's been little foggy and it will take less than hour to enjoy the area.
Passing through visit,"There are whole lot of hawkers all around Jal Mahal promenade, making it lose out its charm.A short visit (10 mins),whilst passing thru is sufficient."
Interesting site with locals ,"Mostly Indians hanging out here, interesting view. You can buy and eat street food, stroll along the street.However not much to do as a tourist."
Picturesque view,"Though the palace is not accessible to tourist anymore, one can see it from the street. The water levels are at the palace floor levels giving it a floating feel. Can be utilised as a refreshment break while appreciating the view. Should be visited during the day. Light show is also available in the evening but not much worth."
Only a possible view from the lakeshore ,You must have seen this installation in many movies.We can only move from the lakeshore. There are no boating available now.
Nice,"It was nice to visit . It is in the middle of lake , boats helped us to reach there . There is no entry fee you have to only pay boat charges ."
Lovely park to chill and shop,A good stop after the amber fort. A lovely place to walk around and relax. There are small stalls to buy souvenirs and one can take pictures in ethnic clothes.
Picturesque view,"Jal Mahal (meaning ""Water Palace"") is a palace in the middle of the Man Sagar Lake in Jaipur. Basis the information shared by guide, the palace was used by the royal family, especially during the summers. However, a tourist can only watch the palace from side of the roads. One is not allowed to visit the palace by any means. However, the palalce has picturesque view from the road."
Not Much To See,"We visited Jal Mahal on our way back to Jaipur from the Amber Fort. While the palace itself is picturesque enough, you can’t get to it and so have to look from the viewing area which tends to attract a large number of vendors. We visited mid morning and so perhaps visiting in the evening when it is lit up would provide a better view and photo opportunity."
 Stop-click-go  !!,The view is splendid if u can ignore the noise around. Difficult to find a serene spot for a photograph before the hawkers literally mob u with their stuff. 
Just OK,"Area around Lake is like dumping site, lots of rats around. The building looks very nice, but better on the picture."
A serene get away,We were on a trip to Agartala and local friends took us to the Neer Mahal built by the local Maharaja in 1930. To reach there you have to fo by a motor boat which operates with a minimum  of 20 tourists or you can hire a small rowing boat for Rs. 300. The palace is a white…
