title,text
Interesting Finds,A must see. Very interesting to see inventions of years ago. Reasonable entry fee. Takes about an hour to view.
World Heritage Site,"The Jantar Mantar located near City Palace Jaipur is a collection of nineteen architectural astronomical instruments built by the Rajput king Sawai Jai Singh I, the founder of Jaipur, Rajasthan. The monument was completed in 1734. It features the world's largest stone sundial, and is a UNESCO World Heritage site. You need a guide to tell you about all those astonishing large instruments.…"
The real jaipur,"Place where u can see real jaipur and what jaipurs art from a long time in history , timing information is available.on the site please check before visiting "
A surprisingly interesting and educational  experience!!,"Science as a subject in school was never really my thing, but I thoroughly enjoyed my visit to this site.  It was like an ancient science experiment come to life.  Built between 1727-34 AD it has a noteworthy collection of traditional astronomical instruments.  I recommend a guide as most of the items would be impossible to determine what they are/were or used for.  If science isn't your thing the angles and geometry if the instruments also make them very photogenic, the while place was a great unexpected surprise for me.  I wish we had had more time there.…"
Great,Best observatory in the world & very well maintained. Here I came to know that in old times how people knows the time
Fantastic experience of early science.,"This site is a must when you are in Jaipur but do take a tour otherwise it is near impossible to understand the complexities and science of the site. It is the largest observatory in India. We were expecting to see telescopes but the area is dedicated to shadows and movements of the sun and stars with shadows cast as the sun moves around at various times of the day indeed months and year. It is amazing how the early Indian scientists, going back 300 years, were able to document and predict times and locations based on the solar system. Horoscopes are catered for and all the astrological signs are there. To look at the park it appears more of an amusement or architectural centre until one has the explanations  about the geometry and lines of shadows and light. Quite amazing. A modest entry fee applies and we took a pre-booked tour which lasted around an hour. It is also worth buying the guidebook which explains more about the science and history of the observatory."
Interesting but 'not my cup of tea',"A set of 19 massive astronomical instruments built by the Rajput king Sawai Jai Singh II.  It is a very educational site, as each piece is unique and has its own purpose such as measuring time & predicting eclipses. There are not much shady area, be sure to wear a hat, put on sunblock, and bring a bottle of water."
Educational,"The most widely known astronomical sites in the world are the observatories of Maharaja sawai jai singh (1688-1743) of india . T he observatories with their monumental instruments, built in the early 18th century,have fascinated the scientists and layman alike more than 300 years. What  makes them fascinating that they were built in a day and age when astronomy had ceased to be medieval, and great strides had been made in devolopment in Europe.Newton already had published  in 1685 his PRINCIPIA which provided a solid basis for the theoritical aspect of celestial mechanics,In 1656,HUYGENS invented pendulum clock for accurate time keeping. John Flamsteed published  his  calibrated catalog of stars with unprecendented accuracy of + 10 of arc.micrometer and crosswire fitted telescopes were a common sight in observatories.      Jai singh, unware of devolopments in Europe. erected naked eye instuments of masonary and stone,in the tradition of medieval astronomers such as Ulugh Beg. Jai singh's instruments still exist at Jaipur, Delhi,Varanasi, and Ujjain."
Jantramantra,"It features the world's largest stone sundial, and is a UNESCO World Heritage site.It is located near City Palace and Hawa Mahal.The instruments allow the observation of astronomical positions with the naked eye.The observatory is an example of the Ptolemaic positional astronomy"
An Astrological Marvelous Place,Jantar Mantar is like an outdoor museum or observatory with a collection of a number of astrological instruments that was built in about 1734.  One of the instruments happens to be the largest stone sundial in the world.  The Jaipur Jantar Mantar has been designated by UNESCO as a World Heritage Site.  It is interesting to walk around this area and see the different types of instruments for telling time and/or the movement of the earth - interesting!
Astronomy & Astrology,These amazing creations were built for Sawai Jai Singh back in the mid 1700's and still work & function today. This site is the largest out of 5 that he had built ! He loved his star gazing I think ? A lot that I read & saw went over my head as maths was never my strong point…
An impressive collection of Astrological Instruments.,We included this as part of our guided tour of Jaipur.  At the last minute our guide rearranged our itinerary as the day we were due to go was very overcast.  You get most benefit from the sun dials when it is sunny!  It is a UNESCO World Heritage site and houses two large…
Unexpected interest,Jantar Mantar is an astronomical observatory used to measure the distances and positions of celestial objects. This monument was completed in 1734. It consists of 19 large instruments each serving a very specific purpose. The most significant among these is the Samrat Yantra…
Unlike anything I have seen before,My husband and I were glad we added this stop onto our list. It is a collection of huge astronomical instruments that make up this observatory. The size of the sundial alone was very impressive. Watch out for random people who will walk up to you and offer a tour - and then want…
An impressive collection of astrological instruments.,"A UNESCO World Heritage site, the site includes a large sundial, accurate to two seconds, and other 18th century astrological instruments.  This collection is impressive both for its demonstration of scientific knowledge at the time and also its construction."
glorious afternoon,"i did not know what to expect of this but really enjoyed the visit on the most beautiful afternoon, sky blue and such an interesting place to explore all laid out in a delightful way. There was a video in english explaining the background in the information centre and explanations on the exhibits themselves. All quite fascinating."
Excellent place,Jantar Mantar is an astronomical observatory used to measure the distances and positions of celestial objects.It has many  architectural astronomical instruments.It is UNESCO World Heritage site. We can see many unknown Mathematical and Scientific Collection.
For the budding astrologist,"An amazing collection of sundials under differing formats, and some linked to the zodiac. There are ""guides"" available for tour, however are very expensive. 250 rupee entry fee, and another 250 for the short tour. Take your time of birth also, and you'll get a ""reading"" of your attributes....LOL."
A great place to visit.,Jantar Mantar is a sort of a lab of the ancient astronomy scientists where various experiments were carried out. I was astounded to see the various things these great minds built to forecast astronomical events. I highly recommend to have a guide while visiting this monument. A must see for anyone visiting Jaipur.
Amazing place,This is an astonishing scientific piece of construction. It shows how measurement of time and seasons developed and has the biggest sun dial in the world that measures time to 2 second accuracy - not bad for a pile of stone work
