title,text
Beauty of vizag,Best place to visit in vizag.Superb atmosphere The beauty of vizag can be seen from here.must place to visit.
"Best vizag City view from Kailasagiri, 40 feet shiva parvathi Idol, Rope way, Toy Train",Best View of city is main attraction from Kailasagiri Hills. Hilight is 40 feet shiva-parvathi Idol. Ropeway is best experience. For childern Toy train and garden and parks. one side of the this hill is Ghat road fro two wheeler and four Wheelers. another side Stairs for paligrams.
Kailasgiri is a view place.,"Kailasgiri is a view place from where entire Vishakapatnam and Arabian Sea ,Ramakrishna beach,Kailasgiri beach and other beaches along with ships in sea.The hill location is a pleasent place gives a mind blowing experience. There is a big Shiva statue.Rope way is also provided from the side of tenneti beach side.Varities of tribal products and sea products are also available at hill."
Beautiful,"The view from the hill top is just mesmerized me, it's very beautiful at night time, will surely visit again for sure in next visit"
Beautiful place,KAILASHGIRI is the beautiful place to view. To reached there you choose two options. By road or by cable car.when you reached there was a toy train to view Kailashgiri. We send one hour there.
Amazing n Unobstructed Views,Kailasagiri has always been a go-to place for me ever since my first visit to vizag back in 2012. Its a fun place for all age groups as it offers u a cable car ride to n from in a very reasonable price. Once ur on the mountain top u have the options for fun activities like horse back riding or a toy train ride around the hill or munching on to your favourite snack in the small shacks or just wonder around n explore the hill top on foot(my fav). It offers u a mesmerising view from every corner and one can just fall in love wid the views of vizag from here. One can see the amazing shorelines n the snaky roads which go along the shorelines as well as appreciate the beautiful lush green slopes of the adjacent hills. You can also offer your prayers to Lord Shiva n Goddess Parvati (Hindu God n Goddess respectively) as we have huge statues of them right at the hill top. All in all its a very amazing place to hangout in the evening be it wid friends or family or as a couple.
Kailashigiri ,Has an amazing view but skipped the train and operated facility they have which shows the amazing coast lines of Vizag. Kids and family seemed to have a jolly good time at this place
Sameeksha By Sachin - Awesome Park with Blessings of Lord Shiva and Lot of Fun,"The ""Kailasagiri Park"", which has been developed over an area approx. 380 acres and at the height of approx. 570 feet at Kailasagiri Hills in Visakhapatnam, is a unique gift given to the city. A cable car ride can be enjoyed to reach the park. The view of the city, the road and the sea while going up by cable car is spectacular. One can also go by road to reach this park developed on the top of the hill.As soon as you enter the park, you see a 40 feet tall white statue of Lord Shiva and Goddess Parvati. There are staircases with shiny railings built on both sides to reach the huge statue on a high platform and the flowery stairway are there between the two staircases, the view is astonishing for any tourist. When you reach the park by cable car, you come across a railway track first and a small but very “real railway station” like railway station built there. There is a toy train there which runs around the park and you can enjoy the train ride as well as the park and the amazing view. This option of joy ride was fun there. We opted for AC coach. Sitting in the train, sometimes passing through narrow bushes and sometimes looking at the artifacts in the park and sometimes getting lost in the spectacular views was an awesome experience. Seeing such a large park in about half an hour without fatigue with the help of this toy train is a wonder. There are entertainment options like dinosaur’s replica, swings and power cricket as well as a Lord Shiva temple, floral clock and some other attractions. Do not forget to visit Kailasagiri Park whenever you are in Visakhapatnam. This park is open seven days a week from 10 am to 8 pm."
Prominent hill top parks with panoramic sea view on the East Coast,"Kailasagiri is one of the prime attractions and a popular picnic spot for all the tourists visiting the beautiful city of Vizag.It is one of the prominent hill top parks with panoramic sea view on the East Coast. The major attraction of Kailasagiri is the 40 feet tall statue of Shiva and Parvathi. Kailasagiri derives its name from this statue depicting the abode of Lord Shiva and Parvathi. One can view the entire city of Visakhapatnam from the top of this Eco-Rich hill.Located on a picturesque hill with enchanting panoramic sea view, Kailasagiri is really an outstanding tourist spots in Andhra Pradesh. It is the Queen among the tourist locations in the City of Destiny. The hill park developed by VMRDA covers 380 acres of land with exciting landscape gardens Besides the eye-catching and holy statues of Lord Shiva and Goddess Parvathi, the hilltop has many wonderful attractions like the Titanic viewpoint, floral clock, Shanku-Chakra Namas of Lord Venkateswara of Tirupati, Gliding point, delicious food courts and so on.Another remarkable attraction popular here is Rope way. The experience of taking a ropeway while enjoying the breathtaking view of the city is something that everyone should cherish. There is Shanti Ashram on the top of the hill, where one can earn lots of peace to their body and mind by spending time in meditation. Contact Details: 098483 49924/097010 41087 Timings: 10:00 am to 07:30 pm"
Devenda Goyal,A very nice and joyful experience. A cirular train gives birds view of city. The statue is impressive and facility is well maintained.
