title,text
lake of city,"This is the Lake of Ahmedabad . if you are travelling with kids and interested in garden and zoo and parks, this is the best place"
Amazing Place,Wonderful place and It's a beautiful lake located inside the garden which should definitely be visited when you are in Ahmedabad
Great,Kankaria lake is located in Maninagar in Ahmedabad .it's a huge lake and it's very beautiful lake great location it was.such a nice lake
Nice ,This not so much good place but on and average place some rides are there and train and etc so children have fun there ...
Must visit in Ahmedabad,"It's a beautiful lake located inside the garden which should definitely be visited on a trip to Ahmedabad. I went there with my family and had an amazing time here. We did the speed boat ride and enjoyed the ride on the toy train. Also, there are a lot of fun activities to do inside the garden:* Swings*Laser Show*Tasty food*walking paths*Kankaria Zoo*Mirror MazeIt is open from Tuesday to Sunday. (Monday being closed).Also, there is an entry fee of Rs25 for adults and Rs 10 for children above 3 years.P.S- I would personally recommend to visit it in the evening as it is very hot during the day time."
Wow.....,Kankaria Lake.. A great place to go out for  a walk or jogging or sit .. great natural place so nicely maintained.
revive child hood memories,"It was great to come after so many years, took a train ride and saw all the attractions ,balvatika etc"
Perfect evening walk,The place has been really well developed making it perfect to spend some time here. The. Lake is well maintained and the laser show in the evening attracts a lot of crowd. The eateries serve decent food at reasonable price. The place is generally crowded but a morning or an evening walk here is always worth the efforts. The place also has a lot of rides and attractions for kids helping them to spend a lot of time here.
Just beautiful,I visited Kankaria lake with my grandchildren and we enjoyed a lot ..it was very beautiful with lovely fountains.. we have to buy ticket to enter...zoo and Bal vatika and so many places to enjoy with kids.
Perfect place to spend your evening,"A well designed place with many options that you can't cover in a day as the day starts in the evening here due to high temperature in the presence of sun but this place has very good options like toy train, Zoo, fish aquarium, boating, cycling, kids zone and many more.... Wow"
Ahmedabad's Own Lake,"Enjoyed toy train ride all the lake around, ahmedabad's own locals lake in between the centre of the city, always crowded with locals, so many eateries, parachute ride - my favorite one. had a good time there."
Fun place and must visit.,Great place for the kids and family to hang out. Careful with the rides as just heard the incident once we were done with our trip. Too much rush though!
Awesome trip,"If you want to visit kankaria lake than u have to spend full day here.lots of rides,botting,zoo,water park.we also seen fountain dance.every one should visit once."
Really really nice place to hang out!,It is nice to spend a morning here along the lake! It is huge! Can have a train ride all around the lake... but I think it should have stops so people can see other places as well! I could see the place on the center unfortunately... had to walk a lot to get there from the entrance I came from!
Nice Lake ,"It was a nice visit in the evening, nice boat ride in the lake, very neatly maintained. Nice boat facility. With a zoo attached and children play area"
It's a beautiful and famous spot,"Picnic spot in Ahmedabad. Very beautiful and famous. There is zoo, rides near by this place. Enjoyed with family. Small train is main attraction here."
Management should raise the entry charges,Overcrowded as it has just 10-20 rs entry tickets. Such people throws garbage all over. To attach non localities and manage cleanliness the management should raise the charges.
Kankaria visit,Really good place..It's clean and beautiful.It has many things for time pass and enjoyment.Zoo is also good..Nice variety of food available
Nice place,Good place great ambiance at evening time like the place most it is the best place ever I visit Ahmedabad. Really interesting thing is the fish.
Good Place to hangout,"Must visit in Ahmedabad. Big lake with many options in the surrounding area. Atal express train is must to explore all. Zoo, food stalls, boating, amusement parks. Above all Gujarati people are good and very cooperative."
its a good location but pain to reach,its a good location to take kids - though there was a collapse of a ride recently. Its reasonably well maintained and clean. The problem is reaching there if you care staying anywhere in the western part of the city - take a cab. Another problem is lack of clean toilets. Other wise a number of the kiddy attractions are quite good.
Well maintained lake in the heart of the city,Lake is located in heart of the city with sprawling area and with lot of activities including laser light show depicting the culture and tradition of Gujarat.Well maintained and lot of food outlets for your evenings.
Great,Kankaroa lake is one of the iconic best place in the gujarat.its located in maninagar area in ahmedabad .such a lovely lake and its joy train is totally awesome
