title,text
Iconic location and attraction,"This is not one building but an enclave containing a mosque, church, museums,  cafe, market stalls etc. It occupies a commanding spot overlooking the river confluence high on the hill. We visited more than once to enjoy the views."
You have to visit this place!,"What can i say? Just go and explore this place. So beautiful! Does not matter wether you are a small or big group, it is convenient for everyone!"
WOW!!!,Simply - a must do. Spend many hours over several days visiting all the attractions within these kremlim walls.
Beautiful setting ,Very well kept. Impressive. Muslim and Christians getting together. Rich in history. Excellent view over Kazan
Worthwhile the visit!,"The Kazan Kremlin is a combination of religion, culture and ancient history. Great view on the city and the Wolga."
A beautiful historical centre,"There are many beautiful buildings and museums in the kremlin, including the well-known mosque, the church or the leaning tower. I especially recommend the Tatarstan Museum of Natural History. There are many exhibitions as well. Next to the mosque, you can usually buy handmade gifts if you want to. Inside the kremlin you can find perfect spots to see the city and the Kazanka river. If you are in Kazan, you can't miss the kremlin. :)"
Must visit,Very beautiful sight . Nice place to visit with family and friends. And also very beautiful for pictures
A must see,I had the privilege of living in Kazan for almost a year. I visited the Kazan Kremlin many times and I thoroughly enjoyed it. I highly recommend taking a few hours and enjoying the atmosphere and taking in the history.
Lovely chance to experience traditional architecture,"Though the ""summers day"" was chilly wet and windy this was a lovely opportunity to get up close and personal with a most beautiful building.  The grounds are very well kept and the building are amazing.  The colour of the rooftops was breathtaking.  We spent a few hours wandering through the main shopping area of Kazan, meandered up to the Kremlin and spent a lot more time wandering.   Allow 2 or 3 hours if you want to immerse yourself in the Kremlin.  It can be visited in less time but you will not get the best from it.  I loved our visit."
Great buildings inside !,"Didn't expect that there are more great buildings inside the compound of Kazan Kremlin (let me call it a ""Castle"").I kind of walked around the Kul Sharif Mosque and the nearby on my first day but decided to return after I found out that there are lot more attractions included inside the Castle.The tatarstan president's residence is inside and so are the Hermitage Museum, the National History of Tatarstan Museum and the Annunication Cathedral.Too much to see in just one day. So, I suggest more than a day be alloted for this castle alone."
Amazing!,"""Kremlin"" means ""fortress"" and that means that there are kremlins in various Russian cities. This is one is amazing with beautiful blue mosque and Orthodox church as well as other interesting buildings. It has a great view over the Volga river and part of the city. A beautiful wrought iron gate includes pagan symbols evoking the very rich history of this region and the fact that people of many different religions live at peace with each other in this well-off academic city and capital of Tartarstan."
Highlight of visit to Kazan,"The main attraction of visiting Kazan, the site is quite large, there is an Orthodox Church and the Mosque"
"Old, beautiful","Old and amazing. Just to walk around the Kremlin itself is free, and most of what there is to see there is free as well. They have local artisans who set up booths as well, so you can get some really neat souvenirs that aren’t “touristy.” I recommend seeing the Qul Sharif Mosque and Orthodox Church while there. If you're in Kazan you just can't miss this."
Beautiful,Access is easy and free. The whole area and city actually are exceptionally clean. People are friendly and helpful even if sometimes there is a language barrier. The kremlin is beautiful. Worth a visit!
Main attraction in the city,This is the main attraction to the city. It is well connected. Pretty much in the centre. Don't miss it.
Kazan Kremlin,"The most serene place in Russia. We went early morning to see the Kazan Kremlin. There was absolutely no one, though it was a bit chilly, Awesome and must visit for every traveller travelling to Russia"
A very beautiful place!,"Highly recommend to visit in Kazan! A place where different religions coexist in the neighborhood with each other. Very beautiful, you need to see it."
