title,text
A huge market but watch your valuables,"Loads of stalls for clothing, shoes, Jewellery, fish, and anything else you may need. Be careful as there are teams of children out to pick pocket you. Ladies keep your handbags tight, gents leave your watch on the safe and hands on your wallet and phone. Still a busy market and everyone wearing masks which was reassuring. Worth a visit for sure."
Smothered for the start,Absolutely massive bazaar and so easy to get lost especially in the side alleys. Great for shoppers but be prepared to be hassled from the very moment you enter. Very persistent touts who will not take no for an answer. Worth a visit though
Fun to explore,"We spent a bit over an hour wandering through the Keremalti on a cloudy February. It was busy but definitely not crowded. We drove in (which was a bit tricky) and parked near Konak - needed to leave the keys as they pack the cars in and move them about to get in and out.We saw almost no other tourists (or souvenir tat) when we visited - Kemeralti felt like where the locals shop. Prices weren't marked but we didn't any attempt to overcharge us - 10TL for a pack of children's socks, 6TL for tea for two. Only a couple of shopkeepers, spotting us as tourists, tried to tout.Recommended!"
An interesting mix of East and West,"A busy place, full of traditional Oriental and modern shops, sellers of ice cream and freshly squeezed juices, salep and traditional sweets. An experience not to be missed."
Authentic Turkish bazaar,"You can find anything here if you look , although it Is easy to get lost.  The shopkeepers are very helpful and just ask which way the sea is and you can navigate yourself out of the maze.  A smaller version of the Grand Bazaar in Istanbul.  Warning it gets very crowded and extremely hot in Summer. A must see."
Tripadvisor map directions took me to the wrong place,I used your map directions to go to the Kemeralti Market and they took me to a point about two miles uphill from the market.  Check it out.
Never disappoints...,Another fantastic visit...Durunlar for my silk flowers and friendly staff in all shops...definately the place to get a wedding dress. .can't wait for my next visit
Good for shopping. Less cheating than grand bazaar.,"If you are looking for shopping for souvenirs, or chocolates or Turkish tea/coffee, and you have planned for Izmir then instead of buying these things from grand bazaar in Istanbul, buy them here at Kemeralti. Just like any other local bazaar there is always a scope of negotiation and you still need to bargain here but the prices here are much more realistic than grand bazaar.Also, the vendors here do not force you to enter their shops or try their commodity. I found shopping in Kemeralti a much peaceful and pleasant experience than grand bazaar. I simply cannot stop comparing the two. Also, you can find almost everything here. It's huge. There are branded showrooms, great restaurants, small shops for souvenirs and there are dedicated streets for specific type of goods. Like there is a small street with only shops selling shoes. There is a street full of shops selling seafood, one with all the restaurants and so on.Overall you can easily spend 3-4 hours here even if you do not want to shop much.Also, it is at a close proximity to Konak metro and bus station so it is very easily accessible through public transport."
Low prices and various stuff,Dont miss this market .you can buy what ever you want except luxury brands.its live and if you need any kind of scarfs or shawls the prices are REAL BARGAIN👌👌
Amazing Hidden Place,"Wee stumbled across this indoor market with lots of different shops, jewellery etc. A lovely feeling and always people very helpful. Again close to lots of things"
Sightseeing or Shopping,"If you are interested in busy and historical places Kemeraltı is a must part of the city. Kemeraltı  hides lots of historical stores, church and buildings. Not the best place for shopping but to wolk aroud, discover interesting 'Han' 'mall of old times. treat yourself turkish coffe."
Shopping,Best market in izmir.. U will find everything and i mean everything u want... The problem is u dont know where its begin and where its end.. The prices are good.. But some store try to up the prices and benifits from the tourists so u should be very alert when buying clothes
Bad quality,Many shops didnt have specific prices and they could sell it expensive as much as they want.but the whole market architecture was good
a Bazaar in the city of Izmir,"a very busy bazar , with places to eat , shops or simply  drink a turkish coffee . It is the small version of Orient bazar in Istanbul ."
Not impressive,small market compared to Istanbul’s. was not impressed by the variety of handcrafts. It is more a place to have lunch as locals do.
Vacation ,"Visited several years, ago great place for shopping can get everything and anything you may need at great prices also plenty of places to eat and drink well worth a visit when in izmir"
Great place to people watch,"The Kemeralti Market is a wonderful mix of sights, sounds and smells. It’s a great place to experience local foods, music and people. This is a “Must See” when visiting Izmir for the first time. You can also find great deals on all kinds of merchandise just be ware of the typical tourist traps. If you are really serious about purchasing things, the streets surrounding the market are full of vendors that usually have better prices than the covered market."
FIND WHATEVER YOU NEED,"Kemeralti is in Konak District. It is a long way, miles long I would say. It has many entry points. The streets attached to it are also form part of the market place. It is similar to 'covered bazaar' for those who know it. You can find lots of things at good prices. Moreover, the place hides a good number of local prodcts you cannot find anywhere else. This is specifically true for textile items. The merchants sometimes are grouped like fish market or fruit sellers, though you still can spot a fruit bench in the middle of painting material selling shops!Surely it is worth to visit, but beware it may take all your day.Just limt yourself in time, divide by two then first half go, second half come back to place where you have started."
Decent Turkish market,"We arrived at 11 and it was busy but easy enough to get around. The market offers something from everyone, from your fake designer handbags to local produce. Stalls everywhere so easy to get lost amongst the hustle and bustle. Overall it was a lovely experience with lots to see so make sure you have your walking shoes on."
