title,text
Must see in Kanazawa,"Some might say that most Japanese garden look alike, go and tell it to then man who has seen Kenroku-en"
An absolute must if its a nice day,"Beautifully laid-out, superbly maintained, spotlessly neat & clean. Fab photo opportunities abounded. Lots of people but with a modicum of patience, a gap for your Shot appeared.Vast majority were very aware of others Photo intentions, since they had ambitions along similar lines themselves. It really showed.Delightful spot for a leisurely stroll in the sunshine."
Beautiful garden near the castle,The garden is located up a hill from across the 21st Century Museum. It is pretty big and has a beautiful pond that's worth viewing. You can get a better view during late March through mid April when the sakuras are in bloom. The autumn leaves are also something worth checking out.
Most beautiful place I’ve ever been.,"My title says it all, most beautiful place I’ve ever been, was lucky to go with work on a recent trip to Japan. Already planning a trip back over with family and taking in Kanazawa to show them the Gardens."
So so garden,I preferred the Suizenji Jojuen garden in Kumamoto. But it was a grey day which probably impacted on the views.
Just what the reports say.....was fantastic.,"Was a 2nd visit, as our 1st time they had the pond empty (yearly maintenance - pick your visit's timing). This time it was a perfect sunny day, cool and clear skies. Fantastic all-round gardens from ponds at the top to walking down the hill thru the trees etc."
Most well pruned garden,I was quite impressed with this place. Very cohesive and pretty greens everywhere. I can just picture how stunning this place is when it's cherry blossom season.
A Highlight of Our Trip to Japan,"We visited the garden three times and loved every minute of it. There's so much care, thought, and detail put into the garden it shows. It makes for a relaxing day. We visited the garden in early March, and can't imagine how it continues to glow throughout the seasons. We highly recommend visiting, and the ticket we purchased allowed for multiple visits over a two-day period - well worth it! Thanks to everyone who helps take care of this beautiful oasis!"
One xday walking tour of Tokyo highlights,"Rocky of Rocky Enterprises gave us a fascinating one day tour of Tokyo with many insights into the Japanese culure and food. We were at the beginning of our visit to Japan an d Rocky was very diligent and helpful in setting up all opur travel tickets, reserved seats etc, which we could not have done withiout him. Very friendly, amusing and conscientious, thank you Rocky."
Kenrokuen Gardens at the very start of spring,The gardens are across the street from the castle grounds. There are a number of meandering path you can take.  The way each tree is shaped and supported is very interesting. I am sure they would be beautiful in spring (March-May) timeframe. Combine your visit with the castle and save on your admission.
Just superb.,"My third visit, and each time I am struck anew by the beauty of this garden. It thoroughly deserves its place in the top three landscape gardens in Japan. In early March only the plum blossoms provide colour, but even in winter drabness there is still beauty in the forms and the interplay of plants, stone and water. It is a garden to stroll around and to enjoy from all angles."
One of The Best Garden!,One of The Best Garden in Japan. It's a must visit place in kanazawa. Huge garden and very beautiful in every corner.
Top tourist site in Kanazawa,"We visited in Spring but were too early for cherry blossoms. We arrived in the evening a couple of hours before closing time and had to pay 320 yen entry fees.  The last time we came here was to view the autumn scenery. This is one of the top 3 Japanese gardens in Japan and our trip this spring was to visit all three gardens.  We did see plum blossoms though.  Personally, although the garden was beautiful, I find it overrated ."
Wow,The best (if not one of the best) garden. Doesn’t matter what weather it is always a beautiful place. When we visited it was raining but still manage to get some nice photos
Beautiful all seasons garden,We had been disappointed when walking through the usually beautiful Japanese gardens when we have done so in winter- understandably. However this garden is stunningly beautiful in winter. We loved wandering through the shady tree areas with the thick moss bases and then out to the many water features. There were even some cherry blossoms flowering in February. The space is peaceful and the peace is respected by all those wandering through it. Definitely worth a visit when in Kanazawa. And just down from the castle.
Wonderful garden,Beautiful green garden. We also tried the tea ceremoni in the tea House which was interesting. Would visit the garden again.
