title,text
Amazing trip on government boat.,"We took the government day boat up the backwaters for 8 hours and got off in Alappuzha.    It was amazing.  The boat was basic but had a WC [👍], it was cheap given the length of journey and the scenery was breathtaking.  I found the boat very comfortable but if you have a bony bum, you might want a cushion. There are two stops for a snack and a larger meal.  These cost extra but are still very cheap.  I felt safe on the boat and the staff were helpful.  Definitely worth the trip although keep your stay in Alappuzha to one night.  It’s a revolting place.  It’s a shame because architecturally it’s interesting but if you’re a lone female traveller then keep it short!…"
Fabulous experience,"Fabulous experience and a big shame only one night! Five of us enjoyed our overnight experience cruising around the backwaters. Thoroughly enjoyed seeing people drink, wash themselves and crockery, swim and fish in the waters. Learnt that our experience was the last one due to COVID19 closing down the country.....…"
Fantastic,"absolutely brilliant would not have missed this experience for anything, our boat had everything you would want , ensuite facilities, bedroom is smallish but you cant expect anything else, storage in the room is minimal but adequate, but the experience of  the sail, the scenery and most of the food, oh my, there were 3 staff on our boat, 1 chef the other 2 did the cleaning, navigation , etc , they were fantastic and how the chef manages to produce such food is beyond us, the variety , fish from the river , prawns, curries i could go on , this is not to be missed , if you want alcohol you have to provide your own otherwise its all provided , we took a village walk one day, we had a 2 night stay its a must…"
the highlight of our tour,"We had our own houseboat with 3 staff. The food was delicious , the accommodation good and we only wished we had had 2 nights rather than one. Early March not so many boats on the waterways. A really glorious experience"
Used Kerala Tours - excellent,"Arranged via Trailfinders, this private overnight trip was a huge success. If you go to Kerala, it surely is a must-do. This company is based in Alappuzha . I suggest making your trip as soon as you can though. Huge numbers of extra boats are being built to increase all the operators' capacity and I fear the waterways may seem less serene in a few years. As it was, we only saw much of other boats at the very start and finish.  We had the whole 2-cabin boat with 3 staff to ourselves, which was amazing. Our cabin was surprisingly roomy for a small boat and beautifully presented with lots of wood in the traditional way. The shower room was more basic but fine. Everything was spotlessly clean. Smaller boats always have to manage water carefully but it was OK. The dining/lounge area was covered but open at the sides and very comfortable. You could see out just as well from the table as from the sofa. Cushions were arranged at he prow for sitting outside comfortably. When we moored for the night it was in a secluded spot, scenic and very quiet. We were warned about mossies, but encountered fewer on the boat than in towns.  All meals were included and of a very high standard. If only we could have finished everything! They are not licensed, but a nice touch was a gift of a bottle of beer and wine with dinner, which the law permits. The staff were attentive, but not too much so, and very happy to make everything perfect for us. While cruising, the driver would point out features and adjust his course to help get good photos. We had a short shore visit to stretch our legs and see a lovely Syrian Christian church and an artist in wood carving at work.…"
Would recommend...,"Our houseboat experience was with Beautiful Alleppey Houseboat for 1 night. We booked on their website.It was a really nice stay. We opted for the super deluxe which provided 6 hours of cruising. Boat looked like photos. Good food. Nice bedroom and bathroom. Clean. We did drive very slowly, so I didn't feel like we covered much of the backwaters (other boats were driving past us). What I liked about this company is that it was very clear on the website what to expect regarding food, the itinerary of your time on the boat and setting your expectations, and that's why I chose them. We ""docked"" twice, for lunch and at 5pm for the night. After lunch and in the morning I had to prompt them to start moving again, I'm not sure how long we would have continued to dock had I not spoken up (there's only 6 hours of cruising and I wanted to make the most of them). We then only cruised for 35 minutes instead of 1 hour in the morning. Bed was uncomfortable- very soft and memory foam so felt like part of my body was sinking.But I would use them again.Varkala"
Wonderful backwater experience,We booked our houseboat through our tour operator. We had concerns initially to stay overnight as we had come across the negative experiences. But our experience as extraordinary. We had a neat one cabin boat with an upper sitting area for us. The staff was excellent and the wonderful food as well! It was very peaceful and lovely to cruise through the backwater canals and villages. We recommend this cruise and would suggest not to miss it.
10 Neight 11 day kerla Trip*****,"Renu,thank you so much for a well organized trip. We had a wonderful time. Hard to believe it's already done and past. Weather was awesome, the hotels were nice, thank you for everythingTrip was awesome , driver was very kind and a very good guide also , he provide us all information about each and every place . Vinod is also very nice person to coordinate with , he understand our requirement and support at every point .Thanks Renu Nd GOGeO Holidays💐"
Enjoyable ,"Good backwaters trip with attentive organisers, very quick at replying and organising! Boat driver knew his way round and showed us a lot about local life. Food was basic but tasty Sri Lankan breakfast and lunch!"
Languid and Interesting!,"Two couples on a former rice barge, with good food and lots to see as we floated the Kerala backwaters.  A fascinating, easy journey -- seeing exotic birds and observing local people as they went about their everyday chores.  It was like watching a travel program on TV, only here we were actually a part of it.  Recommend."
A GREAT SAILING EXPERIENCE,"It was really a great experience to sail through the Backwaters. Nice Quiet Water, Great Views all around,  Good Double-Decker Boat,  Helpful Pilot and Staff. Had a great time."
No words,"Outstanding, amazing, awesome, incredible, you choose your own words.  A trip along the backwaters on to the lake with a well stocked houseboat containing food cooked expertly by your personal chef and a cool box of beer makes your trip along the canals and waterways simply stunning.  Go as a group, impress a loved one or simply go alone and feel like royalty.  This was clearly my highlight of my trip to India.  Simply stunning and very well priced.  Don't even think about it, just find a company, look to pay around 12000 rupees for a good standard boat for two people and let the scenery do the rest."
peaceful location,"Very peaceful although quite busy. You have the opportunity to see locals at work, fishermen and people working in the paddy fields . We saw quite a few birds although difficult to photography as the boat is moving. We spent 2 nights could have asily spent 3 nights"
Serenity on the water,A lovely way to relax after the hustle and bustle of Cochin! Crew were flexible and accommodating to our wishes. Food on board was simple and delicious.We were expecting to be devoured by mosquitoes but not a problem.Highly recommended
Overnight on Prasanthy Houseboats Alleppey,"We spend a day and night in this house boat. It was a great experience for me and my family. Boat was also pretty clean and safe to stay. Not to mention the food was excellent ,extra points for the famous ""Kakka roast"" (clam curry)  and ""karimeen fry"". Highly recommended for those who looking for a nice one day overnight cruse on the backwaters of Alleppey (Kuttanad)."
Pleasant Stay!,"It was a very nice and comfortable stay on the Southern Panorama Cruise. Rooms were very nicely designed with soothing ambience. Staff was extremely courteous and well mannered. They ensured to provide all the amenities to us and for my infant child. Food was finger licking good, with candle light dinner. One advice when you are travelling with your kids....go for premium room as its AC is operational for full time, which very much required in humid climate. This facility can also be checked during the check-in, which is based on availability. Overall it was a excellent experience!!"
"Old, ratty boat but good crew","Old, ratty boat but good crew who tried hard to make the “cruise” comfortable. Food was basic and good. Extra point for the fabulous spicy pan fried kingfish. Air conditioned cabins made the night tolerable. I was disappointed that we didn’t get to travel down the celebrated narrow waterways but it was only a single overnight cruise. Oh ... the traffic on the river was just as hectic and chaotic as on surface streets."
A excellent relaxing trip.,"We spent a day on a houseboat slowly cruising around this truely unique water delta area. It is a glimpse into another part of South Infia, a waterery jungle one minute then a cultivated rice paddy the next. It is very peaceful experience and gives you a chance to see local rural Indian life, from fishermen catching there daily meal to kids and adults washing there clothes and themselves in the waters. It is also bird watchers paradise with numerous species making this waterland there home. This is something different and we are really glad we went and experienced it."
Goodearth Houseboat and Village Ways Holiday,"I have only seen one other review on Goodearth Houseboat and that from 2015; our experience was completely different; it was superb. In the 3 days cruising on the quiet backwaters we saw no other tourists, at each stop the village tour was delightful and the cookery demonstration when the ladies came aboard fun and informative.We stayed in 4 VillageWays village house locations, plus some other short stops arranged by the company during our extended holiday in Kerala. All experiences were first rate. We did not however sign up for a 5 Star Hotel tour with the same bland hotel room encounter wherever you stay. On our VillageWays experience we met and were hosted by genuine people, farmers, fishermen, local craftsmen and their families. Our tour guides, drivers and super cooks were local people who proudly showed us the real India, their produce, authentic cooking, their homes and countless new experiences.  We made 3 enjoyable train trips, and many road transfers, at each stage we were met on cue and hosted by wonderful people. The VillageWays accommodation was clean, comfortable, more than adequate and the food prepared to a quality restaurant standard by the ladies of each village house we stayed in, and the crew when on Goodearth. If we had any queries our tour organiser, Madhu, was easy to contact. When we wanted to tailor or adjust our programme before and during the holiday, she was attentive and efficient.I can highly recommend the VillageWays experience particularly if you want to see authentic India and ensure fair payment to your hosts, rather than profits to a multinational hotel chain."
Stay in hotel I stead of houseboat,"Me and my husband with 2 year old child spend our stay at houseboat. Sightseeing is very beautiful and worth a visit but our stay is not very pleasant. We have booked a premium Houseboat still the experience is not good. It's not very clean. There is a lot of dust under and behind the bed. Water used in washroom is very salty and dirty (of black color) and No hot water for bathing. Houseboats are only good for sightseeing, it's better to stay in the resort/hotel."
Very relaxing...,"We had a fantastic day and overnight experience with Pickadly on our 2 bedroom houseboat. Such a relaxing experience sailing along the waters. Johnny and the boys looked after us with a fab lunch, snacks and a great breakfast. Wish we'd booked two nights and we could have had a…"
superb,"we visited during christmas to new year period. it is wonderful. enjoyed boating, beautiful backwater, islands, trees"
Tranquil,"We spent an afternoon and overnight on the houseboat, cruising the backwaters of Kerala. It was very peaceful.   The facilities on the houseboat were good. Each couple or individual had their own ensuite room. Not very big but comfortable. We had hot water in the shower and…"
Amazing experience,We took a two hour boat tour in the Backwaters close to Kumerakom.  Our guide was Shaji who knew all the birds we saw and gave us a beautiful ride through the Backwaters.  It was beautiful and one of the highlights of our trip.  We saw so many lotus flowers - several different…
Wonderful scenery and fantastic for people watching but can be congested,"Spending time on the backwaters and sleeping on a converted rice barge is usually number one on the list if you are visiting Kerala, and there were certainly hundreds of these boats bobbing around when we were there. We decided to experience the backwaters by kayak and had a…"
