title,text
Richard the 3rd,Live in Leicester but had never been to the exhibition before. Really well put together. Very informative. Enjoyed it. Cafe good too.
Great visit,"Excellent facility - informative, well laid out , suitable for disabled and elderly , clean and informative , friendly staff"
"Excellent, shame about timings","We had tickets from Groupon and entered the centre at approx 3.15pm. The lady gave us a map and explained about the centre and the videos being shown etc. In we went...at just before 4pm, we were told they closed in two mins! Apparently they close at 4pm everyday. Fair enough we hadn’t checked, but were not impressed that as we went in this was not mentioned at all; in fact the signs outside said no entrance within an hour of closing, yet we were let in. When we expressed our dismay at having to leave we were told we could come back again for free...oh no wait we can’t as we have group on tickets. So, 45mins before closing and knowing we couldn’t come back we were let in without being advised of closing? If we’d known, we wouldn’t have gone in and come back another day, but now have to pay again. I will note the reason this is so upsetting was we were very much enjoying the visitor centre and had been looking forward to visions for a while, it is an excellent place."
King Richard III,Very interesting visit to a place on our door step of history and how the discovery was brought to fruition.
Very interesting with passionate staff,A very engaging and interesting visit that is easy and approachable to all ages. The staff really made it a great experience as we were able to converse and see the passion for King Richard they had.
Really nice museum,Very nice museum! Interesting  and informative. A lot of activities for children as well! The staff is very friendly and helpful.
Interesting visit,"Well presented exhibition and well worth the visit. Entry fee was reasonable. It didn't take too long to complete, we were there for a couple of hours probably. It was good to be finaly able to 'catch up' with Richard and his trials and see where he was buried originally and found. The story of how he was found is interesting as well and is clearly described. You never really know what's under your feet!"
History brought to life,"Absolutely fascinating What a wonder story, told in an interesting environment Thoroughly enjoyed thisI would highly recommend"
Interesting and Enjoyable,"Well thought out displays ... varied and informative for adults and children. Excellent cafe too. Guides very friendly, helpful and knowledgeable but unobtrusive. Visit finished off nicely by popping into Cathedral to see tomb and enjoy the tranquility. Garden lovely to sit in on sunny day."
Thoroughly Enjoyable & Worthwhile Visit,"I visited the Centre on Tuesday, 10th March and just wanted to say how helpful all the guides and staff were, coming over to have a quiet word to see if I had anything I wanted to ask about the Centre and it's exhibitions. It was a very interesting place, including the chance to see where Richard III's bones were discovered and the story of how they were found. The cafe was also very good value and the staff there were friendly and helpful too.I've intended to come here since the Centre opened and was pleased to finally have the chance to do so. It's well worth a visit and very good value if you get an opportunity to be in the area."
Very Interesting Museum,"We visited on a quiet Sunday afternoon. The museum was very well laid out, with a wealth of information presented in a fascinating way. There were interactive displays and audio visual effects. A very knowledgeable volunteer named John joined us at the grave site and made our visit complete. We would highly recommend the Visitor Centre to anyone with an interest in British history and Monarchs."
An Extremely Interesting Visit to King Richard III - aTrue English King!,"This visit was far above my expectations.  Good introduction to gain the attention of adults and young  alike.   Easy to read exhibits are displayed, together with the description of the search in the car park - amazing!   The place where King Richard was found is there for all to see.   The café was clean and bright, and the staff extremely helpful.   A good display of books, etc. at the entrance to the exhibition.   Then across to the Cathedral to see Richard's final resting place.  A good tribute to him.  Our entrance tickets give us free entry for a year - so we shall be back!"
very interesting,I visited with a small family unit. My grandson had an input to security. We felt at peace with the viewingI do not believe in religion but admire the architecture and calm atmosphere in the cathedral.It was an honour to be able to visit  King Richard 111
Interesting exhibition,Well set out exhibition leading one through events and places and people.  Just the right mixture of visual info combined with information boards to read.The grave site of Richard was staffed by  a lady who answered our questions with great enthusiasm and knowledge. Thank you
Wonderful exhibition,This is a beautifully presented exhibition about a very changeable and often confusing perod of history. The  explanation of the discovery of the King's burial place is riveting.  The guide was helpful and informative.  You then should visit  his tomb  in the lovely  cathedral over the way.  All very moving.
Robert Smith,"Good place to visit. As it was Monday c10. 10 and not long opened, there were few visitors so no problems but good to have booked."
Very interesting visit,As a Leicester City football fan I was very interested in the part that King Richard III played in the securing of the Premier League title in 2015 / 2016 and I was not disappointed.  The balance between the historical story and the science behind the dig and the discovery of King Richard III's body was fascinating.  The alternative view to that portrayed by William Shakespeare was informative and engaging.  The displays relating to the history and science were well thought out and are very inviting.  Food in the cafeteria was also good.  All in all a great day out which was combined with a visit to the Cathedral too.
