title,text
Pretty,Really loved the beach here but we went when it was windy so umbrellas were flying everywhere and the sea was too choppy to go in as the waves were too high. We found a lovely cafe near the beach and the staff running our hotels section were really nice. We also bought watermelon for £5 off a man on the beach
Relaxed experience,We loved this beach as it was part of Cooks Corner hotel so the access to it was easy. Lots to see while you are lay on your sun bed. At one point seven ships must of been on the water. Paragliding going on above . Lots of families out for the day This beach had a lovely relaxed atmosphere and no lucky lucky men are allowed so you can relax in peace This beach is perfect to watch the sunset
"Beautiful beach, clear water 💦","Very nice place, beach, sea with clear water, cave, mountain, ships on the horizon, restaurant and bars"
Best beach ever!,"Whilst staying in Alanya we visited this beach everyday without fail. The Beach is clean and tidy with sun loungers to rent for a cheap price that you can keep all day and there are many drink and food options to choose from. There are lots of showers and toilets which is very convenient. The views from the beach are picturesque of the mountains, cable cars and castle and the sea water is warm and crystal clear. The most beautiful beach ever and a must if you visit Alanya!"
Beautiful!,"Beautiful sandy beach with beautiful surroundings and the view of open sea, just beware of big waves when coming out of the sea, the rocks are slippery, I almost broke my toe as I got slammed by waves onto the rocks underneath."
The most beautiful beach,"Cleopatra Beach is the most beautiful beach I have been to so far. It is made of fine gravel, which I personally adore because it does not sting when walking and yet it is not like sand that it cannot be removed when it is glued to everything possible. Sunbeds are mostly rented from the hotel but can also be paid for at your own expense and I think the price for two sunbeds and an umbrella is around 25-30tl depending on the number of the beach and the person in charge of the sale. I was at beach 7 and everything was correct. Each part of the beach has its own bar where you can buy drinks or ice cream. The very entrance to the beach is tiny pebbles that turn into stone slabs as you enter deeper. We were there for 10 days and there were waves every day, which we like. It may be a little more inconvenient for small children but it’s not that scary. It is important to go through that first part where the waves break (if they are stronger that day) and the rest is really OK. Plenty of kids bathed with hoses and muscles. The beach is quite wide about 80m and deck chairs are placed away from the sea so you can put a towel in front or bring your umbrella. The beach has a free shower and a changing cabin."
Nice beach ,"This beach was ok , nice views only problem we had , was because of the 2020 covid 19 situation,  there wasn't a lot of social distancing,  water shelved quite a lot not great for non swimmers"
Perfect,The beach is nice. Long. You have the dalmati cave close. The water is cristal clear. Worth a visit!
Holiday ,Brilliant Lovely place to visit.  The weather was hot hot so you need a sun brolly Bring water shoes to protect your feet The sea was lovely and warm.
Alanya,Such a wonderful beach to visit and plenty of amenities close by too ! The sunsets are so magical to watchband the cable car is very good value for money too !
Stones,Nice beach but to much big stones under water. Tried one time just for swim and go back :D So could be better.
It’s a must,Beautiful clean beach with numerous sun beds and loungers at around £1.50 each a day nice beach bars and lovely staff our beach bar was number 6 hut bar manger there (echo) was so lovely and helpful 👍🏼
Love it.,We go beach 3 by cable car.Love it.Sunbeds available but we just take towel.Lovely warm water.Nice beer bar.Good prices
Superb Beach,A lovely clean beach with crystal clear water. The sunbed and umberella hire are affordable. They are all at good social distancing.
Sandy toes ,"Great stretch of beach No pebbles , bars offering free lounges Water sports Warm seas with plenty of fish for snorkelling fans"
Beautiful ,Stunning beach! The water was very inviting & everything was clean & tidy. Worth the visit if you are near by
Great beach ,Nice n clean water perfect shops and  taxi nearby. Food and drinks avail on the beach sunbed 30 liras
"Good beach, but very crowdy","Nice beach with nice sand, well equipped with showers and changing cabins. To my mind is too crowdy due to popularity."
Great beach ,Great beach with plenty of space to relax on the sand or one of the restaurant sunloungers. The water was nice and warm but gets deep fairly quickly!
Very nice beach,"Very nice beach, having everything, by nature and provided by people, for the visitors to feel and accommodate great."
Beautiful beach with castle views,Beautiful beach with castle views . Crystal clear waters with great surf waves. Watch the pirate boats come round into the bay.
Golden beach,"İt's really beautiful and cozy, not far from the city center. The main attraction of Damlataş is the beach, and it's parks, tennis courts and table tennis."
Nice place ,Really beautiful place. Nice beach and Good place to take Sun and swimmimg. Many good food places around.Beautiful
Nice,Nice beach with plenty restaurants and shops around. You can seat on the beach or restaurant and admire beautiful views. It is close to city centre walking distance.
Wonderful beach! ,Lovely beach and sea ..... be aware on the jetty they really really stress out people I know it's their business but if your not interested walk further along the front and you miss it
One of the best beaches i have ever been ,You will definitely love it. I have been to many beaches in Turkey but this beach is my favorite since 1993.
Quiet Winter Beach,"Since it was only 18 degrees, not many visitors were there. With sun chairs and two beers, our visit cost 42 Lira. The bathrooms were locked, but perhaps one of the bars had the keys.Enjoyed a quiet sunny afternoon after visiting the castle by cable car."
Nice beach,Some really nice sun sets .smalls pebbles rather than sand. Plenty of seating  just off the beach as well as fitness and children's play areas
Gorgeous Beach,"Excellent beach, gorgeous sunsets. Really well kept and clean. Visited in December and water temperatures were lovely and not at all crowded. Would like to go back when not working to really enjoy it."
