title,text
waterfalls,The road we took was well worth it.  Very nice and clean place.  Wonderful waterfalls lurk high in the mountain.  We took a boat ride down the river and enjoyed the outdoors.
"Great views, lot of rafting possibilities","The environment is awesome. White water all around, great cliffs and lot of waterfalls. Really worth visiting. When you arrive at the main area, you will be overwhelmed by Turks who want to sell you a trip on a boat, or raft. Make sure you compare, because prices can be very different. Especially the Turks who approach you while parking and calling you 'my friend', those will be the most likely to scheme. You can also find some rafting/ zip-lining companies online. Perhaps that is the better option.If you do not like rafting, you can take a boat, or just take a seat in a restaurant and enjoy the view.Absolutely worth to take a drive to this area."
Breathtakingly beautiful,"Visited for a day excursion including a speedboat through the steepest part of the gorge, off-road Jeep Safari & white water rafting. The gorge is absolutely stunning with amazing steep cliff sides and crystal clear aqua water. The river where the rafting took place is also beautiful and when we weren’t screaming through the rapids it was very tranquil with the mountains and forest all around. We have been to this part of Turkey several times but for some reason never visited the canyon before. However, we all agreed it was one of the highlights of the holiday. A definite for adrenaline junkies and for those who want to get away from the coast and see some beautiful scenery.On a separate note - we booked the excursion through TuiGo. The activity centre staff were superb but our trip guide spoke only German, despite half the coach speaking only English and us all requesting an English speaking guide at time if booking. However, the canyon, gorge and surrounding scenery was beautiful and hence the 5 stars for the NationalPark."
River rafting 20$,Best day activity in Antalya under 20$  river rafting food trasnpotation  all inclunding .it is highly recomanded tour
Taurus mountains: Kopru Park,"Luscious green mountainous park consisting of many pine trees, cedars, olives, apricot and fig trees. great cappadokian style rocks and splendid views. Kopru gorge and eurodymon bridge as well as Selge old city are to view. Worth a day trip, and then spend some time cooling off in the river."
The best canyon ever ,"I visited thiz place in 1990 and it did not change much which is the bestIt is still untouchedThe nature, the river, the canyon and the fish restaurantsI would spend a whole day"
Rafting,"Anyone looking for a decent rafting company - Fortune Rafting were great. We spent ages looking at the different companies offering rafting, but ended up going with Fortune. We contacted them via Facebook. We didn't need transportation as we had our own car, so it was 20€ per person, with lunch included.You need to take your own shoes you're willing to get wet, or you can buy a pair of wetsuit style shoes from them for 8€ at their base camp. The instructors were great, really informative and entertaining. Decent English spoken by all. Very professional outfit in my opinion. Would thoroughly recommend to anyone looking for a rafting company."
must do in Manavgat,"Koprulu Canyon is a unique place and if you don't want to be entrapped within your hotel, this should be in the first rank of your 'To Do list'. Approx. one hour driving distance from Manavgat city center. You can pass through the Canyon and visit the upper part, Tazı Canyon, if you want to see the beginning of the Canyon from above. This place is half an hour from Koprulu Canyon by car and you have to walk 10 min more. Koprulu Canyon is an easy rafting route and you can complete it even with your baby. This is really a nice place but expect some crowd. Also be aware of bad organisators. We were lucky and had a private rafting activity with our family. We preferred a small family facility called 'Side Restaurant' and satisfied with the service."
An Unforgettable Rowing Adventure,"Beautiful adventure with the Antalya Homes Team in amazing areas, Canyon. An unforgettable rowing adventure with cold river water in scenic nature. It was very amazing experience :)"
By far the best place we visited - a must visit,"We hired a car via Pandora Car hire so was very easy for us to get around. We drove to the Kanyon, did a round route of the whole area while making frequent stops on the way. The weather was great and the view was beautiful at all the various points. There are some low points where you can sit with you feet in the water, the water is a bit cold but amazing experience as it's exceptionally clean. Loved the whole experience. There are restaurants and rafting providers on the route round. The road is great so no problems driving around.A must visit - we definitely loved our day trip to here!"
Nice region to to some hiking,We did a jeep safari of the area in the morning and a rafting trip in the afternoon.Nice way to spend a day.
White Water Rafting,"This is great fun. Have done this twice and I'm 66 years old, my Husband has done this 3 times and he is now 76 years old. we went with Prestige Rafting and have had no problems with them. My husband went with them again in 2018 and some of the lads recognised him. When we are in Side this year, I might go rafting again, but it depends on how my knees bear up. Great outfit Prestige Rafting. Thanks Mustafa!!!"
schön,"authentic, populer tourism place. you should visit this canyon. you can go for rafting at this area."
Brilliant day out,This is well worth the trip.Beautiful scenery but be ware this can get crowded as its a popular place to visit.
Beautiful scenery,Take a wander up the mountain Road beyond the canyon for wonderful views. We enjoyed visiting out of season when the river and roads were quiet.
"Amazing scenery, beautiful place for rafting tour","The water is so beautiful and clear, we enjoyed the scenery drive along the canyon and enjoyed the rafting trip, we went in may when the water was not so choppy and I took my 21 months old for rafting trip, we both enjoyed it."
Creative Nature,"Manavgat is a fantastic natural area , water is very cool and green mountains are everywhere, i suggest to stay at least two nights to participate in the amazing activities around ."
Novaraft,An excellent day spent in the professional and attentive care of Hamil and Mumeht at Novaraft. Although we’d not booked for canyoning (we had two children aged nearly 7) we were taken to join a Dutch group. The experience for adults and our teens was amazing and the scenery stunning. Our little ones however (11 to 6) found swimmming in the river too cold (7 deg C) Hamil organised a boat transfer for them for the last 100mtrs or so and then took the trouble to buy them a chocolate bar to help warm the up ❤️. Rafting was also great fun and although it looked challenging we found it safe and exhilarating. Its a long day and we all tucked into a late fish / chicken lunch after. We stayed at Ali Bey resort in Manavgat and If staying in this part of Turkey it’s well worth the 1.5hr transfer. Things to bare in mind....you need trainer or jelly shoes for canyoning (we had to buy them there for 5 E). Unless your young children are very hardy and confident in cold water the canyon swim is a challenge.
Beautiful natural scenery ,You can enjoy your day with your family great lunch and the weather is wonderful and river makes everything soft and pleasant
Excellent entertainment for whole family,Rafting on Koprulu River is a must have activity for whole family. Before we had some concerns for safety of small children but is perfectly suitable and safe for 7 years ols and children loves it. Guide will adjust level of attraction to the crew on board if there are small children he will take light course to avoid serious obstacles. You will get wet though. There are breaks provided and the meal half way through. Views on surrounding mountains are spectacular and water is Cristal clear.
Stunning,Went on river rafting there in June 2018! Blu marine water make place look magical! River rapids quite steep in some places but over quite calm and pleasant
interesting area not known to all tourists but locals,there are many restaurants along the course of the river where you can linger and eat at decent prices.
Rafting and Natural Beauties,"The Canyon is located at the north part of Manavgat-Serik Area through the Taurus Mountainous Region. The river rises from Isparta and ends up in Antalya seaside. It is especially suitable for rafting with 25km length of it. You can also go for a visit and make a stopover a restaurant at the riverside. The restaurants generally offers fish (trout) and gozleme (Turkish crep). you can also ask for other types of grills and snacks such as french fries and salads. If you like to take photographs, the scenic view of the canyon will be very helpful. Especially summer times, the canyon offers you nice time due to cooler atmosphere. However, you can also make a visit during the fall and winter seasons."
Rafting Day Trip,"The highlife of our holiday.  Also very cheap for what you get.  It take about an hour to reach as they collect guest from other hotels.  We used Tornado Rafting and were very happy with the rafting. Also jumped into the ice cold water which  in it self was an experience as well as the jump of point.  The rapids are level 2 or 3. I took my 11 year old son and it was the first time for both of us, an amazing experience, something not to be missed if you are in Antalya.  The scenery is amazing. You will water shoes, towel, change of clothing.  If you don’t have the water she’s then you need to buy from them for €5 which are basic quality.  Worth buying some decent one from the local shop of before you travel to Antalya.  The rafting company will provide you with wet suites, helmet, life jacket.  Photos and DVD are extra budget about €25 for both.  But worth having a they do take decent photos and movie at strategic locations.  Would definitely do it again on my next Antalya vacation."
"A fantastic day out with the most spectacular scenery, great atmosphere, singing and splashing fun all the way.","Who would have believed Turkey had even more to offer. The scenery along this river is stunning. This trip is full of fun and excitement, we chose to kayak and got regularly attacked by the rafters along the river attempting to fill our kayak with water.......all in great spirit. The leaders running the day are friendly, experienced and full of fun. Lunch is chicken, rice salad and beer or water coke etc. Wear boating shoes or buy the plastic shoes on site, take a waterproof camera although a few pics are taken by the team to purchase after, there's also a video. Wear plenty of sunscreen as you have to leave belongings in the minibus and pay for extras at the end. This is a fantastic day out and the rapids are really exciting!"
Time to chill at Selge Allie pansiyon,"Spent two days here in the gorge staying at Selge Ailee pansiyon. Room was basic and clean, plenty of room with air con and en suite. Booked rafting through Selge at TL30 per person! A lot cheaper than other prices quoted and it was an amazing experience. We also got rowed up stream by two guys to see the waterfall, hard work for them on the way up! Got a tour of Selge by a girl who found us looking lost in the mountains which was fantastic. A great place to unwind"
"Amazing destination, awsome rafting experince","We had a rafting round here as a family. We chose the Express team (blues), and another team (reds) was also running successfully. The route was so exciting and the guys guiding the boats did everything to make the people have fun. Lunch was included, drinks were not expensive. All costed around 20-25 USD per person, being lower for the kids."
MUST GO! ,"This place is the best day out from the hussle and bustle of the city! Picnic by the river, swimming, whitewater rafting! OMG you must do it! ❤️"
Great scenery,"We went there with our private car, it is almost a 1.5 hours drive from Side. The old bridge is just fascinating. We also took a boat tour, with Yasin, and went against the flow and saw the source of the water. The power of the water was amazing. The tour took around 1 hour, we had a chance to swim in the water too - it is ice cold. We did not do rafting but people sounded enjoying it too. Highly recommended place!"
Adventure,Went to visit as part of a rafting excursion.  The scenery once you get of the highway is beautiful. The little villages you drive through are idyllic. The canyon is very scenic. We had a lovely time throughly enjoying and the rafting was one the best adventures we've been on. Our tour operator was wonderful so was our group.
Great get away from the fancy hotels,Rent a car a drive about 40 min from Belek to the Koprulu national park. reach the roman bridge and take a 50 min paddle boat ride into the canyon. Views are magnificent. It is not walkable. In the winter most attractions are closed but you can find restraunts offering fresh fish and typical food.Had a great day out.
