title,text
It’s old but not that ‘great’,"The Buddha isn’t that huge, although it is very old and full of history. It is also very far from the train station, need to walk 20 mins to reach. It’s slow as full of tourist and very crowded. It also charge 300 yen per person to go in, but once you bought the ticket , no one will check your ticket at the entrance...... I don’t recommend to go there."
Kotoku-in(Great Buddha of Kamakura,Very much a highlight of anyone's visit to Kamakura.  Not the largest buddha in Japan but it is very much a magnificent serene statue.  It is located in a wonderful temple setting.  We visited Kamakura before Covid 19 and we were able to visit the interior of the buddha for a nominal fee.  The temple compound is quite massive so allow a few hours to enjoy the surroundings.
A Must See,"Visiting the Great Buddha is a must if you are enjoying a day (or more) in Kamakura. The size of the statue, especially given the time it was made, will humble even the most difficult-to-impress observer. It is also possible to go inside the statue for very nominal fee (something like 10 yen) and it is cool to see how the head is reinforced from the inside. The grounds are also beautiful and provide a serene backdrop to either walk around or sit and enjoy the statue."
Amazing work of Art,"What a wonderful day.  We took the train from Tokyo to Kamakura to see the Great Buddha.  We walked through the town to the Buddha so we could see the sights.  It was Amazing.  Cast in 1252 when Kamakura was an Ancient Capitol of Japan (1192-1333).  The statue is 36 feet in height, weighs 93 tons and is the third largest Bronze Buddha in Japan.  For just a small amount extra you can go into the Buddha and see how it was made in sections and locked together."
Truly amazing sight.,I was very lucky as I got to see the Daibutsu (Giant Buddha) statue during the covid Pandemic and the weather was perfect. Only a hand full of people. Easy to get to from both Hase tram station and from Kamakura station. I didn't get to climb the stairs inside the statue as access was closed temporarily but the view of this magnificent Buddha was very inspiring. Do not visit Kamakura and miss this.
Impressive Buddha,Kotoku-in temple is famous for its Great Buddha (Daibutsu). And its worth. The Buddha is quite big (13m tall) and (at least when I was there it wasn't too crowded). If you pay 20yen you can get inside. It's very curious. It's the highlight of Kamakura
Smaller than what I thought,"You can walk into inside of the Buddha at the additional cost of ¥20 (¥300 to enter kotokuin) nothing much to see but when I enter, I felt like going into total darkness but in minutes, I noticed it wasn't dark at all.  The magic of human eyes! * Due to COVID-19, this activity is suspended."
The Biggest bronze Buddha,"The Great Buddha is easily accessible from the local train (Enoshima Electric Railway), coming from Kamakura station to Enoshima, being the local attraction itself. Coming to Buddha You should get off at Hase Station and turn right. It is about 5-8 minutes to reach. Buddha sits on the stone foundation at the area of the former shrine, which was destroyed by tsunami in 1495, leaving the statue in the place. The statue survived also a few earthquakes. The Budda is 14 meters height, sitting in the lotus position, surrounded by the pavillion and small but quite nice garden. Worth to see being in Kamakura.."
Icon of Kamakura,"When people mention about visiting Kamakura, the great Buddha is a must see. The grounds are quite empty, except for the Buddha. I thought it was quite expensive to just go in a see the statue. Also, you need to pay extra (though only 20 yen) to see the inside of the Buddha."
Great experience,"If you have 1 more day, you can visit Kamakura and Enoshima. There is a discounted ticket price of 1,520 yen. You can actually go inside the buddha structure"
Iconic symbol of Kamakura,"This is probably the most iconic and visible symbol of Kamakura.  Accessible by train and near  Hase station.  We took a JR train from Tokyo to Kamakura and then an Enoshima Electric Railway train to Hase station.  From there, we walked about 8 to 10 mins to the Great Buddha.  Entry fees is 200 yen and an additional 20 yen to go inside the statue. We need to pay to take clear photos of the statue as there are no clear views from outside the fence.  Don't need to spend much time here unless you are into religion."
Giant Buddah,"The giant Buddha was my main reason to visit kamakura, it did not disappoint, but then I love religious shrines and statues. It is a huge bronze statue which survived a tsunami in the 15th century. You can go inside and understand how it was constructed. Or wander in the gardens."
Peaceful,"It is always good to spend sometime here to get some fresh air with the spiritual ambiance. Not far from the station, this place is suitable for family visit, to get a good photos, and to learn about Japanese Buddhism. Garden is located behind the statue, and there is an entrance fee."
The Great Buddha of Kamakura,"It's really impressive no matter how many times you have seen it. The sheer size is awe-inspiring. You will get goosebumps just by looking at it. Words are not enough, you have to see it with your own eyes. There's a 300 yen fee to enter the grounds and 20 more to actually enter the statue itself."
Big,"Traveled to Kamakura on the train from Tokyo about an hour and a bit (JR rail pass) what a lovely town  on the coast small narrow streets not much traffic except for the tour buses an enjoyable place just to walk around  from the station to the Buddha is about 20mins and it's worth the walk even, in December there were a lot of tourists if you time it right you can get some good photos"
Great Buddha in the small place,"Kamakura seems like a small prefecture or small town. To get to Kamakura you can take a bus just from outside kamakura station, and pay about 200 yen.The great Buddha itself was really big, and add another 20 yen you can get inside the Buddha, but the stairs was too narrow.The souvenir stores in the Great Buddha area were quiet fascinating, so many small unique stuffs"
Very Pleasant,I like great Buddha's as much as the next guy.  This one was great.  Maybe less than a kilometer away though is the Kosoku-ji temple which had more room to stroll around with interesting and meaningful items around every corner
Kamakura,"We recently travelled down from Yokohama by train (2 trains, including a local electric one) to see the town of Kamakura and walk up to the Big Buddha.  The town is touristy but pleasant to stroll through and quite busy ay the Buddha.  You can buy a ticket to go down inside the statue although we didn't.  The thing I remember- the young train driver jumping out of his cab at the station to help an elderly lady of f the train, together with her shopping trolley."
An amazing place to visit!!,This statue of Great Buddha is unique in Japan and worth visit without doubt. There is the option to see the statue from inside and look how it was constructed. The area of Kamakura is also very unique. Do not miss the chance to walk to the nearest beach which will make you want stay there forever!!!!
A must visit,I really love this place surrounding by attractive place not far from Tokyo temple really peaceful very recommend.
Unique attraction,We spent the day visiting a number of attractions. The big Buddha is an amazing feat . The area is easy to get to by bus from the station. Get a day pass at the information office at the station. An easy day trip from Tokyo with a one hour each way JR train from Tokyo station
Must see if in the area,It is about an hour from Tokyo by the train (JR) and then you can either walk or take the Enoden half way. Kamakura is small town on the Pacific. Great Buddha looks beautiful from all sides. Truly serene.
Must go if visiting Tokyo,I live in Japan and can’t get enough of Daibutsu. Is a 1h train ride from Tokyo.Every time I visit is an amazing time. There’s so much peace around.There’s a small visitation space underneath the Buddha but that one is not worth it.The stores around are great to buy souvenirs and are not pricey as most people would think.
Yep it’s big! ,A great big Buddha set in beautiful clean courtyards and gardens. This is really a must see as part of a trip to Kamakura.
Beautiful statue,"Big Buddha is amongst the main attractions of Kamakura and it delivers. It’s a beautiful big statue of Buddha overlooking the city inside the shrine grounds. Behind the Buddha, there is small shrine grounds but nothing worth mentioning. Overall it’s a smaller Buddha than “Big Buddha” statues in Phuket, Da Nang or Hong Kong but it’s still a pretty marvellous statue in blue color. It’s the second largest Buddha statue in Japan after Todai-ji in Nara, but this looks nicer as it’s outside rather than inside in the other one. You can even enter the statue but we couldn’t as we were too late for it courtesy delayed bus from Hokokuji."
Big Bronze Buddha ,The ancient bronze Buddha statue is iconic of Kamakura .It is relatively small ground to visit. But it is still worth the while to pay a visit if in the area. The fun part of the visit is taking the Enoshima train from Kamakura station.
Famous Buddha Statue I Had to See,"Simple to get to by train from Tokyo.  I opted to walk from the Train Station to the Great Buddha, which was not a problem, a little hot and you need about 30 minutes.  Loved walking the streets of this town and seeing some of the local vibe.  Very busy location and tour buses coming through at a regular pace.  Still lots of good opportunities to take photos.  Walking around the grounds behind the Buddha you can see some interesting architecture, gardens and trees.   Spent the morning around the Buddha then walked to Tsurugaoka Hachiman-gu Shinto Shrine for a couple hours in the afternoon.Ran out of time to do some shopping around Kamakura station, lots of shops and restaurants."
Great Buddha,Giant 30 meter tall statue that you can go inside of too. Nice temple near by too. Easy to get to by train then a short walk. I recommend this destination
Peaceful ,Don’t expect to much since this is a shrine but it’s a great site. Cost ¥300 to enter. Could do solo or like minded friends
Wonderful way to spend an afternoon with Japanese history,"A very easy train trip to see one of the sights I remembered best from living in Japan may years ago.Logistics are easy and well marked--you need to take a private private train 3 stops from the JR Kamakura station for about 15 minutes, and then it is 20 minute direct walk to The Great Bhudda.It is an impressive sight, rivalled only by the larger statute in Nara,We were there on a weekend afternoon, and while there were many people there, it never felt crowded.  As several posters have noted, the look of serenity on the statute dominates the mood there."
"Small but lovely temple garden, enormous Buddha statue of bronze","We enjoyed our trip to Kotoku-in and the beautiful temple. We did go inside the Buddha statue, it was underneath and a little claustrophobic.  Would not recommend it.  The outside and the garden were more worthwhile."
Impressive! ,A lovely garden もみじ or maple foliage enhanced our experience. A  huge statue and there is a great feeling of serenity despite the onslaught of tourists every five minutes. Definitely worth a visit.
Beautiful,It's a beautiful statue and a serene compound. It's worth a visit from Tokyo. But don't visit Kamakura only for this.
Some tips.,"Nothing more to be said about this beautiful statue, it's amazing. Just like everything, if you come early it will be a better experience, but you can't do everything early, I would advise doing this one early. We came a little after opened and were able to get some great unobstructed shots and were able to really enjoy the are and the presence of the Buddha."
Interesting,"In my opinion, it is not worth a visit by itself. But as it is a 5 minutes walk from the Hase Kannon Temple, which we did want to visit, we did go there. After a short visit, we took the bus directly to Kamakura train station."
Wow !!!,"To visit this very impressive monumental statue you have to pay a small amount ( 400,00 Yen ) to enter, is really worth it. When visiting the surroundings of Kamakura it is a ""must"" visiting this area and meet the ""Great Buddha"""
Impressive,Incredible site to see. The Great Buddha of Kamakura was cast 750 years ago.  Get here early to avoid the crowds.  The JR railway takes you to Kamakura station and you ride the local subway (200 ¥ ) three stops to Hase.  The Great Buddha is about  a 10-15 walk from the Hase station.
Nice but could be free of charge,"The price to visit the place is not high, about 5 euro for two people, however as it is just a statue it could be free a charge. It does worth the visit, as European I don't have often the chance to see such a big Buddha statue. So I do suggest to visit but keep in mind that it's not free of charge.Tipp: you can Visite the inside of the Buddha as well for about 10 cent."
Great buda at the Japan old capital,Buda of light is a towering statue made of bronze.It was built by the ruling shogum after winning the war against the opposing party.Once pacified it was an era in which fir example the writing from China was introduced and thus enlightenment
Astonishing peace of metal engineering in ancient Japan,"The center peace of a visit to Kamakura is really worthy to visit. Even with all the crowd of tourists take your time to also enter the statue, but take care of the narrow steps inside. It was build with remarkable skill fro many pieces and has resisted even to the great Kanto earthquake."
Worth a visit,"My wife and I took a day trip. Out of Tokyo down to Enoshima and whilst in the area we visited the Giant Buddha.It is indeed giant, being so big that you can go inside for a small fee. The Buddha is inside a small park with other ornate and interesting items and structures and is a short walk from the train station.This is a definate stop if you are in the area."
Interesting big Buddha statue.,"Entry is at 300 yen. Not much inside but still interesting to visit the big Buddha statue, so I think the price is fair. Avoid the crowd by going early in the morning. Toilets available and also small shop for refreshments and souvenirs."
Big,Pretty big Buddha providing good photo op. Little town of Kamakura was nice to explore along the streets. Old style town
Amazing,This Buddha is amazing.  This Buddha is quite big and the craftmanship is impressive.  This was one of my favorite Buddha's to see.  You can walk inside of him...very cool.
Apart from the Buddah....,"This is a very average temple. The age of the Buddha and the fact that it has survived quakes and fires is a testament to it's builders many hundreds of years ago. For ¥20 you can go inside to see how it was constructed. Good to wander around as there are small lakes, and the inevitable souvenir shops capital8sing on tourists. In itself quite an un-inspiring site other than the large Buddah."
Worth looking at,"the sheer size of the statue is quite impressive, just think about how there used to be roof above...and it is said that ancient coins were melted to forge the hull of the buddha, full of interesting thoughts really."
Great town,"We went from Tokyo to Kamakura for a day trip and we loved it. They say it’s like a “mini Kyoto”. The big Buddha is such a sight and we went to a couple of other shrines too. It was a good calm day, nice to get out of the craziness of Tokyo too."
An impressive statue,"Jump on a local train out of Shimbashi . Get off at Kamakura and change to the small electric train for Hase. It’s then just a short walk through the village past numerous small restaurant and local craft shops selling many good quality souvenirs to the Great Buddha.What a beautiful serene statue it is , surrounded by tidy cool green gardens where there is ample seating to rest and contemplate life .Allocate yourself plenty of time for this visit. It’s a wandering day time to relax."
Amazing,"This statue is stunning in person, but there is not much to see immediately around. The Buddha is enough to merit a visit."
Great Indeed,It was far from Tokyo but it was worth the ride. There was an entrance of ¥300 and a little more if you want to go insiden the statue. So many tourists yes but mostly students. Definitely worthy to add in you itinerary in your next or first visit to Tokyo. It’s just less than an hour travel from Tokyo and there’s still so much to do in Kamakura after here.
Family,"Nicely set garden temple with a 7 centuries old Buddha statue and great surrounding too. Kamakura city is worth visiting as the tempo is slower and the other Hasedera temple ,which is within walking distance from each others, is equally serene with nice garden setting to fill the calm ambience."
The buddha is really big,"I've seen people uploading photos on the great Buddha in Kamakura a long time before I finally had the chance to visit it. With its long history, it's really surprising how well-maintain it was. so I finally ventured into Kamakura about two weeks ago and see it with my own eyes. My first impression of it was - Wow! It's really big! It looks quite sturdy, and of course it looks very good at its' age. I didn't enter the Buddha, but just the look of it from the outside is quite impressive already. The shop in the temple sell goodies/cookies/snacks that features the Great Buddha too. Not to forget, all the good luck charms/Omamori you could get as souvenirs for friends and relatives. I'm not sure how many of the tourists who visited the place felt this way, but I felt extremely peaceful while I'm at the temple."
Great photo opportunity ,Very easy to get great photos at this attraction. Everyone there was very respectful of others taking your photos. Well worth making the trip
Not that impressive,"While it is certainly remarkable that they built such a big statue with a very ingenious technique, it is really just one statue and nothing more. Pass by if you will but don’t go too much out of your way for it."
Impressive Statue of the Buddha,"The Great Buddha stands nearly 12 metres high and is an impressive sight. Made of bronze, the verdigris patina adds to the grandeur of the statue. Make sure you go inside, where you can see how they re-welded the head in 1960. A must see if visiting Kamakura or Tokyo."
The big Buddha,"A must to visit to see the big Buddha, spectacular. About 40 mins from Tokyo. Crowded with many tourists."
The reason for visiting Kamakura,"This attraction hardly needs commendation, since it's why everyone comes to Kamakura. It exceeded expectation - a most impressive statue and ambience. It is worth looking round the rest of the town, too."
"The One and Only Great Budda...exceeds expectations, awesome","Kotoku-in or the Great Budda of Kamakura will exceed you expectations, in size and profound impact.  Many visitors but well managed and not swarming with tourists."
Beautiful,Very nice area to walk around in and enjoy some of the best temples in Kamakura.  Beware of mosquitoes!
Just Another Daibutsu,"If you haven't seen a giant buddha and you're in Kamakura, go for it! If you want to complete your collection of visiting all the Daibutsus in Japan, go for it!  Otherwise, there may be other Kamakura sights more worth your time."
Simply amazing,"The location of the giant buddha is about 18 minutes walk from yuigahama station or about 25 minutes from Kamakura station. It is a nice place to visit with friends and family, there are also lots of seats around and a garden."
An absolute must,"The great Buddha or Daibutsu. THE main tourist attraction in Kamakura. When I came here for the very first time in 1973(!) and you compare it with the present situation a lot and I really mean a lot has changed. In 1973 I was about the only Western tourist in town while at present you are swamped with (mostly Chinese) tourist. Of course the whole town has changed with it and lost, in my humble opinion, a great deal of its original charm. Nevertheless a visit to the Daibutsu is a must if you are in Tokyo. It takes about a 1 hour by train from central Tokyo to get there. But again be warned: you will not be alone over there.The Daibutsu can be reached by bus from the station or you can take a pleasant 30 minute’s walk. In all cases it will be a visit you will never forget."
An impressive sight,A very beautiful bronze Buddha statue. Only 100 yen entry. About 2k walk from the station and worth it.
Impressive statue,"An impressive bronze Buddha statue in Kamakura. It was 200 Yen to enter (July 2019) and for an extra 20 Yen, you can go inside the statue. It was interesting to see inside the Buddha, but probably not worth the queues when it's very busy. The statue is inside a large open complex, so it doesn't feel too cramped despite the large crowds that go to see the statue. Recommended if you're already visiting Kamakura, but there are better things to see here if you're in a rush (e.g., some of the other shrines)."
The thing to see in Kamakura,"The Great budda is the one thing you have to see in Kamakura. I would not go specially there to see it, but if you are spending some time in the area, it is worth going.  There is a very nice hiking trail beginning just behind the Great Buddha."
Remarkable,This is a popular site so be prepared for a crowd. The Great Buddha is 750 years old and an iconic image. Read the history and posters about this before going or while there. It’s an additional ¥20 to go inside but it is worthwhile if you are interested in the construction.
"Yes, a BIG Buddha","This Buddha is the 2nd largest Buddha statue in Japan. What is amazing is that it was built 750 years ago! For 20 yen, you can actually walk into the statue and see how it was constructed. The entrance into it is at the rear side."
Place of visit an original big buddha.,"Rather than constant shopping, not bad for a family trip to travel to this area and visit this area. See and understand how in medieval times a bronze buddha was constructed."
I came here to get a glimpse  of  mount Fuji and got a Big Surprise,"I wanted  to see  mount  Fuji with  out  traveling  to far  so I  researched  this  small  town  was  a  good  bet  but   only on  a  clear day however  I  came  across  Great  Buddha of Kamakura and  Its  Spectacular, this whole  area is a  lovely  place  with  a lot  more  shines to  see  but  I  headed   for  the  beach to  see  if  Mount  fuji  was  appearing lol, but  it  was  to  over cast  as  it  was  a very  hot  day.  The  sand  is  black  and  the small seaside  was  not  busy and  had  a  great  walk  around it  was a lovely  day.  I  stayed  around  for  about  3  hours its    a  lovely place  to  be in and  peaceful.  I found a  Sandwich  bar  on  the  main  road back   to   the  station  from  the  sea  front see  photo,  this  Amazing   sandwich  cost 200 Yen with  fry's and a  large coffee it  was  delicious it only took  an  hour   from  Tokyo  train  station so  I  am  so  glad  I   came. I would  recommend this  place  even  thou  there is not a lotto  see  because its  so  peaceful  after  Tokyo and  Iove  to check  out  new  places"
Amazing,Our daughter took us here when we visited her in Japan. It made me feel so calm and peaceful to be in the presence of this.
Good atmosphere,Worth a visit if you're less than 1-2 hours away. There is a beach and shopping streets nearby so it makes a good day trip. The shrines are a must see and there is a traditional atmosphere in the area.
a very big Buddha ,"The great Buddha of Kamakura is one of the biggest Buddha in the world. The height including the pedestal is about 13.4 meters. Be aware there is nothing else to see then the buddha. Long time ago the Buddha was housed in a hall, but they get destroyed by strong winds. Normally you can visit also the inside of the Buddha, but we had very bad weather so we were not able to visit."
Impressive,"Well worth a visit - the Buddha comes into view from behind some trees and really hits you. Can get very busy , but the scale dwarfs the crowds"
A beautiful statue of Buddha,"Another nice place to visit on your trip in Kamakura, as the bronze statue is amazing to admire upclose,you can also go inside the statue for 20yen."
Must see in Kamakura,"The other temples and shrines in Kamakura are indeed historic, inspiring and beautiful, but the Great Buddha is truly a wonder to see.  Yes, there are larger Buddhas in China and Hong Kong, but remember that this bronze Buddha was cast in the year 1252 and stands some 11.4 meters high.  It originally was housed in a large temple hall, but the temple buldings were destroyed many times by typhoons and tsunamis, so the Great Buddha has been out in the open air since the late 15th Century.  Fascinating to see and set in a beautiful courtyard surrounded by temple buildings and nice gardens.  It's very close to the Hase-dera Temple."
