title,text
Nice shrine & great climb to tomb of Tokugawa Ieyasu,Climb uneven stone steps to the coloured shrine. Then keep climbing up up up to the tomb at the very top. A peaceful resting place and worth over 200 big steps. Nice bronze & stone lanterns & pillars along the way.
"Not for the grandeur, but for the history","Not the most impressive Shrine in Japan, but certainly it has the prominence. Layed out in a series of levels, irregular stone steps - makes visiting for some a bit difficult. Crowded at the site and especially in the ropeway leading down to the Shrine itself - I personally think they jam too many into the tram. Worth a visit, but not on the top bucket list."
Breathtaking beautiful,"Kunozan Toshogu Shrine is dedicated to Shogun Tokugawa Ieyasu the famous leader who united present Japan and who lived after his retirement in nearby Shizuoka. His present can be found everywhere in the area so also at this shrine.The shrine itself is unbelievably beautiful and above all very colourful. You will see a lot of very nice pieces of painted carvings as well as golden elements along the roofs and pillars. I was very much impresses by the cheer beauty of it all.Visiting this complex is also a climbing experience since it is a more or less constant climb to the main shrine. For those who need it, walking sticks to assist your climb are available at the entrance area of the shrine. Very thoughtful.On the very top of the complex you will find the tomb of Tokugawa Ieyasu a very serene location.All in all, for me, Kunozan Toshogu Shrine was a very exceptional experience."
Distinctive Place of Honor,"We took ropeway car to very impressive temple and burial place.  Definite must if this a cruise ship stop.  We were able to see Fuji, so really special day.  Interesting topography in the coastline outcropping, so Shogun picked a great place.  Densely forested."
National treasure,"Toshogu shrine is thought to be in Nikko, but this is the 1st Toshogu, where the 1st Shogun is buried. This shrine holds annual commemorative ceremony for him on April 7. So, this is the one for rituals for him while Nikko has more gorgeous festivals."
Powerful Spiritual Experience,"The Kunozan Toshogu Shrine is definitely a must see along with Nihon Daira view.  The Shrine itself is beautifully designed with many colors.  There are lots of steps, so please do bring comfortable hiking/walking shoes and water."
Beautiful shrine,Way to many steps for me but my travel companions made it to the top.  Be sure to wear comfortable shoes.
Good Example of Shinto Shrine,"Built in 1617, the main shrine showcases lacquers and gold foils.  Similarly the other buildings are likewise painted every 50 years to preserve them.  Many steps take you past about 13 buildings in all and the final set leads to the grave of Ieyasu Tokugawa.  Fabulous vistas of SUruga Bay can be scene from this location"
National Treasure enshrined SHOGUN IEYASU,"This is the most famous shrine in Shizuoka which attracts many visitors not only from Japan but from all over the world.    Unlike Toshogu in NIKKO, this one has calm and tranquilized atmosphere. Established in 1613, just two years after the first Shogun IEYASU passed away, the buildings were very strong and in elegant mood.  On April 17, which is the day when he died, all the TOKUGAWA families get together from all over Japan and have an annual ceremony in honor of him.      On top of KUNO mountain, his mausoleum stands solemnly viewing west, just like looking at his birth place (OKAZAKI).     There is a museum in front of the entrance of the shrine, where swords or armors he actually used and a golden clock presented by the Spanish King are exhibited. For those who are interested in Japanese history, it is the best place!"
Very nice shrine,"Many, many steps to climb but really worthwhile to see. Very nice architecture. Use the wood and bamboo walking sticks found near the ticket booth. Go early to avoid the crowd"
Interesting shrine to visit in Sh,"Visited the Shinto shrine with a tour group. It is the burial place of the first shōgun of the Tokugawa shogunate, Tokugawa Ieyasu and features many beautiful structures and art. The buildings are colorful and have elaborate wood carvings. They are protected as important cultural properties. The downside is that the place may not be so elderly friendly as there are many stone steps (200+ steps) leading to the buildings. Otherwise, it’s worth the visit!"
Small shrine on a small mountain,There is some walking involved and It is an easy climb up stone steps. There is detail in Japanese. Good idea to have a guide. There are great views of the coastline.
National Cultural Treasure,"Nestled in a rather remote peaceful hillside location there is no road access to Kunozan Toshogu Shrine. There are two ways to reach the shrine ascending 1159 stone steps from the bottom of the Kunozan Mt, or by descending on the  Nihondaira ropeway.  This is one of Japan's 100 most scenic spots where on a clear day you will have glorious views  of  Mt.Fuji, and the Suruga Bay below.  Over 400 years old it is a fine examples of ornate Shinto architecture and brilliant colours shrines temples that we saw in Japan.  The detailed decorations, rooflines,  bronze and stone lantern posts, and pillars are all impressive.  It was designated as a National Cultural Treasure in 2010. There are uneven, steep stone steps, often wet, in order to reach the Shrine complex."
