title,text
views 🤩,Went to check out this place since I missed booking a tour of Mount Fuji. I hopped on a train from Tokyo and did a self guided tour. Lake’s pretty with great view of Mt. Fuji.
Nice get away ,"Great walking area, hiking , bike ride and places to eat.No need to stay at expensive hotels there rooms from 5000 yen up is all you need as the beauty of the surrounding will keep you outside.Can’t wait to go again."
beautiful,the lake is very beautiful. you need to explore this area for at least a day full. try hot springs is a must
you wish to stay there longer,the lake and its surrounding is amazing you feel the nature beauty and the air going inside your lungs to give you health.amazing place
Best View of Mt. Fuji,"A multitude of attractions provide one with an opportunity to have a glimpse of Mt. Fuji; however, Lake Kawaguchiko gives one a beautiful panoramic view of Mt. Fuji, accented by the serenity of the lake and the clear skies above it. There's no need to linger too long in the area (especially as it can get a bit crowded after some time since it's a highly popular tourist spot). If you're looking for an excellent private tour operator, do consider Joey's Van and Chauffeur, +81 90-1778-3759(Viber/Line)"
Must Visit!,"Lake Kawaguchiko is one the the Mt Fuji 5 Lakes. It's very convenient to travel from Tokyo by train, highly suggested to get a Tokyo pass and reserve the seat.Also, it's highly recommended to rent a bike, the best way to travel around the Lake. There are many nice cafes and restaurant around the Lake area."
Mt Fuji panorama,Worth every penny. Great for all ages and breathtaking.The view of the mountain made for some spectacular photos.
Mt. Fuji view,"Lake Kawaguchi is one of the most famous lakes in the Mt. Fuji area. When the weather is crystal clear, you will find the amazing view of Mt. Fuji. It's worth a visit even if it's only to take picture from the side of the lake."
Worth a visit ,Incredible and magnificent lake Kawaguchi view with Fuji mountain. It’s not easy to get there taking about 2-2.5 hours from Tokyo to Kawaguchi but it’s totally worth the time.
Gorgeous Views,"An inexpensive, 20 minute boat ride takes you out onto the lake and gives you some of the best views imaginable when it comes to Mt Fuji. The day I went was perfect for it, so every yen spent was absolutely worth it. If you’re heading to the lake, it’s really something you can’t afford to miss."
Great views ,We had a lovely boat ride on the lake. It came as a package ticket with our Mt fuji ticket. Very pleasant and great views.
Nice view,"nice view nice weather, you guys should come here at least one in your life. just take taxi from kawaguchiko st org walk to this lake."
Nice views but ... horrible city,"If you like to see a wonderful region from a bus or a train it’s perfect. If you come during the summer season and like to hike the Fuji, too.But during the winter season, it’s risky, as it was for us. Hard to find trails along the lakes. And impossible to climb the mountain. And the city has absolutely no charm, many restaurants, but a feeling to be in a lost suberb of a small American town.So choose very well when you come to visit"
Very picturesque,"We stayed in this area in an Airbnb. Very easy access to the station which had trains and buses. The bus routes give you the opportunity to eat a two day unlimited usage pass for 1500 and use the red, green and blue lines.  We used to travel around lake to hop on and off to have a meal and then head to ropeway. Was a beautiful area to enjoy the peace and quiet and just relax and take in the sights.  Lots of restaurants and shops. If you want to see Mt Fuji would definitely recommend basing yourself here at the lake."
Beautiful place,We absolutely loved this place! We hired bikes and rode around the lake one afternoon and it was just gorgeous. Will definitely be back!
"Relaxing place, good gettaway, a few hours from Tokyo",Nice to rent a car drive away from Tokyo for a night or two.  Scenery is nice with a large outlet near by.  There's this fantastic tempura place there I usually visit.  Hotel was pricy but worth it (with private onsen in the room).   Good view of Mt Fuji on a clear day.
Beautiful peaceful lake,"Quiet, peaceful and beautiful lake. Strolling along the lakeside for picture taking. There are a few restaurants, souvenir shops in the area. Also can take the Ropeway to have a better view of the lake and Mt. Fuji."
peacefully place to visit,"i went there in Dec 2019, lucky the sky were clear and i can see Mt.Fuji. it is a place to visit for relaxing, just sit and see the nature around, lets the busy life behind"
Breath taking views,My son and myself decided to take a walk around Lake Kawaguchi and we loved it. It had snowed the night before so we were in heaven. So many great views of Mt Fuji and she was STUNNING. Highly recommend coming here in winter.
One of the best spot to view Mt.Fuji,"In my opinion, one of the best spot to view mt.Fuji on a clear day. And especially good to watch the sunrise and set. From Kawaguchiko station you can take the redline bus and get off around stop 16-17. Also if you are here in the winter, your chances of seeing Mt.Fuji is higher than other season."
Best views,"Simply walk around the lake for some of the best views of Mt Fuji In winter time the afternoon sun plays havoc, my best photos were taken early morning before the sun became to glarey We were staying in a hotel overlooking the Lake and Mt Fuji, felt very spoilt"
Picturesque view ,"Best spot for photo taking as you stroll down the lake side. Recommend to ride on Red Line bus and stop at bus stop number 16, the best spot as you see most Mt Fuji shots are taken. Picnicking can be a good option to spend time here."
Great views on a clear day of Mount Fuji,Great place to stop for lunch as part of a Mount Fuji tour. Stunning scenic views including on a clear day (which I was lucky to have) views back to the Mount Fuji peak.
Lake Kawaguchiko,If you are lucky enough to get a hotel with a view an upper floor is a fantastic place to see the lake. There is a road you can walk around the lake or there are local buses. Some place have bicycle rentals also. It was cloudy so we went up the ropeway to see the beautiful view of the lake.
Beautiful lake,"Mt Fuji is surrounded by 5 different lakes. Lake Kawaguchiko is one of them, close to Fujikawaguchiko-machi, the largest town, where you have the train and bus stops. The lake is cristal clear and calm and several water activities can be done. If you're lucky you will see Mt. Fuji from there."
A full day trip from Tokyo,This is a very pretty area and I wished we had left Tokyo a few hours earlier as it was a bit of a rush after traveling via several trains to this spot. Loved the snow there and had a wonderful lunch in the village area.
Great views of mt Fuji ,Loved the quaint atmosphere and the unbeatable views of mt fuji. We spent a night here on a clear day and it's been unforgettable.
Convenient vista point for Mt Fuji,"One of the best vista point to see Mt Fuji.There are many spots along the north side of the lake that has clear view of Mt Fuji. Adequate parking , bathroom and eateries at the stops."
Nice View from the hotel room; too cold when we visited,Nice location and view point from our hotel room at the Kukuna hotel; unfortunately way too cold to experience the lake in itself.
20km bike tour for the Amazing view.,Rent a bike and tour this lake for 20km. You will visit some amazing place with awesome view that other people didn't see.
Very Beautiful Nature,"As a nature lover, it was very fulfilling to feel the atmosphere of this lake while enjoying the view of both the lake and Mt. Fuji. Highly recommended for nature lovers."
Great View if you Want to see Fuji-San,"We love the area. Peaceful, clean, and serene. My husband and I enjoyed  strolling  around the area. You can see  the the Mt. Fuji anywhere you go. We visited early December and the sky was very clear, we had the vivid view of Mt. Fuji. Please be familiar with the bus system so you can enjoy going around the area."
Beautiful ,"For unobstructed views of Mt Fuji, this is one of the spots for breathtaking photos. Hop on the red line bus service at the train station and pay ¥390 as you get down"
Day trip from Tokyo doable! ,"For those with limited time, a day trip from Tokyo is totally doable - and worth it provided that Mount Fuji is visible that day. Would recommend checking the live cams before you head to the bus station. Also, plan on getting there a little early - you may have to wait in line to get tickets (some vending machines do not work with foreign credit cards, but not an issue if you have cash on hand). Once you're there, you can get around the lake area by bus - the two-day ticket  (no one-day pass at the time of my visit) is a decent option and will allow you to hop on hop off as needed."
"January 2, 2020 Visit/ sightseeing.","We took bus from Tokyo to the Lake.Beautiful lake, stunning view of Mount Fuji.Japanese tour bus guide Yuki (UK) was very courteous, helpful & considerate without compromising tour or travel rules especially for group of around 40 persons.Fuji san wa Kirai desu.Arigato ghozaimas."
Absolutely stunning lake,"This lake is absolutely stunning.  It reminds me of Lake Wakatipu in Queenstown NZ. Serene, calm and very easy to walk around. Great views of Mt Fuji and surrounding mountains. Very peaceful."
Nice drive around ,Very nice and scenic drive around the lake. Small little cafes and shops are found along the route.Plenty of photo opportunities to capture Mt Fuji (weather permitting).
Lake kawaguchiko,Beautiful lake in cold winter. We walked a slow stroll from Kawaguchiko train station around 20minutes. There are signboards in English along the way. Dont bother taking the red bus and waste precious money.
Beautiful lake,"One of Mt Fuji's five lakes. Many activities all year round including boat trip, fishing, and trail walking. Summer and winter might be the best time to visit."
Many nice sights of Mt. Fuji,"My favorite sight for Mt. Fuji is when you cross the bridge and turn right, there is a small tunnel and right after the tunnel you will have a beautiful view of Mt. Fuji. When you go the other away there are many other beautiful sights too (like Kawaguchi Natural Living Center, this is also a bus stop)."
Beautiful,"Breathtaking, beautiful view of Mt Fuji.The view is what picture postcards are made of.... But postards can't beat being there yourself."
World iconic scenic location,"Mt Fuji, one of the world iconic defining scenic view. Can be view in many other locations in Japan BUT this location likely to offer plentiful of sites not only to view, also to be close to nature while enjoying the views. lakes, trails, mountains, etc. Plenty of lodgings and onsen to put up a few nights. Finally a not widely known fact is that this location host the biggest area for Japanese wines."
Beautiful lake ,"Impressed by the beauty of this lake. Mount Fuji's reflection and clear view of Mount Fuji is the best....but not impressed with the general service standard in this town. From hotel staffs, to bus drivers, information centre staffs and sales staffs...unfriendly n unhelpful...no warmth in service. People were super nice when I move to Nagano."
Beautiful lake view,Self drive to Kawaguchiko Lake. The view at the lake was so beautiful. Unfortunately we are not able to see Mt Fuji due to cloudy weather.
Mt. Fuji is a gem,"If there is one thing that you should not miss in Japan, it would be seeing Mt. Fuji. I was fortunate enough to see the magnificence of Mt. Fuji from Lake Kawaguchiko on a beautiful sunny day. The lake itself has a lot to offer. There are even selfie stands at ideal vantage points in the area."
Top Trip,Great View of an Excellent Mountain and the Wonderful Energy. (and this last words are just to fill in nothing)
Just like a picture,Was so beautiful to walk around the lake and have the view of Mt Fugi at your side the whole time. Was very easy to walk as nice and flat. I noticed some paddle boats that were shaped like swans in the distance. From a distance they looked like real.
Breathtaking view,I went to Kawaguchiko Lake by taking Bus from Shinjuku Expressway Bus Terminal as it took approximately 1 hour 45 minutes journey with price 2000 Yen for 1 way. The atmosphere at the lake was so soothing and calm. Found 1 halal restaurant just apposite with the Lawson at the lake area.
Lovely lovely lake,Thoroughly enjoyed ourselves here. We are already planning to visit here again. We walked around the perimeter of the lake and the view was breathtaking. One of the five lakes near Mt Fuji.
Amazing scenic view of Mount Fuji,"We took the Highland bus from Shinjuku Bus Terminal to Lake Kawaguchiko station and arrived at about 9.30 am. Journey is about 2 hours. Currently ropeway is closed for a week more or so. So we bought red line bus tickets and took to stop 9 to hike up Mount Tenjo. The start of the hike is next to Fujiyama Cookie leading to a resort. It is not a difficult hike but it has many steps. About close to an hour hike. It is rewarding as you get to see it from a higher view. Thankful we came on a day that it was clear skies.We then hiked down and took bus at stop 9 again to stop 20 (last stop). There will be many people alighting there too to view Mount Fuji from the lake. Very beautiful and it's breathtaking. There is a cafe there too if you want a drink or ice cream. The blueberry and vanilla ice cream was delicious.We then took the bus to stop 15 for the Forest Music Museum. However, upon realising that the entrance ticket is about 1800 yen, we aborted the plan to visit and started taking a stroll down. We chanced upon a walking trail along the lake and started walking. Very relaxing. About 45 mins trail. We ended up at stop 9 again for a cuppa coffee and matcha before taking the bus back to main station (stop 1). We had booked our bus back to Shinjuku which departed at 4.40pm. We waited for the red line bus at stop 9 at 4.11pm but the buses were full and did not stop for us to board. We ended up missing our bus. However, we went to the ticket counter to explain our situation and they were very kind to allow us to take 5.10pm bus instead. We were back in Shinjuku by about 7pm. It is a must-go place to view Mount Fuji. Really love the view."
Beautiful,"A quiet and peaceful lake. You will get to view Mount Fuji from different angles, from ropeway or from the boat."
Lake Kawaguchiko and Shibasakura Pink Floss Festival,"After several visits to Tokyo over the years and getting our fill of the city sights. and even the outlying areas like Hakone, Yokohama and Kamakura, we timed our latest trip in time for the Shibazakura pink floss festival in early May 2019.  We booked our bus tickets to Kawaguchiko (Jpy 2,000/OW) on line and boarded early at the Expressway Bus Terminal across the Shinjuku Station south exit.  The ride took around two hours with a few stops along the way.  We got off at the Kawaguchiko Station and the first sight that greeted us was a partial view of Mt. Fuji. Beautiful!   I guess we were early and lucky since Mt. Fuji is shy in spring and usually covered by clouds most of the day.  We bought our round trip bus tickets at a booth right beside and off we went to the Shibasakura pink floss fields.  In one word, the sight that greeted us was AWESOME!  We saw a vast field of flowers in various shades of pink, mostly in dark pink.  They even had a miniature Mt Fuji with the real Mt Fuji in the far distance.  We circled the fields with a long photo stop at the viewing deck and a food stop at the far end.  Roasted corn, local food stuff and even skewered wagyu beef cubes.  Then back to Kaguchiko station by bus for a late lunch of the local specialty hoto fudo, a large bowl of hot udon and veggies soup for only around JPY 1,000 and enough for two persons.  Then we rode the sightseeing bus red line around the eastern shore of Lake Kawaguchiko, planning to ride the Kachi kachi rope way.  But there was a thunderstorm alert so the ropeway was closed.  We just satisfied ourselves with photos of the tranquil lake and the beautiful scenery.  Then back to the station to catch our ride back to Shinjuku.  We found out that the best unobstructed view of Mt, Fuji is along the Station fence on the right side.  Finally, back to Shinjuku and dinner.  Definitely worth the day trip!"
