title,text
Lake Pichola offers something for everyone!!,"Smooth quiet and therefore beautiful lake,it holds the breath of the city.the largest lake of the city.it is visible mostly from all the iconic places of Udaipur. Located in the heart of city.two islands Jag Mandir and Jag Niwas are located with this lake"
Exceptional,Udaipurvas we knew city of lakes. But pichola lake is best lake. All luxury hotels are on this lake. Dont miss the boat ride
Peaceful lake pichola,Lake pichola is a charm to eyes. It brings you to peace and gives very positive vibes. The view is wonderful with the Taj lake palace in the lake and with the aravallis surrounding the lake. If you are in Udaipur visit lake pichola every evening to forget your tiredness.
Good atmosphere,Lot of attractions near Lake pichola. Many cafe options which makes your walk memorable. Lake needs some cleaning though.
Udaipur - The city of Lakes .. Must visit place in Rajasthan,"This visit was done in Oct'2019 . This was a 2 day visit to Udaipur from New Delhi . I was accompanied by my kid and wife . If you are staying in Delhi you can reach Udaipur with one night travel by Indian Railways . Important ::This is a small tourist destination in Rajasthan -India .. The city sleeps soon after sunset ..Hence you need plan your travel accordingly so that you can finish most of your itinerary by afternoonWe reached Udaipur early morning I got a complimentary stay and food .. Thanks to one of my office friends .. and we were booked for Hotel Udaigarh.  It is budget friendly and on the bank of Lake Pichola … The Best part of this Hotel is this is a converted Haveli ( Earlier King's Mansion) and you will really fill the difference . We got our check in done well advance of time .  We had breakfast and went out to explore the city . One important tip - If you are staying in this property , please do not reserve any cab or Auto for Local sightseeing . Evertything is in walkable distance.The 1st place to visit is Jagdish Temple - It comes within 50 metre from the Property . After a short visit to the temple you should proceed to City Palace . Purchase your ticket  Hire a guide for a significant visit . The tour to city palace will take you at least 2 hours to complete . Once you are done with city Palace , take a lunch break and then proceed for Boating at Lake Pichola ...Amazing  view of the city from middle of the lake Please reach out for any assistance"
Beautiful,"The lake has a great sunset view in the evening. It is a paradise for the photographers and you can see all of them there. Though, lake can be visited from many sides. There are restaurants available near the lake sides offering food and beverage. Other facilities like boat rides etc are also available."
Placid & pleasant,"We enjoyed the morning boat ride on the picturesque lake, as it was calm and quiet. Lake Pichola is an artificial lake, flanked by islands, palaces, temples, mansions, ghats and restaurants. We cruised by the City Palace which looks enormous & appealing. We continued and passed by Jag Niwas, home to Lake Palace which is now converted into a heritage hotel, and then Jag Mandir, home to the famous Lake Garden Palace. Aside from just sightseeing, it was interesting to see people doing their daily chores along the edge of the lake, such as washing clothes, cleaning and bathing."
Day or Night......... Beautiful,This beautiful lake has many moods and colours. It is best appreciated from a boat on the water so you can see the Palaces and unusual buildings all around the lake.
Best place to change your mood,This place is best in terms of view and calmness. And best place to do adventurous things. This place is very much photogenic. Whatever you click it looks different every time you click.
Beautiful especially sunset time.,Very scenic. It's little more for evening trip bout worth it.Stop at I am JalMahal and garden around that was beautiful.
