title,text
Temple City,"Meenakshi Temple is a historic Hindu temple located on the southern bank of the Vaigai River in the temple city of Madurai, Tamil Nadu, India. It is dedicated to Meenakshi, a form of Parvati, and her consort"
Exploring the sleepless city,"The icon of Sleepless city - Madurai is Meenatchi Ammam temple, the street its brought you to the ancient days , a very high intensed street where you can't differciate the time. The temple itself holds its pride and history. The temple tower is the most interesting thing to watch after the chest of temple its really a worder and marvellous work of pandiyas.…"
Nature,If Taramangalam badrakali temple renamed kaliamman temple near mecheri the temple's octagonal tank Kali teertham gets water Madurai meenakshi Amman temple  Teppakulam gets water naturally. Introduce valai and kayal fish in the Kali teertham and Madurai meenakshi Amman temple will get green coloured water Teppakulam the water the colour of emerald.…
Temple run 1.0,One of the most beautifully maintained temples in India...huge queue.. even with paid ones to get in!!!  I wish there were boards explaining the history in English
No words could Express the beauty of this temple,"This temple is in the heart of the city and it has vast streets surrounded with different types of shops and hotels..  All the four main Gopurams have their own speciality..   If you want to look at all the sannithis and offer your prayers, then it will take at least  2-3 hours..  Muthu mandapam,  Potraamarai kulam, Viboothi pillayar,  Mukuruni pillayar,  Kasi viswanathar sannithi,  Vanni marathadi pillayar,   Sarabeshwarar statue,  Navagraha thottam,   Amman sannithi, Shivan sannithi,  Gayathri Devi statue, Sadayappan statue, oorthuva thaandavar And kaali statues, 1000 pillar Mahal, Third Tamil sangam, Ellaam valla siththar Sannithi, Kalyana sundareswarar sannithi Boova lingam, Saraswati and Mahalakshmi sannithis - are some of the main sannithis in this temple..  Come have your darshan and feel blessed.. …"
Very spiritual experience ,We have been to the Meenakshi Amman many times. This time we took in the night ceremony. It was great to participate in this ancient custom when the deity is put to sleep. The security is a bit stifling. Necessary I suppose. In the olden days we could take a camera inside. Now…
magnificent temple,Sri Meenakshy amman temple is a huge and magnificent temple with beautiful architectural marvel.With innumerable idols and a huge temple pond the temple is the central place of attraction at Madurai.
HISTORIC TEMPLE,"The historic temple is located on the southern bank of the Vaigai River in Madurai. Built sometime in mid of sixteenth century, the wonderful architecture of the place is renowned globally. Meenakshi Temple is primarily dedicated to Parvati, known as ‘Meenakshi’ and her spouse,…"
Vast must-see,"Heading South from Chennai we were glad this was the final temple destination otherwise the others might not have impressed! It really was the ultimate, with everything bigger, brighter, more spectacular. Allow plenty of time and if you don't have a guide be prepared to go round…"
Meenakshi Amman an architectural marvel to see.   What an effort and skill is needed to come up with this marvellous tem,"Those of interest in ancient architecture apart from the temple visit have to see this temple and spend time to see every bit of the marvellous, painstaking carvings of the pillars and structure.   Really a way beyond imagination of how they managed to lift the granite stones,…"
