title,text
Ancient Temple,"This ancient temple of Shiva is located Mardol in Ponda district. This deity is a kuladevata of many SB and GSB community residing in Goa, Karnataka and Maharashtra.If you are in this area on a Monday don't miss the Palaki Ustav and night Pooja which starts at 10 PM. goes on for an hour or so."
Hindu Devotional Temple,"It's a good place for hindu devotional followers. Nothing much on architecture of temple, it's normal."
"Lord Mangueshi, an incarnation of Lord Shiva","We were told that Lord Mangueshi is recognized as Lord Shiva only in the regions of Goa. Shri Mangueshi Temple is situated in the Ponda Taluka at a place called Priol. The distance of the Mangueshi temple from Panaji is 22 km.Mythology says that Lord Shiva had once visited the land distraught after losing heavily to his wife Parvati at a game of dice. As Goddess Parvati came looking for him, he tried to prank her by shape shifting into a tiger and frightening her. Seeing the predator in front of her, Parvati shrieked and prayed uttering the following words Trahi Mam Grisha, roughly translated this means “O Lord of the Mountains, save me”. Upon hearing her plea Shiva reverted to his usual form and returned to Kailash with her.Shiva came to be known as Lord Manguesh due Parvati’s words Mam Grisha that remains associated with the land and the tale. The original location where the temple was built is presently the location of village Cortalim, located at the south of the Zuari River. It was during the Portuguese invasion that the deity was shifted Priol, where it remains till this day."
Fantastic Temple ,During our visit to Goa happened to visit this nice temple which is built on 15th century. We had a very good Darshan. One of the few temples Built and lasted in Goa since the the Portuguese / Christian Era where they destroyed a lot of Hindu temples.
Beautiful Temple with a lots of shops nearby,One thing I noticed here is this this temple doesn't appear like a temple. The architecture of this temple is very unique and looks like a Portuguese church. The Blue and yellow colors make it more vibrant. The shopping area near this temple is much cheaper as compared to other places in Goa
GSB (Goud Saraswat Brahmin's) Landmark Temple Of  Goa.,"A) Location:This most famous temple in Goa is located at Mangeshi village in Priol, Ponda taluka:1) 1 km from Mardol2) 21 km from Panaji3) 26 km from MargaonB) Temple Impressed Me From Following Aspects:1. Very unique distinctive type of architecture.2. Neat & clean temple premises3. Free parking at three locations:a) Next to templeb) On the side of road from temple to main roadc) At the main road junction 4. Canteen facility providing simple veg food.5. Agrashala: Very affordable accommodation facility for pilgrims & devotees from GSB community only.6. Feet water wash system7. Free footwear stand 8. Washroom facility opposite the parking area beside temple9. There are food stalls, flowers garland stall, clothes shop, souvenir stalls, hotel on route from main road to temple. It 250 meter distance approx.10. Spacious temple surroundingsC) Mangeshi Temple:Wikipedia, trust & other websites provides excellent religious & historical information on this temple. Please read it on google search by typing Mangeshi Temple Goa.Temple is open from 6 am to 10 pm.This temple houses the kuldaivat (family deity) of GSB community.Temple belongs to Bhagwan Manguesh (Linga) an incarnation of Lord Shiva.There are shrines of Goddess Parvati & God Ganesha as well as shrines of many more deities in the temple &  temple premises. D) The Other Notable Things Are:1. Multistory Deepstambha (Lamp Tower)2. Chandelier inside the main hall of temple3. A water tank, the gate of it was closed during our visit4. Agrashala accommodation facility on left side, rear side & right side of temple5. One is not allowed to take darshan from very near inside the templeE) Photos:Photos inside main temple are totally prohibited. Visitors are allowed to take photos outside temple.I have attached photos with easy to understand tag & description system. Have a look at the photos to get the feel of those things in the photo.This is the biggest & famous landmark temple of Goa so it should be visited."
Clean Temple,I visited this place once in 1988 and now in 2019. No rush for Darshan. Also note shorts are not allowed to enter into the temple. They give some kind of cloth/Dhoti to wrap around and then you can enter. Its free of cost.
Nice Holy place,Divine place with divine shiva blessings. Nice place to worship lord shiva in village of legendary lata mangeshkar ji.
Could've been better.,This was a second visit to our family deity. We were lucky to be there for the afternoon Aarti. The security guards inside the temple were very rude to devotees and with the priests shout if you stand in front of the deity for a bit longer. This does make the experience unpleasant.
Divine place,"It is one of the biggest temples in Goa. Must visit if you are in Goa to get the blessings of God Shiva. Very beautiful temple. There used to be an ancient one at another location but it was destroyed by the Portuguese invaders during Goa inquisition. Somebody managed to hide the idol at the current location. This was a farm labourer called Mulkeshwar. You will find his temple behind the main temple. He used to smoke bidi, so devotees offer him bidi and is considered a form of the God himself.Temple also has a nice canteen where you can enjoy local vegetarian food right from breakfast to dinner."
