title,text
Beautiful,Manikaran sahib gurdwara is an experience beyond words. You experience some other world. It really makes me wonder on how guruji travelled that far. That is why they are gurus.There is a temple just adjacent to the gurdwara.  One can visit and seek thd blessings of the almighty. A dip in the hot water stream is a medicinal blessing.  It heals and refreshes you . The noise of the river Parvati is scary. However I feel that both the temple and gurdwara should be cleaned more. One may feel a little disappointment in that context.The route to the gurdwara is extremely scary and narrow as well. I was so scared that I kept praying both ways.
Very scenic,The gurudwara is very beautiful and at a very scenic place. The only problem is is that it becomes a bit overcrowded at the entrance to the gurudhara.
Manikaran Temple,From Manali to the Manikaran Temple  was very beautiful and scenic. The interesting part is the hot spring.  Is boiling hot . The temple place the food on the boiling spring water to keep it warm and cook.
Can be avoided,"We travelled from Manali which took almost 3hrs to reach one way. Since it was a day trip, bad roads made it very hectic. The entire journey was very scenic with the snow clapped mountains, river flowing adjacent to the road. (Which is as same as the road from Manali - Chandigarh). It can be a quick visit if you r staying at Kasol or if u r very religious. Coming to the gurudwara the washrooms lacked hygiene and weren't kept up properly n clean. As have seen other Gurudwaras this one didnt seemed to be clean as otherwise gurudwaras r known for it.Overall we waited there for hardly 10mins n started are journey back to Manali hence it turned to be costly n an entire day was spent mostly travelling."
Blessings,This place is a blessing to everyone wgo visits here ..completely mesmerised by the ambience around ..
"Beautiful place, but do a full survey before you get there!","It's a lovely place, great vibes to be here. However there is just no guidance around here. So you kinda feel lost or juts follow the crowd, which may not be the best thing to do. So, we wanted to take a dip in the hot water spring. Now here there are several places to take a dip, for men and women separately. 1. Ram Mandir : Very nice place. There are rooms where in you can take the hot water bath.2. Walk till the Gurudwara : Here also, several places mention that you can take a dip  with locker facility etc 3. Once you enter the gurudwara , there are 2 indoor pools. One for men and one for women. Here,there isnt any place to store your clothes properly neither are there sufficient lights. People also end up washing their clothes / shampooing their hair etc. So not quite sure, how pure is it to take an actual dip.4. Once you move out and cross the bridg, there's a pool outdoors.So this is confusing.You dont really know which is the right pool to get into.  We went in the 3rd one, just in belief of it being a spiritual place. Hope we had people around to explain and guide us to the right place. It would then be a great experience."
Beautiful sacred place,Beautiful sacred place with hot water stream flowing parallel to river Parvati. Must visit if u traveling to Manali or kasol.
Hot water spring,Here you can experience hot water spring. Connecting road to this place is bit small and you need to be more careful while driving.
Awesome to see...and gurdwara is one of the best temple to visit along with hot spring water...,Best place feel like heaven ...Come along with families and friends to visit gurdwara and hot water...
Gurudwara-hot spring-trmple in the middle of parvati valley,"Actually most Tourist are go there via manali, you can call this a one day outskirts tour from manali, you can also go from kasol , the only problem is the road conditions are not up to the mark as it is in the top hill region,once reached you can see the gurdwara, siva temple, the hot spring and the hot cave, and the main thing is the natural beauty, belief me ,whatever religious beliefs you have that can be kept aside in respect of the natural holiness of this place.a must go place...."
