title,text
A Must Visit,"Other than wildlife such as kangaroos, wombats, etc, there are also many viewing points on this island. Such as the fossil Cliffs. There are also Tasmania Devil's here but they only come out at night and/or stay away from human so it is not easy to spot them. It's probably easier to spot leopard in a safari. Nonetheless, loved all the nature that this island offers."
"Great day, well worth it","We did a day trip from Triabunna and hired bikes.The ferry trip was pleasant and then we had a great day exploring the painted cliffs (before the tide comes in), fossils cliffs and the history and scenery.Wombats are in abundance.Make sure you bring food and water, as there is nothing to purchase on island.Would love to stay a few days camping or in the old bunk rooms."
Well...there is not so much to say about it....,"If you like walks, wildlife, historic sites and / or nature in general, Maria Island is of course a place you should visit. Tasmania itself is a beautiful, impressive island, and Maria Island seems to be a smaller version of it, where Mother Nature squeezed all her wonders in a smaller, more compact version. Walks of many diffrent grades with impressive coastal views and beaches (and / or mountains), bike rental (or bring your own), swimming, wildlife watching, there are so many options you can chose from, that a one day trip (which is actually only a few hours) will only scratch the surface of what MI has to offer. The only recommendation i could give: stay overnight and take your time! Walk around the airfield-meadows during sunset and enjoy the real beauty of the Island with less tourists and more wildlife, after the last ferry has left. Sitting there among Roos and Wombats and watching the sunset in silence is truly a priceless experience. And especially after dark you may hear some strange growlings across the island...for staying overnight I personally would prefer the campground over the convict-building, just because of the wild, nocturnal visitors that my be around then and being closer to nature, anyway...but stow away your foods and rubbish in the bins provided, there are many curious Possums and Pademelons around at the campsite. Or other creatures. The facilities there make it easier to stay a night or two. Or even more. You could also camp in a more remote area at French Farm, to have even more privacy. Luckily, there are no shops (yet) on MI, so bring your own supplies with you and be aware, that you have to take all your rubbish back with you as there is no disposal facility on the island. And do not expect to find a stable phone coverage or even data-able connection there.Overall, MI is truly amazing and i give a full recommendation for all nature lovers.The only thing i would wish is, that the Tassie Government would strictly limit / reduce the amount of daily / and overnight visitors. Also the behaviour of some ""special"" visitors should be monitored much stricter and also be fined easier (chasing animals with selfie sticks etc.). You can get nice pictures by approaching quietly and gently to the wildlife, without scaring or cornering them.  If you behave correctly, they will most probably let you come close enough to get some good shots - and won´t be bothered. So bring a tele-lense camera instead of a smartphone. There is absolutely no need to do ""Wombat-Selfies"" or running after their Joeys!  But i guess, MI has sadly become an too important business to really enforce some stricter regulations. I just hope they won´t open hotels and restaurants on this island one day in the future and that it will keep its natural charme, despite the huge number of people going there. So: Go there! You better should! But if you do, please always show the respect that this island and its furry locals deserve and you will be happy when leaving, looking forward to visiting again."
Amazing history and abundant wombats.,"Great commentary on the ferry ride over.Rainy day but rugged up and took umbrella as minimal shelter when walking around.Wombats roam freely as do cape barren geese etc.   Everyone now asked to stay 2 metres distance from all wildlife as preservation measure. History of settlement was fascinating.  We walked to the painted cliffs - amazing but best viewed after 12.30pm and prior to 4pm when tide is out.  We found leaving on 9am ferry and returning on 2pm ferry enough time to look around settlement, walk to cliffs and take time to stop and eat lunch.  Take food and drink as nowhere to purchase on island.Would definitely recommend."
Magical Maria,"This island is truly magical ! You have to get there by ferry as cars are not allowed. Only Wildlife Tasmania have vehicles on the island. You can walk or cycle around the island itself and marvel in the wildlife (wombats, geese), the rocks and the beach. Try and visit on a clear, warm day and enjoy the tranquility and fresh air. Wombats come out in the afternoon, the local chooks and geese are out all day. You can stay at the backpackers which used to be accomodation places for convicts back in the old day."
Impressive sightseeing. ,"Amazing colorful rocks. Nice one day visit.All done by bicycle. No one place to eat. However, ruins are not interested at all.Worth to visit coast, beaches and views"
"Brilliant tour, cannot recommend more highly","This day was so much fun. Started with a great coffee in Triabunna then on our journey with two great crew who looked after us all day. We saw seals close up, sea eagles, we went inside sea caves and ate delicious food. We walked on Maria Island with the wombats and the kangaroos and were lucky enough to see amazing cliffs and go for a swim. This is by far the best thing you can do in Tassie. Can't recommend more. Have the best time! I know you will!"
Fabulous Views and Wildlife ,"We took the 9 a.m. ferry and returned on the 15:30 which gave us plenty of time to visit the old prisoner grounds and read the history of the place. Also walked to the painted and fossil cliffs. Go to the painted cliffs at low tide for best access to the spectacular cliffs. They are some of the most picturesque sandstone I've ever seen. Walking  around the island we saw plentiful wildlife including kangaroos, wallabies and lots of wombats that were foraging during the day. Coastal vistas are stunning at different points along the walk. There is a place to rent bicycles once you arrive on the island. The ferry ride isn't very long but if you are prone to seasickness take precautions. Maria island is definitely one of our Tasmania trip highlights."
Wonderful place,"Enjoyed the ferry ride, especially on way back when we had cheese, crackers and wine from the kiosk - real glasses and even had a little timber cheese board. On the jetty was a coffee van which made pretty good coffee. We took our own bikes so on the island we were able to see the Fossil and Painted Cliffs as well as Darlington. We accidentally went the ""wrong way"" to the Fossil Cliffs, heading there up a very steep hill from Darlington, instead of from the ferry jetty. The benefit of this though was a great view of the massive sea cliffs and the Bishop and Clerk. One thing I wished I could have spent more time in was the interpretive centre near the jetty. That was really good but I only had a quick look before getting on the return ferry. Saw a few wombats up close and personal including a baby one! One idea for national parks is to set up a kiosk on the island."
Wombats everywhere,"We got the 9AM ferry and returned at 15:30 which was plenty of time to cycle around the island. Wombats are everywhere, wallabies a bit more shy but also there in abundance. No food or drink at all on the island.Bike hire was chaotic with no obvious system in place, and a fairly painstaking cycling proficiency test before you are allowed your bike... but a really good day."
"History, Wildlife, Scenery and Adventure","As a participant in a Uni course, I spent 7 fantastic days camped on the Island. Although absorbed in the long day and night elements of the course, it was impossible to not to absorb the Island's scenery, wildlife and history. Day trippers, campers and school groups likewise were all observed to be engrossed in what the Island had to offer. Self guided cycling and easy to moderate walks look to be the most popular activities but, as there are no shops, you need to self cater. Bikes can be carried on the ferry or hired and respite from the elements can be had in the old convict dining room."
Maria Cycle Adventure,"Took 9am ferry, departed back to mainland on 2 pm. You need to book your bikes at least the day before either online or in person at the visitor centre together with ferry ticket. There were plenty of disappointed tourists who tried to get bikes on the day and none available ... very fun way to cover the island.Having said that the old guy organising the bike hire is a bit disorganised and a bit of a fascist (this was a penal colony after all). He didn’t have the bikes ready for the boat arrival (rookie error) and then insisted on a single file bike riding test for each hirer where he failed people multiple times for not changing gears regularly... I mean really, this is supposed to be a customer facing business not a drivers license test.Anyway when you get custody of the 2 wheeler it is great fun and awesome sights are scattered across the island (fossil and painted cliffs, a gorgeous wombat). Great day out."
