title,text
Very important site but with poor interpretation,This is clearly a very important historic site with a very interesting historic story to tell. I felt however that the interpretation could’ve been a lot better and some of the Rooms were closed due to covid restrictions. The artefacts there are very ancient and amazing but have poor lighting and interpretation.
Very spiritual ,This was my second time. And in 17 years the area has changed vastly. The museum is still really pretty and interesting filled with great history.
"Busy, quick and easy","We were staying across the street from the Muzesi and was one of the places we wanted to see.  As this is a key place for Muslims (so we were told) is it pretty busy.  There is a big square with a Cami (which is also beautiful).  There really isnt much to the Museum but worth the trip.  You go into the actual musuem and see many ancient writing and manuscripts.  As you enter the main part, there are lots of tombs of Rumi's followers.  Were Rumi is actually laid to rest is quite beautiful.  Mosaic tile line the floor to ceiling in bright beautiful colors.  You will see people what looks like in prayer.  There are some of his books, some beautiful Koran's on display and then you are done.  It probably took us 20 minutes.It is a major attraction so you will have vendors and small kids asking for money/food but nothing real aggressive"
Beautiful museum but lack of social distancing (visit by end of August 2020 / weekend),"Free entry museum with deep history of Mevlâna, a Persian sufi mystic or also known as Rumi. Especially after reading Ahmet Umit's novel ""Dervish Gate"" I wished to witness and learn more the history by visiting the museum not less than 1 hour. Unfortunately my visit during one weekend by end of August 2020 was only for very short time. I wasn't able to see the detail, read the information, or even to adore the beautiful ceilings - it was so crowded and no social distancing at all. Although the museum has its marking of 1.5 meters, people just forgot. Maybe to limit the number of visitors could be good idea during the period of global pandemic."
If in Konya must see,"Brilliant museum, nice cafe inside to get cold drinks, best of all ENTRY IS FREE! very tidy and clean inside."
What a man! What a poet!,"We really enjoyed our walk through the museum. I rated it 4/5 because I thought it just didn't do him right.  Poems, art, interaction, would all be helpful.   Rather than celebrating Rumi's life, it left me feeling somber."
Welcoming and educational!,This was an interesting and lovely place to visit.  A soulful combination of spiritual and educational especially for those of us who didn't know much about Sufism.  The rooms with the information and description were clear and well done and managed to hold the interest of our children.  Visiting the main tomb itself was calm and spiritual.Very well worth visiting.
School of the Dervis,"This museum was function as boarding school for people who interested in learning Sufism and aspire to be a Dervis.The museum complex exhibit example of the Dervis student bedroom, study room, and ancient Al Qur'an copy among other things.There were thombs of several key figures in Sufism in the main building. Please be mindful of your clothing when entering the premise. Wearing clothes which is not too reavealing will be your best bet."
Mevlana...,"you should go yo this place for sence, peace , hug to cosmos. Humans have to Stopped wars on the world."
Unusual structure!,"I didn't know much of anything about Mevlana before visiting Konya, and I can't say as I know much more now after visiting, but the mausoleum is a fabulous, unusual building.  Haven't seen such a large, green structure like this elsewhere.  Inside, it was very interesting to see the devotees in almost cult-like manner visiting the mausoleum."
A Beautiful Place,"Must visit attraction in Konya1. If you visit Konya and decided not to visit this mueum, I would strongly advise you not to go to Konya2. Inside, you can learn about the magnificent history of one of the greatest thinkers of Anatolia, Rumi. 3. Remeber to watch the sema dance inside Mevlana Museum, it is definitely worth to watch and it performs on every saturday night."
Fantastic sufi,It was mystic museum very good city and kind place if u visit turkey I really advise to visit this museum
Truly Beautiful,"Definitely a must do in Konya.  We visited on a snowy cold afternoon, which added to its beauty.  So much history here and a wonderful insight into the Sufi. Read up on Rumi and his writings - an incredible man.  I was very moved."
Such a mysterious place,"You have a great chance to visit an old city from Anatolia of 13th century. You will see the letters, original books, some beatiful simulations of old life and very traditional customs and dressings from the family and friends of Mevalana Celaleddin Rumi, a famous writer and philosopher in Anatolia.One will not forget this mysterious place in Konya"
so peacefull,the first time i got into the tomb i couldn't stop crying and it was all because of the amazing atmosphere and the voice of ney playing in the yard. i never forget the feeling
Mausoleum and museum commemorating a great religious master,"This museum (and pilgrimage center) commemorates the teachings of Celaleddin Rumi (later known as Mevlâna = my master).  Rumi was a 13th-century Persian poet,  Islamic scholar, theologian, and Sufi mystic originally from northeast Iran, but his influence transcends national borders and ethnic divisions.  Rumi's works are written mostly in Persian, and occasionally in Turkish, Arabic, and Greek; his Masnavi (Mathnawi), composed in Konya, is considered one of the greatest poems of the Persian language. His works are widely read today by Iranians, Tajiks, Turks, Greeks, Pashtuns, other Central Asian Muslims.  His teachings inspired the whirling dervishes.  The pilgrimage site is surrounded by a garden; entry is through the Dervişan Kapısı (Gate of the Dervishes). The courtyard has an ablutions fountain in the center, with Rumi's mausoleum to the left and a former whirling dervish lodge to the right (which has been converted into a museum).  At the entrance to the mausoleum, the Ottoman silver door bears the inscription, ""Those who enter here incomplete will come out perfect"".  An outer room contains six sarcophagi belong to religious supporters who followed Rumi from Afghanistan.  The sumptuously-decorated inner room (under the fluted dome) contains the tombs of  Mevlâna (the largest), flanked by his son Sultan Veled and those of other eminent dervishes. They are all covered in beautifully embroidered velvet shrouds;  Mevlâna's and Veled 's bear huge turbans, symbols of spiritual authority.  Mevlâna's tomb dates from Seljuk times. The mosque and semahane (hall where whirling ceremonies were held), were added later by Ottoman sultans (Mehmet the Conqueror was a Mevlevi adherent and Süleyman the Magnificent made charitable donations to the order).  The semahane to the left of the sepulchral chamber contains exhibits such as the original copy of the Mathnawi, Mevlâna's cape and other clothing, a 9th-century gazelle-skin Christian manuscript, a tiny copy of the Koran, and a casket containing strands of Mohammed's beard. The matbah (kitchen) of the lodge is in the southwest corner of the courtyard. It is furnished as it would have been in Mevlâna's day, with mannequins dressed as dervishes.  The cells where the dervishes lived run along the northern and western sides of the courtyard. Inside are a host of ethnographic displays elucidating dervish life.  Beside the museum is the Selimiye Cami, with a fluted dome of turquoise tiles. A visit early on a weekday can avoid some of the crowds visiting later in the day.  The museum is open from 9am to 6pm (closes at 5pm Oct to Apr), with no entry fee; audio guide ₺10).  Visitors to the mausoleum must don shoe coverings (provided free of charge) as a sign of respect."
Divinity can be felt ,"As I stood in front of the great Melvana’s tomb, I prayed. I could feel the divine energy- truly a wonderful feeling. I am grateful to have visited this site."
Ten days travelling to konya,"Lovely short trip to family,mevlana and business.In the life everyone one time visit and  spend few day to here."
Pray for Hz. Mevlana ,"Belief, faith, love, trust without any hesitation or questioning to Allah. Hz. Mevlana was one of the great guide for human-beings and will be remembered even in heaven."
Superb museum,Really very interesting and learnt a lot about the lives of many famous men. Audio guide was extremely helpful.
Beautiful place,Free enter. Both cultural and religious place. A lots of tourists. Museum with a lots of objects :) A beautiful place !
Beautiful and interesting place to visit,This was a beautiful and interesting place to visit. I really enjoyed learning about Mevlana who I learned is a 13th century Muslim saint and Anatolian mystic known for his poems and words of wisdom. There is a solemnity to this site and I very much enjoyed this location. There is a beautiful garden and several buildings to visit showing how the order lived. There is a dress code and women should cover their heads with a scarf.
Mevlâna / Rumi,"Once you are at Konya, it is a must to visit the Mevlana museum to learn how a rose garden became during times a place where mausoleum was built to honour Jalal ad-Din Muhammad Rumi - a 13th century Persian poet, scholar, theologian and a Persian mystic also known as Mevlâna. All the interior of the whole complex is magnificent and very informative, it is full of history. In different halls you can see the musical instruments, a collection of Korans, manuscritps, dervish clothes and many many more items. The most significant is of course the sarcophagus of Mevlâna."
Konya,"The old town, modernized today, is a good city for poets and Sufis, For me, the turquoise dome is just that"
Beautiful!,"This museum is beautifully set out.  The displays are tastefully arranged and English translations are provided.  The collection of ancient Koran’s and Christian manuscripts, so intricately decorated were inspiring. The building itself is extremely attractive - warm stone, leaded domes, contrasting turquoise blue tiles and pretty gardens. We visited on a quiet day in November and consequently could browse at our leisure."
Uplifting for the soul,If you are in Konya you cannot leave without going to the Mevlana Museum which houses the tomb of Jalal Ud Din Rumi. This is hugely popular tourist spot for both muslims and non muslims and well worth the visit. The architecture of the place and where tomb is housed have been beautifully created and kept.This is a top of the list place to visit if you are in Konya to see the resting place of a person whose influence went beyond those who followed the same faith. Entrance is also free.
Very interenting,Great place to visit when in Konya. Lots of lots of information about the origins of the dervishes and the mevlana ramifications of the islam. It is impressive to see the beautiful books all written in Arabic figures. So beautiful
Mevlana culture and history in majestic setting,"The place to visit to understand Mevlana and Sufi teachings. Ladies must wear scarfs and gentlemen trousers, not shorts."
Spiritual,"The Mosque where the tomb of the most famous Mevlevi Dervish “Mevlana Jalaladdin Rumi” is located with some other dervishes. The entrance is also free, and has an easy access."
Mausoleum of Jalal ad-Din Muhammad Rumi |  Sufi Lodge turned Museum,"A truly beautiful experience, architecture, nature and objects meet here to give a pleasant experience for visitors. The museum gets quite busy, particularly in front of Rumi's tomb where numerous people stand to pray and take photos. It is worth staying for a half-day here, in order to enjoy all the place has to offer. Entrance is free."
Distinctive museum,Would recommend to see this. It is free to go in. The museum is well laid out and all the displays have English translation. Very informative. We just happened to catch it on a a busy Sunday when it was the Mevlana birthday and so had a lot of followers.
Peaceful,"The Mevlâna Museum, located in Konya, Turkey, is the mausoleum of Jalal ad-Din Muhammad Rumi, a Persian Sufi mystic also known as Mevlâna."
Wonderful free attraction,"Even though Konya is not a very (non-Turkish) touristic city, we were very pleasantly surprised to find this attraction right in the city center. This museum/mosque/tomb combo is even free to enter and has quite a few very impressive items.It includes Rumi’s tomb, it apparently includes the (/a piece of?) beard of Muhammed, a lot of information about the followers of Mevlana (Rumi) and a lot of information about the life of Rumi himself.For those that don’t know, Rumi was a Persian poet, scholar and theologist, who lived in the 13th century. To this day, many people follow his teachings, as such, we definitely recommend more offline reading about him to understand even more when visiting this museum.Recommended program? Absolutely. Suggested duration: around 2 hours (although it is quite subjective as you can imagine)."
so beautiful,"a very nice spiritual place, and people there are so friendly. i just like to go there again and spend more than just one day. mostly recommended."
Very representative of a inspirational life!,The museum has all the information about Rami’s inspirational life in the audio guide and seeing all of it at Mevlana was valuable.
My First Visit to a Mosque was A Wonderful Experience,"Konya was our second stop after Capadocia during our group tour to Turkey. This Mosque cum Museum gave a wonderful experience, as our Guide (a Germany Born Turkish) explained various places inside the museum. Very peaceful place and well managed one."
A gem to discover ,"My husband and I went to Konya only to see Molavi and Shams-e-Tabriz museum and tomb. Although we couldn’t see Shams’s symbolic tomb due to restoration of the site, but our time in Molavi museum was amazing as we have especial interest in his work and his life. I highly recommend this place if you also have interest in this great man."
Beautiful afternoon,Spend over half day..museum Resting place of maulana rumi. It's a tourist spot as well as having a special place in the hearts of sufi's. Gift shop. Very peaceful. Many shops around the area with gifts to buy.
Mystical and Peaceful Place,"The Museum consist of indoor and outdoor area, gives you a comprehensive overview about the history and life of dervishes and Rumi, the great poet and pioneer of the Islamic mysticism. Highly recommended."
The best organized place in Konya,It was a pleasure to visit this museum and the tomb of Mevlana. Everything is very well organized inside every room with explanations in Turkish and English. The museum shop has maNy cute things and good books you won't find in any other local bookstore and the people working there are very friendly and respectful.
A mystical place but crowded,"This is a magnificent tomb of a revered personality and you can clearly see the respect afforded by the locals. The museum is ok but could do with more info in English. The food shops around the square aren’t great, so avoid them."
Very interesting place to visit.,Go early to avoid the crowds.  Busy but interesting.  You don’t take off your shoes and wear plastic covers instead and there was no need to take a scarf to cover our heads.
Mevlana Muzesi Shrine,"I visited while i was on my business trip over there, i read the history about that pious personality and having abundant of  knowledge. The shrine was the one of masterpiece of all around the world. I felt the peace over there due to calm environment. But the special thank to Mustafa who suggested me to visit this place. For cardio  satisfaction must visit when you have chance."
Crowded but nice,"Was very much looking forward to visiting the museum, but was a little disappointed. Very crowded and very little information in English, was difficult to get an idea of what I was actually looking at. However, it was a beautiful place."
Pilgrimage site,"This museum resembles a mosque from outside, but is preserved as a museum. It is very picturesque on the outside. You don’t have to remove your shoes to enter, but are required to put thin plastic covers over your shoes when you enter the main section of the museum that contains the mausoleums of Celaleddin Rumi, his son, and many other dervishes. This area is highly decorated and very beautiful. The second room contains several ornate Korans and reportedly the beard of Mohammed in a box. Once you leave these rooms, you can remove the plastic covering from your shoes. The rest of the complex is made up of rooms that the Dervish students used and now contain examples of the various stages that a person takes to become a Dervish. Each cell is explained with a placard in Turkish and English, but they were not as interesting as the main building."
Decent museum,"That s one of my favourite museums in Turkey! If you are interested in Rumi and the life of dervishes, perfect place to visit. I think what makes is so beautiful is simplicity it has!"
Wisdom of the religion,"You should go and feel the mystical atmossphere there. And of course, before you go there you must read the info about the ""Mevlana"""
Odd feelings ,Unlike many tombs in Turkey the resting place of Rumi has the flute played during the day which is annoying. Best times to go is either early morning or before it closes. The place can get crowded and with selfie maniacs the aura of the place can be a let down.
A spiritual journey ,I am nothingYou are nothingThere is nothingThere is only loveDon’t waist your life withNothinThere is only loveRumi
And it's free!,Such a wonderful experience to visit not only Rumi's tomb but also the exhibits and reconstructions surrounding it.  I was amazed that there was no charge.  Please show the respect of dressing appropriately.  I was embarrassed at how some of the tourists were dressed.
"Beautiful, mystical place","Loaded with history, tradition, education, learnings, legend and philosophy. It helps understand why the whirling dervishes whirl. We had the precious help of Nazif nazifdemirci@yahoo.com who accompanied us through 3 mosques and explained absolutely everything to us. Nazif is knowledgeable, has a storyteller's gift and, also, owns an interesting nomad carpet store. Look for Nazif if you want to enjoy Konya. You won't regret it."
soulful ,excellent place to learn about some of the history of Islam and Sufism. The devotion of dervishes and sufis to spread islam. Mouvlana tomb is so peaceful and speaks volume in silence.
The history of Sufi,Mevlana Museum. You may do Shalat here.This place has a small cafe. You can sit there. Near the exit door.So many history inside the museum
A must visit in town,Plenty of historical issues in the area. Amazing pieces in the museum plus very peaceful and respective for all people.
Very Spiritual and Peaceful,This is a must see if you are  in Konya. The place is very easy to find as everyone knows where it is. Ask for Mevlana Rumi Museum
MEVLANA RUMI MUSEUM AND TOMB,"Mevlana Museum, incredible, social complex is located on Konya. It is famous for Mevlana Mausoleum belonging to well known great dervish, poet and pioneer of the Islamic mysticism, Mevlana Jelaleddin Rumi. Also, this magnificent structure includes many sections such as outdoors, Dervish Cells, Kitchen, Yard, Mosque, Library, Chant Room, Water-tank with a fountain, Semahane and Çerag Door. Mevlana Museum set place various parts which grabs the visitors with its mystic and fantastic atmosphere.It s the 2nd most visited place in Turkey."
Great Iranian- Turkish Poet,"this is the place for the ones who believe mevlana teachings and poems .. really spiritual , very peacefull"
"A free museum, the Mevlana's tomb","This museum is a ""must see"" in Konya and attracts a lot of visitors, mainly Turkish but also from all corners of the world. It is very crowded and somewhat claustrophobic."
AR,Loved loved the museum! Although very busy - there was beautiful music playing and amazing energy!We were fortunate to be there on Thursday and watched the dervishes do their magic
Beautiful ,"Beautiful mausoleum/museum surrounded by a small park is a place to find pieces of history, art and tradition. Entrance is free of charge."
Great  place  I relly love it ,Amazing place. They are so fantastic and very disciplined. Everybody are dancing gracefully.   They do the show every Saturday night and it’s free
Lots of things related to religion,"Unless you are keen to know about the local religion, otherwise give the place a miss. The tombs of previous religious leaders are also found here with lots of Arabic inscriptions. Personally speaking, I am not keen but as I am travelling on a group tour, I just simply follow the group."
Good to be there,I am glad to have visited this museum. It is about Mevlana and his style of life at his time. It is free enterence and there is a feeling for everyone to share. Must seen!
Take your time...,"To read the written explanations , or better  rent headphones. The history of Mevlana is very important. Well explained and displayed."
Crowded but worth a stop,"When in Turkey and on your way to Konya, it is worthwhile to stop at the mosque dedicated to the history of the Dervishes.  Beautiful interior and seems to be a pilgrimage place of sorts for Sufi.  Interesting!"
Very Nice Set of Buildings,"A Museum housed in a very nice set of buildings dedicated to the history of the Mewlewiyya Order of Dervishes.I thought the Whirling Dervishes were just a traditional dance, but found out that it was a culture."
Stunning,The tomb of Rumi for me was a place not to be missed. My reason for visiting Konya and worth every moment. Amazing workmanship and stunningly beautiful.
Mevlana Mosque and Museum,You feel your heart with joy and you thank to life. Visiting Mevlana mUseum is the heart of reason for Konya visit
If you are near... must visit :),"If you are beckpecker, or ..  you should know, this is free of charge. Very small, yet vivid way to show some previous life of dervish. Worth to visit!"
"Excellent well laid out museum, the Mevlana Tomb is something special","The whole museum complex (which is free), has been been very thoughtfully laid out. The rooms around the main courtyard give very good information and display of its history.Inside the main museum which houses the Mevlana Tomb is very impressive and the very ancient books on display are captivating.Don't forget to look up to the dome ceiling which is elaborately decorated.In summary, we were so glad we made the journey to visit his special place."
Astonishing museum!,Every one who’s interested in the life of Mawlana Jalaluddine Al-Roumi must visit this place which takes you back into history to see how the life of Sufi’s during this period of history! Highly advisable for people whose interested in soufism!
Late middle age Anatolian religious center ,"At the heart of Konya, Mevlana is calling you see and hear. Mevlana is calling all human beings to love and understanding. Just visit this place and learn the details of his life and philosophy. He established a worlwide valid pholosophy beyond all religions. Discover this center."
A must of traveling west to east,Kings was always part of our itinerary in Turkey. I'm not sure the test of the tourists really understand the significance of Mavlana Rumi in present day Islam. It was a spiritual experience to roam the same court guards and lodgings where Mavlana himself and his students roamed and lived.
Mevlana trip,The life and times of the Sufi are here for us to witness. The hardships they endured to understand the truths of life are mindboggling. The crowd was very patient and engrossed in deep reverence for the holy one. ☮️ is what you expected and got.
the best thing to see in Konya,"Mevlana (a turkisation of mawlana, ""our lord"" in Arabic) was a mystic coming from Afghanistan who settled in Turkey after fleeing the Mongols, in the 13th century.The sanctuary is very nice and varied. Its characteristic part is the turquoise dome over Mevlana's grave. The inside is also very nice, especially in that part, nicely, but not overly, lit and ornamented, a lot of atmosphere in this place.I believe it is one of the best places to see in Turkey."
Unexpected Pleasure,"Included as part of our Gate 1 tour. Great to have a guide to explain and give background. The exhibits really conveyed the belief that all should be welcomed, respected and cared for. What a unique religious approach. Sure turns around the perception of radical Islam."
Heart of Konya!,"When you're in Konya, you have very probably choose this city for visiting Mevlana Muzesi. The place of spirituality and tranquility! What else do you need?"
Very pleasant spiritual atmosphere,Very pleasant spiritual atmosphere. I didn't visit the place during its festival time and visited the place just on my way towards western Turkey. I suppose one must visit the place throughout their religious festival time in Fall which I can imagine how crowded it would be.
Magical Supreme Power Place,"Even one's in a life time everybody should visit this magical supreme power place...When you visit please stay front of Rumi minimum 30 minute and feel and talk with energy with open heart...All this area you can feel Rumi presence very powerfull!!! As I exprience he is conciousness and energy if you open your heart to him, H can get connect with you...If you stay minimum one week there you can exprience he is showing he is love to you... Ofcourse if you"
God and love,A must visit! It is the best place for people looking to trace the cultural and historical lineage of the Sufism. You feel so much spiritualiy and energy at this place. Best experience ever!
