title,text
Lots of hype probably didn't help,Unfortunately less tourists during this COVID time means a smaller market and a little underwhelming after hearing so much about it. Sunset still pulled us through!
Markets,"Great spot, although very crowded. Lots of food options and then nice beach to watch the sunset. Good parking available and easy to find."
Pool pleasure,"Stunning location, amazing infinity pool. Food excellent and Sangria was fabulous. Very laid back atmosphere"
Thumbs up!,Great food stalls and sunset . I could not decide on what I wanted to eat after walking through the whole markets as every stall offered something different and smelt amazing . So much choice . A must do in Darwin ... don’t miss out on this one .
Love the mindil beach markets,"The mindil beach markets are awesome! Worst thing about it is making a choice of which delicious foods to eat then rolling back to your car you're so full !! Take plenty of cash as the crafts , clothes and jewellery are beautiful and some stalls give a discount for cash."
Sunday night markets !!!,"Great spot to catch the sunset ! Cool people hung out celebrating bdays , anniversaries , couples just having a nice romantic moment , families creating memories ! There’s this amazing food market happening every Sunday with the most amazing vibe ! It’s really worth the visit give it a go !"
COVID 19 ,"It was a pity but food was bad and very much a let down , putting it down to the virus. Only good really, went there many years ago and it was banging"
market,covid had made this a different experience. Went from the market to the sailing club for a drink. Sunsets along her are really great.
SUNSET MARKETS,Absolutely lovely lots of great food stallsAnd souvenirs..Purchased great fridge magnets there The sunset is so beautiful I thought I was in heaven...
Stunning sunsets,Enjoyed the Sunday sunset markets at Mindil Beach and finished the evening watching the sun set over the Arafura Sea...just stunning!  Lots of different cuisines on offer and a few varied stalls...mainly clothing. The sunsets are a definite must-do any night of the week!
Beautiful Sunsets,Markets were a bit under whelming but Covid can be blamed for this.Still a great Darwin Sunset at the end of the day.😎
A Darwin “must do”,A not to be missed Darwin experience. Savour top end delights as you watch the sunset over the ocean.Take chairs or a blanket and soak up the atmosphere.
Amazing markets,These markets are a must visit. the smells of food from a round the world tempts your taste. Only open on Sundays due to Covid.
Mixed feelings,"We enjoyed the ambience of the many eateries on offer however not as many craft stalls as expected.  After purchasing our meal and sitting on the lawns to eat it, we were politely told to move on as our little dog with us was not permitted."
Must see,One of the mandatory stops to enjoy sunset on the beach especially if the market is on! (Be aware not recommended to swim) Love it
A pretty beach,We walked onto the beach with our dogs at about 4.30pm. The sand was clean. The beach was almost empty. There were lifesavers but they were not busy. The surf was up. Not quite Sydney standards though. Maybe 15cm waves. The water was very warm. The view extends to the horizon so it is a lovely spot to watch the sun set into the sea.
Love of Mindil Beach Markets,The huge variation of food at great prices & the local band playing . We loved all the different souvenirs that were cheap & attractive & the atmosphere was fantastic !
Spectacular Sunset,The sunset is spectacular. Absolutely stunning but the markets need an overhaul. Many stalls are old and run down.
fine,the thing that i like here is not the beach but instead the hustle and bustle in the market of course
Top market experience,Attend often during the dry season. Very laidback atmosphere with lots of variety of food outlets and stalls.
The best sunset ever,"If you want to see the best sunset of your life it is here, great location to see it, long expansive beach behind the casino."
Meditative moments and serene vistas,"Mindil Beach during March is very quiet and peaceful. Thus, it is a great meditative environment. I dumped my cats' cremated ashes here four years ago, so I paid homage to them during this recent visit. The beautiful mangroves and calm tides are soothing to the soul.  This paradise also honors the great Aboriginal communities."
Sunset Paradise.,Not really much to say. Fantastic sunset. Sit on the beach or the grass. Maybe bring something to eat or drink. Easy free car parking. Pictures say it all...👌👍
Fabulous!,"We're so glad we arranged to catch up with a friend here while we were traveling around Australia.I'd actually never heard of this market, but was I surprised.So much to see, do and eat!We really enjoyed watching the sunset here and the stall holder's were so welcoming and happy.If you haven't been here yet, put it on your list of things to do, you won't regret it."
Beautiful ,Went just for a look as friends have raved about itSunset was just beautiful You can actually watch the sun actually going down.If you blink you miss itThe colours are stunning
Definitely check out Mindil Beach!,"While in Darwin it is a must see to check out Mindil Beach. It is located very close to the Casino. The views are spectacular, but not many people go here to swim in the water, but it is most definitely worth checking out. I was here during the wet season in the summer so this could be another reason why people were not in the sea."
A sunset at Mindil,"Amazing sunsets, visited  with the family. Take a blanket, some child beer and watch the sun go done while sitting on he grass. ( Put on some bug-spray !!)"
Sunset is best,"It was a great experience. Right on the beach, sat in back of 4wd's and beach chairs to watch the sunset and have a beer & wine with friends. A highlight of our time in Darwin."
Very quiet,"I took a walk to the beach from my hotel. It was a very hot day and there was no shade on the beach so I couldn’t stay very long. The tide was also very far out, but probably best due to the jellyfish! Got some nice pictures of the beach."
Excellent resort and service,"Although we came while they were doing renovations and painting, the deal and services provided were excellent. The Vue was a good place to eat and rhe food was plentiful.Highly recommended once they finished the renovations."
Morning Walk,"We had heard so much about about this beach so decided to check it out. We parked for free in the Casino parking lot then went down. Tide was out so we did a bit of beach combing, picking up sea glass as we found it. Some locals with their dogs on the beach. Toilets and spot to wash feet available off the beach."
Sundowner on the beach,"How good is this, a sundowner on the beach, people come from around the world to see this, and this was winter"
Best Sunset Vantage point,A great place to watch the sun disappear and a 'must do' on your trip to Darwin!   Drop in at the Mindil Beach Markets (April - October) for one of the best experiences in the Top End.
Great place for an evening eating experience,"This is a seasonal place and we managed to visit on the last week before the annual closure. It’s located on the beach foreshore, lots of parking and easy access from the CBD. Whatever your food desires you are sure to find it here. Stroll along and check the stalls out before making your choice. Reasonable priced this is the place for an early evening feed. Recommended Sri Lanka curry and Laksa. Enjoy"
Beautiful Sunsets,Mindil beach offers the most stunning sunsets. I normally tie in a mindil beach visit with going to the markets so there is always a lot of people around however you can easily find your own space to stand and watch the sun set over the ocean.
An ordinary beach.,"This is an ordinary beach, which is located quite far from the city center.The hype surrounding this beach (and its markets) is totally exaggerated, and we could not find a particular appeal to it."
Great market.,"We had a couple of visits to the Mindil markets and really enjoyed it. The sunset is amazing, the food was great and there was a large variety to choose from. Lots of good local produce available. We also really enjoyed the musicians playing the drums and Didgeridoo.Well worth a visit."
Sunset to die for ,Definitely a place to stop and have a look!  When the market is on grab some great food and watch the magic unfold. Have been many times 😍
Amazing place for sunset - but very busy!,Sunset was very pretty at this location but don't expect to get any photos of a quiet beach. The markets nearby have great variety and many food options.
Mindil Beach Highly Recommended,"We went to the beach sunset and the market on one of the final evenings of the season.  Make sure you schedule you trip to Darwin to include this fun event.  Music, food, crafts, and more!"
NICE BEACH.,"Right beside Mindil Markets, I would rather the beach.  A nice beach bu Darwin standards with good swimming and sunbathing.  Last time we were there a crocodile was sunning itself on the sand. Not too many swimmers that day!"
Mindil beach markets at sunset,it was great to go to the Mindil beach markets for the amazing sunset. There are stalls selling all different kinds of things to buy.They also have food stalls so you can buy something to eat. If you get there early enough they also have entertainment.
Food and more food,"if you can go when the market is open, grab yourselve some great food from one of the food trucks , and settle yourself down to watch the sunset.Well worth it."
Over rated!,"Of course anyone visiting Darwin is keen to experience this much touted attraction. Our friends were no exception, but they were most disappointed with what was on offer, re the stall merchandise and the repetitive food that was available. They were blown away with the applause of the crowd when the sun set, as they did not believe it was that outstanding on that particular evening!"
Best sunset,"Best time to go when the markets is on. Great food, great beach and great sunsetThere are so many food stalls and arts and craft. There are also some entertainments."
We will miss our regular Thursday and sunday,Our favourite place for a nice snack and sunset picnic during the dry season..Great food..some entertainment on most nights...Great people watching
Julie,Mindil beach is so beautiful especially at sunset. There are lovely restaurants all around and some of them are overlooking the beach. IL Piatto is an Italian restaurant overlooking the sea. The food was amazing and the view incredible.
Fantastic Place To Watch The Sunset,This is a really gorgeous place to watch the sunrise or sunset. There were people everywhere and the atmosphere was quite lovely.
mindil beach,Was a really nice place to wander around we had finger food from a number of places and most pretty good also brought a few items of clothing .
Amazing markets,"The most delicious food, you won’t be able to resist the smells wafting around, the entertainment and THAT sunset! A must do on a trip to Darwin."
Great Markets,I love the markets and watching the sun going down at Mindil Beach. We have been here every time we go to Darwin and still love going and seeing the different arts and crafts on show.
Perfect Way to End a Tiring Day,Great place to grab variety of good food...crocs souvenirs..listen to some live music played by locals and lastly catch the sunset by the beach! Bus no. 4 goes here and goes in a loop to the city centre. Fare is A$3 valid for 3 hours; which means you can hop on and off the buses within the next 3 hours. 😊
Afternoon Delight,Never disappointed when we come to Darwin. Mindil Beach is one of the first places we go-to.  The ambient sunsets are so dynamic to view when there is storm is brewing.
Gorgeous ,"Been multiple times to watch the sunset, quite a lot of people there during the dry season but its still a really lovely place to visit! Can even bring a beer! Absolutely beautiful!"
Sunset over Darwin,"We visited Mindil Beach in afternoon for the Markets (Thurs and Sunday).There was plenty of variety in the food stalls and those we tried had great food.There were other clothing, leather and jewellery stalls beside  misc. others.Live entertainment was also provided.Beach faces west so there is opportunity to witness a fantastic sunset too."
Sunset in paradise,Visited here to see sunset and wasn’t disappointed. A beautiful stretch of beach facing west so really benefits from its position if you’re searching for a great sunset. Grab a drink from the Sand Bar in the casino and then wander down to the beach through the resort gardens. Memorable experience
Great food market with interesting stalls ,Great food market with interesting stalls. All  wonderful different types of foods. Beautiful sunset on the beach. Don't forget BYO bottle of wine.
market day,"Amazing kaleidoscope of people, food, tents, animals, entertainment at the weekly Markets. Then there was the beautiful beach, where an enormous crowd attended to watch the sunset.  Some danced to it, some clapped, The experience was and is now, memorable"
Nt sunset,Wonderful place to see the sunset. Eat dinner and take a moment to reflect on our beautiful country. Mindil market is a bonus.
Market ,Wide variety of foods mainly Asian As well as locally made wares suitable for gifts. BYO alcohol as none available for purchase
A must see for visitors ,"A Darwin icon, this market has dozens of food stalls, craft stalls and live entertainment. It can be crowded but there a VIP area where you can sit (for a price ) away from the crowds. The sunset is not to be missed."
Everything we had imagined ,We deliberately extended our stay to attend these markets and so glad we did. Crowds are massive it’s like an event on the Darwin social calendar. Heaps of food vans and so many stalls. Don’t overthink it just make your plans and head to these markets and enjoy the experience. Graham and Diana - Blaxland Blue Mountsins
Thursday Night markets,Our hotel had a complimentary shuttle to the markets as it gets crowded with cars. There were so many food trucks and so much food to chose from. Some very nice jewellry and a stall of bag tags made from old dictoraries which were great. Got my nephew some camel jerky. The sunset from there was lovely and a nice way to cool down after a hot day.
Amazing place. .,This place has the most amazing sunsets I have ever seen . It's a must visit if you ever in Darwin australia..there is an artisan market also good stalls o Friday night's which are worth a visit. Potato see and do while there
"Lovely place for a Sunset visit, lots of food available",A nice place to visit. Lots of market stands with food from all of the Asian area. Some market stands with local artifacts tot be bought. The beach is nearby to enjoy the Sunset.
"First trip to the ""Top End"".","The night markets on Thursday and Sunday nights only, is worth the visit (if not for the variety of food), it's a must for the sunset."
Market and Sunset,we returned many times for not only the spectacular sunset but the  atmosphere with stalls from many different cultures represented.
Do you like crowds?,"It was far too crowded for me to enjoy,  like most Darwin outdoor events there were dozens of food stalls, hope you don't mind sitting in amongst the enormous crowd too eat. Get there very early,  eat and then go to one of hundreds of other empty places to watch the sundown. You might get a clear view here from wast deep water."
Darwin's popular sunset market - don't miss it. ,"There are many weekend markets in Darwin: Rapid Creek, Nightcliff, Parap but nothing can beat the setting of the sun over the waters of Darwin Harbour on a balmy Sunday evening. Mindil Beach night  market is twice weekly (Thursday and Sunday) from Anzac Day in April to the end of October. There's only a few left this season. A huge variety of foods are available along food alley dominated by Asian cuisine but with a wide offering of other types and styles including Mexican and Greek, finger food and pizza, fresh juices and smoothies and fresh mango. Many of the vendors from the wonderful Saturday Parap market are offering their wares, creations and services including art, jewellery, clothing, aboriginal artifacts and massages. And there is entertainment at a couple of locations. This was my fourth visit over the years. There's always a crowd and the locals come equipped with chairs, rugs and picnic tables. There are some tables and chairs for visitors and others close to the entertainment. But it's all about the beach and the sunset over the harbour. Parking can be a problem on really busy nights but tonight was not one of them."
Magical sunset,We were very spoilt to be treated to a private area at the Mindil Markets as part of a corporate group.  It was nice to have tables and chairs to return to to eat and drink.  We were given Mindil Money to go and buy whatever food we wanted from the large range of food van which is a great idea and then as the sun began to set we could sit at the table to watch or just pop over the dune to the beach to get a better view of the beautiful sunsets the Northern Territory are famous for.
Mindil beach evening ,Good sunset and vibe. Plenty of people about. Good time to just relax and chill out. Mick’s whips entertaining.
Evening market ,Busy evening market with large range of food stalls. Some art and craft stalls. Great people watching.
Such a lovely place to have diner!,You can find every kind of food you would like to and you can eat while you listen a free concert or watch a beautiful sunset. This market is a good opportunity to taste new flavour and meet locals people.
Markets and then sunset! Yay,"We wandered through the markets, sampling some delicious foods- octopus, crocodile, Sri Lankan curries, oysters. Spoilt for choice. then sat on the beach and watched the glorious sunset"
Best market,"Great market with plenty of different types of cuisines and the usual market stuff, great location to sit on the beach while eating your food and watching the sunset"
A must do in Darwin,Must See. A great market on Thursday's and Sunday's. Mother nature sure turns on the charm with the sunsets on the beach
"Sunset, people galore, and food food food","Great spot to watch the sunset!There were literally thousands of people on the beach watching the sunset, and behind the sand dunes were dozens and dozens of food stalls selling everything you can think of; Japanese, Thai, Indian, Kebabs, Fish and Chips, Italian....you name it.Great atmosphere and a must see on your stay in Darwin."
Foodie extraveganza,If your into food from all over the world and street entertainment this is the place to be on a nice warm night.  Pick your favourite food and then settle down on the beach and watch the sunset!
Very Popular,We went on a Sunday night and it was very busy. parking is a challenge! Predominantly food trucks with a good variety. Still quite a number of stall selling everything from didgeridoos to toys.
VERY PLEASANT OUTING.,"A lovely spot  in a beautful location,  where one can check out the craft stalls or just  sit and enjoy tasty food that is on offer from many food venues. - There is enough parking and is free ."
Gorgeous Sunset,A great spot to watch the sun go down over the ocean. Pack a picnic and enjoy with the crowds. Lovely
Sunset at Mindil Beach,Cable Beach Broome is better but still worth a visit especially when Markets are on. (Sunday and Thursday late afternoon/evening only in dry season I think).
Variety of food,Great place to visit the mangoes are the best. Loved trying lots of things. Chicken satay  quinoa salad yummy frui salad so sweet.
Amazing food aromas,"Great selection of food, the aroma through the market was amazing and the choices were plentiful. Wonderful sunset, lots of entertainment a  fantastic evening. Would highly recommend this market when in Darwin."
Mindil Markets,"Lots to see and do at the markets, enormous selection of food, friendly stall holders with some really interesting products. Then you can enjoy eating your dinner while watching a spectacular sunset"
Somewhat over rated,Yes a market with local wares and close to beach. My advise is don't swim there ... crocs a possibility and the locals don't use it. Perhaps a good place for 'street food' but few 'healthy choices'.
Interesting markets with fantastic sunset views,Be there for sunset. Good variety of interesting stalls and food choices. Great atmosphere. A must do if visiting Darwin in dry season.
Markets and beach,"A tropical market (in season) with the added bonus of a beach sunset. Well worth considering for food and local fare. Like Bali but in safe and clean Australia, same climate, good choice of food and no humbugging."
"Beautiful sunset, great roof stalls","The market stalks are mostly food - everything we had was delicious. There are a few other stalls, eg jewellery. The sunset is beautiful but be prepared for crowds on the beach!"
Sunset ,"The sunset was beautiful.  The markets were very busy but lots of different things to look at.  The food was amazing, actually too manyChoices lol."
Bustling beach for sunset ,Thursday and Sunday's are the busy days due to the amazing markets. The beach is covered with families getting a spot to see Darwin's day end. The sky goes a beautiful colour as the sun disappears under the horizon.
Best mixed Asian market food and sunset.,"As a Darwin local, came here every year for about 20 years. Now that I live away, I still crave the avocado smoothies, fresh coconut juice, spring rolls and oysters. Definitely a must-do for foodies... great atmosphere and sunset. Perfect for families, teens or solo-travellers, everyone welcome!"
"Sunset on beach great, market OK","Went here on recommendations from friends and from TripAdvisor.  The actual market was average (more food than goods to purchase - bit of a disappointment after the market at Port Douglas - just wanted to buy some trinkets and it really had nothing much).  HOWEVER, the sunset on the beach was just wonderful and had many people waiting to watch it.  The crowd (and there were many there) clapped when the sun actually set - so that was something different.  Would go again just for the sunset."
Fun. Must do,"Gotta do it. Lots of people but so glad we went. Culture, relaxed, beautiful. We went to the markets on Sunday night, had some food and then watched the sunset with a billion others. Great night"
Sunset was amazing ,We went here to see the sunset it was truly amazing lots of people sat on the beach and waited for it and it was well worth waiting for .
Markets are a must do,"Brought the family for the Sunday markets hoping to get some good local buys. Markets were a mix of local items plus your usual stuff you can get anywhere. You are spoilt for choice with food offerings and it was hard to pick what to eat, food vendors also require cash. Sunset one the beach was great but packed. Clean toilets. Get there early for easy parking. Parking is free"
Fish dinner,Excellent meal at the Ski club and sunset drinks - very casual - a fun place to cool off watch the sun go down
A Darwin highlight - must see/do,"Heard about it but had no idea how popular it is among tourists and locals alike.A huge variety of quality food trucks, rather than try and list them all, let's say 15 international cuisine varieties and multiples of several.Lots of market stalls to buy souvenirs and trinkets as well as clairvoyant, massages, buskers etc.Then the sunset - and this happens daily!!  There are probably certain weather conditions that make one more spectacular than another, but even a normal one is impressive, add in the market, food trucks and buskers and it becomes the must see Darwin experience.The market is seasonal, the sunset daily."
A must see in Darwin,Mindil Beach is a must see location in Darwin. It is best if you can get there on Thursday or Sunday evening when the markets are on. There are heaps of taxis during the markets to get you back to town so you don't need to worry about getting stuck there. The sunset is spectacular.
Missed the markets but still beautiful for a sunset,"If you can get to the markets, they have a great atmosphere.  We were only able to get to the beach for sunset this time but it was so beautiful"
Sunset Is Out of this World ! ,After grabbing a bite to eat ( the food is inexpensive but unimpressive). The best part Mindil beach is the Sunset.  As Aboriginals sing and play simple instruments the sun sank slowly below the horizon and the audience on the beach enjoyed the best show in town!
Wonderful array of food choices from Asian to middle eastern ,A fantastic array of inexpensive food options in a relaxed setting by the beachGet a cheap feed and sit and watch theSunset. You might wish to bring a rug orTowel to sit on as seating is at a real premium. Tried some fab Sri Lankan curries washed down with a fresh mangoLassi. A Darwin dry season must.
Night market at a Mindil Beach,"Lots of fun, great food, great vibe, amazing sunset!!  The two guys doing the fog and drumming set were amazing. We are vegan and had one of the best laksa! Watching the sun go down on the beach is spectacular!!"
A nice night out! ,"A great night at the market (only selected times, not every night ) with a vast selection of international foods. Great sunsets, nice beach. Very relaxing!"
Sunset viewing area,Nice beach with no one on it - can’t swim in the sea due to saltwater crocs & box jellyfish both of which can prove fatal. Sunset viewing area with a weekly market
Mindil Beach Markets,Great markets to attend   Lots to see. Lots of food to choose from. Much entertainment. A beautiful sunset to watch whilst sitting on the beach.
Sunset place ,"Probably best place to enjoy sunset. Night markets attract many people. Affordable food and souvenirs are available in abundance. Closes 9pm.Interesting fact, there hundreds of crocodiles inhabiting this area. Don’t go into water... alone"
Sunset markets and sunset ,"Plenty of food at the markets and the sunset is spectacular.We were told there is crocs in the water so be careful. It maybe a myth, but swim at own risk lol. Pull up a spot on the sand and watch the sun set."
Disappointing ,"The market is great for food lovers, not so much for those looking for souvenirs. Had we researched prior to our visit, it is likely that we would have skipped this venue."
Mindil Beach,I was surprised by the number of food trucks. There is a lot of great food and it’s relaxing be able to sit on the sand and watch the sun set while eating dinner. The music and atmosphere on a warm night was pleasant. Some stalls are pricey but I picked up a painting at a great price.
Mindle markets,"The markets are a popular tourist attraction. In all honesty I think things are a little overpriced. Food wasn’t fantastic and all averaging between $10-$20. (Also it’s on the beach. Have a look at the dust and sand on the displays, surely that ends up in the food.)The locals rave about the sunset there, but I come from Perth, I see that same, even better, sunset from there. If you live on the east coast and don’t get to see the sun setting over the ocean. Then it’s worth the hustle. Gets very crowded after 6pm and very long waits on food. Catch an uber or taxi from the city and get them to drop you off and pick you up in one of the adjacent streets. Just walk across. Cause it’s a long traffic jam to get out, and will cost you extra $. Sky city casino is just next door, so you can go for a few drinks or a gamble if that’s your thing. (Sandbar) is a great place to have a few at the casino. With a live band or singer, dance floor and a great outdoor smoking terrace."
Mindil markets,Nice markets. Great food. Fantastic sunsets. Well worth a visit. Friendly stall holders. Something for everybody.
A great place to visit for some really scrumptious food.,Always visit here. Really interesting market. Delicious food  and all different. The sunset is spectacular from the beach. very close to the Casino.
Great Afternoon Evening,"This is a beautiful eating area, and we sat down and watched the sunset go down in all colours it was truely lovely.  The Casino also is there very small but the most gorgeous Pool Bar. The Markets all over Darwin are amazing."
Great evening market place,"We have been in the past and it was about the same, the food variety was great. The entertainment wasn't as good we felt so we left early. Having said that if you have never been to the evening markets here please make an effort even if it is just to see the fabulous sunset."
Just do it. ,The place to watch the sun sink below the horizon. Lively when matched with the Thursday and Sunday markets. Just Magic.
Little Dissapointed,Had thought that there would more handicrafts etc was more devoted to food and very touristy in terms of what was for sale (understandable)
Great Beach,"Went to the market and beach for yhe sunset. Lots of people there but heaps of room on the beach! Sunset was pretty but there was low cloud, so the sun disappeared behind that. Lovely clean beach and soft sand, could definitely spend the day here!"
"Great market, the VIP area not really worth it","Fantastic market with lots of great food and art/craft/souvenir stalls, plus live music. No alcohol, but you can BYO. Come early and grab a spot in the lawn or beach to watch the spectacular sunset. We paid to sit in the VIP area but it wasn't really worth it, apart from the provision of an esky with ice for you to put your drinks in. If you have your own esky or don't need one, I wouldn't bother. You can't see the sunset from the VIP area anyway, and it's literally just a fenced off bit of grass with some trestle tables."
VIP at market for sunset,The vip area is great we were well looked after and had seat and table pre sunset and could tour the market at leisure They gave an esky to cool our gin ! Wonderful sunset and the beach atmosphere fantastic
Wonderful markets,Markets and local characters were an experience to behold. Lots of very yummy food options. Art and craft also good and of course Mindil Beach sunset - however any beach on Fannie Bay is equally as spectular to watch sunset - love a good sunset over water.
Great beach with night markets and sunset views,Beautiful beach to watch the sunset. Parap sunset market is held here every Thursday and Sunday so it'll be very busy at the beach area near to the market. Lots to see and buy in the market. Huge variety of food stalls.
Amazing beach!,"We were there in the evening for the sunset, when the Mindil market was on on Sunday. The tide was low and the beach was just amazing, we did not swim- but dipped our legs and soaked into the atmosphere. The sun set here is just amazing. A must do, if you are in Darwin."
Stunning ,Beautiful beach lovely to walk along good amenities Stunning at sunset shaded areas to sit and watch the world go by Market days are busy but vibe incredible
How breathtaking,"The markets are very extensive, lots of people, lots of food choices, but highlight is sitting on beach waitin for sun to go down."
As good as they say,Have the best street food. Found a travelling artist who paints while you watch. Amazing talent. The sunset was spectacular.
Lovely beach especially at sunset,The beach itself is great although at sunset it does get quite busy. The sunset is great too. The sand is quite fine and the beach is compact.The markets were pretty ho hum for me. Lot’s of stalls and food outlets but a lot sell the same or similar stuff. Worth going to see at least to say you’ve been there and done that and tick it off of the bucket list.
Mindil Beach Sunset markets,The sunset on the beach was spectacular but moreover the amount of people who congregated there was unbelievable!!! The markets are ok but not anything special
Don't get all the fuss - clearly most visitors haven't been to decent markets,"Aussie Bogan Kitch. OK, so the sunset is OK but the beach is very average. The markets have heaps of really crappy, poor quality souvenirs, t-shirts aimed squarely at bogan Aussies and the food is mostly bain-marie Chinese with copious amounts of battered chicken and spring rolls. I guess there's not a lot going on in Darwin, so a visit here is mandatory. We very underwhelmed and certainly wouldn't bother wasting another 10-minutes visiting this place. Parap Village Markets Darwin are a much better, more cultured experience."
Gorgeous sunsets,"The food stalls are never ending , with something for everyone. Market stalls and Nik nacks to purchase. Free music entertainment and you can buy your dinner and sit in the beach to watch the sun set. Although the water looks inviting remember the salt water crocks are about so don’t be tempted to splash around, you risk loosing a limb doing so. Still a must see while in town ."
Beautiful sunset,Really lovely beach went there to have a few beers and watch the sunset! Really chilled and a nice vibe we also went to the markets afterwards which was cool.
Visited the market x2!!,"Grat market easy to get there by local bus but not so easier getting back especially on the Sundau.Heaps of food choices to enjoy on the beach and watch the sun go down.Excellent entertainment and a variety of stall of craft, clothes ,massages etc.Well worth it just to have your tea there! Reasonably priced, if you cant find something you like you must be fussy :)"
Great Food Market and Bric Brac,So enjoyed the Sunday night market you can eat so many dishes from around Asia very reasonable prices the highlite to the market was the sunset on Mindil Beach
Just another market,Like the Palmerston and Parap markets just more stalls. The beach has brown sand and WA has hundreds of nicer beaches.
Well worth a visit,"One of the best markets in Australia, a must place to visit and have dinner while in Darwin. A variety of food stalls at good prices and entertainment too. Be prepared for this place to be very busy and arrive in time to see the sun going down out at sea."
Great sunset,"Enjoyed the sunset on my first visit to the markets, highly recommended the Thursday night markets! Close to the city but then again everything seems close in darwin"
The sunsets are amazing!,"Visiting the Mindil Beach Night Markets, buying dinner and eating it on the beach watching the sunset is an unforgettable event. The casual calm atmosphere as everyone is doing the same activity as you makes for a special event."
Mindel Beach Sunset is the best,Never fails to impress.  Such a cool market with so many different food stalls.  BBQ octopus while watching the sunset was the bomb. Love these markets.
Darwin visit,"First time in Darwin, markets are very nice, food is fantastic with lots of choices.  Plenty of stalls with art, clothes etc.  Sunset views are great.  99% of stalls are cash only.  There are places to sit to eat and entertainment.  It’s only abut 2 km from the CBD if you like to walk or bus/taxi available.  If you visit Darwin you should go at least once"
"Awesome!! Stunning sunset, great markets!","We visited these markets on a Thursday night and they were popping.  Darwin has a great community, a great culture seemingly more open and relaxed to the bigger Aussie cities. Its generally a great vibe. Tip: get cash out if you want to buy food, that was only mistake and limited our options.The sunset is amazing! A must if visiting Darwin. Check times as i think these markets only run on thursdays and sundays."
Romantic,"Perfect place to watch the sunset. On Thursday night, visits the market, buy something very Darwinish, buy food from one of the many food vans, eat on the beach while the sun goes down."
Stunning sunset,We went to the markets and bought tea to eat while we watched the sunset from the beach. There was an amazing range of food choices. Servings are big and are reasonably priced. There are  other stalls that sell a wide range of goods.
Mindil Beach,We went to Mindil Market and then watched the sunset. well worth the visit and the sunset was breathtaking.
Mindil beach,"A short beach with beautiful sunsets. It’s also pleasant during the day but unfortunately you can’t swim. Every Thursday and Sunday there is a market with lots of different types of food. Also you can buy clothes, jewellery , art etc."
Market,Fantastic watching the sun go down with friends sat on the beach with freshly made food from the beach Market and a cold beer. Sublime.
Sit with many for a relaxing 30-60 minutes and let your cares drift away...,"In addition to attending the market and being forced to choose which one of many meals you will have to limit your ‘tea’ to, take time to sit and listen to music, browse people’s wares at the many stalls and end up on the beach for the sunset looking west from a very northerly view point. What a relaxing way to spend a few hours from nearby Darwin City."
What a Sight!,"We were only overnight in Darwin and were recommended to go to the Mindil Beach Night Markets - lucky for us it was a Thursday! We got ourselves some food from one of the many food stalls and wandered off to the beach.  Amazing beach, and what a sight with so many people there - we were blown away - especially when the sun went down. What a good market it was too, many and varied! Watched a diggery doo player, saw a stocky cracking his crocodile whip and listened to a magic man trying to sell his wares - it was all there!  This is definitely a must do while in Darwin."
"Beautiful sunset, Typical market","Decent for a quick dinner after viewing the sunset which was pretty nice. Markets were nothing to shout about, typical Australian markets fanfare, though variety was great. Got 1/2 a dozen oysters amongst other asian food. Half of those oysters were not fresh sadly."
Average,Went to the markets on Thursday there was quite a few food stalls some good choices the market stalls were not that great not a lot of them and a few the same thought it would be a lot bigger
Stunning sunset views,Markets on Thursday and Sunday evenings which have food stalls and other accessories to purchase. Sunset views are stunning.
Mindel markets,"We arrived at the markets very early to get a good parking spot so we were able to have a good look around before the crowds. It was my first time and I couldn't believe all the stalls of goodies and food, we.  were spoilt for choice. The music was fantastic and the didgeredos had big crowds around them. Around 6.25pm we moved on to the beach and watched a glorious sunset with the rest of Darwin it seemed. From there some more music and a bite to eat then I picked up some early Christmas presents for my family. It was a win win evening. Would I go again? In a flash,  when my feet and legs have recovered though."
Nice spot for sunset,"Beautiful spot to sit and watch the sun  go down, only downside is that because it's so nice, there are thousands of people some nights. #anxiety"
Great Sunset,Mindel Beach market operates each Thursday and Sunday and is well worth a visit if only to see the sunset.  There is a good variety of food and craft stalls available.
Sunset on the beach,"Great views of sunset over the water. Easy bus ride or cycle from the city. From May to October on Thursday and Sunday from 4pm to 9pm the markets are here. Great for food, clothing, souvenirs, free live entertainment. Darwin food scene is a multi culture experience in itself - Indonesian, Malay, Greek, Japanese to name a few. The locals and tourist very friendly. Plenty of parking and Ubers."
Loved this experience,"Great variety of foods, took me ages to decide. Purchased a couple of arty top end pieces, reasonably priced. There was enjoyable live entertainment. Then the highlight was the sunset on the beach. I took some wonderful photos but you have to go right down the beach as there are a lot of people doing the same"
